ko:K07489	ypf:BZ19_2643
ko:K13060	ypf:BZ19_2665
ko:K08723	ypf:BZ19_1577
ko:K21029	ypf:BZ19_947
ko:K01990	ypf:BZ19_609
ko:K15634	ypf:BZ19_4101
ko:K19734	ypf:BZ19_1860
ko:K19734	ypf:BZ19_2664
ko:K02495	ypf:BZ19_3471
ko:K19789	ypf:BZ19_707
ko:K00344	ypf:BZ19_3845
ko:K02081	ypf:BZ19_2455
ko:K21908	ypf:BZ19_2927
ko:K01271	ypf:BZ19_3728
ko:K07493	ypf:BZ19_3462
ko:K07493	ypf:BZ19_3130
ko:K01138	ypf:BZ19_2466
ko:K11904	ypf:BZ19_925
ko:K01593	ypf:BZ19_633
ko:K07713	ypf:BZ19_603
ko:K00130	ypf:BZ19_594
ko:K13002	ypf:BZ19_369
ko:K03973	ypf:BZ19_1626
ko:K00632	ypf:BZ19_3726
ko:K02032	ypf:BZ19_2317
ko:K13001	ypf:BZ19_365
ko:K13000	ypf:BZ19_363
ko:K12453	ypf:BZ19_359
ko:K03892	ypf:BZ19_134
ko:K05799	ypf:BZ19_62
ko:K03293	ypf:BZ19_3638
ko:K01139	ypf:BZ19_3485
ko:K01406	ypf:BZ19_3302
ko:K11894	ypf:BZ19_3104
ko:K04753	ypf:BZ19_2801
ko:K11904	ypf:BZ19_2646
ko:K04057	ypf:BZ19_4168
ko:K11904	ypf:BZ19_2602
ko:K05874	ypf:BZ19_1768
ko:K05874	ypf:BZ19_2431
ko:K14187	ypf:BZ19_196
ko:K14170	ypf:BZ19_197
ko:K05809	ypf:BZ19_198
ko:K05807	ypf:BZ19_199
ko:K06180	ypf:BZ19_200
ko:K05810	ypf:BZ19_201
ko:K03695	ypf:BZ19_202
ko:K05811	ypf:BZ19_208
ko:K00998	ypf:BZ19_209
ko:K05812	ypf:BZ19_211
ko:K03672	ypf:BZ19_212
ko:K03214	ypf:BZ19_213
ko:K03446	ypf:BZ19_214
ko:K03543	ypf:BZ19_215
ko:K15974	ypf:BZ19_216
ko:K02028	ypf:BZ19_227
ko:K02030	ypf:BZ19_224
ko:K02029	ypf:BZ19_225
ko:K02029	ypf:BZ19_226
ko:K02083	ypf:BZ19_229
ko:K14287	ypf:BZ19_231
ko:K08964	ypf:BZ19_232
ko:K09880	ypf:BZ19_233
ko:K08967	ypf:BZ19_234
ko:K08963	ypf:BZ19_235
ko:K00899	ypf:BZ19_236
ko:K06445	ypf:BZ19_241
ko:K03271	ypf:BZ19_242
ko:K00346	ypf:BZ19_245
ko:K00347	ypf:BZ19_246
ko:K00348	ypf:BZ19_247
ko:K00349	ypf:BZ19_248
ko:K00350	ypf:BZ19_249
ko:K09900	ypf:BZ19_1081
ko:K01354	ypf:BZ19_1083
ko:K01259	ypf:BZ19_1085
ko:K02345	ypf:BZ19_1086
ko:K02217	ypf:BZ19_1087
ko:K07156	ypf:BZ19_1088
ko:K07245	ypf:BZ19_1089
ko:K02401	ypf:BZ19_1093
ko:K02400	ypf:BZ19_1094
ko:K03516	ypf:BZ19_1095
ko:K02399	ypf:BZ19_1097
ko:K02398	ypf:BZ19_1098
ko:K02386	ypf:BZ19_1099
ko:K02387	ypf:BZ19_1100
ko:K02388	ypf:BZ19_1101
ko:K02389	ypf:BZ19_1102
ko:K02390	ypf:BZ19_1103
ko:K02391	ypf:BZ19_1104
ko:K02392	ypf:BZ19_1105
ko:K02393	ypf:BZ19_1106
ko:K02394	ypf:BZ19_1107
ko:K02395	ypf:BZ19_1108
ko:K02396	ypf:BZ19_1109
ko:K02397	ypf:BZ19_1110
ko:K02057	ypf:BZ19_1113
ko:K02058	ypf:BZ19_1114
ko:K02056	ypf:BZ19_1115
ko:K02057	ypf:BZ19_1116
ko:K02421	ypf:BZ19_1119
ko:K02420	ypf:BZ19_1120
