ko:K19296	ppi:YSA_03112
ko:K22350	ppi:YSA_10685
ko:K00520	ppi:YSA_03475
ko:K10440	ppi:YSA_09819
ko:K13609	ppi:YSA_00209
ko:K03297	ppi:YSA_03956
ko:K02028	ppi:YSA_04141
ko:K03863	ppi:YSA_09406
ko:K02054	ppi:YSA_02682
ko:K11735	ppi:YSA_08634
ko:K17322	ppi:YSA_01243
ko:K08305	ppi:YSA_03706
ko:K22617	ppi:YSA_06944
ko:K16238	ppi:YSA_06118
ko:K03321	ppi:YSA_05116
ko:K03457	ppi:YSA_08714
ko:K14227	ppi:YSA_03287
ko:K11741	ppi:YSA_02381
ko:K01474	ppi:YSA_00021
ko:K09458	ppi:YSA_09851
ko:K00128	ppi:YSA_09439
ko:K18334	ppi:YSA_09882
ko:K07497	ppi:YSA_08894
ko:K07497	ppi:YSA_09211
ko:K00666	ppi:YSA_00117
ko:K03406	ppi:YSA_00129
ko:K11312	ppi:YSA_00150
ko:K03406	ppi:YSA_00283
ko:K00598	ppi:YSA_00477
ko:K00059	ppi:YSA_00492
ko:K00799	ppi:YSA_00500
ko:K00058	ppi:YSA_00509
ko:K01081	ppi:YSA_00512
ko:K02014	ppi:YSA_00173
ko:K01835	ppi:YSA_00178
ko:K00254	ppi:YSA_01595
ko:K00020	ppi:YSA_03269
ko:K03111	ppi:YSA_05986
ko:K02226	ppi:YSA_02423
ko:K18138	ppi:YSA_02888
ko:K00632	ppi:YSA_10790
ko:K02004	ppi:YSA_01194
ko:K01480	ppi:YSA_01387
ko:K02014	ppi:YSA_01391
ko:K00124	ppi:YSA_01406
ko:K00127	ppi:YSA_01408
ko:K08086	ppi:YSA_01839
ko:K00059	ppi:YSA_01907
ko:K06179	ppi:YSA_01922
ko:K01104	ppi:YSA_01928
ko:K02238	ppi:YSA_01942
ko:K07305	ppi:YSA_02011
ko:K00569	ppi:YSA_02015
ko:K02014	ppi:YSA_02055
ko:K01692	ppi:YSA_02060
ko:K06889	ppi:YSA_02094
ko:K01679	ppi:YSA_02264
ko:K09898	ppi:YSA_02278
ko:K06177	ppi:YSA_02320
ko:K02014	ppi:YSA_03595
ko:K01297	ppi:YSA_03707
ko:K07258	ppi:YSA_03717
ko:K08305	ppi:YSA_03721
ko:K01916	ppi:YSA_03854
ko:K02348	ppi:YSA_04010
ko:K02487	ppi:YSA_04079
ko:K06596	ppi:YSA_04079
ko:K02660	ppi:YSA_04081
ko:K02659	ppi:YSA_04083
ko:K02658	ppi:YSA_04085
ko:K02657	ppi:YSA_04086
ko:K04093	ppi:YSA_04196
ko:K11105	ppi:YSA_04244
ko:K02454	ppi:YSA_04269
ko:K02428	ppi:YSA_04335
ko:K07019	ppi:YSA_04368
ko:K01011	ppi:YSA_04369
ko:K10563	ppi:YSA_04382
ko:K02010	ppi:YSA_04406
ko:K01082	ppi:YSA_05503
ko:K02014	ppi:YSA_05514
ko:K03406	ppi:YSA_05654
ko:K07304	ppi:YSA_05686
ko:K00974	ppi:YSA_05800
ko:K01525	ppi:YSA_05810
ko:K01424	ppi:YSA_06011
ko:K01784	ppi:YSA_06025
ko:K02004	ppi:YSA_06034
ko:K02858	ppi:YSA_06072
ko:K07017	ppi:YSA_06075
ko:K01507	ppi:YSA_06100
ko:K01585	ppi:YSA_06160
ko:K00059	ppi:YSA_06185
ko:K00626	ppi:YSA_06186
ko:K03406	ppi:YSA_06191
ko:K07213	ppi:YSA_06197
ko:K02010	ppi:YSA_07233
ko:K03386	ppi:YSA_07248
ko:K00626	ppi:YSA_01683
ko:K00389	ppi:YSA_01698
ko:K01885	ppi:YSA_01871
ko:K02619	ppi:YSA_01900
ko:K06445	ppi:YSA_01954
ko:K00799	ppi:YSA_02108
ko:K03406	ppi:YSA_02115
ko:K02055	ppi:YSA_02327
ko:K02052	ppi:YSA_02334
ko:K03743	ppi:YSA_02514
ko:K05524	ppi:YSA_02520
ko:K03087	ppi:YSA_02526
ko:K00121	ppi:YSA_02538
ko:K03316	ppi:YSA_02590
ko:K00674	ppi:YSA_02594
ko:K04763	ppi:YSA_02711
ko:K02014	ppi:YSA_02750
ko:K03406	ppi:YSA_04138
ko:K03406	ppi:YSA_04140
ko:K01259	ppi:YSA_04153
ko:K01479	ppi:YSA_04155
ko:K00058	ppi:YSA_04440
ko:K03316	ppi:YSA_04047
ko:K01262	ppi:YSA_04528
ko:K01934	ppi:YSA_04537
ko:K07232	ppi:YSA_04552
ko:K02035	ppi:YSA_04688
ko:K07665	ppi:YSA_04795
ko:K07657	ppi:YSA_04873
ko:K00274	ppi:YSA_04067
ko:K01496	ppi:YSA_04127
ko:K01523	ppi:YSA_04129
ko:K10914	ppi:YSA_05856
ko:K00124	ppi:YSA_06000
ko:K00127	ppi:YSA_06002
ko:K03153	ppi:YSA_06273
ko:K02433	ppi:YSA_06277
ko:K03299	ppi:YSA_06383
ko:K02824	ppi:YSA_06558
ko:K03406	ppi:YSA_06619
ko:K00882	ppi:YSA_06653
ko:K03111	ppi:YSA_p00092
ko:K01507	ppi:YSA_00637
ko:K03325	ppi:YSA_00649
ko:K05794	ppi:YSA_00860
ko:K09471	ppi:YSA_00947
ko:K03386	ppi:YSA_00966
ko:K05794	ppi:YSA_00971
ko:K00548	ppi:YSA_01079
ko:K03776	ppi:YSA_01250
ko:K03406	ppi:YSA_01267
ko:K01262	ppi:YSA_01307
ko:K06889	ppi:YSA_01309
ko:K02454	ppi:YSA_04509
ko:K09806	ppi:YSA_04601
ko:K07665	ppi:YSA_04750
ko:K07221	ppi:YSA_04768
ko:K15727	ppi:YSA_04786
ko:K15725	ppi:YSA_04789
ko:K02116	ppi:YSA_05040
ko:K04063	ppi:YSA_05138
ko:K02274	ppi:YSA_05174
ko:K02258	ppi:YSA_05176
ko:K09815	ppi:YSA_05205
ko:K02014	ppi:YSA_05305
ko:K02051	ppi:YSA_05337
ko:K02049	ppi:YSA_05340
ko:K02050	ppi:YSA_05341
ko:K02433	ppi:YSA_06957
ko:K01679	ppi:YSA_06982
ko:K11189	ppi:YSA_06988
ko:K02806	ppi:YSA_06991
ko:K02067	ppi:YSA_07006
ko:K01478	ppi:YSA_07082
ko:K00845	ppi:YSA_07102
ko:K00088	ppi:YSA_07145
ko:K02653	ppi:YSA_06323
ko:K00564	ppi:YSA_06588
ko:K00666	ppi:YSA_06592
ko:K01092	ppi:YSA_06765
ko:K04488	ppi:YSA_06772
ko:K13628	ppi:YSA_06774
ko:K01784	ppi:YSA_02190
ko:K04765	ppi:YSA_02466
ko:K01439	ppi:YSA_02604
ko:K00939	ppi:YSA_02638
ko:K07665	ppi:YSA_02770
ko:K01607	ppi:YSA_02898
ko:K03177	ppi:YSA_03382
ko:K02427	ppi:YSA_03404
ko:K03711	ppi:YSA_03430
ko:K00101	ppi:YSA_03439
ko:K03776	ppi:YSA_03523
ko:K02342	ppi:YSA_03642
ko:K07126	ppi:YSA_03682
ko:K05595	ppi:YSA_03759
ko:K00595	ppi:YSA_03776
ko:K02014	ppi:YSA_03794
ko:K01011	ppi:YSA_03923
ko:K01515	ppi:YSA_03944
ko:K11085	ppi:YSA_03964
ko:K03386	ppi:YSA_00701
ko:K00852	ppi:YSA_00922
ko:K10440	ppi:YSA_00925
ko:K02014	ppi:YSA_01004
ko:K15727	ppi:YSA_01023
ko:K15725	ppi:YSA_01025
