ko:K10942	psc:A458_13485
ko:K18929	psc:A458_04005
ko:K10109	psc:A458_03890
ko:K03297	psc:A458_02320
ko:K02487	psc:A458_06240
ko:K08305	psc:A458_02655
ko:K22617	psc:A458_16050
ko:K16238	psc:A458_03045
ko:K09691	psc:A458_02370
ko:K18928	psc:A458_04010
ko:K03321	psc:A458_13395
ko:K08086	psc:A458_11890
ko:K00799	psc:A458_12370
ko:K14162	psc:A458_12435
ko:K08964	psc:A458_12935
ko:K06889	psc:A458_12950
ko:K00845	psc:A458_12995
ko:K03498	psc:A458_13065
ko:K00799	psc:A458_13135
ko:K07116	psc:A458_12075
ko:K09471	psc:A458_12615
ko:K06149	psc:A458_13195
ko:K01104	psc:A458_13235
ko:K11688	psc:A458_12210
ko:K14227	psc:A458_t21820
ko:K14227	psc:A458_t21876
ko:K14227	psc:A458_t21916
ko:K14227	psc:A458_t21848
ko:K03406	psc:A458_12270
ko:K01679	psc:A458_12300
ko:K07114	psc:A458_12740
ko:K07114	psc:A458_12745
ko:K02441	psc:A458_12840
ko:K02005	psc:A458_13370
ko:K00799	psc:A458_13435
ko:K07305	psc:A458_13450
ko:K00569	psc:A458_13475
ko:K10943	psc:A458_13480
ko:K11741	psc:A458_14065
ko:K14225	psc:A458_t21832
ko:K00254	psc:A458_12705
ko:K00020	psc:A458_11215
ko:K03111	psc:A458_17935
ko:K00845	psc:A458_14100
ko:K07665	psc:A458_14240
ko:K03825	psc:A458_14280
ko:K00799	psc:A458_14350
ko:K00939	psc:A458_14400
ko:K03548	psc:A458_14635
ko:K03560	psc:A458_14690
ko:K00799	psc:A458_15085
ko:K02051	psc:A458_15180
ko:K02049	psc:A458_15185
ko:K02050	psc:A458_15190
ko:K12287	psc:A458_15635
ko:K12286	psc:A458_15640
ko:K12285	psc:A458_15645
ko:K10927	psc:A458_15650
ko:K10926	psc:A458_15655
ko:K10924	psc:A458_15660
ko:K12278	psc:A458_15670
ko:K12276	psc:A458_15675
ko:K12284	psc:A458_15680
ko:K12283	psc:A458_15685
ko:K12282	psc:A458_15690
ko:K12281	psc:A458_15695
ko:K12280	psc:A458_15700
ko:K12279	psc:A458_15710
ko:K01885	psc:A458_15730
ko:K04763	psc:A458_15775
ko:K03635	psc:A458_15890
ko:K02067	psc:A458_16565
ko:K02806	psc:A458_16615
ko:K11189	psc:A458_16625
ko:K02433	psc:A458_16690
ko:K00380	psc:A458_16770
ko:K07126	psc:A458_16785
ko:K00882	psc:A458_16815
ko:K07054	psc:A458_17375
ko:K13953	psc:A458_17405
ko:K03406	psc:A458_17435
ko:K05522	psc:A458_17510
ko:K06177	psc:A458_17540
ko:K10914	psc:A458_18250
ko:K00135	psc:A458_18285
ko:K01525	psc:A458_18395
ko:K00974	psc:A458_18420
ko:K01719	psc:A458_18760
ko:K09806	psc:A458_18885
ko:K00674	psc:A458_14865
ko:K01607	psc:A458_15205
ko:K02056	psc:A458_15215
ko:K02049	psc:A458_15360
ko:K02050	psc:A458_15365
ko:K02051	psc:A458_15370
ko:K07052	psc:A458_15390
ko:K04750	psc:A458_15400
ko:K00784	psc:A458_15410
ko:K02427	psc:A458_15430
ko:K03406	psc:A458_15485
ko:K03406	psc:A458_15490
ko:K00666	psc:A458_16155
ko:K00564	psc:A458_16170
ko:K03406	psc:A458_16190
ko:K01585	psc:A458_16875
ko:K03153	psc:A458_16885
ko:K02674	psc:A458_16915
ko:K02004	psc:A458_17710
ko:K01784	psc:A458_17755
ko:K06889	psc:A458_17795
ko:K01409	psc:A458_18440
ko:K02665	psc:A458_18600
ko:K03406	psc:A458_19010
ko:K07657	psc:A458_19245
ko:K03406	psc:A458_19945
ko:K05844	psc:A458_19985
ko:K02454	psc:A458_20085
ko:K04063	psc:A458_20110
ko:K02454	psc:A458_20675
ko:K07665	psc:A458_21605
ko:K15725	psc:A458_21615
ko:K15727	psc:A458_21625
ko:K02116	psc:A458_21755
ko:K02653	psc:A458_16465
ko:K01607	psc:A458_17115
ko:K03769	psc:A458_17305
ko:K00374	psc:A458_17310
ko:K00058	psc:A458_19385
ko:K07660	psc:A458_19440
ko:K05570	psc:A458_19495
ko:K11069	psc:A458_19515
ko:K01424	psc:A458_20320
ko:K02067	psc:A458_20955
ko:K11688	psc:A458_21010
ko:K11689	psc:A458_21015
ko:K02050	psc:A458_21055
ko:K02049	psc:A458_21060
ko:K07017	psc:A458_19610
ko:K03406	psc:A458_19640
ko:K01496	psc:A458_19735
ko:K01523	psc:A458_19740
ko:K01259	psc:A458_19775
ko:K01082	psc:A458_19820
ko:K00124	psc:A458_20455
ko:K00127	psc:A458_20460
ko:K02014	psc:A458_20555
ko:K09815	psc:A458_21220
ko:K13953	psc:A458_21270
ko:K00799	psc:A458_21310
ko:K02274	psc:A458_21325
ko:K02258	psc:A458_21330
ko:K02014	psc:A458_21375
ko:K07665	psc:A458_21440
ko:K02200	psc:A458_13500
ko:K02200	psc:A458_13505
ko:K02193	psc:A458_13540
ko:K02414	psc:A458_13675
ko:K02619	psc:A458_13850
ko:K00059	psc:A458_13865
ko:K06179	psc:A458_13905
ko:K01104	psc:A458_13920
ko:K02238	psc:A458_13950
ko:K02004	psc:A458_10715
ko:K02050	psc:A458_10750
ko:K02049	psc:A458_10755
ko:K01941	psc:A458_10770
ko:K02051	psc:A458_10785
ko:K00059	psc:A458_10800
ko:K01470	psc:A458_10810
ko:K02050	psc:A458_10830
ko:K02049	psc:A458_10835
ko:K02051	psc:A458_10850
ko:K11179	psc:A458_10890
ko:K07393	psc:A458_10900
ko:K06603	psc:A458_11530
ko:K04085	psc:A458_11595
ko:K03776	psc:A458_11610
ko:K01916	psc:A458_11680
ko:K02050	psc:A458_11710
ko:K02049	psc:A458_11715
ko:K00219	psc:A458_11770
ko:K00666	psc:A458_04620
ko:K02824	psc:A458_04785
ko:K03803	psc:A458_05765
ko:K02014	psc:A458_05865
ko:K01039	psc:A458_05900
ko:K02428	psc:A458_01435
ko:K03499	psc:A458_00150
ko:K02014	psc:A458_00220
ko:K01835	psc:A458_00245
ko:K00652	psc:A458_02140
ko:K07304	psc:A458_02180
ko:K02843	psc:A458_02215
ko:K11085	psc:A458_02285
ko:K02051	psc:A458_03005
ko:K11209	psc:A458_00330
ko:K01784	psc:A458_00380
ko:K15578	psc:A458_00800
ko:K15577	psc:A458_00805
ko:K15576	psc:A458_00810
ko:K01934	psc:A458_00910
ko:K01507	psc:A458_03020
ko:K01113	psc:A458_03030
ko:K08234	psc:A458_03515
ko:K02056	psc:A458_03555
ko:K01262	psc:A458_00930
ko:K10563	psc:A458_01265
ko:K01724	psc:A458_03635
ko:K04748	psc:A458_03790
ko:K03177	psc:A458_04145
ko:K00970	psc:A458_04215
ko:K07027	psc:A458_04270
ko:K03386	psc:A458_04855
ko:K06889	psc:A458_04870
ko:K03442	psc:A458_04905
ko:K07019	psc:A458_01335
ko:K03406	psc:A458_04970
ko:K07338	psc:A458_04980
ko:K00059	psc:A458_04925
ko:K14335	psc:A458_07950
ko:K06986	psc:A458_07955
ko:K05524	psc:A458_07970
ko:K03743	psc:A458_08105
ko:K00121	psc:A458_08385
ko:K08974	psc:A458_08425
ko:K03087	psc:A458_08435
ko:K02014	psc:A458_07840
ko:K01455	psc:A458_07925
ko:K02657	psc:A458_01540
ko:K02658	psc:A458_01545
ko:K02659	psc:A458_01550
ko:K02660	psc:A458_01555
ko:K02487	psc:A458_01565
ko:K06596	psc:A458_01565
ko:K02342	psc:A458_01810
ko:K07182	psc:A458_01815
ko:K01515	psc:A458_02435
ko:K01011	psc:A458_02515
ko:K08305	psc:A458_02620
ko:K07258	psc:A458_02630
ko:K03406	psc:A458_03305
ko:K03406	psc:A458_03350
ko:K07213	psc:A458_03365
ko:K03325	psc:A458_10285
ko:K03406	psc:A458_11025
ko:K11105	psc:A458_11070
ko:K03560	psc:A458_11090
ko:K03499	psc:A458_11140
ko:K03406	psc:A458_03870
ko:K01692	psc:A458_11210
ko:K01796	psc:A458_11235
ko:K01176	psc:A458_03880
ko:K03711	psc:A458_04045
ko:K07028	psc:A458_04365
ko:K00626	psc:A458_04575
ko:K01092	psc:A458_05415
ko:K01092	psc:A458_08535
ko:K03769	psc:A458_08565
ko:K03406	psc:A458_08715
ko:K01439	psc:A458_08885
ko:K07221	psc:A458_08895
ko:K04765	psc:A458_09000
ko:K06445	psc:A458_09040
ko:K03972	psc:A458_09050
ko:K01692	psc:A458_09075
ko:K00616	psc:A458_09135
ko:K03406	psc:A458_09385
ko:K03406	psc:A458_09420
ko:K03469	psc:A458_09525
ko:K02342	psc:A458_09530
ko:K01692	psc:A458_09540
ko:K04774	psc:A458_09585
ko:K00548	psc:A458_09675
ko:K03406	psc:A458_09725
ko:K03769	psc:A458_09780
ko:K00851	psc:A458_09785
ko:K00854	psc:A458_09815
ko:K00045	psc:A458_09820
ko:K00383	psc:A458_10180
ko:K03406	psc:A458_10195
ko:K07504	psc:A458_10215
ko:K04488	psc:A458_05440
ko:K13628	psc:A458_05445
ko:K02014	psc:A458_05565
ko:K00088	psc:A458_05595
ko:K02010	psc:A458_05615
ko:K01759	psc:A458_05655
ko:K03613	psc:A458_05670
ko:K03612	psc:A458_05675
ko:K03614	psc:A458_05680
ko:K03615	psc:A458_05685
ko:K03616	psc:A458_05690
ko:K03617	psc:A458_05695
ko:K00700	psc:A458_09990
ko:K07027	psc:A458_09995
ko:K04748	psc:A458_10465
ko:K00368	psc:A458_10480
ko:K03768	psc:A458_10545
ko:K03286	psc:A458_10575
ko:K00626	psc:A458_11250
ko:K00647	psc:A458_11380
ko:K03406	psc:A458_11400
ko:K00241	psc:A458_11490
ko:K01854	psc:A458_00390
ko:K06147	psc:A458_00400
ko:K13590	psc:A458_00995
ko:K03776	psc:A458_01050
ko:K07793	psc:A458_01105
ko:K07120	psc:A458_01110
ko:K03406	psc:A458_01830
ko:K07793	psc:A458_01935
ko:K02014	psc:A458_01975
ko:K00575	psc:A458_02045
ko:K11105	psc:A458_02070
ko:K01823	psc:A458_02085
ko:K07126	psc:A458_02715
ko:K03406	psc:A458_06470
ko:K00480	psc:A458_06565
ko:K01907	psc:A458_06605
ko:K06183	psc:A458_07010
ko:K03593	psc:A458_07025
ko:K00799	psc:A458_06640
ko:K02569	psc:A458_07040
ko:K02571	psc:A458_07060
ko:K02017	psc:A458_07240
ko:K01011	psc:A458_07265
ko:K01571	psc:A458_07330
ko:K01572	psc:A458_07335
ko:K02342	psc:A458_07375
ko:K00575	psc:A458_07445
ko:K06177	psc:A458_07555
ko:K09898	psc:A458_07625
ko:K10217	psc:A458_06530
ko:K18135	psc:A458_03370
ko:K18138	psc:A458_01605
ko:K00131	psc:A458_14075
ko:K21430	psc:A458_07720
ko:K02358	psc:A458_18160
ko:K14579	psc:A458_06725
ko:K00568	psc:A458_12315
ko:K07675	psc:A458_09395
ko:K00446	psc:A458_06535
ko:K01659	psc:A458_10625
ko:K02051	psc:A458_21050
ko:K00130	psc:A458_12055
ko:K07394	psc:A458_21025
ko:K02452	psc:A458_11840
ko:K14583	psc:A458_06705
ko:K14585	psc:A458_06700
ko:K14581	psc:A458_06735
ko:K14229	psc:A458_t21814
ko:K01980	psc:A458_r21948
ko:K01980	psc:A458_r21942
ko:K01980	psc:A458_r21944
ko:K01980	psc:A458_r21946
ko:K02199	psc:A458_13510
ko:K02198	psc:A458_13515
ko:K02197	psc:A458_13520
ko:K02196	psc:A458_13525
ko:K02195	psc:A458_13530
ko:K02194	psc:A458_13535
ko:K04061	psc:A458_13550
ko:K03408	psc:A458_13565
ko:K03408	psc:A458_13570
ko:K02557	psc:A458_13580
ko:K02556	psc:A458_13585
ko:K03412	psc:A458_13590
ko:K03407	psc:A458_13595
ko:K03414	psc:A458_13600
ko:K03413	psc:A458_13605
ko:K02405	psc:A458_13610
ko:K04562	psc:A458_13615
ko:K02404	psc:A458_13620
ko:K02400	psc:A458_13625
ko:K02401	psc:A458_13635
ko:K02421	psc:A458_13640
ko:K02420	psc:A458_13645
ko:K02419	psc:A458_13650
ko:K02418	psc:A458_13655
ko:K02417	psc:A458_13660
ko:K02416	psc:A458_13665
ko:K02415	psc:A458_13670
ko:K02413	psc:A458_13695
ko:K02412	psc:A458_13700
ko:K02411	psc:A458_13705
ko:K02410	psc:A458_13710
ko:K02409	psc:A458_13715
ko:K02408	psc:A458_13720
ko:K05782	psc:A458_13725
ko:K01591	psc:A458_13740
ko:K03522	psc:A458_13780
ko:K03521	psc:A458_13785
ko:K00311	psc:A458_13790
ko:K09986	psc:A458_13795
ko:K03424	psc:A458_13825
ko:K02676	psc:A458_13830
ko:K02341	psc:A458_13835
ko:K00943	psc:A458_13840
ko:K07082	psc:A458_13845
ko:K09458	psc:A458_13855
ko:K02078	psc:A458_13860
ko:K00645	psc:A458_13870
ko:K03621	psc:A458_13875
ko:K02911	psc:A458_13880
ko:K07040	psc:A458_13885
ko:K04773	psc:A458_13895
ko:K01091	psc:A458_13900
ko:K08300	psc:A458_13910
ko:K00075	psc:A458_13915
ko:K00979	psc:A458_13925
ko:K09791	psc:A458_13930
ko:K00912	psc:A458_13935
ko:K03561	psc:A458_13945
ko:K09928	psc:A458_13955
ko:K09808	psc:A458_13960
ko:K09808	psc:A458_13970
ko:K01126	psc:A458_13985
ko:K00322	psc:A458_13990
ko:K05952	psc:A458_13995
ko:K03734	psc:A458_14000
ko:K00351	psc:A458_14005
ko:K00350	psc:A458_14010
ko:K00349	psc:A458_14015
ko:K00348	psc:A458_14020
ko:K07165	psc:A458_21380
ko:K02303	psc:A458_12810
ko:K07038	psc:A458_12265
ko:K00347	psc:A458_14025
ko:K00346	psc:A458_14030
ko:K00134	psc:A458_14035
ko:K03723	psc:A458_14040
ko:K01625	psc:A458_14080
ko:K01057	psc:A458_14085
ko:K00036	psc:A458_14090
ko:K01690	psc:A458_14105
ko:K07230	psc:A458_14120
ko:K07243	psc:A458_14130
ko:K08303	psc:A458_14175
ko:K12266	psc:A458_14185
ko:K07322	psc:A458_14190
ko:K03805	psc:A458_14210
ko:K04084	psc:A458_14220
ko:K07644	psc:A458_14235
ko:K07233	psc:A458_14265
ko:K03809	psc:A458_14285
ko:K06911	psc:A458_14290
ko:K03669	psc:A458_14300
ko:K03670	psc:A458_14305
ko:K05349	psc:A458_14310
ko:K15984	psc:A458_14375
ko:K01595	psc:A458_14405
ko:K04567	psc:A458_14445
ko:K02836	psc:A458_14450
ko:K07462	psc:A458_14475
ko:K07160	psc:A458_14485
ko:K02192	psc:A458_14510
ko:K03594	psc:A458_14515
ko:K03773	psc:A458_14520
ko:K03554	psc:A458_14525
ko:K09760	psc:A458_14560
ko:K09978	psc:A458_14580
ko:K02336	psc:A458_14590
ko:K01923	psc:A458_14610
ko:K07287	psc:A458_14615
ko:K01714	psc:A458_14620
ko:K03567	psc:A458_14625
ko:K03564	psc:A458_14630
ko:K03517	psc:A458_14650
ko:K06920	psc:A458_14660
ko:K10026	psc:A458_14665
