ko:K16697	bsq:B657_35590
ko:K02030	bsq:B657_23980
ko:K21900	bsq:B657_37650
ko:K21613	bsq:B657_29290
ko:K06979	bsq:B657_02520
ko:K16961	bsq:B657_39500
ko:K02032	bsq:B657_11370
ko:K02851	bsq:B657_35530
ko:K19551	bsq:B657_34950
ko:K22044	bsq:B657_14210
ko:K09685	bsq:B657_00470
ko:K02499	bsq:B657_00580
ko:K07114	bsq:B657_00650
ko:K02619	bsq:B657_00760
ko:K19578	bsq:B657_24010
ko:K05592	bsq:B657_39110
ko:K03708	bsq:B657_00830
ko:K07067	bsq:B657_00880
ko:K09698	bsq:B657_00920
ko:K00564	bsq:B657_01060
ko:K00939	bsq:B657_01370
ko:K03593	bsq:B657_01540
ko:K00088	bsq:B657_00090
ko:K07258	bsq:B657_00100
ko:K01259	bsq:B657_03660
ko:K02004	bsq:B657_03740
ko:K00135	bsq:B657_03910
ko:K02799	bsq:B657_03981
ko:K02800	bsq:B657_03981
ko:K02443	bsq:B657_09270
ko:K01835	bsq:B657_09310
ko:K02480	bsq:B657_09320
ko:K08097	bsq:B657_10950
ko:K01077	bsq:B657_09410
ko:K03294	bsq:B657_09460
ko:K03455	bsq:B657_09850
ko:K06377	bsq:B657_08760
ko:K03698	bsq:B657_09930
ko:K07533	bsq:B657_09950
ko:K00626	bsq:B657_10350
ko:K03307	bsq:B657_10450
ko:K07120	bsq:B657_10570
ko:K06889	bsq:B657_11150
ko:K02033	bsq:B657_11390
ko:K15582	bsq:B657_11450
ko:K15583	bsq:B657_11460
ko:K10823	bsq:B657_11470
ko:K16509	bsq:B657_11500
ko:K07816	bsq:B657_11600
ko:K03455	bsq:B657_11640
ko:K03153	bsq:B657_11670
ko:K01760	bsq:B657_11880
ko:K00059	bsq:B657_11980
ko:K00073	bsq:B657_12320
ko:K02798	bsq:B657_03982
ko:K01182	bsq:B657_02840
ko:K09815	bsq:B657_02850
ko:K01176	bsq:B657_03040
ko:K00158	bsq:B657_04340
ko:K02564	bsq:B657_02360
ko:K00016	bsq:B657_03050
ko:K01916	bsq:B657_03130
ko:K00294	bsq:B657_03210
ko:K15976	bsq:B657_05480
ko:K03406	bsq:B657_03440
ko:K08093	bsq:B657_03460
ko:K03976	bsq:B657_12060
ko:K01719	bsq:B657_12230
ko:K03294	bsq:B657_12860
ko:K01297	bsq:B657_12970
ko:K07404	bsq:B657_13010
ko:K01092	bsq:B657_14670
ko:K07098	bsq:B657_13370
ko:K00567	bsq:B657_13540
ko:K01958	bsq:B657_14860
ko:K02274	bsq:B657_14900
ko:K02862	bsq:B657_14930
ko:K07177	bsq:B657_15050
ko:K08969	bsq:B657_13580
