ko:K18928	eun:UMNK88_353
ko:K18138	eun:UMNK88_515
ko:K05396	eun:UMNK88_2394
ko:K18922	eun:UMNK88_611
ko:K18923	eun:UMNK88_pEnt13
ko:K21905	eun:UMNK88_4294
ko:K13381	eun:UMNK88_4100
ko:K03761	eun:UMNK88_3239
ko:K03297	eun:UMNK88_2413
ko:K11741	eun:pUMNK88_81
ko:K16345	eun:UMNK88_4459
ko:K06884	eun:UMNK88_1589
ko:K07172	eun:UMNK88_3466
ko:K10014	eun:UMNK88_2860
ko:K16371	eun:UMNK88_3889
ko:K16693	eun:UMNK88_4601
ko:K17247	eun:UMNK88_2449
ko:K03077	eun:UMNK88_59
ko:K01990	eun:UMNK88_834
ko:K14219	eun:UMNK88_t51
ko:K01985	eun:UMNK88_r08
ko:K21901	eun:UMNK88_4285
ko:K21907	eun:UMNK88_4290
ko:K14236	eun:UMNK88_t84
ko:K14236	eun:UMNK88_t29
ko:K14236	eun:UMNK88_t28
ko:K02054	eun:UMNK88_1845
ko:K21908	eun:UMNK88_4289
ko:K21906	eun:UMNK88_4293
ko:K03722	eun:UMNK88_2278
ko:K08348	eun:UMNK88_1878
ko:K02345	eun:UMNK88_2313
ko:K01985	eun:UMNK88_r03
ko:K01985	eun:UMNK88_r04
ko:K01985	eun:UMNK88_r19
ko:K01985	eun:UMNK88_r13
ko:K01985	eun:UMNK88_r22
ko:K01985	eun:UMNK88_r16
ko:K01985	eun:UMNK88_r07
ko:K16301	eun:UMNK88_1175
ko:K10111	eun:UMNK88_4889
ko:K00254	eun:UMNK88_1100
ko:K18140	eun:UMNK88_4024
ko:K08151	eun:pUMNK88_40
ko:K16348	eun:UMNK88_5087
ko:K12205	eun:UMNK88_pHly41
ko:K16347	eun:UMNK88_5086
ko:K03111	eun:UMNK88_4917
ko:K07480	eun:UMNK88_143
ko:K12262	eun:UMNK88_1818
ko:K18968	eun:UMNK88_434
ko:K10906	eun:UMNK88_2492
ko:K18552	eun:pUMNK88_132
ko:K16135	eun:UMNK88_2268
ko:K14218	eun:UMNK88_t45
ko:K14218	eun:UMNK88_t46
ko:K02058	eun:UMNK88_3201
ko:K14229	eun:UMNK88_t25
ko:K16092	eun:UMNK88_4804
ko:K16089	eun:UMNK88_1237
ko:K11745	eun:UMNK88_47
ko:K10929	eun:UMNK88_pEnt36
ko:K16138	eun:UMNK88_2077
ko:K16139	eun:UMNK88_2075
ko:K16091	eun:UMNK88_5230
ko:K10928	eun:UMNK88_pEnt35
ko:K16088	eun:UMNK88_1372
ko:K02503	eun:UMNK88_1374
ko:K16089	eun:UMNK88_2700
ko:K16090	eun:UMNK88_845
ko:K14228	eun:UMNK88_t12
ko:K14233	eun:UMNK88_t22
ko:K14220	eun:UMNK88_t39
ko:K14220	eun:UMNK88_t41
ko:K14220	eun:UMNK88_t40
ko:K14220	eun:UMNK88_t42
ko:K14232	eun:UMNK88_t43
ko:K14219	eun:UMNK88_t44
ko:K14224	eun:UMNK88_t72
ko:K16136	eun:UMNK88_2079
ko:K14219	eun:UMNK88_t55
ko:K14219	eun:UMNK88_t56
ko:K14219	eun:UMNK88_t57
ko:K14219	eun:UMNK88_t58
ko:K14233	eun:UMNK88_t59
ko:K14230	eun:UMNK88_t60
ko:K14230	eun:UMNK88_t61
ko:K14230	eun:UMNK88_t65
ko:K16140	eun:UMNK88_2074
ko:K14225	eun:UMNK88_t62
ko:K14231	eun:UMNK88_t63
ko:K14231	eun:UMNK88_t89
ko:K14230	eun:UMNK88_t64
ko:K14228	eun:UMNK88_t66
ko:K14234	eun:UMNK88_t67
ko:K14232	eun:UMNK88_t70
ko:K14219	eun:UMNK88_t75
ko:K14226	eun:UMNK88_t76
ko:K16137	eun:UMNK88_2109
ko:K14234	eun:UMNK88_t86
ko:K02550	eun:UMNK88_3724
ko:K02014	eun:UMNK88_154
ko:K02099	eun:UMNK88_62
ko:K05875	eun:UMNK88_2359
ko:K00130	eun:UMNK88_359
