ko:K19405	ctec:EC599_7011
ko:K08274	ctec:EC599_3881
ko:K00024	ctec:EC599_3871
ko:K01810	ctec:EC599_3891
ko:K03665	ctec:EC599_3901
ko:K06167	ctec:EC599_3911
ko:K09996	ctec:EC599_3921
ko:K03856	ctec:EC599_3931
ko:K06966	ctec:EC599_3991
ko:K09131	ctec:EC599_4001
ko:K10206	ctec:EC599_4021
ko:K01881	ctec:EC599_4051
ko:K03705	ctec:EC599_4061
ko:K03687	ctec:EC599_4071
ko:K04043	ctec:EC599_4081
ko:K12573	ctec:EC599_4091
ko:K07164	ctec:EC599_4101
ko:K06041	ctec:EC599_4111
ko:K00658	ctec:EC599_4121
ko:K00912	ctec:EC599_4141
ko:K03437	ctec:EC599_4151
ko:K06969	ctec:EC599_4161
ko:K00793	ctec:EC599_4171
ko:K07738	ctec:EC599_4181
ko:K06204	ctec:EC599_4191
ko:K03101	ctec:EC599_4201
ko:K03310	ctec:EC599_4211
ko:K00970	ctec:EC599_4221
ko:K00748	ctec:EC599_4231
ko:K09815	ctec:EC599_4271
ko:K09817	ctec:EC599_4281
ko:K09816	ctec:EC599_4291
ko:K03979	ctec:EC599_4301
ko:K02899	ctec:EC599_4311
ko:K02888	ctec:EC599_4321
ko:K07042	ctec:EC599_4361
ko:K07081	ctec:EC599_4411
ko:K03183	ctec:EC599_4421
ko:K01778	ctec:EC599_4441
ko:K01358	ctec:EC599_4451
ko:K00600	ctec:EC599_4461
ko:K01719	ctec:EC599_4471
ko:K01770	ctec:EC599_4481
ko:K00380	ctec:EC599_4491
ko:K02946	ctec:EC599_4501
ko:K02355	ctec:EC599_4511
ko:K02992	ctec:EC599_4521
ko:K02950	ctec:EC599_4531
ko:K03797	ctec:EC599_4551
ko:K01885	ctec:EC599_4601
ko:K07462	ctec:EC599_4621
ko:K12257	ctec:EC599_4631
ko:K00806	ctec:EC599_4651
ko:K00981	ctec:EC599_4661
ko:K00945	ctec:EC599_4671
ko:K00655	ctec:EC599_4681
ko:K01887	ctec:EC599_4691
ko:K00790	ctec:EC599_4701
ko:K02836	ctec:EC599_4741
ko:K07098	ctec:EC599_4761
ko:K00991	ctec:EC599_4771
ko:K06173	ctec:EC599_4781
ko:K07710	ctec:EC599_4831
ko:K07714	ctec:EC599_4841
ko:K03584	ctec:EC599_4871
ko:K01890	ctec:EC599_4931
ko:K00567	ctec:EC599_4951
ko:K03471	ctec:EC599_0081
ko:K02517	ctec:EC599_0101
ko:K00425	ctec:EC599_0131
ko:K00426	ctec:EC599_0141
ko:K07175	ctec:EC599_0151
ko:K01870	ctec:EC599_0191
ko:K03100	ctec:EC599_0201
ko:K02909	ctec:EC599_0221
ko:K02835	ctec:EC599_0231
ko:K02493	ctec:EC599_0241
ko:K03106	ctec:EC599_0251
ko:K02959	ctec:EC599_0261
ko:K00554	ctec:EC599_0271
ko:K02884	ctec:EC599_0281
ko:K03470	ctec:EC599_0291
ko:K00942	ctec:EC599_0301
ko:K01874	ctec:EC599_0321
ko:K03581	ctec:EC599_0331
ko:K01494	ctec:EC599_0401
ko:K03551	ctec:EC599_0421
ko:K01255	ctec:EC599_0471
ko:K02340	ctec:EC599_0491
ko:K07056	ctec:EC599_0501
ko:K00164	ctec:EC599_0561
ko:K00658	ctec:EC599_0571
ko:K05810	ctec:EC599_0581
ko:K03526	ctec:EC599_0591
ko:K07091	ctec:EC599_8831
ko:K04075	ctec:EC599_8841
ko:K03798	ctec:EC599_8851
ko:K00962	ctec:EC599_8861
ko:K02956	ctec:EC599_8871
ko:K01265	ctec:EC599_8961
ko:K01679	ctec:EC599_9001
ko:K03321	ctec:EC599_9011
ko:K03527	ctec:EC599_9041
ko:K04763	ctec:EC599_9091
ko:K00700	ctec:EC599_9111
ko:K02034	ctec:EC599_4961
ko:K02033	ctec:EC599_4971
ko:K02035	ctec:EC599_4981
ko:K01772	ctec:EC599_5031
ko:K02030	ctec:EC599_5041
ko:K07099	ctec:EC599_5061
ko:K00975	ctec:EC599_5071
ko:K03628	ctec:EC599_5091
ko:K00859	ctec:EC599_5101
ko:K03301	ctec:EC599_5131
ko:K00995	ctec:EC599_5141
ko:K03495	ctec:EC599_5181
ko:K03800	ctec:EC599_5191
ko:K00940	ctec:EC599_5201
ko:K03550	ctec:EC599_5211
ko:K01159	ctec:EC599_5221
ko:K00134	ctec:EC599_5261
ko:K02879	ctec:EC599_5271
ko:K03040	ctec:EC599_5281
ko:K02948	ctec:EC599_5291
ko:K02952	ctec:EC599_5301
ko:K03076	ctec:EC599_5311
ko:K02876	ctec:EC599_5321
ko:K02988	ctec:EC599_5331
ko:K02881	ctec:EC599_5341
ko:K02933	ctec:EC599_5351
ko:K02994	ctec:EC599_5361
ko:K02931	ctec:EC599_5371
ko:K02895	ctec:EC599_5381
ko:K02874	ctec:EC599_5391
ko:K02961	ctec:EC599_5401
ko:K02904	ctec:EC599_5411
ko:K02878	ctec:EC599_5421
ko:K02982	ctec:EC599_5431
ko:K02890	ctec:EC599_5441
ko:K02965	ctec:EC599_5451
ko:K02886	ctec:EC599_5461
ko:K02892	ctec:EC599_5471
ko:K02926	ctec:EC599_5481
ko:K02906	ctec:EC599_5491
ko:K02400	ctec:EC599_0631
ko:K02405	ctec:EC599_0641
ko:K01866	ctec:EC599_0651
ko:K00033	ctec:EC599_0661
ko:K03596	ctec:EC599_0671
ko:K03301	ctec:EC599_0681
ko:K11707	ctec:EC599_0701
ko:K11710	ctec:EC599_0711
ko:K11708	ctec:EC599_0721
ko:K11709	ctec:EC599_0731
ko:K00099	ctec:EC599_0741
ko:K03629	ctec:EC599_0771
ko:K02338	ctec:EC599_0781
ko:K03664	ctec:EC599_0791
ko:K03734	ctec:EC599_0801
ko:K01491	ctec:EC599_0811
ko:K02902	ctec:EC599_0891
ko:K00705	ctec:EC599_0901
ko:K04058	ctec:EC599_0921
ko:K03230	ctec:EC599_0931
ko:K03229	ctec:EC599_0941
ko:K06942	ctec:EC599_0951
ko:K11753	ctec:EC599_0961
ko:K03177	ctec:EC599_0971
ko:K02834	ctec:EC599_0981
ko:K02519	ctec:EC599_0991
ko:K02600	ctec:EC599_1001
ko:K02945	ctec:EC599_1011
ko:K00384	ctec:EC599_1021
ko:K00997	ctec:EC599_1031
ko:K00208	ctec:EC599_1071
ko:K06179	ctec:EC599_1091
ko:K03575	ctec:EC599_1101
ko:K04077	ctec:EC599_1131
ko:K04078	ctec:EC599_1141
ko:K08602	ctec:EC599_1151
ko:K03695	ctec:EC599_1161
ko:K01783	ctec:EC599_1241
ko:K02356	ctec:EC599_1251
ko:K02160	ctec:EC599_1261
ko:K01961	ctec:EC599_1271
ko:K02871	ctec:EC599_1281
ko:K02996	ctec:EC599_1291
ko:K00939	ctec:EC599_1311
ko:K02029	ctec:EC599_1321
ko:K02028	ctec:EC599_1331
ko:K07058	ctec:EC599_1351
ko:K06999	ctec:EC599_1391
ko:K07566	ctec:EC599_1401
ko:K02035	ctec:EC599_1421
ko:K09125	ctec:EC599_1431
ko:K07039	ctec:EC599_1441
ko:K01972	ctec:EC599_1511
ko:K06889	ctec:EC599_1541
ko:K02913	ctec:EC599_1551
ko:K09808	ctec:EC599_1561
ko:K09810	ctec:EC599_1571
ko:K00604	ctec:EC599_5511
ko:K00677	ctec:EC599_5521
ko:K02372	ctec:EC599_5531
ko:K02535	ctec:EC599_5541
ko:K03820	ctec:EC599_5551
ko:K02342	ctec:EC599_5571
ko:K06925	ctec:EC599_5581
ko:K03671	ctec:EC599_5601
ko:K03216	ctec:EC599_5611
ko:K01876	ctec:EC599_5631
ko:K01892	ctec:EC599_5641
ko:K07783	ctec:EC599_5651
ko:K02337	ctec:EC599_5661
ko:K07258	ctec:EC599_5721
ko:K03311	ctec:EC599_5751
ko:K00382	ctec:EC599_5781
ko:K03644	ctec:EC599_5791
ko:K03222	ctec:EC599_5801
ko:K03223	ctec:EC599_5821
ko:K03226	ctec:EC599_5831
ko:K03227	ctec:EC599_5841
ko:K03228	ctec:EC599_5851
ko:K02455	ctec:EC599_5911
ko:K02454	ctec:EC599_5921
ko:K02453	ctec:EC599_5931
ko:K01262	ctec:EC599_5951
ko:K03572	ctec:EC599_5961
ko:K01868	ctec:EC599_6021
ko:K01867	ctec:EC599_6061
ko:K03702	ctec:EC599_6071
ko:K01689	ctec:EC599_6081
ko:K07315	ctec:EC599_6091
ko:K03424	ctec:EC599_6151
ko:K04084	ctec:EC599_6161
ko:K03562	ctec:EC599_6171
ko:K03559	ctec:EC599_6181
ko:K03641	ctec:EC599_6201
ko:K03640	ctec:EC599_6211
ko:K03386	ctec:EC599_6241
ko:K02428	ctec:EC599_6271
ko:K03648	ctec:EC599_6291
ko:K03657	ctec:EC599_6301
ko:K03092	ctec:EC599_6311
ko:K06137	ctec:EC599_6321
ko:K13941	ctec:EC599_6351
ko:K01633	ctec:EC599_6361
ko:K03086	ctec:EC599_6371
ko:K02968	ctec:EC599_6391
ko:K03980	ctec:EC599_6461
ko:K01151	ctec:EC599_6471
ko:K02986	ctec:EC599_6481
ko:K07146	ctec:EC599_6491
ko:K13789	ctec:EC599_6501
ko:K01698	ctec:EC599_6561
ko:K00346	ctec:EC599_6571
ko:K03720	ctec:EC599_1721
ko:K01696	ctec:EC599_1731
ko:K01695	ctec:EC599_1741
ko:K02035	ctec:EC599_1771
ko:K03611	ctec:EC599_1781
ko:K02049	ctec:EC599_1821
ko:K00979	ctec:EC599_1841
ko:K01937	ctec:EC599_1851
ko:K07447	ctec:EC599_1861
ko:K00036	ctec:EC599_1871
ko:K01057	ctec:EC599_1881
ko:K02343	ctec:EC599_1891
ko:K00943	ctec:EC599_1901
ko:K02469	ctec:EC599_1911
ko:K02470	ctec:EC599_1921
ko:K00773	ctec:EC599_1951
ko:K06213	ctec:EC599_1961
ko:K01409	ctec:EC599_1991
ko:K15580	ctec:EC599_2001
ko:K15581	ctec:EC599_2011
ko:K15582	ctec:EC599_2021
ko:K10823	ctec:EC599_2031
ko:K15583	ctec:EC599_2041
ko:K03319	ctec:EC599_2061
ko:K00850	ctec:EC599_2071
ko:K06889	ctec:EC599_2081
ko:K00895	ctec:EC599_2091
ko:K02527	ctec:EC599_2101
ko:K01869	ctec:EC599_2111
ko:K01845	ctec:EC599_2121
ko:K07735	ctec:EC599_2131
ko:K08999	ctec:EC599_2141
ko:K01807	ctec:EC599_2151
ko:K03787	ctec:EC599_2201
ko:K03179	ctec:EC599_2211
ko:K03186	ctec:EC599_2221
ko:K03308	ctec:EC599_2361
ko:K02078	ctec:EC599_2411
ko:K00059	ctec:EC599_2421
ko:K00645	ctec:EC599_2431
ko:K00648	ctec:EC599_2441
ko:K06187	ctec:EC599_2451
ko:K07277	ctec:EC599_2461
ko:K06142	ctec:EC599_2471
ko:K02536	ctec:EC599_2481
ko:K00161	ctec:EC599_2501
ko:K00162	ctec:EC599_2511
