ko:K01139	kpa:KPNJ1_00116
ko:K00086	kpa:KPNJ1_00671
ko:K02487	kpa:KPNJ1_00782
ko:K03892	kpa:KPNJ1_00928
ko:K16238	kpa:KPNJ1_04394
ko:K02345	kpa:KPNJ1_05702
ko:K18922	kpa:KPNJ1_01147
ko:K06120	kpa:KPNJ1_00673
ko:K06884	kpa:KPNJ1_03497
ko:K09690	kpa:KPNJ1_01880
ko:K21908	kpa:KPNJ1_00679
ko:K02345	kpa:KPNJ1_02062
ko:K06122	kpa:KPNJ1_00675
ko:K06121	kpa:KPNJ1_00674
ko:K19271	kpa:KPNJ1_02449
ko:K03585	kpa:KPNJ1_00073
ko:K08348	kpa:KPNJ1_02610
ko:K15634	kpa:KPNJ1_02701
ko:K07481	kpa:KPNJ1_02186
ko:K00130	kpa:KPNJ1_00874
ko:K03111	kpa:KPNJ1_05143
ko:K07497	kpa:KPNJ1_05788
ko:K03111	kpa:KPNJ1_05700
ko:K18138	kpa:KPNJ1_00072
ko:K18139	kpa:KPNJ1_00071
ko:K03553	kpa:KPNJ1_01215
ko:K04772	kpa:KPNJ1_00517
ko:K00042	kpa:KPNJ1_00616
ko:K00146	kpa:KPNJ1_03034
ko:K02615	kpa:KPNJ1_03019
ko:K19611	kpa:KPNJ1_03264
ko:K03293	kpa:KPNJ1_02997
ko:K00526	kpa:KPNJ1_01706
ko:K01990	kpa:KPNJ1_00130
ko:K01990	kpa:KPNJ1_03762
ko:K19227	kpa:KPNJ1_03208
ko:K19230	kpa:KPNJ1_03211
ko:K18768	kpa:KPNJ1_05677
ko:K18828	kpa:KPNJ1_05731
ko:K19092	kpa:KPNJ1_05562
ko:K19611	kpa:KPNJ1_05140
ko:K19789	kpa:KPNJ1_01735
ko:K19745	kpa:KPNJ1_01972
ko:K00108	kpa:KPNJ1_04001
ko:K03446	kpa:KPNJ1_02716
ko:K04103	kpa:KPNJ1_01595
ko:K00001	kpa:KPNJ1_05391
ko:K21430	kpa:KPNJ1_03707
ko:K01007	kpa:KPNJ1_02294
ko:K08156	kpa:KPNJ1_02618
ko:K19586	kpa:KPNJ1_01280
ko:K07713	kpa:KPNJ1_05210
ko:K19164	kpa:KPNJ1_05773
ko:K00984	kpa:KPNJ1_05669
ko:K04753	kpa:KPNJ1_00733
ko:K00433	kpa:KPNJ1_01928
ko:K03293	kpa:KPNJ1_05297
ko:K02483	kpa:KPNJ1_02676
ko:K19587	kpa:KPNJ1_01278
ko:K18829	kpa:KPNJ1_05730
ko:K10914	kpa:KPNJ1_00394
ko:K07397	kpa:KPNJ1_00396
ko:K00855	kpa:KPNJ1_00397
ko:K09898	kpa:KPNJ1_00398
ko:K07019	kpa:KPNJ1_00399
ko:K06158	kpa:KPNJ1_00400
ko:K11747	kpa:KPNJ1_00402
ko:K07070	kpa:KPNJ1_00403
ko:K03775	kpa:KPNJ1_00404
ko:K03745	kpa:KPNJ1_00405
ko:K03772	kpa:KPNJ1_00406
ko:K07235	kpa:KPNJ1_00408
ko:K07236	kpa:KPNJ1_00409
ko:K07237	kpa:KPNJ1_00410
ko:K02950	kpa:KPNJ1_00411
ko:K02992	kpa:KPNJ1_00412
ko:K02355	kpa:KPNJ1_00413
ko:K02358	kpa:KPNJ1_00414
ko:K01126	kpa:KPNJ1_00320
ko:K02439	kpa:KPNJ1_00341
ko:K02441	kpa:KPNJ1_00342
ko:K02444	kpa:KPNJ1_00343
ko:K03556	kpa:KPNJ1_00344
