ko:K16235	bbre:B12L_0982
ko:K18205	bbre:B12L_0213
ko:K06147	bbre:B12L_1773
ko:K18955	bbre:B12L_0658
ko:K18955	bbre:B12L_0661
ko:K01802	bbre:B12L_0654
ko:K02483	bbre:B12L_1303
ko:K00991	bbre:B12L_1631
ko:K07005	bbre:B12L_0075
ko:K02075	bbre:B12L_0672
ko:K02074	bbre:B12L_0673
ko:K02077	bbre:B12L_0675
ko:K01491	bbre:B12L_0676
ko:K02945	bbre:B12L_0677
ko:K00859	bbre:B12L_0678
ko:K03702	bbre:B12L_0679
ko:K05794	bbre:B12L_0680
ko:K00873	bbre:B12L_0681
ko:K01515	bbre:B12L_0682
ko:K00800	bbre:B12L_0695
ko:K00925	bbre:B12L_0696
ko:K13788	bbre:B12L_0697
ko:K00948	bbre:B12L_0698
ko:K01951	bbre:B12L_0714
ko:K04042	bbre:B12L_0716
ko:K09710	bbre:B12L_0717
ko:K02073	bbre:B12L_0720
ko:K02071	bbre:B12L_0721
ko:K02072	bbre:B12L_0722
ko:K01950	bbre:B12L_0724
ko:K00939	bbre:B12L_1548
ko:K03076	bbre:B12L_1549
ko:K02876	bbre:B12L_1550
ko:K02907	bbre:B12L_1551
ko:K02988	bbre:B12L_1552
ko:K02881	bbre:B12L_1553
ko:K02933	bbre:B12L_1554
ko:K02994	bbre:B12L_1555
ko:K02954	bbre:B12L_1556
ko:K02931	bbre:B12L_1557
ko:K02895	bbre:B12L_1558
ko:K02874	bbre:B12L_1559
ko:K02961	bbre:B12L_1560
ko:K02904	bbre:B12L_1561
ko:K02878	bbre:B12L_1562
ko:K02982	bbre:B12L_1563
ko:K02890	bbre:B12L_1564
ko:K02965	bbre:B12L_1565
ko:K02886	bbre:B12L_1566
ko:K02892	bbre:B12L_1567
ko:K02926	bbre:B12L_1568
ko:K02906	bbre:B12L_1569
ko:K02946	bbre:B12L_1570
ko:K01575	bbre:B12L_1571
ko:K04072	bbre:B12L_1573
ko:K05351	bbre:B12L_1575
ko:K02996	bbre:B12L_1582
ko:K02871	bbre:B12L_1583
ko:K00705	bbre:B12L_1584
ko:K07282	bbre:B12L_1588
ko:K05350	bbre:B12L_1589
ko:K02026	bbre:B12L_1590
ko:K02025	bbre:B12L_1591
ko:K02027	bbre:B12L_1592
ko:K02529	bbre:B12L_1593
ko:K11939	bbre:B12L_1595
ko:K02346	bbre:B12L_1599
ko:K03294	bbre:B12L_1602
ko:K01867	bbre:B12L_0047
ko:K00688	bbre:B12L_0053
ko:K01664	bbre:B12L_0059
ko:K01278	bbre:B12L_0067
ko:K01048	bbre:B12L_0068
ko:K12267	bbre:B12L_0074
ko:K11068	bbre:B12L_0081
ko:K00773	bbre:B12L_0082
ko:K08372	bbre:B12L_0083
ko:K00528	bbre:B12L_0085
ko:K03799	bbre:B12L_0086
ko:K01624	bbre:B12L_0089
ko:K01939	bbre:B12L_0090
ko:K06199	bbre:B12L_0092
ko:K06199	bbre:B12L_0093
ko:K03484	bbre:B12L_0094
ko:K00690	bbre:B12L_0096
ko:K03484	bbre:B12L_0098
ko:K00053	bbre:B12L_0100
ko:K00053	bbre:B12L_0101
ko:K01187	bbre:B12L_0102
ko:K01091	bbre:B12L_0952
ko:K00765	bbre:B12L_0961
ko:K01523	bbre:B12L_0962
ko:K01783	bbre:B12L_0963
ko:K01695	bbre:B12L_0965
ko:K01696	bbre:B12L_0966
ko:K01151	bbre:B12L_0968
ko:K04127	bbre:B12L_0972
ko:K01657	bbre:B12L_0988
ko:K01496	bbre:B12L_0989
ko:K02500	bbre:B12L_0990
ko:K06941	bbre:B12L_0992
ko:K00981	bbre:B12L_0993
ko:K02838	bbre:B12L_0994
ko:K09903	bbre:B12L_0995
ko:K02357	bbre:B12L_0996
ko:K02967	bbre:B12L_0997
ko:K01462	bbre:B12L_0998
ko:K01897	bbre:B12L_0999
ko:K00088	bbre:B12L_1001
ko:K00031	bbre:B12L_1002
ko:K07154	bbre:B12L_1006
ko:K06999	bbre:B12L_1811
ko:K01494	bbre:B12L_1813
ko:K02803	bbre:B12L_1818
ko:K02804	bbre:B12L_1818
ko:K03218	bbre:B12L_1820
ko:K01792	bbre:B12L_1821
ko:K00965	bbre:B12L_1822
ko:K02529	bbre:B12L_1826
ko:K10439	bbre:B12L_1827
ko:K10441	bbre:B12L_1828
ko:K10440	bbre:B12L_1829
ko:K10112	bbre:B12L_1833
ko:K03710	bbre:B12L_1834
ko:K03475	bbre:B12L_1835
ko:K02822	bbre:B12L_1836
ko:K02821	bbre:B12L_1837
ko:K03647	bbre:B12L_1842
ko:K05349	bbre:B12L_1844
ko:K02528	bbre:B12L_1848
