ko:K02409	ctl:CTLon_0088
ko:K02412	ctl:CTLon_0086
ko:K00350	ctl:CTLon_0529
ko:K02411	ctl:CTLon_0087
ko:K03787	ctl:CTLon_0465
ko:K00162	ctl:CTLon_0494
ko:K01695	ctl:CTLon_0418
ko:K03587	ctl:CTLon_0518
ko:K00348	ctl:CTLon_0527
ko:K03629	ctl:CTLon_0325
ko:K03497	ctl:CTLon_0057
ko:K01876	ctl:CTLon_0799
ko:K00604	ctl:CTLon_0787
ko:K03686	ctl:CTLon_0593
ko:K03043	ctl:CTLon_0563
ko:K00349	ctl:CTLon_0528
ko:K07056	ctl:CTLon_0299
ko:K00164	ctl:CTLon_0305
ko:K05810	ctl:CTLon_0307
ko:K03526	ctl:CTLon_0308
ko:K02400	ctl:CTLon_0311
ko:K01866	ctl:CTLon_0313
ko:K00033	ctl:CTLon_0314
ko:K03596	ctl:CTLon_0315
ko:K03301	ctl:CTLon_0316
ko:K01262	ctl:CTLon_0831
ko:K02454	ctl:CTLon_0828
ko:K02453	ctl:CTLon_0829
ko:K03572	ctl:CTLon_0832
ko:K01868	ctl:CTLon_0838
ko:K03723	ctl:CTLon_0117
ko:K01872	ctl:CTLon_0118
ko:K00615	ctl:CTLon_0119
ko:K01241	ctl:CTLon_0120
ko:K02356	ctl:CTLon_0121
ko:K01929	ctl:CTLon_0125
ko:K01000	ctl:CTLon_0126
ko:K01925	ctl:CTLon_0127
ko:K03588	ctl:CTLon_0129
ko:K06960	ctl:CTLon_0132
ko:K00791	ctl:CTLon_0135
ko:K09710	ctl:CTLon_0138
ko:K09458	ctl:CTLon_0139
ko:K01507	ctl:CTLon_0141
ko:K00263	ctl:CTLon_0142
ko:K00655	ctl:CTLon_0144
ko:K04066	ctl:CTLon_0147
ko:K04567	ctl:CTLon_0150
ko:K01883	ctl:CTLon_0151
ko:K00208	ctl:CTLon_0355
ko:K02968	ctl:CTLon_0875
ko:K03980	ctl:CTLon_0882
ko:K01151	ctl:CTLon_0883
ko:K03311	ctl:CTLon_0811
ko:K00382	ctl:CTLon_0814
ko:K03644	ctl:CTLon_0815
ko:K02372	ctl:CTLon_0789
ko:K02535	ctl:CTLon_0790
ko:K02342	ctl:CTLon_0793
ko:K06925	ctl:CTLon_0794
ko:K03671	ctl:CTLon_0796
ko:K03216	ctl:CTLon_0797
ko:K07783	ctl:CTLon_0801
ko:K02337	ctl:CTLon_0802
ko:K07258	ctl:CTLon_0808
ko:K02806	ctl:CTLon_0538
ko:K02806	ctl:CTLon_0539
ko:K02965	ctl:CTLon_0781
ko:K02886	ctl:CTLon_0782
ko:K02892	ctl:CTLon_0783
ko:K02926	ctl:CTLon_0784
ko:K11707	ctl:CTLon_0318
ko:K11381	ctl:CTLon_0592
ko:K03648	ctl:CTLon_0865
ko:K02906	ctl:CTLon_0785
ko:K00677	ctl:CTLon_0788
ko:K03536	ctl:CTLon_0153
ko:K02914	ctl:CTLon_0154
ko:K02919	ctl:CTLon_0155
ko:K02954	ctl:CTLon_0156
ko:K03703	ctl:CTLon_0160
ko:K02316	ctl:CTLon_0163
ko:K00995	ctl:CTLon_0167
ko:K02897	ctl:CTLon_0169
ko:K02120	ctl:CTLon_0554
ko:K02990	ctl:CTLon_0171
ko:K02963	ctl:CTLon_0172
ko:K02939	ctl:CTLon_0173
ko:K00919	ctl:CTLon_0174
ko:K01520	ctl:CTLon_0540
ko:K03685	ctl:CTLon_0545
ko:K04485	ctl:CTLon_0546
ko:K01749	ctl:CTLon_0547
ko:K01873	ctl:CTLon_0550
ko:K02124	ctl:CTLon_0552
ko:K02123	ctl:CTLon_0553
ko:K02118	ctl:CTLon_0555
ko:K02117	ctl:CTLon_0556
ko:K00616	ctl:CTLon_0561
ko:K03046	ctl:CTLon_0562
ko:K02935	ctl:CTLon_0564
ko:K02864	ctl:CTLon_0565
ko:K02863	ctl:CTLon_0566
ko:K02867	ctl:CTLon_0567
ko:K02601	ctl:CTLon_0568
ko:K03073	ctl:CTLon_0569
ko:K01803	ctl:CTLon_0578
ko:K01662	ctl:CTLon_0582
ko:K00873	ctl:CTLon_0583
ko:K03701	ctl:CTLon_0584
ko:K09747	ctl:CTLon_0586
ko:K08483	ctl:CTLon_0587
ko:K02970	ctl:CTLon_0594
ko:K00784	ctl:CTLon_0598
ko:K01867	ctl:CTLon_0842
ko:K03702	ctl:CTLon_0843
ko:K01689	ctl:CTLon_0844
ko:K00240	ctl:CTLon_0848
ko:K00239	ctl:CTLon_0849
ko:K03424	ctl:CTLon_0851
ko:K03562	ctl:CTLon_0853
ko:K03559	ctl:CTLon_0854
ko:K02358	ctl:CTLon_0570
ko:K02518	ctl:CTLon_0571
ko:K03657	ctl:CTLon_0866
ko:K03092	ctl:CTLon_0867
ko:K00287	ctl:CTLon_0870
ko:K01633	ctl:CTLon_0872
ko:K03086	ctl:CTLon_0873
ko:K01596	ctl:CTLon_0079
ko:K00347	ctl:CTLon_0526
ko:K02469	ctl:CTLon_0436
ko:K01696	ctl:CTLon_0417
ko:K00346	ctl:CTLon_0002
ko:K00161	ctl:CTLon_0493
ko:K01962	ctl:CTLon_0513
ko:K03640	ctl:CTLon_0857
ko:K02405	ctl:CTLon_0312
ko:K00705	ctl:CTLon_0338
ko:K03168	ctl:CTLon_0011
ko:K06179	ctl:CTLon_0357
ko:K03575	ctl:CTLon_0358
ko:K06287	ctl:CTLon_0601
ko:K03075	ctl:CTLon_0604
ko:K01462	ctl:CTLon_0605
ko:K02528	ctl:CTLon_0606
ko:K06888	ctl:CTLon_0608
ko:K03523	ctl:CTLon_0611
ko:K01714	ctl:CTLon_0613
ko:K00928	ctl:CTLon_0614
ko:K00133	ctl:CTLon_0615
ko:K00800	ctl:CTLon_0618
ko:K00891	ctl:CTLon_0619
ko:K01736	ctl:CTLon_0620
ko:K01735	ctl:CTLon_0621
ko:K03758	ctl:CTLon_0626
ko:K01810	ctl:CTLon_0630
ko:K03665	ctl:CTLon_0631
ko:K06167	ctl:CTLon_0632
ko:K09996	ctl:CTLon_0633
