ko:K13613	bamf:U722_09010
ko:K01212	bamf:U722_20030
ko:K08153	bamf:U722_05460
ko:K21900	bamf:U722_18610
ko:K02277	bamf:U722_07845
ko:K15327	bamf:U722_08965
ko:K18924	bamf:U722_06890
ko:K22044	bamf:U722_07445
ko:K06979	bamf:U722_01460
ko:K05592	bamf:U722_19295
ko:K19689	bamf:U722_07550
ko:K03297	bamf:U722_02375
ko:K03297	bamf:U722_20135
ko:K11741	bamf:U722_03075
ko:K18924	bamf:U722_03080
ko:K19417	bamf:U722_16990
ko:K18939	bamf:U722_01540
ko:K18939	bamf:U722_17290
ko:K18926	bamf:U722_01535
ko:K01732	bamf:U722_19355
ko:K19427	bamf:U722_16940
ko:K07260	bamf:U722_10590
ko:K03296	bamf:U722_03535
ko:K18682	bamf:U722_08885
ko:K09022	bamf:U722_00310
ko:K07045	bamf:U722_16530
ko:K07045	bamf:U722_04575
ko:K07029	bamf:U722_03540
ko:K21064	bamf:U722_05665
ko:K11638	bamf:U722_03890
ko:K16235	bamf:U722_01430
ko:K01585	bamf:U722_07700
ko:K01990	bamf:U722_01250
ko:K01990	bamf:U722_04715
ko:K01990	bamf:U722_16410
ko:K18115	bamf:U722_10400
ko:K06187	bamf:U722_00150
ko:K06317	bamf:U722_00160
ko:K00943	bamf:U722_00210
ko:K09770	bamf:U722_00220
ko:K02341	bamf:U722_00225
ko:K07461	bamf:U722_00245
ko:K07056	bamf:U722_00250
ko:K06284	bamf:U722_00255
ko:K01874	bamf:U722_00260
ko:K03424	bamf:U722_00265
ko:K05985	bamf:U722_00275
ko:K02528	bamf:U722_00280
ko:K06436	bamf:U722_00285
ko:K06423	bamf:U722_00295
ko:K00919	bamf:U722_00300
ko:K09685	bamf:U722_00305
ko:K06412	bamf:U722_00315
ko:K04042	bamf:U722_00320
ko:K00948	bamf:U722_00325
ko:K02897	bamf:U722_00330
ko:K01056	bamf:U722_00335
ko:K03723	bamf:U722_00345
ko:K04769	bamf:U722_00350
ko:K02499	bamf:U722_00360
ko:K07571	bamf:U722_00385
ko:K06382	bamf:U722_00400
ko:K07114	bamf:U722_00405
ko:K04075	bamf:U722_00415
ko:K00760	bamf:U722_00420
ko:K03798	bamf:U722_00425
ko:K03525	bamf:U722_00430
ko:K04083	bamf:U722_00435
ko:K01738	bamf:U722_00445
ko:K01665	bamf:U722_00450
ko:K01664	bamf:U722_00455
ko:K11145	bamf:U722_00610
ko:K03218	bamf:U722_00615
ko:K06962	bamf:U722_00620
ko:K03091	bamf:U722_00625
ko:K02913	bamf:U722_00630
ko:K03073	bamf:U722_00635
ko:K02601	bamf:U722_00640
ko:K02867	bamf:U722_00645
ko:K02863	bamf:U722_00650
ko:K02864	bamf:U722_00655
ko:K02935	bamf:U722_00660
ko:K00564	bamf:U722_00665
ko:K03043	bamf:U722_00670
ko:K03046	bamf:U722_00675
ko:K07590	bamf:U722_00680
ko:K02950	bamf:U722_00685
ko:K02992	bamf:U722_00690
ko:K02355	bamf:U722_00695
ko:K02358	bamf:U722_00700
ko:K02946	bamf:U722_00710
ko:K02906	bamf:U722_00715
ko:K02926	bamf:U722_00720
ko:K02892	bamf:U722_00725
ko:K02886	bamf:U722_00730
ko:K02965	bamf:U722_00735
ko:K02890	bamf:U722_00740
ko:K02982	bamf:U722_00745
ko:K02878	bamf:U722_00750
ko:K02904	bamf:U722_00755
ko:K02961	bamf:U722_00760
ko:K02895	bamf:U722_00770
ko:K02931	bamf:U722_00775
ko:K02954	bamf:U722_00780
ko:K02994	bamf:U722_00785
ko:K02933	bamf:U722_00790
ko:K02881	bamf:U722_00795
ko:K02988	bamf:U722_00800
ko:K02907	bamf:U722_00805
ko:K02876	bamf:U722_00810
ko:K03076	bamf:U722_00815
ko:K00939	bamf:U722_00820
ko:K02874	bamf:U722_00765
ko:K00796	bamf:U722_00465
ko:K01633	bamf:U722_00470
ko:K00950	bamf:U722_00475
ko:K04567	bamf:U722_00490
ko:K03708	bamf:U722_00550
ko:K03696	bamf:U722_00565
ko:K04485	bamf:U722_00570
ko:K07067	bamf:U722_00575
ko:K00991	bamf:U722_00585
ko:K01770	bamf:U722_00590
ko:K09698	bamf:U722_00595
ko:K00640	bamf:U722_00600
ko:K01883	bamf:U722_00605
ko:K02313	bamf:U722_00005
ko:K02338	bamf:U722_00010
ko:K03629	bamf:U722_00020
ko:K02470	bamf:U722_00030
ko:K02469	bamf:U722_00035
ko:K00088	bamf:U722_00070
ko:K07258	bamf:U722_00075
ko:K06215	bamf:U722_00080
ko:K08681	bamf:U722_00085
ko:K01875	bamf:U722_00090
ko:K00865	bamf:U722_00095
ko:K15519	bamf:U722_00110
ko:K15518	bamf:U722_00115
ko:K06306	bamf:U722_00125
ko:K11991	bamf:U722_00135
ko:K02343	bamf:U722_00140
ko:K09747	bamf:U722_00145
ko:K03088	bamf:U722_01160
ko:K03431	bamf:U722_01180
ko:K00820	bamf:U722_01185
ko:K01990	bamf:U722_01190
ko:K06518	bamf:U722_01220
ko:K01560	bamf:U722_01235
ko:K01992	bamf:U722_01255
ko:K01992	bamf:U722_01260
ko:K00645	bamf:U722_01280
ko:K01126	bamf:U722_01340
ko:K02445	bamf:U722_01345
ko:K00483	bamf:U722_01355
ko:K08317	bamf:U722_01380
ko:K08289	bamf:U722_01385
ko:K17103	bamf:U722_01390
ko:K01613	bamf:U722_01400
ko:K07146	bamf:U722_01410
ko:K11102	bamf:U722_01415
ko:K00826	bamf:U722_01425
ko:K00547	bamf:U722_01435
ko:K11626	bamf:U722_01440
ko:K01425	bamf:U722_01445
ko:K07717	bamf:U722_01450
ko:K07719	bamf:U722_01455
ko:K15976	bamf:U722_01475
ko:K15975	bamf:U722_01480
ko:K15977	bamf:U722_01485
ko:K01449	bamf:U722_01500
ko:K01113	bamf:U722_01510
ko:K03116	bamf:U722_01515
ko:K03118	bamf:U722_01520
ko:K01304	bamf:U722_01525
ko:K01424	bamf:U722_01550
ko:K07039	bamf:U722_01560
ko:K00034	bamf:U722_01595
ko:K01182	bamf:U722_01600
ko:K09815	bamf:U722_01605
ko:K09817	bamf:U722_01610
ko:K09816	bamf:U722_01615
ko:K05795	bamf:U722_01630
ko:K05795	bamf:U722_01635
ko:K08369	bamf:U722_01655
ko:K02000	bamf:U722_01660
ko:K02001	bamf:U722_01665
ko:K02002	bamf:U722_01670
ko:K14665	bamf:U722_01675
ko:K01176	bamf:U722_01690
ko:K00016	bamf:U722_01695
ko:K09190	bamf:U722_01715
ko:K09967	bamf:U722_01725
ko:K01916	bamf:U722_01730
ko:K15652	bamf:U722_01745
ko:K08194	bamf:U722_01750
ko:K00891	bamf:U722_01755
ko:K01060	bamf:U722_01760
ko:K07074	bamf:U722_01765
ko:K00318	bamf:U722_01770
ko:K00294	bamf:U722_01775
ko:K11928	bamf:U722_01780
ko:K13542	bamf:U722_01795
ko:K00363	bamf:U722_01800
ko:K00362	bamf:U722_01805
ko:K00121	bamf:U722_01820
ko:K08094	bamf:U722_01855
ko:K08093	bamf:U722_01860
ko:K15656	bamf:U722_01880
ko:K15657	bamf:U722_01885
ko:K06133	bamf:U722_01900
ko:K10010	bamf:U722_01910
ko:K10009	bamf:U722_01915
ko:K02424	bamf:U722_01920
ko:K03186	bamf:U722_01930
ko:K03305	bamf:U722_01950
ko:K06295	bamf:U722_01965
ko:K06297	bamf:U722_01970
ko:K06296	bamf:U722_01975
ko:K16961	bamf:U722_01990
ko:K16962	bamf:U722_01995
ko:K16963	bamf:U722_02000
ko:K02003	bamf:U722_02015
ko:K02004	bamf:U722_02020
ko:K00928	bamf:U722_02050
ko:K02015	bamf:U722_02055
ko:K02015	bamf:U722_02060
ko:K02013	bamf:U722_02065
ko:K02016	bamf:U722_02070
ko:K00375	bamf:U722_02100
ko:K07250	bamf:U722_02105
ko:K00135	bamf:U722_02110
ko:K05340	bamf:U722_02120
ko:K00034	bamf:U722_02125
ko:K14166	bamf:U722_02135
ko:K02799	bamf:U722_02150
ko:K02800	bamf:U722_02150
ko:K02798	bamf:U722_02155
ko:K00009	bamf:U722_02160
ko:K02372	bamf:U722_02165
ko:K07160	bamf:U722_02180
ko:K06351	bamf:U722_02195
ko:K06350	bamf:U722_02200
ko:K03817	bamf:U722_02255
ko:K00158	bamf:U722_02320
ko:K03322	bamf:U722_02350
ko:K07217	bamf:U722_02400
ko:K11692	bamf:U722_02415
ko:K11103	bamf:U722_02420
ko:K01990	bamf:U722_02430
ko:K01921	bamf:U722_02470
ko:K01929	bamf:U722_02475
ko:K05592	bamf:U722_02485
