ko:K01006	lmos:LMOSLCC7179_1840
ko:K01699	lmos:LMOSLCC7179_1120
ko:K22010	lmos:LMOSLCC7179_1140
ko:K11051	lmos:LMOSLCC7179_0968
ko:K05350	lmos:LMOSLCC7179_0359
ko:K11741	lmos:LMOSLCC7179_0830
ko:K11741	lmos:LMOSLCC7179_0831
ko:K02821	lmos:LMOSLCC7179_2621
ko:K18926	lmos:LMOSLCC7179_0494
ko:K01791	lmos:LMOSLCC7179_2449
ko:K16509	lmos:LMOSLCC7179_2169
ko:K03699	lmos:LMOSLCC7179_2710
ko:K06198	lmos:LMOSLCC7179_2167
ko:K16511	lmos:LMOSLCC7179_2168
ko:K01845	lmos:LMOSLCC7179_1658
ko:K10780	lmos:LMOSLCC7179_1662
ko:K03575	lmos:LMOSLCC7179_1663
ko:K07038	lmos:LMOSLCC7179_1664
ko:K03565	lmos:LMOSLCC7179_1667
ko:K07071	lmos:LMOSLCC7179_1668
ko:K14205	lmos:LMOSLCC7179_1669
ko:K03790	lmos:LMOSLCC7179_1672
ko:K07058	lmos:LMOSLCC7179_1680
ko:K01265	lmos:LMOSLCC7179_1683
ko:K03839	lmos:LMOSLCC7179_1684
ko:K03569	lmos:LMOSLCC7179_1687
ko:K02759	lmos:LMOSLCC7179_1691
ko:K02760	lmos:LMOSLCC7179_1692
ko:K03695	lmos:LMOSLCC7179_2184
ko:K06890	lmos:LMOSLCC7179_2185
ko:K01772	lmos:LMOSLCC7179_2189
ko:K01599	lmos:LMOSLCC7179_2190
ko:K02503	lmos:LMOSLCC7179_2194
ko:K03924	lmos:LMOSLCC7179_0438
ko:K09703	lmos:LMOSLCC7179_0441
ko:K06885	lmos:LMOSLCC7179_0445
ko:K06941	lmos:LMOSLCC7179_0454
ko:K13653	lmos:LMOSLCC7179_0455
ko:K02911	lmos:LMOSLCC7179_0459
ko:K00014	lmos:LMOSLCC7179_0463
ko:K03785	lmos:LMOSLCC7179_0464
ko:K06978	lmos:LMOSLCC7179_0466
ko:K07726	lmos:LMOSLCC7179_0712
ko:K02529	lmos:LMOSLCC7179_0713
ko:K01783	lmos:LMOSLCC7179_0714
ko:K01808	lmos:LMOSLCC7179_0715
ko:K01223	lmos:LMOSLCC7179_0718
ko:K15975	lmos:LMOSLCC7179_0736
ko:K06999	lmos:LMOSLCC7179_0737
ko:K03665	lmos:LMOSLCC7179_0739
ko:K03800	lmos:LMOSLCC7179_0741
ko:K02760	lmos:LMOSLCC7179_0894
ko:K02761	lmos:LMOSLCC7179_0895
ko:K02759	lmos:LMOSLCC7179_0896
ko:K01223	lmos:LMOSLCC7179_0897
ko:K07089	lmos:LMOSLCC7179_0900
ko:K03652	lmos:LMOSLCC7179_0908
ko:K03800	lmos:LMOSLCC7179_0911
ko:K03216	lmos:LMOSLCC7179_0915
ko:K04079	lmos:LMOSLCC7179_0922
