ko:K18929	hpn:HPIN_00665
ko:K19302	hpn:HPIN_02355
ko:K18928	hpn:HPIN_00670
ko:K07316	hpn:HPIN_07260
ko:K07316	hpn:HPIN_01170
ko:K18682	hpn:HPIN_02815
ko:K04773	hpn:HPIN_07955
ko:K01433	hpn:HPIN_07960
ko:K01154	hpn:HPIN_07965
ko:K02528	hpn:HPIN_07985
ko:K06041	hpn:HPIN_07995
ko:K06941	hpn:HPIN_08000
ko:K01870	hpn:HPIN_08035
ko:K02412	hpn:HPIN_08045
ko:K02420	hpn:HPIN_08050
ko:K00075	hpn:HPIN_08055
ko:K00833	hpn:HPIN_04980
ko:K03770	hpn:HPIN_04985
ko:K03590	hpn:HPIN_04990
ko:K03531	hpn:HPIN_04995
ko:K02841	hpn:HPIN_01265
ko:K02517	hpn:HPIN_01270
ko:K00773	hpn:HPIN_01275
ko:K09944	hpn:HPIN_01280
ko:K01735	hpn:HPIN_01285
ko:K01586	hpn:HPIN_01320
ko:K01163	hpn:HPIN_01330
ko:K02397	hpn:HPIN_01345
ko:K02888	hpn:HPIN_01350
ko:K02899	hpn:HPIN_01355
ko:K12368	hpn:HPIN_01360
ko:K12370	hpn:HPIN_01370
ko:K12372	hpn:HPIN_01380
ko:K03979	hpn:HPIN_01385
ko:K01845	hpn:HPIN_01400
ko:K07226	hpn:HPIN_01445
ko:K01887	hpn:HPIN_01450
ko:K03116	hpn:HPIN_01455
ko:K00942	hpn:HPIN_01460
ko:K02393	hpn:HPIN_01480
ko:K00912	hpn:HPIN_01500
ko:K00053	hpn:HPIN_01510
ko:K03609	hpn:HPIN_01515
ko:K03608	hpn:HPIN_01520
ko:K04096	hpn:HPIN_01525
ko:K07447	hpn:HPIN_01530
ko:K01839	hpn:HPIN_05880
ko:K08159	hpn:HPIN_05915
ko:K00648	hpn:HPIN_05955
ko:K03621	hpn:HPIN_05960
ko:K02911	hpn:HPIN_05965
ko:K00940	hpn:HPIN_05975
ko:K00789	hpn:HPIN_05980
ko:K02536	hpn:HPIN_06160
ko:K00208	hpn:HPIN_06165
ko:K01803	hpn:HPIN_06170
ko:K03595	hpn:HPIN_04315
ko:K03667	hpn:HPIN_04320
ko:K01419	hpn:HPIN_04325
ko:K02939	hpn:HPIN_04330
ko:K01915	hpn:HPIN_04345
ko:K00215	hpn:HPIN_04355
ko:K02470	hpn:HPIN_04390
ko:K02338	hpn:HPIN_04395
ko:K01058	hpn:HPIN_04400
ko:K03308	hpn:HPIN_04405
ko:K03308	hpn:HPIN_04410
ko:K07107	hpn:HPIN_04415
ko:K01925	hpn:HPIN_04425
ko:K01000	hpn:HPIN_04430
ko:K15846	hpn:HPIN_04435
ko:K02902	hpn:HPIN_04440
ko:K03070	hpn:HPIN_02670
ko:K03634	hpn:HPIN_02675
ko:K01682	hpn:HPIN_02700
ko:K09903	hpn:HPIN_02710
ko:K03060	hpn:HPIN_02715
ko:K01866	hpn:HPIN_02725
ko:K00459	hpn:HPIN_02730
ko:K01448	hpn:HPIN_02735
ko:K02401	hpn:HPIN_02745
ko:K03752	hpn:HPIN_02755
ko:K03639	hpn:HPIN_02760
ko:K06940	hpn:HPIN_02795
ko:K03110	hpn:HPIN_02800
ko:K07084	hpn:HPIN_02830
ko:K12251	hpn:HPIN_02840
ko:K02422	hpn:HPIN_02860
ko:K02407	hpn:HPIN_02865
ko:K09811	hpn:HPIN_02880
ko:K09812	hpn:HPIN_02885
ko:K03439	hpn:HPIN_02890
ko:K06180	hpn:HPIN_02900
ko:K05837	hpn:HPIN_02920
ko:K00948	hpn:HPIN_02925
ko:K01929	hpn:HPIN_02935
ko:K01921	hpn:HPIN_02945
ko:K01095	hpn:HPIN_02950
ko:K01173	hpn:HPIN_07255
ko:K01012	hpn:HPIN_07275
ko:K07058	hpn:HPIN_07280
ko:K09457	hpn:HPIN_07315
ko:K09710	hpn:HPIN_07320
ko:K00791	hpn:HPIN_07325
ko:K03841	hpn:HPIN_07355
ko:K01783	hpn:HPIN_07360
ko:K03631	hpn:HPIN_07390
ko:K00858	hpn:HPIN_07395
ko:K00259	hpn:HPIN_07410
ko:K01476	hpn:HPIN_07415
ko:K07043	hpn:HPIN_07430
ko:K01153	hpn:HPIN_07435
ko:K03427	hpn:HPIN_07440
ko:K01154	hpn:HPIN_07445
ko:K00820	hpn:HPIN_07460
ko:K02313	hpn:HPIN_07475
ko:K01142	hpn:HPIN_07485
ko:K03655	hpn:HPIN_07500
ko:K08602	hpn:HPIN_02100
ko:K02020	hpn:HPIN_02115
ko:K06207	hpn:HPIN_02160
ko:K03781	hpn:HPIN_02185
ko:K01159	hpn:HPIN_02225
ko:K03781	hpn:HPIN_02235
ko:K06193	hpn:HPIN_02250
ko:K01521	hpn:HPIN_02260
ko:K02390	hpn:HPIN_02265
ko:K04651	hpn:HPIN_02270
ko:K00748	hpn:HPIN_02280
ko:K03624	hpn:HPIN_02285
ko:K03525	hpn:HPIN_02305
ko:K09792	hpn:HPIN_02310
ko:K03273	hpn:HPIN_02315
ko:K03274	hpn:HPIN_02320
ko:K03272	hpn:HPIN_02325
ko:K03271	hpn:HPIN_02330
ko:K00364	hpn:HPIN_02340
ko:K09805	hpn:HPIN_02350
ko:K03427	hpn:HPIN_02360
ko:K01154	hpn:HPIN_02365
ko:K01153	hpn:HPIN_02370
ko:K00878	hpn:HPIN_02375
ko:K00941	hpn:HPIN_02380
ko:K00788	hpn:HPIN_02385
ko:K00338	hpn:HPIN_06695
ko:K00339	hpn:HPIN_06700
ko:K00340	hpn:HPIN_06705
ko:K00341	hpn:HPIN_06710
ko:K00342	hpn:HPIN_06715
ko:K00343	hpn:HPIN_06720
ko:K15778	hpn:HPIN_06730
ko:K01695	hpn:HPIN_06735
ko:K01696	hpn:HPIN_06740
ko:K13498	hpn:HPIN_06745
ko:K00766	hpn:HPIN_06750
ko:K01657	hpn:HPIN_06760
ko:K03707	hpn:HPIN_06780
ko:K03811	hpn:HPIN_06795
ko:K02879	hpn:HPIN_06810
ko:K03040	hpn:HPIN_06815
ko:K02986	hpn:HPIN_06820
ko:K02948	hpn:HPIN_06825
ko:K02952	hpn:HPIN_06830
ko:K02919	hpn:HPIN_06835
ko:K02518	hpn:HPIN_06840
ko:K01265	hpn:HPIN_06845
ko:K03076	hpn:HPIN_06850
ko:K02876	hpn:HPIN_06855
ko:K02988	hpn:HPIN_06860
ko:K02881	hpn:HPIN_06865
ko:K02933	hpn:HPIN_06870
ko:K02994	hpn:HPIN_06875
ko:K02954	hpn:HPIN_06880
ko:K02931	hpn:HPIN_06885
