ko:K18928	btd:BTI_4410
ko:K18094	btd:BTI_2084
ko:K00477	btd:BTI_3544
ko:K00529	btd:BTI_5725
ko:K18333	btd:BTI_5612
ko:K07005	btd:BTI_5544
ko:K10111	btd:BTI_3507
ko:K14742	btd:BTI_1446
ko:K21029	btd:BTI_3292
ko:K03297	btd:BTI_2140
ko:K02487	btd:BTI_2188
ko:K17207	btd:BTI_4470
ko:K16238	btd:BTI_189
ko:K18129	btd:BTI_2085
ko:K04771	btd:BTI_1864
ko:K07045	btd:BTI_4941
ko:K18100	btd:BTI_3858
ko:K11741	btd:BTI_2671
ko:K15634	btd:BTI_702
ko:K05799	btd:BTI_661
ko:K18336	btd:BTI_5611
ko:K18139	btd:BTI_2082
ko:K09691	btd:BTI_924
ko:K09691	btd:BTI_927
ko:K06893	btd:BTI_75
ko:K01992	btd:BTI_427
ko:K18249	btd:BTI_5105
ko:K16320	btd:BTI_5103
ko:K03559	btd:BTI_4356
ko:K03559	btd:BTI_1856
ko:K03417	btd:BTI_4523
ko:K12308	btd:BTI_2264
ko:K03559	btd:BTI_669
ko:K07245	btd:BTI_3090
ko:K03559	btd:BTI_4801
ko:K03559	btd:BTI_4802
ko:K01977	btd:BTI_326
ko:K01977	btd:BTI_562
ko:K01977	btd:BTI_2601
ko:K01977	btd:BTI_4379
ko:K14234	btd:BTI_335
ko:K10441	btd:BTI_5843
ko:K17228	btd:BTI_5282
ko:K11070	btd:BTI_8
ko:K11070	btd:BTI_4602
ko:K17317	btd:BTI_1013
ko:K02226	btd:BTI_2846
ko:K14224	btd:BTI_1431
ko:K14224	btd:BTI_1433
ko:K01985	btd:BTI_331
ko:K01985	btd:BTI_567
ko:K01985	btd:BTI_4375
ko:K01985	btd:BTI_2596
ko:K00146	btd:BTI_5687
ko:K17316	btd:BTI_1012
ko:K01990	btd:BTI_5625
ko:K02058	btd:BTI_2387
ko:K17206	btd:BTI_4469
ko:K10439	btd:BTI_2076
ko:K02616	btd:BTI_68
ko:K01999	btd:BTI_77
ko:K01997	btd:BTI_78
ko:K01998	btd:BTI_79
ko:K01995	btd:BTI_80
ko:K01996	btd:BTI_81
ko:K07649	btd:BTI_88
ko:K02421	btd:BTI_95
ko:K02420	btd:BTI_96
ko:K02419	btd:BTI_97
ko:K02418	btd:BTI_98
ko:K02417	btd:BTI_99
ko:K02416	btd:BTI_100
ko:K02415	btd:BTI_101
ko:K03446	btd:BTI_105
ko:K02462	btd:BTI_110
ko:K02461	btd:BTI_111
ko:K02460	btd:BTI_112
ko:K02459	btd:BTI_113
ko:K02458	btd:BTI_114
ko:K01428	btd:BTI_947
ko:K01429	btd:BTI_948
ko:K01430	btd:BTI_949
ko:K03190	btd:BTI_950
ko:K11963	btd:BTI_951
ko:K11962	btd:BTI_952
ko:K11961	btd:BTI_953
ko:K11960	btd:BTI_954
ko:K11959	btd:BTI_955
ko:K00822	btd:BTI_956
ko:K00573	btd:BTI_958
ko:K06153	btd:BTI_962
ko:K03439	btd:BTI_963
ko:K00303	btd:BTI_965
ko:K02053	btd:BTI_968
ko:K02054	btd:BTI_969
ko:K06199	btd:BTI_986
ko:K02221	btd:BTI_988
ko:K14267	btd:BTI_1462
ko:K03529	btd:BTI_1464
ko:K01972	btd:BTI_1466
ko:K01462	btd:BTI_1467
ko:K06182	btd:BTI_1468
ko:K00990	btd:BTI_1469
ko:K01265	btd:BTI_1470
ko:K02967	btd:BTI_1471
ko:K02357	btd:BTI_1472
ko:K09903	btd:BTI_1473
ko:K02838	btd:BTI_1474
ko:K00806	btd:BTI_1475
ko:K00981	btd:BTI_1476
ko:K00099	btd:BTI_1477
ko:K11749	btd:BTI_1478
ko:K07277	btd:BTI_1479
ko:K06142	btd:BTI_1480
ko:K02536	btd:BTI_1481
ko:K02372	btd:BTI_1482
ko:K00677	btd:BTI_1483
ko:K00748	btd:BTI_1484
ko:K03470	btd:BTI_1485
ko:K03437	btd:BTI_1486
ko:K00658	btd:BTI_2306
ko:K00164	btd:BTI_2307
ko:K06207	btd:BTI_2308
ko:K03543	btd:BTI_2311
ko:K03446	btd:BTI_2312
ko:K02834	btd:BTI_2314
ko:K02519	btd:BTI_2315
ko:K02600	btd:BTI_2316
ko:K09748	btd:BTI_2317
ko:K06178	btd:BTI_2318
ko:K06024	btd:BTI_2319
ko:K07287	btd:BTI_2328
ko:K04764	btd:BTI_2336
ko:K01890	btd:BTI_2337
ko:K01889	btd:BTI_2338
ko:K02887	btd:BTI_2339
ko:K02916	btd:BTI_2340
ko:K02520	btd:BTI_2341
ko:K01868	btd:BTI_2342
ko:K01029	btd:BTI_2347
ko:K01028	btd:BTI_2348
ko:K07107	btd:BTI_2352
ko:K00311	btd:BTI_2354
ko:K01736	btd:BTI_2355
ko:K07058	btd:BTI_2359
ko:K01754	btd:BTI_3155
ko:K06879	btd:BTI_3156
ko:K06015	btd:BTI_3158
ko:K01753	btd:BTI_3160
ko:K05520	btd:BTI_3161
ko:K01991	btd:BTI_3169
ko:K09136	btd:BTI_3187
ko:K03701	btd:BTI_3202
ko:K01433	btd:BTI_3204
ko:K00759	btd:BTI_3207
ko:K03230	btd:BTI_4022
ko:K03221	btd:BTI_4027
ko:K08677	btd:BTI_4041
ko:K03306	btd:BTI_4045
ko:K09990	btd:BTI_4046
ko:K15552	btd:BTI_4051
ko:K15551	btd:BTI_4053
ko:K03119	btd:BTI_4054
ko:K00694	btd:BTI_4057
ko:K07154	btd:BTI_4065
ko:K12511	btd:BTI_4885
ko:K12510	btd:BTI_4886
ko:K02283	btd:BTI_4887
ko:K02282	btd:BTI_4888
ko:K02280	btd:BTI_4893
ko:K02279	btd:BTI_4894
ko:K02278	btd:BTI_4896
ko:K02651	btd:BTI_4897
ko:K02651	btd:BTI_4898
ko:K07169	btd:BTI_4907
ko:K11906	btd:BTI_4909
ko:K11893	btd:BTI_4910
ko:K11892	btd:BTI_4911
ko:K11891	btd:BTI_4912
ko:K11890	btd:BTI_4913
ko:K11902	btd:BTI_4915
ko:K11900	btd:BTI_4917
ko:K11897	btd:BTI_4919
ko:K11896	btd:BTI_4920
ko:K11895	btd:BTI_4921
ko:K11907	btd:BTI_4922
ko:K07403	btd:BTI_5427
ko:K01895	btd:BTI_5431
ko:K00140	btd:BTI_5432
ko:K05685	btd:BTI_5437
ko:K13888	btd:BTI_5438
ko:K01166	btd:BTI_5440
ko:K01425	btd:BTI_5442
ko:K07152	btd:BTI_5443
ko:K03100	btd:BTI_5859
ko:K09129	btd:BTI_5860
ko:K01738	btd:BTI_5861
ko:K06895	btd:BTI_992
ko:K03182	btd:BTI_993
ko:K03625	btd:BTI_996
ko:K00794	btd:BTI_997
ko:K14652	btd:BTI_998
ko:K00793	btd:BTI_999
ko:K09780	btd:BTI_1817
ko:K13954	btd:BTI_1836
ko:K02458	btd:BTI_1837
ko:K02459	btd:BTI_1838
ko:K02455	btd:BTI_1844
ko:K02457	btd:BTI_1845
ko:K03088	btd:BTI_1847
ko:K02460	btd:BTI_1852
ko:K03561	btd:BTI_1855
ko:K02529	btd:BTI_1868
ko:K01805	btd:BTI_1869
ko:K10543	btd:BTI_1870
ko:K10545	btd:BTI_1871
ko:K01546	btd:BTI_2677
