ko:K01154	saw:SAHV_0430
ko:K04042	saw:SAHV_0496
ko:K07213	saw:SAHV_2542
ko:K07462	saw:SAHV_1623
ko:K01546	saw:SAHV_0071
ko:K01548	saw:SAHV_0073
ko:K05339	saw:SAHV_0262
ko:K03816	saw:SAHV_0385
ko:K03545	saw:SAHV_1662
ko:K09762	saw:SAHV_0764
ko:K05366	saw:SAHV_1438
ko:K02904	saw:SAHV_2226
ko:K01962	saw:SAHV_1686
ko:K02836	saw:SAHV_0751
ko:K07094	saw:SAHV_1891
ko:K01695	saw:SAHV_1361
ko:K01696	saw:SAHV_1360
ko:K07705	saw:SAHV_0260
ko:K10773	saw:SAHV_1440
ko:K10851	saw:SAHV_2377
ko:K10850	saw:SAHV_2372
ko:K00833	saw:SAHV_2410
ko:K10682	saw:SAHV_0703
ko:K02601	saw:SAHV_0533
ko:K00794	saw:SAHV_1753
ko:K03601	saw:SAHV_1511
ko:K02931	saw:SAHV_2222
ko:K03624	saw:SAHV_1597
ko:K01547	saw:SAHV_0072
ko:K03784	saw:SAHV_2122
ko:K00954	saw:SAHV_1116
ko:K01876	saw:SAHV_1617
ko:K01657	saw:SAHV_1355
ko:K05338	saw:SAHV_0261
ko:K03707	saw:SAHV_2079
ko:K02786	saw:SAHV_2175
ko:K01548	saw:SAHV_2060
ko:K03784	saw:SAHV_0135
ko:K00609	saw:SAHV_1190
ko:K03346	saw:SAHV_1671
ko:K03500	saw:SAHV_1207
ko:K03497	saw:SAHV_0357
ko:K03629	saw:SAHV_0004
ko:K07455	saw:SAHV_1971
ko:K01652	saw:SAHV_2039
ko:K01246	saw:SAHV_1651
ko:K03785	saw:SAHV_0825
ko:K09699	saw:SAHV_1503
ko:K03652	saw:SAHV_2328
ko:K01963	saw:SAHV_1687
ko:K02160	saw:SAHV_1515
ko:K03572	saw:SAHV_1286
ko:K10681	saw:SAHV_0702
ko:K03648	saw:SAHV_0579
ko:K11039	saw:SAHV_2020
ko:K00052	saw:SAHV_2043
ko:K00925	saw:SAHV_1697
ko:K02863	saw:SAHV_0536
ko:K07681	saw:SAHV_1870
ko:K00133	saw:SAHV_1382
ko:K01223	saw:SAHV_0265
ko:K03293	saw:SAHV_2300
ko:K03294	saw:SAHV_2587
ko:K07683	saw:SAHV_2376
ko:K07696	saw:SAHV_2375
ko:K03665	saw:SAHV_1296
ko:K00370	saw:SAHV_2381
ko:K00371	saw:SAHV_2380
ko:K02114	saw:SAHV_2086
ko:K01635	saw:SAHV_2176
ko:K04517	saw:SAHV_1353
ko:K03550	saw:SAHV_1629
ko:K01880	saw:SAHV_1552
ko:K00373	saw:SAHV_2379
ko:K11043	saw:SAHV_1997
ko:K01902	saw:SAHV_1236
ko:K02519	saw:SAHV_1259
ko:K00962	saw:SAHV_1264
ko:K01610	saw:SAHV_1776
ko:K00162	saw:SAHV_1086
ko:K19079	saw:SAHV_0658
ko:K00963	saw:SAHV_2484
ko:K00567	saw:SAHV_2531
ko:K07042	saw:SAHV_1557
ko:K01756	saw:SAHV_1893
ko:K03110	saw:SAHV_1225
ko:K10209	saw:SAHV_2545
ko:K09936	saw:SAHV_0615
ko:K00226	saw:SAHV_2573
ko:K03169	saw:SAHV_2238
ko:K01733	saw:SAHV_1318
ko:K02470	saw:SAHV_0005
ko:K03470	saw:SAHV_1234
ko:K02803	saw:SAHV_1712
ko:K02804	saw:SAHV_1712
ko:K03168	saw:SAHV_1240
ko:K06180	saw:SAHV_1187
ko:K06180	saw:SAHV_1835
ko:K01653	saw:SAHV_2040
ko:K03315	saw:SAHV_2285
ko:K06187	saw:SAHV_0477
ko:K04567	saw:SAHV_0514
ko:K02864	saw:SAHV_0537
ko:K09747	saw:SAHV_0476
ko:K02963	saw:SAHV_0364
ko:K01923	saw:SAHV_1058
ko:K02809	saw:SAHV_2361
ko:K02810	saw:SAHV_2361
ko:K09022	saw:SAHV_0494
ko:K07461	saw:SAHV_0485
ko:K03046	saw:SAHV_0541
ko:K00161	saw:SAHV_1085
ko:K02078	saw:SAHV_1222
ko:K03722	saw:SAHV_1443
ko:K00167	saw:SAHV_1504
ko:K00239	saw:SAHV_1139
ko:K01356	saw:SAHV_1328
ko:K01428	saw:SAHV_2274
ko:K02867	saw:SAHV_0535
ko:K02913	saw:SAHV_1324
ko:K03530	saw:SAHV_1461
ko:K01810	saw:SAHV_0957
ko:K00525	saw:SAHV_0728
ko:K07090	saw:SAHV_0083
ko:K01704	saw:SAHV_2045
ko:K01652	saw:SAHV_2191
ko:K07456	saw:SAHV_1135
ko:K00648	saw:SAHV_0978
ko:K00604	saw:SAHV_1206
ko:K02825	saw:SAHV_1188
ko:K00820	saw:SAHV_2138
ko:K00526	saw:SAHV_0729
ko:K01915	saw:SAHV_1299
ko:K00111	saw:SAHV_1291
ko:K01845	saw:SAHV_1654
ko:K04478	saw:SAHV_1859
ko:K01687	saw:SAHV_2038
ko:K03471	saw:SAHV_1131
ko:K01972	saw:SAHV_1889
ko:K03685	saw:SAHV_1223
ko:K03048	saw:SAHV_2112
ko:K03763	saw:SAHV_1254
ko:K01430	saw:SAHV_2272
ko:K03187	saw:SAHV_2275
ko:K02621	saw:SAHV_1343
ko:K02622	saw:SAHV_1342
ko:K02469	saw:SAHV_0006
ko:K03188	saw:SAHV_2276
ko:K03189	saw:SAHV_2277
ko:K03190	saw:SAHV_2278
ko:K01703	saw:SAHV_2044
ko:K07568	saw:SAHV_1627
ko:K11144	saw:SAHV_1670
ko:K07084	saw:SAHV_0938
ko:K03647	saw:SAHV_0727
ko:K02440	saw:SAHV_1289
ko:K00166	saw:SAHV_1505
ko:K03666	saw:SAHV_1294
ko:K01956	saw:SAHV_1192
ko:K09693	saw:SAHV_0634
ko:K09692	saw:SAHV_0635
ko:K02520	saw:SAHV_1667
ko:K02835	saw:SAHV_2102
ko:K01586	saw:SAHV_1388
ko:K01866	saw:SAHV_1715
ko:K01821	saw:SAHV_1351
ko:K06967	saw:SAHV_1547
ko:K04749	saw:SAHV_2051
ko:K02528	saw:SAHV_0490
ko:K06941	saw:SAHV_1208
ko:K02518	saw:SAHV_2212
ko:K02876	saw:SAHV_2215
ko:K01419	saw:SAHV_1243
ko:K02313	saw:SAHV_0001
ko:K03427	saw:SAHV_1793
ko:K04075	saw:SAHV_0506
ko:K03702	saw:SAHV_0755
ko:K03644	saw:SAHV_0919
ko:K03667	saw:SAHV_1244
ko:K02338	saw:SAHV_0002
ko:K00790	saw:SAHV_2084
ko:K03299	saw:SAHV_2489
ko:K02551	saw:SAHV_1036
ko:K01935	saw:SAHV_2411
ko:K00865	saw:SAHV_2416
ko:K00077	saw:SAHV_2427
ko:K08170	saw:SAHV_2428
ko:K05846	saw:SAHV_2429
ko:K05846	saw:SAHV_2431
ko:K09705	saw:SAHV_0667
ko:K09793	saw:SAHV_0671
ko:K06966	saw:SAHV_0677
ko:K09768	saw:SAHV_0678
ko:K06153	saw:SAHV_0680
ko:K01669	saw:SAHV_0688
ko:K02016	saw:SAHV_0799
ko:K01938	saw:SAHV_1718
