ko:K21900	bsp:U712_18975
ko:K02253	bsp:U712_15790
ko:K02277	bsp:U712_07860
ko:K06292	bsp:U712_17980
ko:K21613	bsp:U712_14525
ko:K06979	bsp:U712_01290
ko:K06419	bsp:U712_04960
ko:K02032	bsp:U712_05840
ko:K19551	bsp:U712_17500
ko:K22044	bsp:U712_07470
ko:K19578	bsp:U712_11700
ko:K05592	bsp:U712_19780
ko:K19689	bsp:U712_07590
ko:K03297	bsp:U712_16805
ko:K18198	bsp:U712_03565
ko:K11741	bsp:U712_17270
ko:K14231	bsp:U712_21190
ko:K14231	bsp:U712_21395
ko:K14231	bsp:U712_21295
ko:K18924	bsp:U712_17265
ko:K19563	bsp:U712_15005
ko:K18939	bsp:U712_20230
ko:K07260	bsp:U712_10345
ko:K18926	bsp:U712_01375
ko:K18939	bsp:U712_01380
ko:K07155	bsp:U712_20225
ko:K01732	bsp:U712_09820
ko:K19427	bsp:U712_17155
ko:K03296	bsp:U712_03395
ko:K03293	bsp:U712_17015
ko:K00571	bsp:U712_14625
ko:K18682	bsp:U712_08890
ko:K09022	bsp:U712_00245
ko:K18924	bsp:U712_06830
ko:K07029	bsp:U712_03400
ko:K07315	bsp:U712_17070
ko:K00019	bsp:U712_19690
ko:K00059	bsp:U712_08365
ko:K01760	bsp:U712_06135
ko:K00390	bsp:U712_08200
ko:K01985	bsp:U712_21155
ko:K09692	bsp:U712_17895
ko:K21064	bsp:U712_05715
ko:K01990	bsp:U712_01315
ko:K11638	bsp:U712_03850
ko:K14234	bsp:U712_20920
ko:K14234	bsp:U712_21360
ko:K14234	bsp:U712_21060
ko:K14234	bsp:U712_21195
ko:K01212	bsp:U712_17250
ko:K16235	bsp:U712_01220
ko:K19575	bsp:U712_11705
ko:K01990	bsp:U712_04220
ko:K01990	bsp:U712_04630
ko:K01821	bsp:U712_18915
ko:K17836	bsp:U712_09900
ko:K03292	bsp:U712_06395
ko:K03292	bsp:U712_09225
ko:K01843	bsp:U712_10400
ko:K01980	bsp:U712_20980
ko:K01980	bsp:U712_20965
ko:K01980	bsp:U712_20850
ko:K01980	bsp:U712_20905
ko:K01980	bsp:U712_21125
ko:K01980	bsp:U712_20880
ko:K01980	bsp:U712_21040
ko:K01980	bsp:U712_21025
ko:K01980	bsp:U712_21375
ko:K01980	bsp:U712_21150
ko:K01985	bsp:U712_20855
ko:K01985	bsp:U712_20970
ko:K01985	bsp:U712_21045
ko:K01985	bsp:U712_20910
ko:K01985	bsp:U712_21030
ko:K01985	bsp:U712_20985
ko:K01985	bsp:U712_20885
ko:K01985	bsp:U712_21130
ko:K01985	bsp:U712_21370
ko:K01977	bsp:U712_21120
ko:K01977	bsp:U712_20835
ko:K01977	bsp:U712_21380
ko:K01977	bsp:U712_20900
ko:K02016	bsp:U712_03820
ko:K01728	bsp:U712_03835
ko:K03319	bsp:U712_03840
ko:K11637	bsp:U712_03845
ko:K00491	bsp:U712_03875
ko:K01512	bsp:U712_03880
ko:K01265	bsp:U712_03905
ko:K02803	bsp:U712_03910
ko:K02804	bsp:U712_03910
ko:K03310	bsp:U712_03925
ko:K06295	bsp:U712_03945
ko:K02818	bsp:U712_03950
ko:K02819	bsp:U712_03950
ko:K01226	bsp:U712_03955
ko:K03486	bsp:U712_03960
ko:K05520	bsp:U712_03975
