ko:K03316	ypz:YPZ3_3119
ko:K16301	ypz:YPZ3_1873
ko:K15770	ypz:YPZ3_0857
ko:K15581	ypz:YPZ3_1663
ko:K15555	ypz:YPZ3_3117
ko:K01961	ypz:YPZ3_3142
ko:K16345	ypz:YPZ3_0032
ko:K02485	ypz:YPZ3_1672
ko:K05603	ypz:YPZ3_1844
ko:K01897	ypz:YPZ3_1750
ko:K02414	ypz:YPZ3_0695
ko:K01187	ypz:YPZ3_0865
ko:K00799	ypz:YPZ3_1516
ko:K08961	ypz:YPZ3_0887
ko:K01079	ypz:YPZ3_0429
ko:K05685	ypz:YPZ3_1247
ko:K11905	ypz:YPZ3_1356
ko:K04091	ypz:YPZ3_3115
ko:K00956	ypz:YPZ3_2964
ko:K01766	ypz:YPZ3_0935
ko:K02001	ypz:YPZ3_2335
ko:K02484	ypz:YPZ3_2640
ko:K02483	ypz:YPZ3_2641
ko:K05812	ypz:YPZ3_2875
ko:K01150	ypz:YPZ3_0794
ko:K05874	ypz:YPZ3_2024
ko:K07459	ypz:YPZ3_1244
ko:K11535	ypz:YPZ3_2628
ko:K00007	ypz:YPZ3_1551
ko:K07246	ypz:YPZ3_2138
ko:K06887	ypz:YPZ3_2519
ko:K02116	ypz:YPZ3_3541
ko:K01934	ypz:YPZ3_0811
ko:K06183	ypz:YPZ3_1160
ko:K08305	ypz:YPZ3_1746
ko:K13788	ypz:YPZ3_2268
ko:K00484	ypz:YPZ3_1948
ko:K15548	ypz:YPZ3_3168
ko:K01420	ypz:YPZ3_1571
ko:K07274	ypz:YPZ3_1689
ko:K11754	ypz:YPZ3_2536
ko:K06957	ypz:YPZ3_2692
ko:K01011	ypz:YPZ3_1101
ko:K04772	ypz:YPZ3_3202
ko:K05794	ypz:YPZ3_0258
ko:K07052	ypz:YPZ3_1034
ko:K00065	ypz:YPZ3_1981
ko:K13735	ypz:YPZ3_2214
ko:K00970	ypz:YPZ3_2996
ko:K14055	ypz:YPZ3_1570
ko:K03719	ypz:YPZ3_1255
ko:K13888	ypz:YPZ3_1246
ko:K00821	ypz:YPZ3_0149
ko:K03897	ypz:YPZ3_0745
ko:K03896	ypz:YPZ3_0747
ko:K07186	ypz:YPZ3_0428
ko:K01271	ypz:YPZ3_3323
ko:K01048	ypz:YPZ3_3385
ko:K02081	ypz:YPZ3_0882
ko:K04065	ypz:YPZ3_0419
ko:K04753	ypz:YPZ3_0630
ko:K14059	ypz:YPZ3_1743
ko:K14054	ypz:YPZ3_1537
ko:K00652	ypz:YPZ3_1044
ko:K02099	ypz:YPZ3_1600
ko:K01497	ypz:YPZ3_1631
ko:K00974	ypz:YPZ3_0610
ko:K00835	ypz:YPZ3_3501
ko:K00297	ypz:YPZ3_0100
ko:K03457	ypz:YPZ3_0989
ko:K07052	ypz:YPZ3_0755
ko:K12340	ypz:YPZ3_0620
ko:K05847	ypz:YPZ3_1105
ko:K05685	ypz:YPZ3_2643
ko:K00124	ypz:YPZ3_3479
ko:K14058	ypz:YPZ3_1542
ko:K02510	ypz:YPZ3_1951
ko:K01187	ypz:YPZ3_2816
ko:K01176	ypz:YPZ3_3499
ko:K13895	ypz:YPZ3_1164
ko:K07497	ypz:YPZ3_pCD0001
ko:K03297	ypz:YPZ3_1544
ko:K01190	ypz:YPZ3_2041
ko:K05540	ypz:YPZ3_3139
ko:K02778	ypz:YPZ3_2081
ko:K02779	ypz:YPZ3_2081
ko:K00297	ypz:YPZ3_0248
ko:K01051	ypz:YPZ3_0412
ko:K13745	ypz:YPZ3_1394
ko:K07343	ypz:YPZ3_1311
ko:K04085	ypz:YPZ3_3376
ko:K00557	ypz:YPZ3_3452
ko:K03894	ypz:YPZ3_0749
ko:K03894	ypz:YPZ3_0748
ko:K03895	ypz:YPZ3_0746
ko:K01119	ypz:YPZ3_3234
ko:K01813	ypz:YPZ3_0284
ko:K02681	ypz:YPZ3_0925
ko:K01792	ypz:YPZ3_1688
ko:K00951	ypz:YPZ3_2977
ko:K13694	ypz:YPZ3_1168
ko:K00247	ypz:YPZ3_0357
ko:K13821	ypz:YPZ3_1877
ko:K11537	ypz:YPZ3_1064
ko:K02004	ypz:YPZ3_1367
ko:K02004	ypz:YPZ3_2712
ko:K03973	ypz:YPZ3_1528
ko:K07346	ypz:YPZ3_2007
ko:K06147	ypz:YPZ3_2288
ko:K11085	ypz:YPZ3_1274
ko:K14225	ypz:YPZ3_t27
ko:K14225	ypz:YPZ3_t3
ko:K01840	ypz:YPZ3_2729
