ko:K18923	vcq:EN18_00675
ko:K14233	vcq:EN18_11940
ko:K01980	vcq:EN18_18895
ko:K14224	vcq:EN18_06960
ko:K14224	vcq:EN18_18910
ko:K14224	vcq:EN18_16775
ko:K14224	vcq:EN18_17655
ko:K12066	vcq:EN18_06455
ko:K19416	vcq:EN18_10050
ko:K01980	vcq:EN18_17250
ko:K14220	vcq:EN18_19235
ko:K14220	vcq:EN18_19245
ko:K14220	vcq:EN18_19265
ko:K10915	vcq:EN18_01040
ko:K00638	vcq:EN18_00205
ko:K00638	vcq:EN18_04915
ko:K01046	vcq:EN18_04770
ko:K11741	vcq:EN18_10195
ko:K08151	vcq:EN18_05250
ko:K18698	vcq:EN18_05195
ko:K07497	vcq:EN18_00540
ko:K03111	vcq:EN18_18980
ko:K18824	vcq:EN18_06385
ko:K19736	vcq:EN18_11890
ko:K03553	vcq:EN18_19680
ko:K00526	vcq:EN18_09565
ko:K07481	vcq:EN18_00135
ko:K01990	vcq:EN18_11485
ko:K19226	vcq:EN18_11590
ko:K19227	vcq:EN18_11595
ko:K10933	vcq:EN18_07530
ko:K10931	vcq:EN18_07510
ko:K10930	vcq:EN18_07505
ko:K10923	vcq:EN18_07555
ko:K10912	vcq:EN18_08435
ko:K19229	vcq:EN18_11605
ko:K19228	vcq:EN18_11600
ko:K10948	vcq:EN18_04760
ko:K10937	vcq:EN18_07565
ko:K10936	vcq:EN18_07590
ko:K10921	vcq:EN18_08255
ko:K10920	vcq:EN18_07495
ko:K19230	vcq:EN18_11610
ko:K18589	vcq:EN18_05750
ko:K11209	vcq:EN18_01335
ko:K19092	vcq:EN18_00485
ko:K19789	vcq:EN18_11370
ko:K19745	vcq:EN18_17425
ko:K01985	vcq:EN18_18875
ko:K01985	vcq:EN18_18900
ko:K01985	vcq:EN18_18930
ko:K01985	vcq:EN18_18440
ko:K01985	vcq:EN18_17245
ko:K01985	vcq:EN18_06970
ko:K01985	vcq:EN18_15510
ko:K01985	vcq:EN18_16765
ko:K01985	vcq:EN18_17675
ko:K21379	vcq:EN18_18155
ko:K01007	vcq:EN18_03200
ko:K14226	vcq:EN18_17730
ko:K14226	vcq:EN18_17740
ko:K14223	vcq:EN18_14010
ko:K14234	vcq:EN18_15505
ko:K20949	vcq:EN18_08040
ko:K20962	vcq:EN18_02270
ko:K21498	vcq:EN18_00630
ko:K00984	vcq:EN18_05755
ko:K20977	vcq:EN18_03645
ko:K09796	vcq:EN18_03955
ko:K18767	vcq:EN18_05780
ko:K06987	vcq:EN18_14500
ko:K03308	vcq:EN18_14505
ko:K03186	vcq:EN18_15750
ko:K02558	vcq:EN18_15755
ko:K03841	vcq:EN18_15760
ko:K01507	vcq:EN18_15765
ko:K09800	vcq:EN18_15775
ko:K07278	vcq:EN18_15780
ko:K07304	vcq:EN18_15785
ko:K07109	vcq:EN18_15790
ko:K02004	vcq:EN18_15810
ko:K09950	vcq:EN18_15815
ko:K00860	vcq:EN18_15825
ko:K00956	vcq:EN18_15830
ko:K00957	vcq:EN18_15835
ko:K02303	vcq:EN18_15840
ko:K01119	vcq:EN18_15845
ko:K05591	vcq:EN18_15855
ko:K02348	vcq:EN18_15860
ko:K07269	vcq:EN18_15870
ko:K03773	vcq:EN18_15875
ko:K07566	vcq:EN18_17290
ko:K01588	vcq:EN18_17295
ko:K01589	vcq:EN18_17300
ko:K07479	vcq:EN18_17305
ko:K03747	vcq:EN18_17310
ko:K04096	vcq:EN18_17315
ko:K00604	vcq:EN18_17330
ko:K03500	vcq:EN18_17335
ko:K03499	vcq:EN18_17340
ko:K03498	vcq:EN18_17345
ko:K11068	vcq:EN18_17355
ko:K06377	vcq:EN18_17360
ko:K09896	vcq:EN18_17370
ko:K03673	vcq:EN18_17385
ko:K07391	vcq:EN18_17395
ko:K01652	vcq:EN18_17400
ko:K11258	vcq:EN18_17405
ko:K00826	vcq:EN18_17410
ko:K01687	vcq:EN18_17415
ko:K01754	vcq:EN18_17420
ko:K12281	vcq:EN18_19000
ko:K12282	vcq:EN18_19005
ko:K12283	vcq:EN18_19010
ko:K12284	vcq:EN18_19015
ko:K12276	vcq:EN18_19020
ko:K12278	vcq:EN18_19025
ko:K10925	vcq:EN18_19035
ko:K10924	vcq:EN18_19040
ko:K10926	vcq:EN18_19045
ko:K10927	vcq:EN18_19050
ko:K12285	vcq:EN18_19055
ko:K12286	vcq:EN18_19060
ko:K12287	vcq:EN18_19065
ko:K03569	vcq:EN18_19070
ko:K03570	vcq:EN18_19075
ko:K03571	vcq:EN18_19080
ko:K06287	vcq:EN18_19085
ko:K08301	vcq:EN18_19090
ko:K03568	vcq:EN18_19105
ko:K01478	vcq:EN18_19110
ko:K09893	vcq:EN18_19115
ko:K07080	vcq:EN18_19140
ko:K03402	vcq:EN18_19145
ko:K00024	vcq:EN18_19150
ko:K03758	vcq:EN18_19155
ko:K03758	vcq:EN18_19160
ko:K02523	vcq:EN18_19165
ko:K02888	vcq:EN18_19170
ko:K02899	vcq:EN18_19175
ko:K03979	vcq:EN18_19180
ko:K01525	vcq:EN18_19200
ko:K06195	vcq:EN18_19205
ko:K02528	vcq:EN18_19210
ko:K00097	vcq:EN18_19215
ko:K03771	vcq:EN18_19220
ko:K04744	vcq:EN18_19225
ko:K05801	vcq:EN18_19230
ko:K03406	vcq:EN18_19260
ko:K08306	vcq:EN18_19285
ko:K08591	vcq:EN18_19585
ko:K01633	vcq:EN18_19590
ko:K00950	vcq:EN18_19595
ko:K06153	vcq:EN18_19600
ko:K05589	vcq:EN18_19605
ko:K00991	vcq:EN18_19610
ko:K01770	vcq:EN18_19615
ko:K06176	vcq:EN18_19620
ko:K03787	vcq:EN18_19625
ko:K00573	vcq:EN18_19630
ko:K06194	vcq:EN18_19635
ko:K03087	vcq:EN18_19640
ko:K03555	vcq:EN18_19645
ko:K12339	vcq:EN18_19650
ko:K02048	vcq:EN18_19655
ko:K02046	vcq:EN18_19660
ko:K02047	vcq:EN18_19665
ko:K02045	vcq:EN18_19670
ko:K03743	vcq:EN18_19675
ko:K03565	vcq:EN18_19685
ko:K01872	vcq:EN18_19690
ko:K00928	vcq:EN18_19695
ko:K03563	vcq:EN18_19700
ko:K01646	vcq:EN18_07365
ko:K01644	vcq:EN18_07370
ko:K01643	vcq:EN18_07375
ko:K05964	vcq:EN18_07380
