ko:K01978	mhaq:WC39_13745
ko:K01977	mhaq:WC39_00445
ko:K01977	mhaq:WC39_01310
ko:K01977	mhaq:WC39_11380
ko:K01977	mhaq:WC39_01480
ko:K01977	mhaq:WC39_03910
ko:K01977	mhaq:WC39_00755
ko:K14233	mhaq:WC39_02455
ko:K14233	mhaq:WC39_04720
ko:K14233	mhaq:WC39_13170
ko:K14233	mhaq:WC39_13175
ko:K19591	mhaq:WC39_04330
ko:K01175	mhaq:WC39_08495
ko:K21449	mhaq:WC39_12035
ko:K21449	mhaq:WC39_10435
ko:K14218	mhaq:WC39_02500
ko:K04753	mhaq:WC39_00995
ko:K21645	mhaq:WC39_12940
ko:K00833	mhaq:WC39_09150
ko:K01766	mhaq:WC39_04605
ko:K01791	mhaq:WC39_04025
ko:K00785	mhaq:WC39_04035
ko:K07270	mhaq:WC39_04040
ko:K12267	mhaq:WC39_04060
ko:K03317	mhaq:WC39_04065
ko:K01619	mhaq:WC39_04070
ko:K03784	mhaq:WC39_04075
ko:K00799	mhaq:WC39_04100
ko:K00145	mhaq:WC39_04105
ko:K00930	mhaq:WC39_04110
ko:K02793	mhaq:WC39_04120
ko:K02794	mhaq:WC39_04125
ko:K02795	mhaq:WC39_04130
ko:K01104	mhaq:WC39_04140
ko:K03491	mhaq:WC39_04150
ko:K03628	mhaq:WC39_04165
ko:K01738	mhaq:WC39_04170
ko:K01255	mhaq:WC39_04175
ko:K07091	mhaq:WC39_04185
ko:K11720	mhaq:WC39_04190
ko:K02337	mhaq:WC39_04195
ko:K15536	mhaq:WC39_04200
ko:K08303	mhaq:WC39_04205
ko:K02527	mhaq:WC39_04210
ko:K00954	mhaq:WC39_04215
ko:K13288	mhaq:WC39_04220
ko:K06925	mhaq:WC39_04225
ko:K01448	mhaq:WC39_04230
ko:K09157	mhaq:WC39_04235
ko:K03758	mhaq:WC39_04240
ko:K04072	mhaq:WC39_04250
ko:K01749	mhaq:WC39_04255
ko:K01719	mhaq:WC39_04260
ko:K02496	mhaq:WC39_04265
ko:K02498	mhaq:WC39_04270
ko:K09781	mhaq:WC39_04275
ko:K02956	mhaq:WC39_04280
ko:K03770	mhaq:WC39_04285
ko:K02035	mhaq:WC39_04295
ko:K03593	mhaq:WC39_04300
ko:K06194	mhaq:WC39_02045
ko:K03787	mhaq:WC39_02065
ko:K06176	mhaq:WC39_02070
ko:K01803	mhaq:WC39_02075
ko:K02795	mhaq:WC39_02090
ko:K02793	mhaq:WC39_02095
ko:K02794	mhaq:WC39_02095
ko:K01919	mhaq:WC39_02100
ko:K01154	mhaq:WC39_02105
ko:K01154	mhaq:WC39_02115
ko:K03427	mhaq:WC39_02125
ko:K01153	mhaq:WC39_02130
ko:K01613	mhaq:WC39_02135
ko:K02237	mhaq:WC39_02140
ko:K02843	mhaq:WC39_02155
ko:K02841	mhaq:WC39_02160
ko:K02950	mhaq:WC39_02165
ko:K02992	mhaq:WC39_02170
ko:K02355	mhaq:WC39_02175
ko:K02358	mhaq:WC39_02180
ko:K03545	mhaq:WC39_02185
ko:K03071	mhaq:WC39_02195
ko:K00057	mhaq:WC39_02200
ko:K00640	mhaq:WC39_02205
ko:K03089	mhaq:WC39_02245
ko:K09803	mhaq:WC39_02260
ko:K03270	mhaq:WC39_02265
ko:K06997	mhaq:WC39_02270
ko:K06207	mhaq:WC39_02275
ko:K03789	mhaq:WC39_02280
ko:K02344	mhaq:WC39_02285
ko:K00564	mhaq:WC39_02290
ko:K00817	mhaq:WC39_02305
ko:K01089	mhaq:WC39_02310
ko:K02600	mhaq:WC39_06680
ko:K02519	mhaq:WC39_06685
ko:K02834	mhaq:WC39_06690
ko:K03177	mhaq:WC39_06695
ko:K08305	mhaq:WC39_06705
ko:K11991	mhaq:WC39_06710
ko:K05592	mhaq:WC39_06715
ko:K05803	mhaq:WC39_06720
ko:K00962	mhaq:WC39_06725
ko:K07636	mhaq:WC39_06730
ko:K07657	mhaq:WC39_06735
ko:K02036	mhaq:WC39_06740
ko:K02038	mhaq:WC39_06745
ko:K02037	mhaq:WC39_06750
ko:K02040	mhaq:WC39_06755
ko:K02621	mhaq:WC39_06760
ko:K00928	mhaq:WC39_06765
ko:K02803	mhaq:WC39_06770
ko:K02804	mhaq:WC39_06770
ko:K09802	mhaq:WC39_06775
ko:K01524	mhaq:WC39_06780
ko:K11751	mhaq:WC39_06795
ko:K00901	mhaq:WC39_06800
ko:K07862	mhaq:WC39_06805
ko:K02238	mhaq:WC39_06810
ko:K07568	mhaq:WC39_06820
ko:K15125	mhaq:WC39_06830
ko:K02014	mhaq:WC39_06860
ko:K05685	mhaq:WC39_06885
ko:K07640	mhaq:WC39_06890
ko:K04765	mhaq:WC39_06905
ko:K04765	mhaq:WC39_06910
ko:K01963	mhaq:WC39_06920
ko:K11754	mhaq:WC39_06925
ko:K00813	mhaq:WC39_06930
ko:K06957	mhaq:WC39_06935
ko:K07042	mhaq:WC39_06940
ko:K03635	mhaq:WC39_06945
ko:K03636	mhaq:WC39_06950
ko:K01347	mhaq:WC39_09280
ko:K01792	mhaq:WC39_09285
ko:K07154	mhaq:WC39_09295
ko:K06889	mhaq:WC39_09315
ko:K19055	mhaq:WC39_09320
ko:K07320	mhaq:WC39_09330
ko:K07106	mhaq:WC39_09335
ko:K09001	mhaq:WC39_09350
ko:K06879	mhaq:WC39_09355
ko:K03273	mhaq:WC39_09360
ko:K03564	mhaq:WC39_09365
ko:K02035	mhaq:WC39_09380
ko:K06181	mhaq:WC39_11320
ko:K07113	mhaq:WC39_11330
ko:K04085	mhaq:WC39_11340
ko:K09893	mhaq:WC39_11345
ko:K03978	mhaq:WC39_11350
ko:K07238	mhaq:WC39_11360
ko:K07160	mhaq:WC39_11405
ko:K01573	mhaq:WC39_11415
ko:K01571	mhaq:WC39_11420
ko:K01572	mhaq:WC39_11425
ko:K01866	mhaq:WC39_11430
ko:K01443	mhaq:WC39_11440
ko:K02564	mhaq:WC39_11445
ko:K03216	mhaq:WC39_11455
ko:K12297	mhaq:WC39_11460
ko:K00275	mhaq:WC39_00005
ko:K01042	mhaq:WC39_00010
ko:K01788	mhaq:WC39_00020
ko:K00885	mhaq:WC39_00025
ko:K01639	mhaq:WC39_00030
ko:K07724	mhaq:WC39_00050
ko:K12368	mhaq:WC39_00100
ko:K06205	mhaq:WC39_00105
ko:K03718	mhaq:WC39_00110
ko:K01914	mhaq:WC39_00115
ko:K02114	mhaq:WC39_00120
ko:K02112	mhaq:WC39_00125
ko:K02115	mhaq:WC39_00130
ko:K02111	mhaq:WC39_00135
ko:K02113	mhaq:WC39_00140
ko:K02109	mhaq:WC39_00145
ko:K02110	mhaq:WC39_00150
ko:K02108	mhaq:WC39_00155
ko:K02116	mhaq:WC39_00160
ko:K01956	mhaq:WC39_00165
ko:K01955	mhaq:WC39_00170
ko:K08092	mhaq:WC39_00180
ko:K10441	mhaq:WC39_00210
ko:K10440	mhaq:WC39_00215
ko:K10439	mhaq:WC39_00220
ko:K01053	mhaq:WC39_00225
ko:K00880	mhaq:WC39_00230
ko:K00111	mhaq:WC39_00250
ko:K02445	mhaq:WC39_00255
ko:K01126	mhaq:WC39_00260
ko:K02445	mhaq:WC39_00265
ko:K03292	mhaq:WC39_00280
ko:K03501	mhaq:WC39_00285
ko:K03495	mhaq:WC39_00295
ko:K13408	mhaq:WC39_04660
ko:K03310	mhaq:WC39_04680
ko:K07447	mhaq:WC39_04690
ko:K07735	mhaq:WC39_04695
ko:K09761	mhaq:WC39_04700
ko:K07286	mhaq:WC39_04710
ko:K05527	mhaq:WC39_04715
ko:K03070	mhaq:WC39_04740
ko:K03574	mhaq:WC39_04745
ko:K04078	mhaq:WC39_04760
ko:K04077	mhaq:WC39_04765
ko:K00425	mhaq:WC39_04775
ko:K00426	mhaq:WC39_04780
ko:K07107	mhaq:WC39_04790
ko:K03562	mhaq:WC39_04795
ko:K03560	mhaq:WC39_04800
ko:K03646	mhaq:WC39_04805
ko:K03641	mhaq:WC39_04810
ko:K03640	mhaq:WC39_04815
ko:K05801	mhaq:WC39_04825
ko:K08984	mhaq:WC39_04830
ko:K05541	mhaq:WC39_04835
ko:K08990	mhaq:WC39_04840
ko:K06177	mhaq:WC39_04850
ko:K06158	mhaq:WC39_04865
ko:K07133	mhaq:WC39_04870
ko:K05595	mhaq:WC39_04875
ko:K03750	mhaq:WC39_04880
ko:K09899	mhaq:WC39_04895
ko:K06190	mhaq:WC39_04905
ko:K18476	mhaq:WC39_08225
ko:K08151	mhaq:WC39_08230
ko:K03297	mhaq:WC39_08235
ko:K08987	mhaq:WC39_08245
ko:K03111	mhaq:WC39_08290
ko:K12055	mhaq:WC39_08330
ko:K03601	mhaq:WC39_08340
ko:K08304	mhaq:WC39_08350
ko:K00764	mhaq:WC39_08360
ko:K03558	mhaq:WC39_08365
ko:K03469	mhaq:WC39_08370
ko:K01940	mhaq:WC39_08375
ko:K12984	mhaq:WC39_08385
ko:K07574	mhaq:WC39_08390
ko:K00884	mhaq:WC39_08405
ko:K07140	mhaq:WC39_08415
ko:K03602	mhaq:WC39_08420
ko:K00795	mhaq:WC39_08425
ko:K09816	mhaq:WC39_08435
ko:K07478	mhaq:WC39_08440
ko:K03571	mhaq:WC39_08445
ko:K03570	mhaq:WC39_08450
ko:K03569	mhaq:WC39_08455
ko:K06895	mhaq:WC39_08460
ko:K00876	mhaq:WC39_08465
ko:K02017	mhaq:WC39_10290
ko:K02018	mhaq:WC39_10295
ko:K02020	mhaq:WC39_10300
ko:K01992	mhaq:WC39_10305
ko:K01990	mhaq:WC39_10310
ko:K02343	mhaq:WC39_10315
ko:K00759	mhaq:WC39_10320
ko:K02560	mhaq:WC39_10325
ko:K03613	mhaq:WC39_10330
ko:K03612	mhaq:WC39_10335
ko:K03614	mhaq:WC39_10340
ko:K03615	mhaq:WC39_10350
ko:K03616	mhaq:WC39_10355
ko:K03617	mhaq:WC39_10360
ko:K02342	mhaq:WC39_10385
ko:K02939	mhaq:WC39_10390
ko:K02963	mhaq:WC39_10395
ko:K02686	mhaq:WC39_10400
ko:K02990	mhaq:WC39_10405
ko:K01945	mhaq:WC39_10410
ko:K00705	mhaq:WC39_10425
ko:K03811	mhaq:WC39_10430
ko:K06178	mhaq:WC39_10445
ko:K01657	mhaq:WC39_10455
ko:K01658	mhaq:WC39_10460
ko:K00766	mhaq:WC39_10470
ko:K02426	mhaq:WC39_10485
ko:K01358	mhaq:WC39_10490
ko:K03544	mhaq:WC39_10495
ko:K00912	mhaq:WC39_10520
ko:K09791	mhaq:WC39_10525
ko:K01784	mhaq:WC39_10530
ko:K00297	mhaq:WC39_10540
ko:K16092	mhaq:WC39_10545
ko:K03497	mhaq:WC39_12700
ko:K03658	mhaq:WC39_12730
ko:K03184	mhaq:WC39_12750
ko:K03591	mhaq:WC39_12755
ko:K15984	mhaq:WC39_12760
ko:K00674	mhaq:WC39_12770
ko:K03786	mhaq:WC39_12780
ko:K02160	mhaq:WC39_12790
ko:K01961	mhaq:WC39_12795
ko:K02501	mhaq:WC39_02325
ko:K01814	mhaq:WC39_02335
ko:K02500	mhaq:WC39_02340
ko:K11755	mhaq:WC39_02350
ko:K04083	mhaq:WC39_02355
ko:K04762	mhaq:WC39_02365
ko:K08312	mhaq:WC39_02370
ko:K01082	mhaq:WC39_02375
ko:K00036	mhaq:WC39_02380
ko:K01057	mhaq:WC39_02385
ko:K00033	mhaq:WC39_02400
ko:K01873	mhaq:WC39_02410
ko:K02348	mhaq:WC39_02430
ko:K02339	mhaq:WC39_02435
ko:K18691	mhaq:WC39_02470
ko:K01885	mhaq:WC39_02495
ko:K03631	mhaq:WC39_02505
ko:K02535	mhaq:WC39_02510
ko:K03531	mhaq:WC39_02515
ko:K03590	mhaq:WC39_02520
ko:K03589	mhaq:WC39_02525
ko:K01921	mhaq:WC39_02530
ko:K01924	mhaq:WC39_02535
ko:K02563	mhaq:WC39_02540
ko:K03588	mhaq:WC39_02545
ko:K01925	mhaq:WC39_02550
ko:K01000	mhaq:WC39_02555
ko:K01929	mhaq:WC39_02560
ko:K01928	mhaq:WC39_02565
ko:K03587	mhaq:WC39_02570
ko:K03586	mhaq:WC39_02575
ko:K03438	mhaq:WC39_02580
ko:K03925	mhaq:WC39_02585
ko:K03637	mhaq:WC39_06955
ko:K03639	mhaq:WC39_06960
ko:K01999	mhaq:WC39_06965
ko:K07821	mhaq:WC39_06970
ko:K07812	mhaq:WC39_06975
ko:K07316	mhaq:WC39_06985
ko:K07316	mhaq:WC39_06990
ko:K01156	mhaq:WC39_06995
ko:K01156	mhaq:WC39_07000
ko:K01647	mhaq:WC39_07005
ko:K00031	mhaq:WC39_07010
ko:K01682	mhaq:WC39_07015
ko:K07812	mhaq:WC39_07020
ko:K06968	mhaq:WC39_07035
ko:K00215	mhaq:WC39_07050
ko:K01739	mhaq:WC39_07055
ko:K01119	mhaq:WC39_07125
ko:K00925	mhaq:WC39_07130
ko:K13788	mhaq:WC39_07135
ko:K01673	mhaq:WC39_07140
ko:K01652	mhaq:WC39_07145
ko:K01653	mhaq:WC39_07150
ko:K14682	mhaq:WC39_07165
ko:K09946	mhaq:WC39_07170
ko:K01262	mhaq:WC39_07175
ko:K09892	mhaq:WC39_07190
ko:K06871	mhaq:WC39_07200
ko:K03307	mhaq:WC39_07210
ko:K07090	mhaq:WC39_07220
ko:K14742	mhaq:WC39_07225
ko:K02033	mhaq:WC39_09385
ko:K02031	mhaq:WC39_09390
ko:K02034	mhaq:WC39_09390
ko:K03315	mhaq:WC39_09405
ko:K00099	mhaq:WC39_09410
ko:K00951	mhaq:WC39_09415
ko:K02492	mhaq:WC39_09420
ko:K03977	mhaq:WC39_09425
ko:K03272	mhaq:WC39_09430
ko:K02825	mhaq:WC39_09435
ko:K03771	mhaq:WC39_09440
ko:K02528	mhaq:WC39_09445
ko:K00761	mhaq:WC39_09450
ko:K01897	mhaq:WC39_09455
ko:K03803	mhaq:WC39_09460
ko:K03598	mhaq:WC39_09465
ko:K03597	mhaq:WC39_09470
ko:K03088	mhaq:WC39_09475
ko:K01649	mhaq:WC39_09480
ko:K13888	mhaq:WC39_09490
ko:K07751	mhaq:WC39_09505
ko:K04760	mhaq:WC39_09510
ko:K07685	mhaq:WC39_11465
ko:K02529	mhaq:WC39_11470
ko:K00852	mhaq:WC39_11475
