ko:K00086	kpz:KPNIH27_22065
ko:K16238	kpz:KPNIH27_05090
ko:K02345	kpz:KPNIH27_27550
ko:K18922	kpz:KPNIH27_20135
ko:K18923	kpz:KPNIH27_27680
ko:K03395	kpz:KPNIH27_26715
ko:K06120	kpz:KPNIH27_22055
ko:K09690	kpz:KPNIH27_16990
ko:K21908	kpz:KPNIH27_22025
ko:K19162	kpz:KPNIH27_05795
ko:K02345	kpz:KPNIH27_16310
ko:K06122	kpz:KPNIH27_22045
ko:K06121	kpz:KPNIH27_22050
ko:K07481	kpz:KPNIH27_10825
ko:K07481	kpz:KPNIH27_25720
ko:K07483	kpz:KPNIH27_26085
ko:K07481	kpz:KPNIH27_29515
ko:K03585	kpz:KPNIH27_24895
ko:K07481	kpz:KPNIH27_29230
ko:K07497	kpz:KPNIH27_28360
ko:K18842	kpz:KPNIH27_27235
ko:K07480	kpz:KPNIH27_17005
ko:K18138	kpz:KPNIH27_24900
ko:K18139	kpz:KPNIH27_24905
ko:K03553	kpz:KPNIH27_19810
ko:K03111	kpz:KPNIH27_29765
ko:K03111	kpz:KPNIH27_27520
ko:K04772	kpz:KPNIH27_22805
ko:K00042	kpz:KPNIH27_22315
ko:K19611	kpz:KPNIH27_10425
ko:K03293	kpz:KPNIH27_11700
ko:K00526	kpz:KPNIH27_17725
ko:K18828	kpz:KPNIH27_27790
ko:K03111	kpz:KPNIH27_01510
ko:K01990	kpz:KPNIH27_07785
ko:K01990	kpz:KPNIH27_24575
ko:K14224	kpz:KPNIH27_00080
ko:K14224	kpz:KPNIH27_01265
ko:K14224	kpz:KPNIH27_19355
ko:K14224	kpz:KPNIH27_02910
ko:K19227	kpz:KPNIH27_10665
ko:K19230	kpz:KPNIH27_10650
ko:K18589	kpz:KPNIH27_25815
ko:K18768	kpz:KPNIH27_26500
ko:K07012	kpz:KPNIH27_20295
ko:K08348	kpz:KPNIH27_13560
ko:K19611	kpz:KPNIH27_01520
ko:K14219	kpz:KPNIH27_19770
ko:K14219	kpz:KPNIH27_19785
ko:K14219	kpz:KPNIH27_19780
ko:K14219	kpz:KPNIH27_19775
ko:K19789	kpz:KPNIH27_17595
ko:K19745	kpz:KPNIH27_16740
ko:K00108	kpz:KPNIH27_06560
ko:K21364	kpz:KPNIH27_17030
ko:K00001	kpz:KPNIH27_00325
ko:K04103	kpz:KPNIH27_18210
ko:K21430	kpz:KPNIH27_08035
ko:K01007	kpz:KPNIH27_15060
ko:K22131	kpz:KPNIH27_26655
ko:K22130	kpz:KPNIH27_26660
ko:K08156	kpz:KPNIH27_13525
ko:K14219	kpz:KPNIH27_00785
ko:K07347	kpz:KPNIH27_01950
ko:K07345	kpz:KPNIH27_01960
ko:K13409	kpz:KPNIH27_01975
ko:K13408	kpz:KPNIH27_01980
ko:K02356	kpz:KPNIH27_01995
ko:K16347	kpz:KPNIH27_02000
ko:K16348	kpz:KPNIH27_02005
ko:K03098	kpz:KPNIH27_02015
ko:K00247	kpz:KPNIH27_02020
ko:K00246	kpz:KPNIH27_02025
ko:K00245	kpz:KPNIH27_02030
ko:K00244	kpz:KPNIH27_02035
ko:K04568	kpz:KPNIH27_02040
ko:K01613	kpz:KPNIH27_02055
ko:K06949	kpz:KPNIH27_02060
ko:K13288	kpz:KPNIH27_02065
ko:K09996	kpz:KPNIH27_02070
ko:K17758	kpz:KPNIH27_02095
ko:K17759	kpz:KPNIH27_02095
ko:K06925	kpz:KPNIH27_02100
ko:K01448	kpz:KPNIH27_02105
ko:K03572	kpz:KPNIH27_02110
ko:K00791	kpz:KPNIH27_02115
ko:K03666	kpz:KPNIH27_02120
ko:K03665	kpz:KPNIH27_02125
ko:K04088	kpz:KPNIH27_02130
ko:K04087	kpz:KPNIH27_02135
ko:K09937	kpz:KPNIH27_02145
ko:K01939	kpz:KPNIH27_02150
ko:K13771	kpz:KPNIH27_02155
ko:K12573	kpz:KPNIH27_02160
ko:K03218	kpz:KPNIH27_02165
ko:K09456	kpz:KPNIH27_02170
ko:K06889	kpz:KPNIH27_02185
ko:K03477	kpz:KPNIH27_02190
ko:K03476	kpz:KPNIH27_02195
ko:K03475	kpz:KPNIH27_02200
ko:K02822	kpz:KPNIH27_02205
ko:K02821	kpz:KPNIH27_02210
ko:K10679	kpz:KPNIH27_06380
ko:K18325	kpz:KPNIH27_06400
ko:K06048	kpz:KPNIH27_06440
ko:K02035	kpz:KPNIH27_06445
ko:K02033	kpz:KPNIH27_06450
ko:K02034	kpz:KPNIH27_06455
ko:K06016	kpz:KPNIH27_06470
ko:K00375	kpz:KPNIH27_06485
ko:K02030	kpz:KPNIH27_06490
ko:K02029	kpz:KPNIH27_06495
ko:K02029	kpz:KPNIH27_06500
ko:K02028	kpz:KPNIH27_06505
ko:K15373	kpz:KPNIH27_06510
ko:K15372	kpz:KPNIH27_06515
ko:K02034	kpz:KPNIH27_06540
ko:K02033	kpz:KPNIH27_06545
ko:K02035	kpz:KPNIH27_06550
ko:K02167	kpz:KPNIH27_06570
ko:K02168	kpz:KPNIH27_06575
ko:K16053	kpz:KPNIH27_06585
ko:K03566	kpz:KPNIH27_06590
ko:K17203	kpz:KPNIH27_06610
ko:K17204	kpz:KPNIH27_06615
ko:K17202	kpz:KPNIH27_06625
ko:K00864	kpz:KPNIH27_06630
ko:K00615	kpz:KPNIH27_06640
ko:K00615	kpz:KPNIH27_06645
ko:K11901	kpz:KPNIH27_11105
ko:K11900	kpz:KPNIH27_11110
ko:K11893	kpz:KPNIH27_11115
ko:K11892	kpz:KPNIH27_11120
ko:K11903	kpz:KPNIH27_11130
ko:K11907	kpz:KPNIH27_11135
ko:K11904	kpz:KPNIH27_11140
ko:K07300	kpz:KPNIH27_15410
ko:K01627	kpz:KPNIH27_15415
ko:K02493	kpz:KPNIH27_15430
ko:K02835	kpz:KPNIH27_15435
ko:K02492	kpz:KPNIH27_15440
ko:K02494	kpz:KPNIH27_15445
ko:K00919	kpz:KPNIH27_15450
ko:K00948	kpz:KPNIH27_15455
ko:K03321	kpz:KPNIH27_15460
ko:K01056	kpz:KPNIH27_15475
ko:K06942	kpz:KPNIH27_15480
