ko:K03925	tpg:TPEGAU_0383
ko:K03438	tpg:TPEGAU_0384
ko:K01929	tpg:TPEGAU_0386
ko:K03588	tpg:TPEGAU_0387
ko:K03589	tpg:TPEGAU_0388
ko:K03590	tpg:TPEGAU_0389
ko:K03531	tpg:TPEGAU_0390
ko:K04096	tpg:TPEGAU_0393
ko:K03168	tpg:TPEGAU_0394
ko:K02387	tpg:TPEGAU_0396
ko:K02388	tpg:TPEGAU_0397
ko:K02408	tpg:TPEGAU_0398
ko:K02409	tpg:TPEGAU_0399
ko:K02410	tpg:TPEGAU_0400
ko:K02411	tpg:TPEGAU_0401
ko:K02412	tpg:TPEGAU_0402
ko:K02413	tpg:TPEGAU_0403
ko:K01776	tpg:TPEGAU_0406
ko:K03210	tpg:TPEGAU_0409a
ko:K03072	tpg:TPEGAU_0410
ko:K03074	tpg:TPEGAU_0411
ko:K03310	tpg:TPEGAU_0414
ko:K03106	tpg:TPEGAU_0416
ko:K03820	tpg:TPEGAU_0417
ko:K03787	tpg:TPEGAU_0419
ko:K03525	tpg:TPEGAU_0431
ko:K03550	tpg:TPEGAU_0543
ko:K03527	tpg:TPEGAU_0547
ko:K03696	tpg:TPEGAU_0549
ko:K03650	tpg:TPEGAU_0550
ko:K01091	tpg:TPEGAU_0554
ko:K01914	tpg:TPEGAU_0556
ko:K03151	tpg:TPEGAU_0559
ko:K00615	tpg:TPEGAU_0560
ko:K06872	tpg:TPEGAU_0561
ko:K09795	tpg:TPEGAU_0565
ko:K01625	tpg:TPEGAU_0568
ko:K08988	tpg:TPEGAU_0570
ko:K03744	tpg:TPEGAU_0571
ko:K02836	tpg:TPEGAU_0576
ko:K03110	tpg:TPEGAU_0578
ko:K09808	tpg:TPEGAU_0580
ko:K09808	tpg:TPEGAU_0582
ko:K01869	tpg:TPEGAU_0586
ko:K02340	tpg:TPEGAU_0587
ko:K05896	tpg:TPEGAU_0691
ko:K07462	tpg:TPEGAU_0704
ko:K05366	tpg:TPEGAU_0705
ko:K02405	tpg:TPEGAU_0709
ko:K04562	tpg:TPEGAU_0712
ko:K02404	tpg:TPEGAU_0713
ko:K02400	tpg:TPEGAU_0714
ko:K02401	tpg:TPEGAU_0715
ko:K02421	tpg:TPEGAU_0716
ko:K02420	tpg:TPEGAU_0717
ko:K02419	tpg:TPEGAU_0718
ko:K02418	tpg:TPEGAU_0719
ko:K02417	tpg:TPEGAU_0720
ko:K02416	tpg:TPEGAU_0721
ko:K02415	tpg:TPEGAU_0722
ko:K02557	tpg:TPEGAU_0724
ko:K02556	tpg:TPEGAU_0725
ko:K02385	tpg:TPEGAU_0726
ko:K02390	tpg:TPEGAU_0727
ko:K02389	tpg:TPEGAU_0728
ko:K00995	tpg:TPEGAU_0730
ko:K01491	tpg:TPEGAU_0732
ko:K00266	tpg:TPEGAU_0735
ko:K00528	tpg:TPEGAU_0736
ko:K09710	tpg:TPEGAU_0738
ko:K06942	tpg:TPEGAU_0124
ko:K01142	tpg:TPEGAU_0125
ko:K02063	tpg:TPEGAU_0143
ko:K02064	tpg:TPEGAU_0144
ko:K09775	tpg:TPEGAU_0153
ko:K07107	tpg:TPEGAU_0156
ko:K01881	tpg:TPEGAU_0160
ko:K03551	tpg:TPEGAU_0162
ko:K01783	tpg:TPEGAU_0945
ko:K03501	tpg:TPEGAU_0946
ko:K03217	tpg:TPEGAU_0949
ko:K08998	tpg:TPEGAU_0949a
ko:K03536	tpg:TPEGAU_0950a
ko:K02914	tpg:TPEGAU_0951
ko:K02395	tpg:TPEGAU_0959
ko:K02392	tpg:TPEGAU_0960
ko:K02392	tpg:TPEGAU_0961
ko:K07230	tpg:TPEGAU_0971
ko:K07243	tpg:TPEGAU_0972
ko:K01889	tpg:TPEGAU_0973
ko:K07056	tpg:TPEGAU_0975
ko:K03101	tpg:TPEGAU_0978
ko:K03424	tpg:TPEGAU_0979
ko:K04079	tpg:TPEGAU_0984
ko:K01876	tpg:TPEGAU_0985
ko:K05946	tpg:TPEGAU_0275
ko:K09761	tpg:TPEGAU_0276
ko:K03797	tpg:TPEGAU_0277
ko:K02945	tpg:TPEGAU_0279
ko:K00954	tpg:TPEGAU_0283
ko:K00948	tpg:TPEGAU_0294
ko:K00859	tpg:TPEGAU_0296
ko:K02057	tpg:TPEGAU_0301
ko:K02057	tpg:TPEGAU_0302
ko:K03572	tpg:TPEGAU_0303
ko:K01937	tpg:TPEGAU_0305
ko:K02986	tpg:TPEGAU_0306
ko:K07335	tpg:TPEGAU_0319
ko:K02057	tpg:TPEGAU_0322
ko:K02057	tpg:TPEGAU_0323
ko:K07277	tpg:TPEGAU_0326
ko:K06142	tpg:TPEGAU_0327
ko:K03555	tpg:TPEGAU_0328
ko:K00600	tpg:TPEGAU_0329
ko:K03408	tpg:TPEGAU_0439
ko:K00858	tpg:TPEGAU_0441
ko:K03631	tpg:TPEGAU_0442
ko:K03152	tpg:TPEGAU_0445
ko:K00761	tpg:TPEGAU_0448
ko:K02355	tpg:TPEGAU_0450
ko:K01870	tpg:TPEGAU_0452
ko:K06024	tpg:TPEGAU_0458
ko:K06178	tpg:TPEGAU_0459
ko:K03439	tpg:TPEGAU_0464
ko:K03703	tpg:TPEGAU_0472
ko:K01810	tpg:TPEGAU_0475
ko:K00925	tpg:TPEGAU_0476
ko:K01057	tpg:TPEGAU_0477
ko:K00036	tpg:TPEGAU_0478
ko:K07082	tpg:TPEGAU_0491
ko:K11749	tpg:TPEGAU_0600
ko:K00099	tpg:TPEGAU_0601
ko:K00981	tpg:TPEGAU_0602
ko:K00806	tpg:TPEGAU_0603
ko:K02838	tpg:TPEGAU_0604
ko:K02357	tpg:TPEGAU_0605
ko:K02967	tpg:TPEGAU_0606
ko:K01893	tpg:TPEGAU_0609
ko:K09013	tpg:TPEGAU_0611
ko:K09014	tpg:TPEGAU_0612
ko:K11717	tpg:TPEGAU_0614
ko:K01807	tpg:TPEGAU_0616
ko:K08307	tpg:TPEGAU_0623
ko:K03547	tpg:TPEGAU_0626
ko:K00763	tpg:TPEGAU_0628
ko:K03412	tpg:TPEGAU_0631
ko:K01867	tpg:TPEGAU_0632
ko:K12267	tpg:TPEGAU_0633
ko:K01972	tpg:TPEGAU_0634
ko:K00791	tpg:TPEGAU_0637
ko:K01892	tpg:TPEGAU_0641
ko:K00969	tpg:TPEGAU_0741
ko:K02899	tpg:TPEGAU_0743
ko:K02888	tpg:TPEGAU_0745
ko:K06168	tpg:TPEGAU_0754
ko:K00604	tpg:TPEGAU_0756
ko:K01462	tpg:TPEGAU_0757
ko:K02970	tpg:TPEGAU_0758
ko:K03587	tpg:TPEGAU_0760
ko:K03798	tpg:TPEGAU_0765
ko:K02355	tpg:TPEGAU_0767
ko:K03324	tpg:TPEGAU_0771
ko:K07507	tpg:TPEGAU_0774
ko:K10773	tpg:TPEGAU_0775
ko:K01950	tpg:TPEGAU_0780
ko:K09774	tpg:TPEGAU_0785
ko:K06861	tpg:TPEGAU_0786
ko:K02410	tpg:TPEGAU_0026
ko:K00790	tpg:TPEGAU_0029
ko:K04077	tpg:TPEGAU_0030
ko:K09761	tpg:TPEGAU_0032
ko:K09817	tpg:TPEGAU_0035
ko:K09816	tpg:TPEGAU_0036
ko:K03778	tpg:TPEGAU_0037
ko:K08309	tpg:TPEGAU_0043
ko:K03495	tpg:TPEGAU_0044
ko:K09770	tpg:TPEGAU_0047
ko:K07101	tpg:TPEGAU_0050
ko:K02835	tpg:TPEGAU_0051
ko:K02493	tpg:TPEGAU_0052
ko:K01573	tpg:TPEGAU_0055
ko:K02939	tpg:TPEGAU_0060
ko:K02963	tpg:TPEGAU_0061
ko:K02990	tpg:TPEGAU_0063
ko:K06941	tpg:TPEGAU_0068
ko:K03695	tpg:TPEGAU_0071
ko:K01265	tpg:TPEGAU_0842
ko:K00134	tpg:TPEGAU_0844
ko:K09768	tpg:TPEGAU_0845
ko:K02887	tpg:TPEGAU_0848
ko:K02916	tpg:TPEGAU_0849
ko:K02520	tpg:TPEGAU_0850
ko:K13292	tpg:TPEGAU_0852
ko:K04562	tpg:TPEGAU_0853
ko:K00820	tpg:TPEGAU_0861
ko:K03773	tpg:TPEGAU_0862
ko:K04487	tpg:TPEGAU_0863
ko:K07391	tpg:TPEGAU_0866
ko:K02406	tpg:TPEGAU_0868
ko:K02406	tpg:TPEGAU_0870
ko:K02407	tpg:TPEGAU_0872
ko:K06925	tpg:TPEGAU_0875
ko:K00962	tpg:TPEGAU_0886
ko:K02956	tpg:TPEGAU_0887
ko:K11753	tpg:TPEGAU_0888
ko:K02834	tpg:TPEGAU_0890
ko:K02519	tpg:TPEGAU_0891
ko:K02600	tpg:TPEGAU_0892
ko:K09748	tpg:TPEGAU_0893
ko:K07566	tpg:TPEGAU_0182
ko:K03664	tpg:TPEGAU_0184
ko:K03100	tpg:TPEGAU_0185
ko:K02358	tpg:TPEGAU_0187
ko:K02946	tpg:TPEGAU_0188
ko:K02906	tpg:TPEGAU_0189
ko:K02926	tpg:TPEGAU_0190
ko:K02892	tpg:TPEGAU_0191
ko:K02886	tpg:TPEGAU_0192
ko:K02965	tpg:TPEGAU_0193
ko:K02890	tpg:TPEGAU_0194
ko:K02982	tpg:TPEGAU_0195
ko:K02878	tpg:TPEGAU_0196
ko:K02904	tpg:TPEGAU_0197
ko:K02961	tpg:TPEGAU_0198
ko:K02874	tpg:TPEGAU_0199
ko:K02895	tpg:TPEGAU_0200
ko:K02931	tpg:TPEGAU_0201
ko:K02954	tpg:TPEGAU_0202
ko:K02994	tpg:TPEGAU_0203
ko:K02933	tpg:TPEGAU_0204
ko:K02881	tpg:TPEGAU_0205
ko:K02988	tpg:TPEGAU_0206
ko:K02907	tpg:TPEGAU_0206a
ko:K02876	tpg:TPEGAU_0207
ko:K03076	tpg:TPEGAU_0208
ko:K02919	tpg:TPEGAU_0209
ko:K02952	tpg:TPEGAU_0210
ko:K02948	tpg:TPEGAU_0211
ko:K03040	tpg:TPEGAU_0212
ko:K02879	tpg:TPEGAU_0213
ko:K03687	tpg:TPEGAU_0215
ko:K04043	tpg:TPEGAU_0216
ko:K03686	tpg:TPEGAU_0217
ko:K03642	tpg:TPEGAU_0993
ko:K03424	tpg:TPEGAU_0994
ko:K04773	tpg:TPEGAU_0997
ko:K03310	tpg:TPEGAU_0998
ko:K03466	tpg:TPEGAU_0999
ko:K06187	tpg:TPEGAU_1004
ko:K02343	tpg:TPEGAU_1005
ko:K02470	tpg:TPEGAU_1006
ko:K00057	tpg:TPEGAU_1009
ko:K00940	tpg:TPEGAU_1010
ko:K01056	tpg:TPEGAU_1011
ko:K04078	tpg:TPEGAU_1013
ko:K03625	tpg:TPEGAU_1015
ko:K01872	tpg:TPEGAU_1017
ko:K02435	tpg:TPEGAU_1019
ko:K02434	tpg:TPEGAU_1021
ko:K04485	tpg:TPEGAU_1022
ko:K03565	tpg:TPEGAU_1023
ko:K02996	tpg:TPEGAU_1024
ko:K02871	tpg:TPEGAU_1025
ko:K00757	tpg:TPEGAU_1027
ko:K03657	tpg:TPEGAU_1028
ko:K07001	tpg:TPEGAU_1033
ko:K07301	tpg:TPEGAU_1034
ko:K01873	tpg:TPEGAU_1035
ko:K11068	tpg:TPEGAU_1037
ko:K04047	tpg:TPEGAU_1038
ko:K00759	tpg:TPEGAU_1039
ko:K04568	tpg:TPEGAU_1040
ko:K01358	tpg:TPEGAU_1041
ko:K02528	tpg:TPEGAU_0337
ko:K06180	tpg:TPEGAU_0339
ko:K11754	tpg:TPEGAU_0340
ko:K01924	tpg:TPEGAU_0341
ko:K00945	tpg:TPEGAU_0342
ko:K03575	tpg:TPEGAU_0343
ko:K03723	tpg:TPEGAU_0344
ko:K03775	tpg:TPEGAU_0349
ko:K00147	tpg:TPEGAU_0350
ko:K00931	tpg:TPEGAU_0351
ko:K00943	tpg:TPEGAU_0354
ko:K03524	tpg:TPEGAU_0357
ko:K00655	tpg:TPEGAU_0361
ko:K02902	tpg:TPEGAU_0362
ko:K03407	tpg:TPEGAU_0363
ko:K03408	tpg:TPEGAU_0364
ko:K03413	tpg:TPEGAU_0366
ko:K03529	tpg:TPEGAU_0367
ko:K00919	tpg:TPEGAU_0371
ko:K02897	tpg:TPEGAU_0372
ko:K04075	tpg:TPEGAU_0373
ko:K03070	tpg:TPEGAU_0379
ko:K01000	tpg:TPEGAU_0345
ko:K03086	tpg:TPEGAU_0493
ko:K07164	tpg:TPEGAU_0494
ko:K03569	tpg:TPEGAU_0497
ko:K03570	tpg:TPEGAU_0498
ko:K03571	tpg:TPEGAU_0499
ko:K05515	tpg:TPEGAU_0500
ko:K05837	tpg:TPEGAU_0501
ko:K00844	tpg:TPEGAU_0505
ko:K03545	tpg:TPEGAU_0506
ko:K01358	tpg:TPEGAU_0507
ko:K03544	tpg:TPEGAU_0508
ko:K03596	tpg:TPEGAU_0510
ko:K07736	tpg:TPEGAU_0511
ko:K12506	tpg:TPEGAU_0512
ko:K03701	tpg:TPEGAU_0514
ko:K03980	tpg:TPEGAU_0516
ko:K01159	tpg:TPEGAU_0517
ko:K02343	tpg:TPEGAU_0521
ko:K03558	tpg:TPEGAU_0522
ko:K02563	tpg:TPEGAU_0523
ko:K01338	tpg:TPEGAU_0524
ko:K02356	tpg:TPEGAU_0525
ko:K03075	tpg:TPEGAU_0536
ko:K01803	tpg:TPEGAU_0537
ko:K00927	tpg:TPEGAU_0538
ko:K04566	tpg:TPEGAU_0644
ko:K01875	tpg:TPEGAU_0647
ko:K07042	tpg:TPEGAU_0650
ko:K07037	tpg:TPEGAU_0651
ko:K03563	tpg:TPEGAU_0657
ko:K13626	tpg:TPEGAU_0658
ko:K02397	tpg:TPEGAU_0659
ko:K02396	tpg:TPEGAU_0660
ko:K01624	tpg:TPEGAU_0662
ko:K00876	tpg:TPEGAU_0667
ko:K02313	tpg:TPEGAU_0001
ko:K02338	tpg:TPEGAU_0002
ko:K03629	tpg:TPEGAU_0003
ko:K02469	tpg:TPEGAU_0005
ko:K01890	tpg:TPEGAU_0015
ko:K03308	tpg:TPEGAU_0023
ko:K02406	tpg:TPEGAU_0792
ko:K00789	tpg:TPEGAU_0794
ko:K03734	tpg:TPEGAU_0796
ko:K00286	tpg:TPEGAU_0797
ko:K01874	tpg:TPEGAU_0798
ko:K03694	tpg:TPEGAU_0801
ko:K01147	tpg:TPEGAU_0805
ko:K02911	tpg:TPEGAU_0807
ko:K02078	tpg:TPEGAU_0808
ko:K03685	tpg:TPEGAU_0809
ko:K00384	tpg:TPEGAU_0814
ko:K01689	tpg:TPEGAU_0817
ko:K02073	tpg:TPEGAU_0821
ko:K05919	tpg:TPEGAU_0823
ko:K01662	tpg:TPEGAU_0824
ko:K00997	tpg:TPEGAU_0828
ko:K09766	tpg:TPEGAU_0829
ko:K06173	tpg:TPEGAU_0830
ko:K01887	tpg:TPEGAU_0831
ko:K01866	tpg:TPEGAU_0834
ko:K01868	tpg:TPEGAU_0837
ko:K02221	tpg:TPEGAU_0668
ko:K02337	tpg:TPEGAU_0669
