ko:K06896	stu:STH8232_0285
ko:K07016	stu:STH8232_1162
ko:K01533	stu:STH8232_1032
ko:K02028	stu:STH8232_0795
ko:K03293	stu:STH8232_0621
ko:K10009	stu:STH8232_1176
ko:K10040	stu:STH8232_1350
ko:K19689	stu:STH8232_0105
ko:K07316	stu:STH8232_1076
ko:K16301	stu:STH8232_1222
ko:K10716	stu:STH8232_1649
ko:K01992	stu:STH8232_0374
ko:K02005	stu:STH8232_0647
ko:K13677	stu:STH8232_0750
ko:K07260	stu:STH8232_0186
ko:K07012	stu:STH8232_1242
ko:K01271	stu:STH8232_0821
ko:K10041	stu:STH8232_1347
ko:K10039	stu:STH8232_1348
ko:K02029	stu:STH8232_1822
ko:K02030	stu:STH8232_1820
ko:K01803	stu:STH8232_0600
ko:K00943	stu:STH8232_0601
ko:K02341	stu:STH8232_0602
ko:K07056	stu:STH8232_0605
ko:K03320	stu:STH8232_0606
ko:K04751	stu:STH8232_0607
ko:K03324	stu:STH8232_0612
ko:K01443	stu:STH8232_0613
ko:K01878	stu:STH8232_0618
ko:K01879	stu:STH8232_0619
ko:K03101	stu:STH8232_0637
ko:K06180	stu:STH8232_0638
ko:K02825	stu:STH8232_0639
ko:K00609	stu:STH8232_0641
ko:K01956	stu:STH8232_0642
ko:K01955	stu:STH8232_0644
ko:K02864	stu:STH8232_0653
ko:K02935	stu:STH8232_0654
ko:K01790	stu:STH8232_1466
ko:K00973	stu:STH8232_1467
ko:K07238	stu:STH8232_1469
ko:K06967	stu:STH8232_1473
ko:K03431	stu:STH8232_1475
ko:K01928	stu:STH8232_1479
ko:K14205	stu:STH8232_1481
ko:K06158	stu:STH8232_1484
ko:K00876	stu:STH8232_1485
ko:K00031	stu:STH8232_1491
ko:K01647	stu:STH8232_1492
ko:K01681	stu:STH8232_1493
ko:K02469	stu:STH8232_1503
ko:K00868	stu:STH8232_1508
ko:K00783	stu:STH8232_2335
ko:K06941	stu:STH8232_1952
ko:K01000	stu:STH8232_1958
ko:K03438	stu:STH8232_1961
ko:K00147	stu:STH8232_1971
ko:K00931	stu:STH8232_1972
ko:K07150	stu:STH8232_1975
ko:K03655	stu:STH8232_1990
ko:K01775	stu:STH8232_1991
ko:K00997	stu:STH8232_1992
ko:K01626	stu:STH8232_1993
ko:K01626	stu:STH8232_1994
ko:K03070	stu:STH8232_1995
ko:K01809	stu:STH8232_1998
ko:K00847	stu:STH8232_1999
ko:K01193	stu:STH8232_2001
ko:K03484	stu:STH8232_2002
ko:K00800	stu:STH8232_0839
ko:K00891	stu:STH8232_0840
ko:K03215	stu:STH8232_0846
ko:K07089	stu:STH8232_0858
ko:K06959	stu:STH8232_0860
ko:K13292	stu:STH8232_0864
ko:K08303	stu:STH8232_0869
ko:K03523	stu:STH8232_0871
ko:K03322	stu:STH8232_0874
ko:K04567	stu:STH8232_0880
ko:K01153	stu:STH8232_0895
ko:K06180	stu:STH8232_1682
ko:K00858	stu:STH8232_1683
ko:K00948	stu:STH8232_1686
ko:K04487	stu:STH8232_1687
ko:K01926	stu:STH8232_1689
ko:K07010	stu:STH8232_1690
ko:K03630	stu:STH8232_1691
ko:K00067	stu:STH8232_1705
ko:K03086	stu:STH8232_1711
ko:K03282	stu:STH8232_1713
ko:K02970	stu:STH8232_1714
ko:K03702	stu:STH8232_1720
ko:K03979	stu:STH8232_1729
ko:K06901	stu:STH8232_0432
ko:K06925	stu:STH8232_0433
ko:K09748	stu:STH8232_0436
ko:K02600	stu:STH8232_0438
ko:K07742	stu:STH8232_0439
ko:K02519	stu:STH8232_0441
ko:K02834	stu:STH8232_0442
ko:K06966	stu:STH8232_0443
ko:K06966	stu:STH8232_0444
ko:K14155	stu:STH8232_0451
ko:K00761	stu:STH8232_0455
ko:K01358	stu:STH8232_0456
ko:K01999	stu:STH8232_0459
ko:K01997	stu:STH8232_0460
ko:K01998	stu:STH8232_0461
ko:K01995	stu:STH8232_0462
ko:K01996	stu:STH8232_0463
ko:K01738	stu:STH8232_0466
ko:K05808	stu:STH8232_0470
ko:K03565	stu:STH8232_0484
ko:K01839	stu:STH8232_1303
ko:K01807	stu:STH8232_1304
ko:K01821	stu:STH8232_1311
ko:K02887	stu:STH8232_1315
ko:K02916	stu:STH8232_1316
ko:K02520	stu:STH8232_1317
ko:K00945	stu:STH8232_1318
ko:K03100	stu:STH8232_1323
ko:K09811	stu:STH8232_1327
ko:K09812	stu:STH8232_1328
ko:K02836	stu:STH8232_1329
ko:K09790	stu:STH8232_1343
ko:K00790	stu:STH8232_1353
ko:K01733	stu:STH8232_2163
