ko:K19302	mtur:CFBS_0325
ko:K15510	mtur:CFBS_0142
ko:K08744	mtur:CFBS_1914
ko:K07029	mtur:CFBS_2385
ko:K08884	mtur:CFBS_3071
ko:K01992	mtur:CFBS_1296
ko:K01992	mtur:CFBS_1551
ko:K01992	mtur:CFBS_3095
ko:K01992	mtur:CFBS_3096
ko:K12349	mtur:CFBS_0704
ko:K02338	mtur:CFBS_0004
ko:K03629	mtur:CFBS_0005
ko:K02313	mtur:CFBS_0001
ko:K02470	mtur:CFBS_0007
ko:K02469	mtur:CFBS_0008
ko:K01006	mtur:CFBS_1195
ko:K02904	mtur:CFBS_0745
ko:K03306	mtur:CFBS_0569
ko:K02037	mtur:CFBS_0977
ko:K01243	mtur:CFBS_0097
ko:K22476	mtur:CFBS_0445
ko:K07171	mtur:CFBS_0474
ko:K03297	mtur:CFBS_3233
ko:K00652	mtur:CFBS_0037
ko:K02554	mtur:CFBS_3752
ko:K00845	mtur:CFBS_0682
ko:K09118	mtur:CFBS_0070
ko:K21431	mtur:CFBS_0896
ko:K22316	mtur:CFBS_2359
ko:K07171	mtur:CFBS_1169
ko:K18956	mtur:CFBS_0027
ko:K18957	mtur:CFBS_4094
ko:K18958	mtur:CFBS_3381
ko:K07171	mtur:CFBS_0691
ko:K07171	mtur:CFBS_2039
ko:K07045	mtur:CFBS_3726
ko:K18955	mtur:CFBS_3449
ko:K07068	mtur:CFBS_1717
ko:K07448	mtur:CFBS_2678
ko:K00561	mtur:CFBS_2095
ko:K04781	mtur:CFBS_2525
ko:K01011	mtur:CFBS_3474
ko:K11263	mtur:CFBS_3476
ko:K03090	mtur:CFBS_3477
ko:K03918	mtur:CFBS_3481
ko:K01966	mtur:CFBS_3471
ko:K13640	mtur:CFBS_0369
ko:K07161	mtur:CFBS_0384
ko:K12430	mtur:CFBS_3105
ko:K01958	mtur:CFBS_3129
ko:K07030	mtur:CFBS_3137
ko:K14941	mtur:CFBS_3146
ko:K01885	mtur:CFBS_3155
ko:K02342	mtur:CFBS_3933
ko:K07009	mtur:CFBS_3935
ko:K03518	mtur:CFBS_0390
ko:K03519	mtur:CFBS_0391
ko:K04093	mtur:CFBS_0998
ko:K03405	mtur:CFBS_1008
ko:K01692	mtur:CFBS_1023
ko:K01965	mtur:CFBS_1025
ko:K07669	mtur:CFBS_1033
ko:K07653	mtur:CFBS_1034
ko:K08372	mtur:CFBS_1035
ko:K02004	mtur:CFBS_1039
ko:K00805	mtur:CFBS_1041
ko:K06994	mtur:CFBS_1623
ko:K12433	mtur:CFBS_1628
ko:K01424	mtur:CFBS_1639
ko:K00244	mtur:CFBS_1655
ko:K00245	mtur:CFBS_1656
ko:K00247	mtur:CFBS_1658
ko:K06994	mtur:CFBS_1660
ko:K00652	mtur:CFBS_1672
ko:K13671	mtur:CFBS_2309
ko:K13668	mtur:CFBS_2316
ko:K02342	mtur:CFBS_2320
ko:K03889	mtur:CFBS_2323
ko:K03890	mtur:CFBS_2324
ko:K03891	mtur:CFBS_2325
ko:K00856	mtur:CFBS_2331
ko:K00274	mtur:CFBS_3348
ko:K01426	mtur:CFBS_3353
ko:K09118	mtur:CFBS_3375
ko:K07177	mtur:CFBS_3376
ko:K09966	mtur:CFBS_3971
ko:K04517	mtur:CFBS_3980
ko:K00392	mtur:CFBS_2531
ko:K00784	mtur:CFBS_2549
ko:K02238	mtur:CFBS_2557
ko:K00666	mtur:CFBS_0575
ko:K02549	mtur:CFBS_0577
ko:K12583	mtur:CFBS_0581
ko:K00805	mtur:CFBS_0586
ko:K02067	mtur:CFBS_0615
ko:K02067	mtur:CFBS_0616
ko:K02067	mtur:CFBS_0617
ko:K02067	mtur:CFBS_0618
ko:K02067	mtur:CFBS_0619
ko:K02067	mtur:CFBS_0620
ko:K13669	mtur:CFBS_1237
ko:K01724	mtur:CFBS_1238
ko:K03574	mtur:CFBS_1239
ko:K00374	mtur:CFBS_1243
ko:K15525	mtur:CFBS_1249
ko:K11779	mtur:CFBS_1252
ko:K00219	mtur:CFBS_1254
ko:K07161	mtur:CFBS_2569
ko:K03386	mtur:CFBS_2572
ko:K00852	mtur:CFBS_2582
ko:K06994	mtur:CFBS_1261
ko:K12423	mtur:CFBS_1263
ko:K00294	mtur:CFBS_1265
ko:K00674	mtur:CFBS_1279
ko:K00666	mtur:CFBS_1846
ko:K14743	mtur:CFBS_1886
ko:K16047	mtur:CFBS_3787
ko:K01104	mtur:CFBS_0166
ko:K00666	mtur:CFBS_0181
ko:K02067	mtur:CFBS_0184
ko:K02067	mtur:CFBS_0185
ko:K02067	mtur:CFBS_0186
ko:K02067	mtur:CFBS_0188
ko:K02067	mtur:CFBS_0189
ko:K07386	mtur:CFBS_0214
ko:K06986	mtur:CFBS_0824
ko:K07077	mtur:CFBS_0825
ko:K07052	mtur:CFBS_0845
