ko:K08744	mtx:M943_09475
ko:K07029	mtx:M943_11665
ko:K08884	mtx:M943_15040
ko:K01992	mtx:M943_06365
ko:K01992	mtx:M943_07640
ko:K01992	mtx:M943_15145
ko:K01992	mtx:M943_15150
ko:K14226	mtx:M943_12970
ko:K12349	mtx:M943_03480
ko:K01006	mtx:M943_05910
ko:K22476	mtx:M943_02220
ko:K14236	mtx:M943_02935
ko:K03297	mtx:M943_15820
ko:K02554	mtx:M943_18180
ko:K21431	mtx:M943_04470
ko:K22316	mtx:M943_11535
ko:K12429	mtx:M943_06245
ko:K07171	mtx:M943_05810
ko:K18956	mtx:M943_00145
ko:K18957	mtx:M943_19840
ko:K07171	mtx:M943_03435
ko:K07171	mtx:M943_10080
ko:K07045	mtx:M943_18050
ko:K18955	mtx:M943_16840
ko:K07068	mtx:M943_08490
ko:K07448	mtx:M943_13060
ko:K14218	mtx:M943_15835
ko:K00561	mtx:M943_10315
ko:K14233	mtx:M943_19130
ko:K14233	mtx:M943_19405
ko:K04781	mtx:M943_12320
ko:K07735	mtx:M943_00225
ko:K01869	mtx:M943_00240
ko:K01858	mtx:M943_00265
ko:K02990	mtx:M943_00300
ko:K02963	mtx:M943_00310
ko:K02939	mtx:M943_00315
ko:K00031	mtx:M943_00370
ko:K01752	mtx:M943_00390
ko:K00600	mtx:M943_00395
ko:K02003	mtx:M943_00425
ko:K14155	mtx:M943_00435
ko:K12140	mtx:M943_00495
ko:K12141	mtx:M943_00500
ko:K03271	mtx:M943_00625
ko:K03273	mtx:M943_00630
ko:K02355	mtx:M943_00665
ko:K05343	mtx:M943_00695
ko:K03281	mtx:M943_00785
ko:K00324	mtx:M943_00850
ko:K00324	mtx:M943_00855
ko:K00325	mtx:M943_00860
ko:K07107	mtx:M943_00895
ko:K02066	mtx:M943_00915
ko:K02066	mtx:M943_00920
ko:K02313	mtx:M943_00005
ko:K02338	mtx:M943_00010
ko:K03629	mtx:M943_00015
ko:K02470	mtx:M943_00025
ko:K02469	mtx:M943_00030
ko:K00459	mtx:M943_00140
ko:K00240	mtx:M943_01315
ko:K00239	mtx:M943_01320
ko:K00362	mtx:M943_01340
ko:K00363	mtx:M943_01345
ko:K02231	mtx:M943_01350
ko:K02232	mtx:M943_01355
ko:K02575	mtx:M943_01380
ko:K02016	mtx:M943_01400
ko:K02575	mtx:M943_01410
ko:K04719	mtx:M943_01615
ko:K03306	mtx:M943_02825
ko:K01661	mtx:M943_02840
ko:K02551	mtx:M943_02875
ko:K03183	mtx:M943_02890
ko:K03799	mtx:M943_02915
ko:K00057	mtx:M943_02920
