ko:K10563	ypi:YpsIP31758_0064
ko:K02015	ypi:YpsIP31758_2668
ko:K02548	ypi:YpsIP31758_0111
ko:K02409	ypi:YpsIP31758_0631
ko:K10773	ypi:YpsIP31758_1901
ko:K03925	ypi:YpsIP31758_3396
ko:K07407	ypi:YpsIP31758_2395
ko:K01760	ypi:YpsIP31758_0590
ko:K05799	ypi:YpsIP31758_3364
ko:K05793	ypi:YpsIP31758_3787
ko:K11733	ypi:YpsIP31758_2670
ko:K07052	ypi:YpsIP31758_0721
ko:K02622	ypi:YpsIP31758_0578
ko:K05788	ypi:YpsIP31758_2579
ko:K03587	ypi:YpsIP31758_3393
ko:K05787	ypi:YpsIP31758_3846
ko:K03530	ypi:YpsIP31758_3089
ko:K02841	ypi:YpsIP31758_0068
ko:K02902	ypi:YpsIP31758_0062
ko:K03630	ypi:YpsIP31758_0061
ko:K05775	ypi:YpsIP31758_0310
ko:K03499	ypi:YpsIP31758_3885
ko:K02879	ypi:YpsIP31758_3889
ko:K06207	ypi:YpsIP31758_0028
ko:K03673	ypi:YpsIP31758_0020
ko:K03752	ypi:YpsIP31758_0017
ko:K06726	ypi:YpsIP31758_0007
ko:K01624	ypi:YpsIP31758_0850
ko:K03558	ypi:YpsIP31758_1425
ko:K06173	ypi:YpsIP31758_1420
ko:K08296	ypi:YpsIP31758_1402
ko:K07261	ypi:YpsIP31758_1406
ko:K02196	ypi:YpsIP31758_1390
ko:K02195	ypi:YpsIP31758_1389
ko:K02194	ypi:YpsIP31758_1388
ko:K08305	ypi:YpsIP31758_1351
ko:K03528	ypi:YpsIP31758_1320
ko:K06203	ypi:YpsIP31758_1319
ko:K08483	ypi:YpsIP31758_1316
ko:K02777	ypi:YpsIP31758_1315
ko:K03187	ypi:YpsIP31758_1080
ko:K03609	ypi:YpsIP31758_2011
ko:K03608	ypi:YpsIP31758_2012
ko:K03688	ypi:YpsIP31758_0273
ko:K03185	ypi:YpsIP31758_0861
ko:K00627	ypi:YpsIP31758_3362
ko:K00850	ypi:YpsIP31758_0089
ko:K01610	ypi:YpsIP31758_3978
ko:K01963	ypi:YpsIP31758_1422
ko:K06205	ypi:YpsIP31758_0001
ko:K03718	ypi:YpsIP31758_0002
ko:K07708	ypi:YpsIP31758_0026
ko:K02552	ypi:YpsIP31758_1481
ko:K02992	ypi:YpsIP31758_3920
ko:K04564	ypi:YpsIP31758_1756
ko:K04567	ypi:YpsIP31758_0883
ko:K00484	ypi:YpsIP31758_2356
ko:K01429	ypi:YpsIP31758_1078
ko:K00954	ypi:YpsIP31758_0065
ko:K03500	ypi:YpsIP31758_3884
ko:K01889	ypi:YpsIP31758_1716
ko:K04762	ypi:YpsIP31758_3976
ko:K04083	ypi:YpsIP31758_3977
ko:K02553	ypi:YpsIP31758_0110
ko:K01657	ypi:YpsIP31758_1932
ko:K05851	ypi:YpsIP31758_0201
ko:K07462	ypi:YpsIP31758_0881
ko:K01095	ypi:YpsIP31758_3113
ko:K03594	ypi:YpsIP31758_3917
ko:K02501	ypi:YpsIP31758_2432
ko:K02500	ypi:YpsIP31758_2434
ko:K00113	ypi:YpsIP31758_0229
ko:K00111	ypi:YpsIP31758_4000
ko:K03666	ypi:YpsIP31758_3653
ko:K03631	ypi:YpsIP31758_2889
ko:K03746	ypi:YpsIP31758_1966
ko:K02535	ypi:YpsIP31758_3381
ko:K03658	ypi:YpsIP31758_2536
ko:K01808	ypi:YpsIP31758_3289
ko:K00483	ypi:YpsIP31758_2357
ko:K08722	ypi:YpsIP31758_1449
ko:K01584	ypi:YpsIP31758_2781
ko:K01585	ypi:YpsIP31758_0843
ko:K03686	ypi:YpsIP31758_3465
ko:K00872	ypi:YpsIP31758_3475
ko:K01430	ypi:YpsIP31758_1077
ko:K07300	ypi:YpsIP31758_2124
ko:K06217	ypi:YpsIP31758_2125
ko:K02424	ypi:YpsIP31758_2274
ko:K02425	ypi:YpsIP31758_2278
ko:K02407	ypi:YpsIP31758_2283
ko:K02422	ypi:YpsIP31758_2284
ko:K02423	ypi:YpsIP31758_2285
ko:K01883	ypi:YpsIP31758_3014
ko:K03654	ypi:YpsIP31758_0218
ko:K03733	ypi:YpsIP31758_0207
ko:K03438	ypi:YpsIP31758_3395
ko:K03771	ypi:YpsIP31758_3442
ko:K02408	ypi:YpsIP31758_2289
ko:K02409	ypi:YpsIP31758_2290
ko:K02410	ypi:YpsIP31758_2291
ko:K02411	ypi:YpsIP31758_2292
ko:K02413	ypi:YpsIP31758_2294
ko:K02415	ypi:YpsIP31758_2298
ko:K02416	ypi:YpsIP31758_2299
ko:K02417	ypi:YpsIP31758_2300
ko:K02418	ypi:YpsIP31758_2301
ko:K02397	ypi:YpsIP31758_2313
ko:K02396	ypi:YpsIP31758_2314
ko:K02395	ypi:YpsIP31758_2316
ko:K02393	ypi:YpsIP31758_2318
ko:K02946	ypi:YpsIP31758_3916
ko:K05786	ypi:YpsIP31758_0215
ko:K03503	ypi:YpsIP31758_B0052
ko:K03574	ypi:YpsIP31758_3377
ko:K00794	ypi:YpsIP31758_3116
ko:K02314	ypi:YpsIP31758_3765
ko:K02316	ypi:YpsIP31758_0554
ko:K03111	ypi:YpsIP31758_3760
ko:K02846	ypi:YpsIP31758_1564
ko:K02906	ypi:YpsIP31758_3915
ko:K02926	ypi:YpsIP31758_3914
ko:K02892	ypi:YpsIP31758_3913
ko:K07646	ypi:YpsIP31758_1103
ko:K07667	ypi:YpsIP31758_1102
ko:K03656	ypi:YpsIP31758_0175
ko:K02419	ypi:YpsIP31758_2302
ko:K02412	ypi:YpsIP31758_2293
ko:K01223	ypi:YpsIP31758_2729
ko:K00325	ypi:YpsIP31758_1831
ko:K03669	ypi:YpsIP31758_1553
ko:K03557	ypi:YpsIP31758_0385
ko:K02982	ypi:YpsIP31758_3909
ko:K03502	ypi:YpsIP31758_B0053
ko:K03545	ypi:YpsIP31758_3093
ko:K07636	ypi:YpsIP31758_3135
ko:K01547	ypi:YpsIP31758_1106
ko:K00610	ypi:YpsIP31758_0435
ko:K07639	ypi:YpsIP31758_1825
ko:K03407	ypi:YpsIP31758_1638
ko:K07676	ypi:YpsIP31758_2763
ko:K07678	ypi:YpsIP31758_3322
ko:K07641	ypi:YpsIP31758_0876
ko:K10441	ypi:YpsIP31758_0813
ko:K10440	ypi:YpsIP31758_0814
ko:K02057	ypi:YpsIP31758_2307
ko:K02056	ypi:YpsIP31758_2308
ko:K02344	ypi:YpsIP31758_3506
ko:K02687	ypi:YpsIP31758_0388
ko:K05515	ypi:YpsIP31758_2949
ko:K03841	ypi:YpsIP31758_3621
ko:K02446	ypi:YpsIP31758_0100
ko:K10545	ypi:YpsIP31758_4100
ko:K02058	ypi:YpsIP31758_0364
ko:K02056	ypi:YpsIP31758_0365
ko:K02057	ypi:YpsIP31758_0366
ko:K02057	ypi:YpsIP31758_0367
ko:K10439	ypi:YpsIP31758_0812
ko:K02567	ypi:YpsIP31758_1273
ko:K02601	ypi:YpsIP31758_3865
ko:K03601	ypi:YpsIP31758_1193
ko:K02042	ypi:YpsIP31758_2796
ko:K02041	ypi:YpsIP31758_2799
