ko:K19405	ctfs:CTRC342_03625
ko:K08151	ctfs:CTRC342_04115
ko:K03559	ctfs:CTRC342_03190
ko:K14233	ctfs:CTRC342_t04918
ko:K04084	ctfs:CTRC342_03180
ko:K01887	ctfs:CTRC342_02425
ko:K00790	ctfs:CTRC342_02430
ko:K02836	ctfs:CTRC342_02450
ko:K00991	ctfs:CTRC342_02465
ko:K06173	ctfs:CTRC342_02470
ko:K07710	ctfs:CTRC342_02490
ko:K07714	ctfs:CTRC342_02495
ko:K03584	ctfs:CTRC342_02505
ko:K03980	ctfs:CTRC342_03335
ko:K01151	ctfs:CTRC342_03340
ko:K02986	ctfs:CTRC342_03350
ko:K07146	ctfs:CTRC342_03355
ko:K13789	ctfs:CTRC342_03360
ko:K01698	ctfs:CTRC342_03390
ko:K00346	ctfs:CTRC342_03395
ko:K03582	ctfs:CTRC342_03420
ko:K03583	ctfs:CTRC342_03425
ko:K03168	ctfs:CTRC342_03445
ko:K02221	ctfs:CTRC342_03455
ko:K03581	ctfs:CTRC342_03500
ko:K06861	ctfs:CTRC342_03510
ko:K01627	ctfs:CTRC342_03520
ko:K06180	ctfs:CTRC342_03540
ko:K06960	ctfs:CTRC342_03545
ko:K02469	ctfs:CTRC342_03550
ko:K02470	ctfs:CTRC342_03555
ko:K03664	ctfs:CTRC342_00400
ko:K03734	ctfs:CTRC342_00405
ko:K01491	ctfs:CTRC342_00410
ko:K02902	ctfs:CTRC342_00445
ko:K04058	ctfs:CTRC342_00465
ko:K03230	ctfs:CTRC342_00470
ko:K03229	ctfs:CTRC342_00475
ko:K06942	ctfs:CTRC342_00480
ko:K11753	ctfs:CTRC342_00485
ko:K02834	ctfs:CTRC342_00495
ko:K02519	ctfs:CTRC342_00500
ko:K02600	ctfs:CTRC342_00505
ko:K02945	ctfs:CTRC342_00510
ko:K00384	ctfs:CTRC342_00515
ko:K00997	ctfs:CTRC342_00520
ko:K00208	ctfs:CTRC342_00545
ko:K03575	ctfs:CTRC342_00565
ko:K04077	ctfs:CTRC342_00580
ko:K04078	ctfs:CTRC342_00585
ko:K08602	ctfs:CTRC342_00590
ko:K03695	ctfs:CTRC342_00600
ko:K01783	ctfs:CTRC342_00645
ko:K02356	ctfs:CTRC342_00650
ko:K02160	ctfs:CTRC342_00655
ko:K01961	ctfs:CTRC342_00660
ko:K02871	ctfs:CTRC342_00670
ko:K02996	ctfs:CTRC342_00675
ko:K02029	ctfs:CTRC342_00690
ko:K07058	ctfs:CTRC342_00705
ko:K06999	ctfs:CTRC342_00730
ko:K07566	ctfs:CTRC342_00735
ko:K09125	ctfs:CTRC342_00750
ko:K07039	ctfs:CTRC342_00755
ko:K01972	ctfs:CTRC342_00785
ko:K02913	ctfs:CTRC342_00805
ko:K09808	ctfs:CTRC342_00810
ko:K09810	ctfs:CTRC342_00815
ko:K03720	ctfs:CTRC342_00905
ko:K01696	ctfs:CTRC342_00915
ko:K01695	ctfs:CTRC342_00920
ko:K03611	ctfs:CTRC342_00945
ko:K00979	ctfs:CTRC342_00975
ko:K01937	ctfs:CTRC342_00980
ko:K07447	ctfs:CTRC342_00985
ko:K00036	ctfs:CTRC342_00990
ko:K01057	ctfs:CTRC342_00995
ko:K02343	ctfs:CTRC342_01000
ko:K14227	ctfs:CTRC342_t04900
ko:K14218	ctfs:CTRC342_t04902
ko:K14218	ctfs:CTRC342_t04940
ko:K14230	ctfs:CTRC342_t04904
ko:K14230	ctfs:CTRC342_t04916
ko:K00791	ctfs:CTRC342_04285
ko:K09710	ctfs:CTRC342_04300
ko:K09458	ctfs:CTRC342_04305
ko:K00263	ctfs:CTRC342_04320
ko:K00655	ctfs:CTRC342_04330
ko:K04066	ctfs:CTRC342_04345
ko:K04567	ctfs:CTRC342_04360
ko:K01883	ctfs:CTRC342_04365
ko:K03536	ctfs:CTRC342_04375
ko:K02919	ctfs:CTRC342_04380
ko:K02954	ctfs:CTRC342_04385
ko:K03703	ctfs:CTRC342_04410
ko:K03555	ctfs:CTRC342_04415
ko:K14164	ctfs:CTRC342_04440
ko:K00995	ctfs:CTRC342_04450
ko:K00703	ctfs:CTRC342_04455
ko:K02897	ctfs:CTRC342_04460
ko:K01056	ctfs:CTRC342_04465
ko:K02990	ctfs:CTRC342_04470
ko:K02963	ctfs:CTRC342_04475
ko:K02939	ctfs:CTRC342_04480
ko:K00919	ctfs:CTRC342_04485
ko:K00630	ctfs:CTRC342_04505
ko:K08301	ctfs:CTRC342_04510
ko:K02911	ctfs:CTRC342_04520
ko:K03621	ctfs:CTRC342_04525
ko:K00943	ctfs:CTRC342_01005
ko:K02469	ctfs:CTRC342_01010
ko:K02470	ctfs:CTRC342_01015
ko:K00773	ctfs:CTRC342_01030
ko:K06213	ctfs:CTRC342_01035
ko:K15580	ctfs:CTRC342_01055
ko:K15581	ctfs:CTRC342_01060
ko:K03319	ctfs:CTRC342_01085
ko:K00850	ctfs:CTRC342_01090
ko:K00895	ctfs:CTRC342_01100
ko:K02527	ctfs:CTRC342_01105
ko:K01869	ctfs:CTRC342_01110
ko:K01845	ctfs:CTRC342_01115
ko:K07735	ctfs:CTRC342_01120
ko:K08999	ctfs:CTRC342_01125
ko:K01807	ctfs:CTRC342_01130
ko:K03787	ctfs:CTRC342_01155
ko:K03179	ctfs:CTRC342_01160
ko:K03186	ctfs:CTRC342_01165
ko:K03308	ctfs:CTRC342_01225
ko:K14235	ctfs:CTRC342_t04912
ko:K14233	ctfs:CTRC342_t04930
ko:K14231	ctfs:CTRC342_t04922
ko:K14228	ctfs:CTRC342_t04924
ko:K14228	ctfs:CTRC342_t04932
ko:K14233	ctfs:CTRC342_t04920
ko:K14228	ctfs:CTRC342_t04934
ko:K14228	ctfs:CTRC342_t04964
ko:K14219	ctfs:CTRC342_t04926
ko:K14219	ctfs:CTRC342_t04936
ko:K14219	ctfs:CTRC342_t04942
ko:K14232	ctfs:CTRC342_t04938
ko:K14229	ctfs:CTRC342_t04946
ko:K14224	ctfs:CTRC342_t04948
ko:K01890	ctfs:CTRC342_02535
ko:K02034	ctfs:CTRC342_02550
ko:K01772	ctfs:CTRC342_02600
ko:K07099	ctfs:CTRC342_02615
ko:K00975	ctfs:CTRC342_02620
ko:K03628	ctfs:CTRC342_02630
ko:K00859	ctfs:CTRC342_02635
ko:K03301	ctfs:CTRC342_02650
ko:K00995	ctfs:CTRC342_02655
ko:K03495	ctfs:CTRC342_02675
ko:K03800	ctfs:CTRC342_02680
ko:K00940	ctfs:CTRC342_02685
