ko:K18918	cfp:CR44_02500
ko:K01977	cfp:CR44_00800
ko:K14237	cfp:CR44_08420
ko:K07464	cfp:CR44_03360
ko:K19416	cfp:CR44_08765
ko:K01990	cfp:CR44_01345
ko:K17248	cfp:CR44_06815
ko:K01985	cfp:CR44_00815
ko:K01985	cfp:CR44_03045
ko:K01985	cfp:CR44_02610
ko:K14229	cfp:CR44_03085
ko:K14226	cfp:CR44_08310
ko:K14222	cfp:CR44_08780
ko:K14218	cfp:CR44_00805
ko:K14218	cfp:CR44_03035
ko:K04753	cfp:CR44_06440
ko:K16300	cfp:CR44_02350
ko:K14218	cfp:CR44_08795
ko:K14221	cfp:CR44_03065
ko:K14221	cfp:CR44_03080
ko:K14233	cfp:CR44_00745
ko:K14228	cfp:CR44_03285
ko:K14228	cfp:CR44_08295
ko:K14233	cfp:CR44_08770
ko:K00335	cfp:CR44_00865
ko:K00335	cfp:CR44_08085
ko:K05601	cfp:CR44_04630
ko:K01740	cfp:CR44_04635
ko:K01738	cfp:CR44_04645
ko:K00997	cfp:CR44_04650
ko:K02415	cfp:CR44_04655
ko:K07082	cfp:CR44_04675
ko:K04651	cfp:CR44_04685
ko:K04655	cfp:CR44_04690
ko:K04654	cfp:CR44_04695
ko:K04653	cfp:CR44_04700
ko:K04652	cfp:CR44_04705
ko:K07722	cfp:CR44_04710
ko:K04656	cfp:CR44_04715
ko:K03605	cfp:CR44_04725
ko:K03620	cfp:CR44_04730
ko:K05922	cfp:CR44_04735
ko:K05927	cfp:CR44_04740
ko:K03695	cfp:CR44_04755
ko:K03797	cfp:CR44_04760
ko:K01923	cfp:CR44_04765
ko:K01952	cfp:CR44_04770
ko:K01952	cfp:CR44_04775
ko:K00655	cfp:CR44_04785
ko:K06199	cfp:CR44_04790
ko:K04079	cfp:CR44_04810
ko:K03657	cfp:CR44_04825
ko:K01679	cfp:CR44_04840
ko:K01873	cfp:CR44_04845
ko:K09004	cfp:CR44_04850
ko:K02071	cfp:CR44_04855
ko:K02072	cfp:CR44_04860
ko:K01156	cfp:CR44_04870
ko:K00941	cfp:CR44_04875
ko:K02073	cfp:CR44_04880
ko:K02902	cfp:CR44_04885
ko:K10716	cfp:CR44_04890
ko:K00620	cfp:CR44_04895
ko:K09794	cfp:CR44_04900
ko:K01925	cfp:CR44_06690
ko:K01000	cfp:CR44_06695
ko:K15633	cfp:CR44_06700
ko:K00059	cfp:CR44_06705
ko:K02078	cfp:CR44_06710
ko:K09458	cfp:CR44_06715
ko:K01962	cfp:CR44_06720
ko:K02836	cfp:CR44_06740
ko:K01918	cfp:CR44_06745
ko:K04075	cfp:CR44_06755
ko:K09778	cfp:CR44_06775
ko:K06168	cfp:CR44_06780
ko:K02600	cfp:CR44_06790
ko:K00012	cfp:CR44_06835
ko:K01784	cfp:CR44_06855
ko:K08679	cfp:CR44_06875
ko:K02474	cfp:CR44_06880
ko:K07501	cfp:CR44_06885
ko:K02841	cfp:CR44_06890
ko:K02517	cfp:CR44_06895
ko:K02849	cfp:CR44_06905
ko:K02844	cfp:CR44_06945
ko:K02843	cfp:CR44_06950
ko:K03271	cfp:CR44_06955
ko:K09816	cfp:CR44_08495
ko:K09817	cfp:CR44_08500
ko:K09815	cfp:CR44_08510
ko:K09823	cfp:CR44_08515
ko:K00428	cfp:CR44_08525
ko:K01673	cfp:CR44_08535
ko:K16052	cfp:CR44_08540
ko:K01736	cfp:CR44_08560
ko:K03685	cfp:CR44_08565
ko:K03469	cfp:CR44_08570
ko:K00566	cfp:CR44_08585
ko:K07084	cfp:CR44_08600
ko:K01687	cfp:CR44_08615
ko:K01937	cfp:CR44_08625
ko:K07462	cfp:CR44_08630
ko:K03313	cfp:CR44_08635
ko:K06159	cfp:CR44_08640
ko:K07226	cfp:CR44_08645
ko:K02014	cfp:CR44_08650
ko:K02015	cfp:CR44_08655
ko:K02013	cfp:CR44_08660
ko:K02016	cfp:CR44_08665
ko:K03781	cfp:CR44_08675
ko:K02390	cfp:CR44_08690
ko:K03796	cfp:CR44_08695
ko:K01778	cfp:CR44_08700
ko:K00859	cfp:CR44_08705
ko:K09022	cfp:CR44_08710
ko:K01933	cfp:CR44_08715
ko:K07001	cfp:CR44_08720
ko:K07478	cfp:CR44_08725
ko:K11065	cfp:CR44_08735
ko:K00762	cfp:CR44_08745
ko:K02838	cfp:CR44_08750
ko:K03075	cfp:CR44_08760
ko:K09944	cfp:CR44_04925
ko:K00773	cfp:CR44_04930
ko:K03526	cfp:CR44_04945
ko:K06886	cfp:CR44_04955
ko:K03406	cfp:CR44_04960
ko:K01682	cfp:CR44_04965
ko:K00567	cfp:CR44_04970
ko:K14652	cfp:CR44_04975
ko:K02939	cfp:CR44_04980
ko:K01419	cfp:CR44_04985
ko:K03667	cfp:CR44_04990
ko:K02453	cfp:CR44_05015
ko:K02454	cfp:CR44_05030
ko:K02455	cfp:CR44_05035
ko:K09117	cfp:CR44_05050
ko:K01524	cfp:CR44_05055
ko:K00974	cfp:CR44_05060
ko:K00052	cfp:CR44_05075
ko:K01704	cfp:CR44_05080
ko:K01424	cfp:CR44_05100
ko:K09760	cfp:CR44_05105
ko:K07088	cfp:CR44_05110
ko:K06193	cfp:CR44_05115
ko:K01872	cfp:CR44_05120
ko:K06287	cfp:CR44_05130
ko:K05366	cfp:CR44_05135
ko:K02884	cfp:CR44_05145
ko:K00554	cfp:CR44_05150
ko:K02860	cfp:CR44_05155
ko:K06960	cfp:CR44_05160
ko:K02959	cfp:CR44_05165
ko:K03106	cfp:CR44_05170
ko:K03406	cfp:CR44_05185
ko:K06180	cfp:CR44_05190
ko:K02527	cfp:CR44_05195
ko:K07164	cfp:CR44_05200
ko:K03272	cfp:CR44_06960
ko:K03274	cfp:CR44_06965
ko:K03273	cfp:CR44_06970
ko:K17686	cfp:CR44_06995
ko:K07126	cfp:CR44_07000
ko:K03628	cfp:CR44_07010
ko:K02343	cfp:CR44_07015
ko:K00208	cfp:CR44_07035
ko:K01803	cfp:CR44_07040
ko:K00927	cfp:CR44_07045
ko:K00134	cfp:CR44_07050
ko:K00969	cfp:CR44_07055
ko:K09710	cfp:CR44_07060
ko:K01887	cfp:CR44_07075
ko:K03116	cfp:CR44_07080
ko:K00942	cfp:CR44_07085
ko:K02421	cfp:CR44_07095
ko:K02014	cfp:CR44_07100
ko:K02003	cfp:CR44_07105
ko:K02357	cfp:CR44_07110
ko:K02967	cfp:CR44_07115
ko:K05810	cfp:CR44_07125
ko:K00793	cfp:CR44_07130
ko:K03495	cfp:CR44_07135
ko:K00411	cfp:CR44_07140
ko:K00412	cfp:CR44_07145
ko:K00413	cfp:CR44_07150
ko:K01599	cfp:CR44_07195
ko:K00133	cfp:CR44_07205
ko:K09860	cfp:CR44_07220
ko:K02469	cfp:CR44_07225
ko:K00662	cfp:CR44_07230
ko:K03789	cfp:CR44_07240
ko:K01607	cfp:CR44_08805
ko:K03301	cfp:CR44_08825
ko:K15977	cfp:CR44_08850
ko:K09805	cfp:CR44_08870
ko:K06178	cfp:CR44_08875
ko:K06041	cfp:CR44_08880
ko:K12574	cfp:CR44_08885
ko:K02528	cfp:CR44_08890
ko:K02500	cfp:CR44_08900
ko:K06941	cfp:CR44_08910
ko:K06180	cfp:CR44_08925
ko:K01756	cfp:CR44_08930
ko:K11733	cfp:CR44_08940
ko:K01159	cfp:CR44_08945
ko:K02408	cfp:CR44_03530
ko:K01878	cfp:CR44_05210
ko:K01588	cfp:CR44_05220
ko:K08303	cfp:CR44_05225
ko:K04486	cfp:CR44_05240
ko:K01915	cfp:CR44_05245
ko:K03781	cfp:CR44_05280
ko:K02014	cfp:CR44_05285
ko:K01338	cfp:CR44_05290
ko:K05807	cfp:CR44_05295
ko:K16850	cfp:CR44_05310
ko:K18333	cfp:CR44_05315
ko:K02429	cfp:CR44_05320
ko:K13626	cfp:CR44_05330
ko:K05808	cfp:CR44_05350
ko:K01270	cfp:CR44_05355
ko:K15257	cfp:CR44_05365
ko:K01916	cfp:CR44_05380
ko:K00912	cfp:CR44_05390
ko:K00930	cfp:CR44_05395
ko:K01733	cfp:CR44_05400
ko:K00979	cfp:CR44_05405
ko:K04084	cfp:CR44_05425
ko:K04043	cfp:CR44_05435
ko:K03687	cfp:CR44_05440
ko:K03705	cfp:CR44_05445
ko:K02400	cfp:CR44_05470
ko:K02956	cfp:CR44_05480
ko:K01665	cfp:CR44_05485
ko:K02619	cfp:CR44_05490
ko:K02052	cfp:CR44_05500
ko:K07286	cfp:CR44_07260
ko:K01821	cfp:CR44_07270
ko:K03596	cfp:CR44_07275
ko:K00948	cfp:CR44_07280
ko:K00609	cfp:CR44_07285
ko:K01465	cfp:CR44_07290
ko:K00566	cfp:CR44_07315
ko:K00127	cfp:CR44_07320
ko:K06966	cfp:CR44_07330
ko:K00266	cfp:CR44_07335
ko:K00265	cfp:CR44_07340
ko:K11752	cfp:CR44_07345
ko:K09748	cfp:CR44_07360
ko:K02834	cfp:CR44_07365
ko:K02519	cfp:CR44_07370
ko:K00872	cfp:CR44_07380
ko:K02535	cfp:CR44_07390
ko:K04517	cfp:CR44_07405
ko:K07277	cfp:CR44_07410
ko:K04773	cfp:CR44_07415
ko:K03786	cfp:CR44_07425
ko:K01262	cfp:CR44_07430
ko:K00950	cfp:CR44_07435
ko:K02404	cfp:CR44_07440
ko:K04562	cfp:CR44_07445
ko:K02405	cfp:CR44_07455
ko:K02416	cfp:CR44_07460
ko:K02417	cfp:CR44_07465
ko:K18284	cfp:CR44_07475
ko:K00645	cfp:CR44_07480
ko:K03775	cfp:CR44_07485
ko:K03640	cfp:CR44_07495
ko:K03641	cfp:CR44_07500
ko:K03832	cfp:CR44_07505
ko:K03559	cfp:CR44_07510
ko:K02114	cfp:CR44_07520
ko:K02112	cfp:CR44_07525
ko:K02115	cfp:CR44_07530
ko:K02111	cfp:CR44_07535
ko:K02113	cfp:CR44_07540
ko:K02109	cfp:CR44_07545
ko:K02109	cfp:CR44_07550
ko:K02388	cfp:CR44_03535
ko:K03664	cfp:CR44_03570
ko:K03657	cfp:CR44_03590
ko:K02387	cfp:CR44_03540
ko:K00684	cfp:CR44_03545
ko:K00919	cfp:CR44_03575
ko:K00789	cfp:CR44_03615
ko:K11606	cfp:CR44_03635
ko:K03563	cfp:CR44_03580
ko:K08602	cfp:CR44_03605
ko:K11604	cfp:CR44_03620
ko:K03820	cfp:CR44_03640
ko:K03072	cfp:CR44_03655
ko:K02053	cfp:CR44_05505
ko:K02054	cfp:CR44_05510
ko:K02055	cfp:CR44_05520
ko:K15256	cfp:CR44_05525
ko:K11753	cfp:CR44_05530
ko:K06442	cfp:CR44_05535
ko:K01972	cfp:CR44_05540
ko:K00796	cfp:CR44_05545
ko:K02341	cfp:CR44_05550
ko:K00928	cfp:CR44_05560
ko:K08311	cfp:CR44_05565
ko:K03117	cfp:CR44_05575
ko:K03118	cfp:CR44_05580
ko:K07568	cfp:CR44_05585
ko:K07447	cfp:CR44_05600
ko:K04096	cfp:CR44_05605
ko:K00053	cfp:CR44_05615
ko:K12573	cfp:CR44_05625
ko:K02340	cfp:CR44_05630
ko:K02990	cfp:CR44_05635
ko:K03111	cfp:CR44_05640
ko:K02963	cfp:CR44_05645
ko:K03686	cfp:CR44_05650
ko:K02484	cfp:CR44_05660
ko:K06187	cfp:CR44_05665
ko:K00014	cfp:CR44_05675
ko:K03749	cfp:CR44_05680
ko:K00600	cfp:CR44_05690
ko:K04567	cfp:CR44_05695
ko:K03711	cfp:CR44_05700
ko:K03558	cfp:CR44_05705
ko:K02669	cfp:CR44_05710
ko:K02435	cfp:CR44_05715
ko:K03525	cfp:CR44_05735
ko:K00765	cfp:CR44_05740
ko:K03311	cfp:CR44_05745
ko:K07098	cfp:CR44_05750
ko:K01613	cfp:CR44_05755
ko:K02570	cfp:CR44_05760
ko:K02572	cfp:CR44_05770
ko:K02568	cfp:CR44_05775
ko:K02574	cfp:CR44_05780
ko:K02573	cfp:CR44_05785
ko:K02567	cfp:CR44_05790
ko:K03694	cfp:CR44_03555
ko:K07862	cfp:CR44_03610
ko:K11607	cfp:CR44_03625
ko:K03074	cfp:CR44_03660
ko:K03497	cfp:CR44_07555
ko:K03496	cfp:CR44_07560
ko:K03524	cfp:CR44_07565
ko:K00604	cfp:CR44_07570
ko:K00931	cfp:CR44_07575
ko:K03979	cfp:CR44_07580
ko:K02899	cfp:CR44_07585
ko:K02888	cfp:CR44_07590
ko:K00428	cfp:CR44_07595
ko:K00124	cfp:CR44_07600
ko:K00123	cfp:CR44_07605
ko:K00123	cfp:CR44_07610
ko:K01042	cfp:CR44_07630
