ko:K07497	shb:SU5_03256
ko:K18138	shb:SU5_01166
ko:K19092	shb:SU5_03444
ko:K18923	shb:SU5_p0032
ko:K19504	shb:SU5_0581
ko:K03297	shb:SU5_02264
ko:K10014	shb:SU5_02949
ko:K19595	shb:SU5_01046
ko:K06148	shb:SU5_0336
ko:K01980	shb:SU5_r5
ko:K01980	shb:SU5_r8
ko:K14233	shb:SU5_t57
ko:K01990	shb:SU5_01488
ko:K02226	shb:SU5_01334
ko:K02345	shb:SU5_02487
ko:K19124	shb:SU5_03422
ko:K16347	shb:SU5_0409
ko:K16348	shb:SU5_0410
ko:K03111	shb:SU5_0330
ko:K10716	shb:SU5_02349
ko:K00526	shb:SU5_02873
ko:K18968	shb:SU5_01077
ko:K01791	shb:SU5_036
ko:K14237	shb:SU5_t50
ko:K14219	shb:SU5_t49
ko:K14219	shb:SU5_t71
ko:K14219	shb:SU5_t74
ko:K14219	shb:SU5_t73
ko:K14219	shb:SU5_t72
ko:K14230	shb:SU5_t80
ko:K14219	shb:SU5_t4
ko:K14237	shb:SU5_t40
ko:K14237	shb:SU5_t68
ko:K14237	shb:SU5_t67
ko:K14237	shb:SU5_t66
ko:K15035	shb:SU5_nc116
ko:K14219	shb:SU5_t63
ko:K16092	shb:SU5_0221
ko:K11745	shb:SU5_0720
ko:K16088	shb:SU5_01830
ko:K16345	shb:SU5_04224
ko:K19611	shb:SU5_03264
ko:K14225	shb:SU5_t78
ko:K16137	shb:SU5_02051
ko:K14223	shb:SU5_t35
ko:K14223	shb:SU5_t36
ko:K14233	shb:SU5_t44
ko:K14233	shb:SU5_t46
ko:K14237	shb:SU5_t51
ko:K14234	shb:SU5_t15
ko:K14228	shb:SU5_t21
ko:K07491	shb:SU5_0519
ko:K07491	shb:SU5_03008
ko:K07491	shb:SU5_01865
ko:K07307	shb:SU5_02107
ko:K02358	shb:SU5_03921
ko:K02199	shb:SU5_04290
ko:K02197	shb:SU5_04292
ko:K02196	shb:SU5_04293
ko:K02195	shb:SU5_04294
ko:K02194	shb:SU5_04295
ko:K07347	shb:SU5_0826
ko:K02014	shb:SU5_01056
ko:K05875	shb:SU5_02530
ko:K14221	shb:SU5_t2
ko:K14221	shb:SU5_t27
ko:K14221	shb:SU5_t28
ko:K14219	shb:SU5_t47
ko:K14744	shb:SU5_01663
ko:K01546	shb:SU5_01390
ko:K01669	shb:SU5_01392
ko:K03305	shb:SU5_01393
ko:K07160	shb:SU5_01397
ko:K07357	shb:SU5_01398
ko:K01647	shb:SU5_01410
ko:K00242	shb:SU5_01412
ko:K00239	shb:SU5_01413
ko:K00240	shb:SU5_01414
ko:K00164	shb:SU5_01415
ko:K00658	shb:SU5_01416
ko:K01903	shb:SU5_01417
ko:K01902	shb:SU5_01418
ko:K00425	shb:SU5_01419
ko:K00426	shb:SU5_01420
ko:K07107	shb:SU5_01421
ko:K03562	shb:SU5_01422
ko:K06205	shb:SU5_01
ko:K01914	shb:SU5_03
ko:K03924	shb:SU5_05
ko:K03549	shb:SU5_06
ko:K06726	shb:SU5_07
ko:K10441	shb:SU5_08
ko:K02529	shb:SU5_012
ko:K09897	shb:SU5_016
ko:K07391	shb:SU5_017
ko:K01652	shb:SU5_019
ko:K11258	shb:SU5_020
ko:K00826	shb:SU5_021
ko:K01687	shb:SU5_022
ko:K01754	shb:SU5_023
ko:K02521	shb:SU5_026
ko:K00053	shb:SU5_027
ko:K03656	shb:SU5_029
ko:K01524	shb:SU5_030
ko:K03732	shb:SU5_031
ko:K03671	shb:SU5_032
ko:K03628	shb:SU5_033
ko:K05790	shb:SU5_035
ko:K00765	shb:SU5_02665
ko:K00013	shb:SU5_02666
ko:K00817	shb:SU5_02667
ko:K01089	shb:SU5_02668
ko:K02501	shb:SU5_02669
