ko:K00054	saj:SaurJH9_2568
ko:K01154	saj:SaurJH9_0455
ko:K04042	saj:SaurJH9_0521
ko:K02341	saj:SaurJH9_0505
ko:K01923	saj:SaurJH9_1126
ko:K01952	saj:SaurJH9_1128
ko:K01952	saj:SaurJH9_1129
ko:K01933	saj:SaurJH9_1131
ko:K01945	saj:SaurJH9_1134
ko:K01462	saj:SaurJH9_1151
ko:K00382	saj:SaurJH9_1156
ko:K01669	saj:SaurJH9_0715
ko:K01092	saj:SaurJH9_1167
ko:K01776	saj:SaurJH9_1209
ko:K00611	saj:SaurJH9_1227
ko:K00926	saj:SaurJH9_1228
ko:K01000	saj:SaurJH9_1241
ko:K01870	saj:SaurJH9_1252
ko:K01465	saj:SaurJH9_1260
ko:K01591	saj:SaurJH9_1263
ko:K00762	saj:SaurJH9_1264
ko:K00942	saj:SaurJH9_1268
ko:K01783	saj:SaurJH9_1281
ko:K00554	saj:SaurJH9_1299
ko:K00806	saj:SaurJH9_1320
ko:K00981	saj:SaurJH9_1321
ko:K00882	saj:SaurJH9_0723
ko:K00962	saj:SaurJH9_1334
ko:K00864	saj:SaurJH9_1359
ko:K00791	saj:SaurJH9_1362
ko:K01915	saj:SaurJH9_1368
ko:K01174	saj:SaurJH9_1385
ko:K00928	saj:SaurJH9_1388
ko:K00003	saj:SaurJH9_1389
ko:K01443	saj:SaurJH9_0725
ko:K00364	saj:SaurJH9_1398
ko:K01356	saj:SaurJH9_1400
ko:K07304	saj:SaurJH9_1422
ko:K00766	saj:SaurJH9_1430
ko:K02834	saj:SaurJH9_1330
ko:K01609	saj:SaurJH9_1431
ko:K01817	saj:SaurJH9_1432
ko:K00928	saj:SaurJH9_1454
ko:K00133	saj:SaurJH9_1455
ko:K01714	saj:SaurJH9_1456
ko:K00215	saj:SaurJH9_1457
ko:K01775	saj:SaurJH9_1460
ko:K00658	saj:SaurJH9_1473
ko:K00164	saj:SaurJH9_1474
ko:K03797	saj:SaurJH9_1480
ko:K07304	saj:SaurJH9_1484
ko:K00075	saj:SaurJH9_0762
ko:K00865	saj:SaurJH9_0766
ko:K01258	saj:SaurJH9_0767
ko:K00287	saj:SaurJH9_1486
ko:K00560	saj:SaurJH9_1487
ko:K01358	saj:SaurJH9_0793
ko:K01754	saj:SaurJH9_1498
ko:K00134	saj:SaurJH9_0797
ko:K00800	saj:SaurJH9_1523
ko:K01735	saj:SaurJH9_1524
ko:K01736	saj:SaurJH9_1525
ko:K00940	saj:SaurJH9_1526
ko:K00057	saj:SaurJH9_1531
ko:K00945	saj:SaurJH9_1534
ko:K00286	saj:SaurJH9_1560
ko:K00784	saj:SaurJH9_1561
ko:K00036	saj:SaurJH9_1562
ko:K01546	saj:SaurJH9_2114
ko:K01548	saj:SaurJH9_0061
ko:K03687	saj:SaurJH9_1639
ko:K01775	saj:SaurJH9_1565
ko:K00033	saj:SaurJH9_1569
ko:K00891	saj:SaurJH9_1596
ko:K00927	saj:SaurJH9_0798
ko:K01151	saj:SaurJH9_1615
ko:K00969	saj:SaurJH9_1651
ko:K00876	saj:SaurJH9_1668
ko:K01803	saj:SaurJH9_0799
ko:K01872	saj:SaurJH9_1675
ko:K00566	saj:SaurJH9_1679
ko:K01876	saj:SaurJH9_1687
ko:K00951	saj:SaurJH9_1691
ko:K00759	saj:SaurJH9_1692
ko:K00773	saj:SaurJH9_1696
ko:K00561	saj:SaurJH9_1713
ko:K01873	saj:SaurJH9_1721
ko:K01246	saj:SaurJH9_1722
ko:K01845	saj:SaurJH9_1725
ko:K01698	saj:SaurJH9_1726
ko:K01749	saj:SaurJH9_1728
ko:K02492	saj:SaurJH9_1730
ko:K00134	saj:SaurJH9_1744
ko:K00859	saj:SaurJH9_1745
ko:K01689	saj:SaurJH9_0801
ko:K00850	saj:SaurJH9_1755
ko:K00027	saj:SaurJH9_1758
ko:K00259	saj:SaurJH9_1765
ko:K00058	saj:SaurJH9_1779
ko:K01866	saj:SaurJH9_1784
ko:K01938	saj:SaurJH9_1787
ko:K01895	saj:SaurJH9_1788
ko:K01261	saj:SaurJH9_1800
ko:K03439	saj:SaurJH9_1803
ko:K01227	saj:SaurJH9_1827
ko:K00616	saj:SaurJH9_1833
ko:K00789	saj:SaurJH9_1841
ko:K01610	saj:SaurJH9_1842
ko:K01772	saj:SaurJH9_1886
ko:K01174	saj:SaurJH9_0816
ko:K01599	saj:SaurJH9_1887
ko:K01845	saj:SaurJH9_1918
ko:K01104	saj:SaurJH9_1935
ko:K01227	saj:SaurJH9_0909
ko:K03367	saj:SaurJH9_0932
ko:K01255	saj:SaurJH9_0942
ko:K00819	saj:SaurJH9_0957
ko:K01126	saj:SaurJH9_0959
ko:K01940	saj:SaurJH9_0961
ko:K01810	saj:SaurJH9_0962
ko:K03100	saj:SaurJH9_0965
ko:K01826	saj:SaurJH9_0968
ko:K01649	saj:SaurJH9_0976
ko:K01867	saj:SaurJH9_0995
ko:K00858	saj:SaurJH9_1005
ko:K02551	saj:SaurJH9_1102
ko:K01661	saj:SaurJH9_1104
ko:K01318	saj:SaurJH9_1107
ko:K04043	saj:SaurJH9_1638
ko:K03545	saj:SaurJH9_1733
ko:K09762	saj:SaurJH9_0792
ko:K03575	saj:SaurJH9_1922
ko:K03648	saj:SaurJH9_0604
ko:K02836	saj:SaurJH9_0778
ko:K07094	saj:SaurJH9_1961
ko:K07705	saj:SaurJH9_0246
ko:K01696	saj:SaurJH9_1433
ko:K03075	saj:SaurJH9_0803
ko:K02904	saj:SaurJH9_2269
ko:K00872	saj:SaurJH9_1391
ko:K10773	saj:SaurJH9_1511
ko:K03893	saj:SaurJH9_1826
ko:K10851	saj:SaurJH9_2417
ko:K10850	saj:SaurJH9_2412
