ko:K07481	blc:Balac_0968
ko:K01990	blc:Balac_1523
ko:K13788	blc:Balac_0972
ko:K14221	blc:Balac_0488
ko:K14221	blc:Balac_0489
ko:K02428	blc:Balac_0287
ko:K02503	blc:Balac_0908
ko:K06168	blc:Balac_1121
ko:K03111	blc:Balac_0534
ko:K01990	blc:Balac_0780
ko:K01990	blc:Balac_1477
ko:K01697	blc:Balac_0564
ko:K13829	blc:Balac_0934
ko:K02056	blc:Balac_0062
ko:K08256	blc:Balac_0824
ko:K06950	blc:Balac_0728
ko:K12992	blc:Balac_1386
ko:K04751	blc:Balac_0191
ko:K06999	blc:Balac_1604
ko:K07133	blc:Balac_0227
ko:K08969	blc:Balac_1270
ko:K02034	blc:Balac_1194
ko:K02033	blc:Balac_1195
ko:K03589	blc:Balac_1196
ko:K01924	blc:Balac_1197
ko:K02563	blc:Balac_1198
ko:K03588	blc:Balac_1199
ko:K01925	blc:Balac_1200
ko:K01000	blc:Balac_1201
ko:K01929	blc:Balac_1202
ko:K03587	blc:Balac_1204
ko:K03438	blc:Balac_1206
ko:K03925	blc:Balac_1207
ko:K07738	blc:Balac_1210
ko:K01356	blc:Balac_1212
ko:K00016	blc:Balac_1214
ko:K03665	blc:Balac_1215
ko:K03578	blc:Balac_1217
ko:K01915	blc:Balac_1218
ko:K02501	blc:Balac_1221
ko:K00849	blc:Balac_1351
ko:K00226	blc:Balac_1355
ko:K03800	blc:Balac_1359
ko:K00052	blc:Balac_1362
ko:K01354	blc:Balac_1363
ko:K02437	blc:Balac_1365
ko:K03426	blc:Balac_1366
ko:K00973	blc:Balac_1376
ko:K01710	blc:Balac_1378
ko:K00012	blc:Balac_1388
ko:K03322	blc:Balac_1395
ko:K06215	blc:Balac_1397
ko:K08681	blc:Balac_1398
ko:K03695	blc:Balac_1481
ko:K06997	blc:Balac_1487
ko:K01885	blc:Balac_1488
ko:K02440	blc:Balac_1490
ko:K02939	blc:Balac_1496
ko:K02963	blc:Balac_1497
ko:K03111	blc:Balac_1498
ko:K02990	blc:Balac_1499
ko:K00948	blc:Balac_1500
ko:K00852	blc:Balac_1501
ko:K02529	blc:Balac_1504
ko:K03549	blc:Balac_1535
ko:K03424	blc:Balac_1536
ko:K03574	blc:Balac_0573
ko:K02035	blc:Balac_0558
ko:K02033	blc:Balac_0559
ko:K02034	blc:Balac_0560
ko:K03654	blc:Balac_0565
ko:K02952	blc:Balac_0406
ko:K02948	blc:Balac_0407
ko:K03040	blc:Balac_0408
ko:K02879	blc:Balac_0409
ko:K06173	blc:Balac_0410
ko:K02600	blc:Balac_0413
ko:K02519	blc:Balac_0414
ko:K03177	blc:Balac_0416
ko:K11753	blc:Balac_0417
ko:K04485	blc:Balac_0418
ko:K01807	blc:Balac_0420
ko:K03469	blc:Balac_0421
ko:K02954	blc:Balac_0395
ko:K02994	blc:Balac_0396
ko:K02933	blc:Balac_0397
ko:K02881	blc:Balac_0398
ko:K02988	blc:Balac_0399
ko:K02907	blc:Balac_0400
ko:K02876	blc:Balac_0401
ko:K03076	blc:Balac_0402
ko:K00939	blc:Balac_0403
ko:K02518	blc:Balac_0404
ko:K02919	blc:Balac_0405
ko:K04567	blc:Balac_0437
ko:K01372	blc:Balac_0441
ko:K02548	blc:Balac_0445
ko:K01834	blc:Balac_0446
ko:K10254	blc:Balac_0447
ko:K01809	blc:Balac_0448
ko:K02039	blc:Balac_0450
ko:K00831	blc:Balac_0451
ko:K00560	blc:Balac_0457
ko:K00287	blc:Balac_0458
ko:K01875	blc:Balac_0423
ko:K03439	blc:Balac_0461
ko:K02529	blc:Balac_0477
ko:K12308	blc:Balac_0484
ko:K02026	blc:Balac_0485
ko:K02025	blc:Balac_0486
ko:K05970	blc:Balac_0518
ko:K02909	blc:Balac_0523
