ko:K19744	prp:M062_20420
ko:K00800	prp:M062_16900
ko:K18094	prp:M062_10525
ko:K10815	prp:M062_11380
ko:K00254	prp:M062_16305
ko:K01659	prp:M062_03875
ko:K00432	prp:M062_15155
ko:K11741	prp:M062_03820
ko:K18095	prp:M062_10520
ko:K02226	prp:M062_06965
ko:K15371	prp:M062_16395
ko:K03924	prp:M062_16405
ko:K02454	prp:M062_16590
ko:K02452	prp:M062_16595
ko:K02453	prp:M062_16600
ko:K10764	prp:M062_16610
ko:K00764	prp:M062_16615
ko:K03558	prp:M062_16620
ko:K03749	prp:M062_16625
ko:K11754	prp:M062_16630
ko:K01963	prp:M062_16635
ko:K01817	prp:M062_16640
ko:K06173	prp:M062_16645
ko:K00595	prp:M062_15565
ko:K02188	prp:M062_15570
ko:K05895	prp:M062_15575
ko:K02014	prp:M062_15585
ko:K02013	prp:M062_15590
ko:K02016	prp:M062_15595
ko:K02015	prp:M062_15600
ko:K03406	prp:M062_15630
ko:K10016	prp:M062_15650
ko:K10015	prp:M062_15655
ko:K10017	prp:M062_15660
ko:K10680	prp:M062_15695
ko:K07305	prp:M062_15160
ko:K00979	prp:M062_15940
ko:K09791	prp:M062_15945
ko:K00912	prp:M062_15950
ko:K03559	prp:M062_15955
ko:K03561	prp:M062_15960
ko:K02238	prp:M062_15965
ko:K09928	prp:M062_15970
ko:K09808	prp:M062_15975
ko:K09810	prp:M062_15980
ko:K09808	prp:M062_15985
ko:K01126	prp:M062_16000
ko:K00322	prp:M062_16005
ko:K05952	prp:M062_16010
ko:K13580	prp:M062_15745
ko:K03405	prp:M062_15750
ko:K01626	prp:M062_15755
ko:K02230	prp:M062_15760
ko:K02234	prp:M062_15765
ko:K02189	prp:M062_15780
ko:K05936	prp:M062_15785
ko:K00209	prp:M062_15795
ko:K03522	prp:M062_15800
ko:K03521	prp:M062_15805
ko:K00311	prp:M062_15810
ko:K09986	prp:M062_15815
ko:K03424	prp:M062_15840
ko:K02676	prp:M062_15845
ko:K02341	prp:M062_15850
ko:K00943	prp:M062_15855
ko:K07082	prp:M062_15860
ko:K02619	prp:M062_15865
ko:K09458	prp:M062_15870
ko:K02078	prp:M062_15875
ko:K00059	prp:M062_15880
ko:K00645	prp:M062_15885
ko:K03621	prp:M062_15890
ko:K02911	prp:M062_15895
ko:K07040	prp:M062_15900
ko:K04773	prp:M062_15910
ko:K01091	prp:M062_15915
ko:K06179	prp:M062_15920
ko:K08300	prp:M062_15925
ko:K00075	prp:M062_15930
ko:K01104	prp:M062_15935
ko:K14260	prp:M062_15165
ko:K08086	prp:M062_16650
ko:K00133	prp:M062_16660
ko:K03752	prp:M062_16200
ko:K00799	prp:M062_16230
ko:K07006	prp:M062_16235
ko:K03320	prp:M062_16250
ko:K01129	prp:M062_16270
ko:K07690	prp:M062_16280
ko:K09923	prp:M062_16285
