ko:K18929	hex:HPF57_0158
ko:K07316	hex:HPF57_0278
ko:K18928	hex:HPF57_0159
ko:K00997	hex:HPF57_0830
ko:K02415	hex:HPF57_0831
ko:K02556	hex:HPF57_0837
ko:K02557	hex:HPF57_0838
ko:K05847	hex:HPF57_0841
ko:K03703	hex:HPF57_0844
ko:K00003	hex:HPF57_0845
ko:K07460	hex:HPF57_0846
ko:K03671	hex:HPF57_0847
ko:K00384	hex:HPF57_0848
ko:K07270	hex:HPF57_0849
ko:K02108	hex:HPF57_0851
ko:K00859	hex:HPF57_0854
ko:K00797	hex:HPF57_0855
ko:K03977	hex:HPF57_0857
ko:K03530	hex:HPF57_0858
ko:K09860	hex:HPF57_0859
ko:K15894	hex:HPF57_0862
ko:K13038	hex:HPF57_0863
ko:K00788	hex:HPF57_0865
ko:K00941	hex:HPF57_0866
ko:K00878	hex:HPF57_0867
ko:K01153	hex:HPF57_0868
ko:K01154	hex:HPF57_0869
ko:K03427	hex:HPF57_0870
ko:K09805	hex:HPF57_0872
ko:K00364	hex:HPF57_0874
ko:K03271	hex:HPF57_0875
ko:K03272	hex:HPF57_0876
ko:K03274	hex:HPF57_0877
ko:K03273	hex:HPF57_0878
ko:K09792	hex:HPF57_0879
ko:K03525	hex:HPF57_0880
ko:K03624	hex:HPF57_0884
ko:K02536	hex:HPF57_0214
ko:K00789	hex:HPF57_0215
ko:K00940	hex:HPF57_0216
ko:K02911	hex:HPF57_0218
ko:K03621	hex:HPF57_0219
ko:K00648	hex:HPF57_0220
ko:K04079	hex:HPF57_0229
ko:K03495	hex:HPF57_0232
ko:K14445	hex:HPF57_0233
ko:K00981	hex:HPF57_0234
ko:K00099	hex:HPF57_0235
ko:K04487	hex:HPF57_0240
ko:K13819	hex:HPF57_0241
ko:K04485	hex:HPF57_0243
ko:K12267	hex:HPF57_0244
ko:K07090	hex:HPF57_0245
ko:K00979	hex:HPF57_0249
ko:K03981	hex:HPF57_0250
ko:K01749	hex:HPF57_0256
ko:K01881	hex:HPF57_0257
ko:K02492	hex:HPF57_0258
ko:K02523	hex:HPF57_0259
ko:K04047	hex:HPF57_0262
ko:K07710	hex:HPF57_0263
ko:K02394	hex:HPF57_0265
ko:K05592	hex:HPF57_0266
ko:K13896	hex:HPF57_0269
ko:K02114	hex:HPF57_1094
ko:K02112	hex:HPF57_1095
ko:K02115	hex:HPF57_1096
ko:K02111	hex:HPF57_1097
ko:K02113	hex:HPF57_1098
ko:K02109	hex:HPF57_1099
ko:K02109	hex:HPF57_1100
ko:K03524	hex:HPF57_1103
ko:K00604	hex:HPF57_1104
ko:K02884	hex:HPF57_1109
ko:K00554	hex:HPF57_1110
ko:K02860	hex:HPF57_1111
ko:K06960	hex:HPF57_1112
ko:K02959	hex:HPF57_1113
ko:K03106	hex:HPF57_1114
ko:K01873	hex:HPF57_1115
ko:K02563	hex:HPF57_1117
ko:K00286	hex:HPF57_1120
ko:K04095	hex:HPF57_1121
ko:K07042	hex:HPF57_1122
ko:K03839	hex:HPF57_1123
ko:K00384	hex:HPF57_1126
ko:K01810	hex:HPF57_1128
ko:K06200	hex:HPF57_1132
ko:K02029	hex:HPF57_1133
ko:K02429	hex:HPF57_1138
ko:K06901	hex:HPF57_1139
ko:K01839	hex:HPF57_1142
ko:K03625	hex:HPF57_0001
ko:K00794	hex:HPF57_0002
ko:K01627	hex:HPF57_0003
ko:K01673	hex:HPF57_0004
ko:K01591	hex:HPF57_0005
ko:K01918	hex:HPF57_0006
ko:K04077	hex:HPF57_0008
ko:K04078	hex:HPF57_0009
ko:K00566	hex:HPF57_0011
ko:K09859	hex:HPF57_0016
ko:K03415	hex:HPF57_0017
ko:K13747	hex:HPF57_0018
ko:K03760	hex:HPF57_0020
ko:K01173	hex:HPF57_0022
ko:K01338	hex:HPF57_0024
ko:K05807	hex:HPF57_0025
ko:K13626	hex:HPF57_0027
ko:K02372	hex:HPF57_0028
ko:K00677	hex:HPF57_0029
ko:K03544	hex:HPF57_0030
ko:K03569	hex:HPF57_0031
ko:K03570	hex:HPF57_0032
ko:K03179	hex:HPF57_0040
ko:K00748	hex:HPF57_0885
ko:K04651	hex:HPF57_0887
ko:K02390	hex:HPF57_0888
ko:K01521	hex:HPF57_0889
ko:K06193	hex:HPF57_0890
ko:K03781	hex:HPF57_0893
ko:K01159	hex:HPF57_0895
ko:K03550	hex:HPF57_0898
ko:K03980	hex:HPF57_0900
ko:K01883	hex:HPF57_0901
ko:K02013	hex:HPF57_0903
ko:K02015	hex:HPF57_0904
ko:K04654	hex:HPF57_0910
ko:K04653	hex:HPF57_0911
ko:K00925	hex:HPF57_0914
ko:K13788	hex:HPF57_0915
ko:K02389	hex:HPF57_0917
ko:K02390	hex:HPF57_0918
ko:K03657	hex:HPF57_0921
ko:K01955	hex:HPF57_0928
ko:K00134	hex:HPF57_0930
ko:K01821	hex:HPF57_0933
ko:K06187	hex:HPF57_0934
ko:K06176	hex:HPF57_0935
ko:K03799	hex:HPF57_0936
ko:K01495	hex:HPF57_0937
ko:K00795	hex:HPF57_0938
ko:K10856	hex:HPF57_0722
ko:K00901	hex:HPF57_0724
ko:K02469	hex:HPF57_0725
ko:K03701	hex:HPF57_0728
ko:K03438	hex:HPF57_0730
ko:K07023	hex:HPF57_0734
ko:K03092	hex:HPF57_0736
ko:K06861	hex:HPF57_0737
ko:K06925	hex:HPF57_0738
ko:K02343	hex:HPF57_0739
ko:K06895	hex:HPF57_0740
ko:K07791	hex:HPF57_0744
ko:K04075	hex:HPF57_0748
ko:K01095	hex:HPF57_0756
ko:K01921	hex:HPF57_0757
ko:K01929	hex:HPF57_0759
ko:K00948	hex:HPF57_0761
ko:K05837	hex:HPF57_0762
ko:K06180	hex:HPF57_0766
ko:K03439	hex:HPF57_0768
ko:K09812	hex:HPF57_0769
ko:K09811	hex:HPF57_0770
ko:K02407	hex:HPF57_0773
ko:K02422	hex:HPF57_0774
ko:K04096	hex:HPF57_0386
ko:K07447	hex:HPF57_0387
ko:K06180	hex:HPF57_0397
ko:K07462	hex:HPF57_0398
ko:K01937	hex:HPF57_0399
ko:K02409	hex:HPF57_0401
ko:K02410	hex:HPF57_0402
ko:K02411	hex:HPF57_0403
ko:K01662	hex:HPF57_0404
ko:K03596	hex:HPF57_0405
ko:K02392	hex:HPF57_0408
ko:K03466	hex:HPF57_0410
ko:K00615	hex:HPF57_0412
ko:K11753	hex:HPF57_0413
ko:K06442	hex:HPF57_0414
ko:K00609	hex:HPF57_0416
ko:K07241	hex:HPF57_0423
ko:K03798	hex:HPF57_0430
ko:K02687	hex:HPF57_0431
ko:K03413	hex:HPF57_0432
ko:K06950	hex:HPF57_0435
ko:K07568	hex:HPF57_0437
ko:K03118	hex:HPF57_0438
ko:K03117	hex:HPF57_0439
ko:K03551	hex:HPF57_0440
ko:K00606	hex:HPF57_0441
ko:K03040	hex:HPF57_1249
ko:K02986	hex:HPF57_1250
ko:K02948	hex:HPF57_1251
ko:K02952	hex:HPF57_1252
ko:K02919	hex:HPF57_1253
ko:K02518	hex:HPF57_1254
ko:K01265	hex:HPF57_1255
ko:K03076	hex:HPF57_1256
ko:K02876	hex:HPF57_1257
ko:K02988	hex:HPF57_1258
ko:K02881	hex:HPF57_1259
ko:K02933	hex:HPF57_1260
ko:K02994	hex:HPF57_1261
ko:K02954	hex:HPF57_1262
ko:K02931	hex:HPF57_1263
ko:K02895	hex:HPF57_1264
ko:K02874	hex:HPF57_1265
ko:K02961	hex:HPF57_1266
ko:K02904	hex:HPF57_1267
ko:K02878	hex:HPF57_1268
ko:K02982	hex:HPF57_1269
ko:K02890	hex:HPF57_1270
ko:K02965	hex:HPF57_1271
ko:K02886	hex:HPF57_1272
ko:K02892	hex:HPF57_1273
ko:K02926	hex:HPF57_1274
ko:K02906	hex:HPF57_1275
ko:K02946	hex:HPF57_1276
ko:K07133	hex:HPF57_1277
ko:K03470	hex:HPF57_1279
ko:K07787	hex:HPF57_1285
ko:K03686	hex:HPF57_1288
ko:K00566	hex:HPF57_1290
ko:K00969	hex:HPF57_1292
ko:K07722	hex:HPF57_1293
ko:K03561	hex:HPF57_1294
ko:K03832	hex:HPF57_1296
ko:K04656	hex:HPF57_1299
ko:K02377	hex:HPF57_1301
ko:K01711	hex:HPF57_1302
ko:K03501	hex:HPF57_0436
ko:K13895	hex:HPF57_0270
ko:K01939	hex:HPF57_0273
ko:K11749	hex:HPF57_0276
ko:K03601	hex:HPF57_0277
ko:K03168	hex:HPF57_0284
ko:K03695	hex:HPF57_0317
ko:K01465	hex:HPF57_0319
ko:K06168	hex:HPF57_0322
ko:K09778	hex:HPF57_0323
ko:K06940	hex:HPF57_0327
ko:K01609	hex:HPF57_0329
ko:K08159	hex:HPF57_1148
ko:K00133	hex:HPF57_1152
ko:K01892	hex:HPF57_1153
ko:K02355	hex:HPF57_1156
ko:K02992	hex:HPF57_1157
ko:K02950	hex:HPF57_1158
ko:K02935	hex:HPF57_1160
ko:K02864	hex:HPF57_1161
ko:K02863	hex:HPF57_1162
ko:K02867	hex:HPF57_1163
ko:K02601	hex:HPF57_1164
ko:K03073	hex:HPF57_1165
ko:K02913	hex:HPF57_1166
ko:K02358	hex:HPF57_1167
ko:K00640	hex:HPF57_1172
ko:K02110	hex:HPF57_1173
ko:K00962	hex:HPF57_1174
ko:K04744	hex:HPF57_1176
ko:K01945	hex:HPF57_1178
ko:K00806	hex:HPF57_1180
ko:K06199	hex:HPF57_1184
ko:K08311	hex:HPF57_1187
ko:K00928	hex:HPF57_1188
ko:K02341	hex:HPF57_1190
ko:K00796	hex:HPF57_1191
ko:K01613	hex:HPF57_0043
ko:K03517	hex:HPF57_0044
ko:K00767	hex:HPF57_0046
ko:K03797	hex:HPF57_0052
ko:K00655	hex:HPF57_0054
ko:K03648	hex:HPF57_0055
ko:K00134	hex:HPF57_0056
ko:K00927	hex:HPF57_0057
ko:K03284	hex:HPF57_0058
ko:K13821	hex:HPF57_0063
ko:K03190	hex:HPF57_0078
ko:K03189	hex:HPF57_0079
ko:K03188	hex:HPF57_0080
ko:K03187	hex:HPF57_0081
ko:K01428	hex:HPF57_0083
ko:K03101	hex:HPF57_0085
ko:K03431	hex:HPF57_0086
ko:K02968	hex:HPF57_0087
ko:K02835	hex:HPF57_0088
ko:K02996	hex:HPF57_0096
ko:K02871	hex:HPF57_0097
ko:K00116	hex:HPF57_0099
ko:K03787	hex:HPF57_0939
ko:K01737	hex:HPF57_0941
ko:K01775	hex:HPF57_0950
ko:K03310	hex:HPF57_0951
ko:K00285	hex:HPF57_0952
ko:K00783	hex:HPF57_0958
ko:K01963	hex:HPF57_0959
ko:K13292	hex:HPF57_0964
ko:K02527	hex:HPF57_0966
ko:K07164	hex:HPF57_0967
ko:K01878	hex:HPF57_0969
ko:K00057	hex:HPF57_0970
ko:K01879	hex:HPF57_0981
ko:K15633	hex:HPF57_0983
ko:K02435	hex:HPF57_0984
ko:K00833	hex:HPF57_0985
ko:K03770	hex:HPF57_0986
ko:K03590	hex:HPF57_0987
ko:K03531	hex:HPF57_0988
ko:K03303	hex:HPF57_0160
ko:K03303	hex:HPF57_0161
ko:K03575	hex:HPF57_0162
ko:K00404	hex:HPF57_0164
ko:K00405	hex:HPF57_0165
ko:K00407	hex:HPF57_0166
ko:K00406	hex:HPF57_0167
ko:K01689	hex:HPF57_0174
ko:K00891	hex:HPF57_0177
ko:K01698	hex:HPF57_0182
ko:K08303	hex:HPF57_0187
ko:K02836	hex:HPF57_0189
ko:K03750	hex:HPF57_0190
ko:K12251	hex:HPF57_0778
ko:K07084	hex:HPF57_0779
ko:K03110	hex:HPF57_0784
ko:K06940	hex:HPF57_0785
ko:K03639	hex:HPF57_0790
ko:K03752	hex:HPF57_0791
ko:K02401	hex:HPF57_0792
ko:K01448	hex:HPF57_0794
ko:K00459	hex:HPF57_0795
ko:K01866	hex:HPF57_0796
ko:K03060	hex:HPF57_0798
ko:K09903	hex:HPF57_0799
ko:K01682	hex:HPF57_0801
ko:K03634	hex:HPF57_0806
ko:K03070	hex:HPF57_0807
ko:K01154	hex:HPF57_0810
ko:K01534	hex:HPF57_0811
ko:K07391	hex:HPF57_0812
ko:K01462	hex:HPF57_0813
ko:K01358	hex:HPF57_0814
ko:K03545	hex:HPF57_0815
ko:K15846	hex:HPF57_0818
ko:K03637	hex:HPF57_0819
ko:K03831	hex:HPF57_0820
ko:K03636	hex:HPF57_0822
ko:K14652	hex:HPF57_0825
ko:K07270	hex:HPF57_0827
ko:K07043	hex:HPF57_0828
ko:K02421	hex:HPF57_0192
ko:K01624	hex:HPF57_0195
ko:K02356	hex:HPF57_0196
ko:K03820	hex:HPF57_0199
ko:K03558	hex:HPF57_0200
ko:K04567	hex:HPF57_0201
ko:K00600	hex:HPF57_0202
ko:K00246	hex:HPF57_0211
ko:K01803	hex:HPF57_0212
ko:K00208	hex:HPF57_0213
ko:K01772	hex:HPF57_1041
ko:K09761	hex:HPF57_1043
