ko:K01985	sths:AVT04_03020
ko:K20343	sths:AVT04_06620
ko:K01977	sths:AVT04_03035
ko:K01983	sths:AVT04_05875
ko:K02015	sths:AVT04_00050
ko:K21636	sths:AVT04_05290
ko:K16169	sths:AVT04_08185
ko:K22103	sths:AVT04_03720
ko:K02015	sths:AVT04_00055
ko:K02013	sths:AVT04_00060
ko:K02016	sths:AVT04_00065
ko:K00873	sths:AVT04_08865
ko:K01989	sths:AVT04_08900
ko:K05832	sths:AVT04_08905
ko:K05833	sths:AVT04_08910
ko:K12574	sths:AVT04_08915
ko:K03930	sths:AVT04_08920
ko:K04516	sths:AVT04_08945
ko:K02884	sths:AVT04_08955
ko:K00791	sths:AVT04_08970
ko:K08968	sths:AVT04_08975
ko:K02343	sths:AVT04_08980
ko:K03524	sths:AVT04_08990
ko:K00789	sths:AVT04_08995
ko:K01784	sths:AVT04_09005
ko:K00790	sths:AVT04_09015
ko:K15051	sths:AVT04_09025
ko:K10040	sths:AVT04_09030
ko:K10040	sths:AVT04_09035
ko:K10039	sths:AVT04_09040
ko:K10041	sths:AVT04_09045
ko:K07668	sths:AVT04_09050
ko:K07652	sths:AVT04_09055
ko:K05363	sths:AVT04_09070
ko:K01537	sths:AVT04_09090
ko:K18979	sths:AVT04_09105
ko:K02836	sths:AVT04_09110
ko:K09812	sths:AVT04_09115
ko:K09811	sths:AVT04_09120
ko:K03574	sths:AVT04_09125
ko:K03100	sths:AVT04_09140
ko:K01258	sths:AVT04_09145
ko:K00945	sths:AVT04_09160
ko:K02520	sths:AVT04_09165
ko:K02916	sths:AVT04_09170
ko:K02887	sths:AVT04_09175
ko:K07491	sths:AVT04_09180
ko:K07491	sths:AVT04_09185
ko:K01821	sths:AVT04_09195
ko:K01807	sths:AVT04_09215
ko:K01839	sths:AVT04_09220
ko:K03783	sths:AVT04_09230
ko:K03784	sths:AVT04_09245
ko:K01104	sths:AVT04_09255
ko:K19426	sths:AVT04_09310
ko:K02840	sths:AVT04_09330
ko:K01223	sths:AVT04_09355
ko:K01223	sths:AVT04_09360
ko:K01223	sths:AVT04_09365
ko:K01223	sths:AVT04_09370
ko:K03688	sths:AVT04_09380
ko:K03648	sths:AVT04_09410
ko:K01465	sths:AVT04_09415
ko:K00161	sths:AVT04_09435
ko:K00162	sths:AVT04_09440
ko:K00627	sths:AVT04_09445
ko:K00382	sths:AVT04_09450
ko:K20374	sths:AVT04_09470
ko:K01866	sths:AVT04_09475
ko:K02069	sths:AVT04_06695
ko:K01154	sths:AVT04_06720
ko:K00656	sths:AVT04_06735
ko:K02346	sths:AVT04_06740
ko:K02030	sths:AVT04_06750
ko:K02029	sths:AVT04_06755
ko:K02028	sths:AVT04_06760
ko:K00384	sths:AVT04_06770
ko:K00954	sths:AVT04_06780
ko:K07177	sths:AVT04_06785
ko:K07139	sths:AVT04_06790
ko:K03316	sths:AVT04_06805
ko:K02013	sths:AVT04_06810
ko:K03699	sths:AVT04_06815
ko:K04069	sths:AVT04_06820
ko:K14260	sths:AVT04_06840
ko:K03706	sths:AVT04_06845
ko:K02073	sths:AVT04_06855
ko:K07304	sths:AVT04_06860
ko:K02435	sths:AVT04_06875
ko:K02433	sths:AVT04_06880
ko:K02434	sths:AVT04_06885
ko:K07015	sths:AVT04_06900
ko:K06948	sths:AVT04_06905
ko:K07574	sths:AVT04_06910
ko:K00969	sths:AVT04_06915
ko:K09710	sths:AVT04_06925
ko:K04086	sths:AVT04_06940
ko:K02503	sths:AVT04_06960
ko:K01990	sths:AVT04_06965
ko:K01992	sths:AVT04_06970
ko:K03439	sths:AVT04_06980
ko:K07007	sths:AVT04_06990
ko:K01687	sths:AVT04_06995
ko:K02342	sths:AVT04_07010
ko:K09747	sths:AVT04_07025
ko:K12952	sths:AVT04_07035
ko:K01657	sths:AVT04_07050
ko:K01658	sths:AVT04_07055
ko:K00766	sths:AVT04_07060
ko:K01609	sths:AVT04_07065
ko:K01817	sths:AVT04_07070
ko:K01696	sths:AVT04_07075
ko:K01695	sths:AVT04_07080
ko:K17686	sths:AVT04_07090
ko:K01921	sths:AVT04_07100
ko:K02029	sths:AVT04_07105
ko:K02029	sths:AVT04_07110
ko:K02028	sths:AVT04_07115
ko:K02030	sths:AVT04_07120
ko:K01929	sths:AVT04_07135
ko:K02837	sths:AVT04_07145
ko:K16789	sths:AVT04_07160
ko:K02959	sths:AVT04_07275
ko:K06960	sths:AVT04_07280
ko:K11754	sths:AVT04_07285
ko:K01495	sths:AVT04_07295
ko:K00796	sths:AVT04_07300
ko:K01176	sths:AVT04_07305
ko:K01633	sths:AVT04_07310
ko:K00950	sths:AVT04_07315
ko:K00075	sths:AVT04_07320
ko:K11072	sths:AVT04_07325
ko:K11071	sths:AVT04_07330
ko:K11070	sths:AVT04_07335
ko:K11069	sths:AVT04_07340
ko:K01759	sths:AVT04_07350
ko:K00831	sths:AVT04_07360
ko:K00058	sths:AVT04_07370
ko:K02470	sths:AVT04_07405
ko:K06286	sths:AVT04_07410
ko:K01079	sths:AVT04_07415
ko:K02614	sths:AVT04_07430
ko:K06871	sths:AVT04_07450
ko:K06183	sths:AVT04_07480
ko:K03979	sths:AVT04_07485
ko:K02028	sths:AVT04_07495
ko:K02029	sths:AVT04_07500
ko:K02030	sths:AVT04_07500
ko:K07052	sths:AVT04_07505
ko:K07052	sths:AVT04_07510
ko:K03702	sths:AVT04_07520
ko:K03574	sths:AVT04_07525
ko:K02030	sths:AVT04_07530
ko:K02030	sths:AVT04_07535
ko:K02030	sths:AVT04_07545
ko:K02970	sths:AVT04_07555
ko:K02316	sths:AVT04_07560
ko:K03086	sths:AVT04_07565
ko:K12999	sths:AVT04_07575
ko:K00067	sths:AVT04_07580
ko:K09153	sths:AVT04_07605
ko:K12996	sths:AVT04_07615
ko:K12997	sths:AVT04_07620
ko:K01992	sths:AVT04_07625
ko:K01990	sths:AVT04_07630
ko:K07272	sths:AVT04_07640
ko:K03630	sths:AVT04_07650
ko:K07010	sths:AVT04_07655
ko:K01926	sths:AVT04_07660
ko:K04487	sths:AVT04_07670
ko:K00948	sths:AVT04_07675
ko:K07816	sths:AVT04_07685
ko:K00858	sths:AVT04_07690
ko:K06180	sths:AVT04_07695
ko:K00625	sths:AVT04_07700
ko:K07497	sths:AVT04_07710
ko:K08177	sths:AVT04_07715
ko:K03424	sths:AVT04_07720
ko:K10823	sths:AVT04_07725
ko:K15580	sths:AVT04_07730
ko:K15580	sths:AVT04_07740
ko:K15581	sths:AVT04_07745
ko:K15582	sths:AVT04_07750
ko:K15583	sths:AVT04_07755
ko:K10823	sths:AVT04_07760
ko:K01990	sths:AVT04_07770
ko:K03110	sths:AVT04_07790
ko:K00942	sths:AVT04_07795
ko:K03060	sths:AVT04_07800
ko:K04066	sths:AVT04_07805
ko:K00604	sths:AVT04_07810
ko:K03500	sths:AVT04_07815
ko:K20074	sths:AVT04_07820
ko:K12132	sths:AVT04_07825
ko:K11617	sths:AVT04_07835
ko:K11618	sths:AVT04_07840
ko:K02860	sths:AVT04_07855
ko:K00554	sths:AVT04_07860
ko:K21567	sths:AVT04_07865
ko:K03466	sths:AVT04_07870
ko:K01919	sths:AVT04_07885
ko:K07497	sths:AVT04_07910
ko:K07497	sths:AVT04_07915
ko:K02529	sths:AVT04_07920
ko:K00849	sths:AVT04_07925
ko:K00965	sths:AVT04_07930
ko:K01784	sths:AVT04_07935
ko:K01785	sths:AVT04_07940
ko:K16209	sths:AVT04_07945
ko:K01190	sths:AVT04_07950
ko:K03547	sths:AVT04_07955
ko:K03546	sths:AVT04_07960
ko:K03502	sths:AVT04_08005
ko:K02761	sths:AVT04_08060
ko:K07078	sths:AVT04_08080
ko:K03294	sths:AVT04_08085
ko:K01809	sths:AVT04_08095
ko:K01809	sths:AVT04_08100
ko:K03311	sths:AVT04_08105
ko:K08317	sths:AVT04_08120
ko:K00005	sths:AVT04_08125
ko:K08969	sths:AVT04_08130
ko:K16962	sths:AVT04_08145
ko:K16963	sths:AVT04_08150
ko:K01756	sths:AVT04_08155
ko:K16961	sths:AVT04_08160
ko:K12267	sths:AVT04_08165
ko:K03327	sths:AVT04_08170
ko:K02003	sths:AVT04_08210
ko:K02004	sths:AVT04_08215
ko:K06940	sths:AVT04_08220
ko:K03453	sths:AVT04_08230
ko:K01990	sths:AVT04_08245
ko:K01992	sths:AVT04_08250
ko:K07778	sths:AVT04_08255
ko:K01990	sths:AVT04_08265
ko:K01992	sths:AVT04_08275
ko:K01992	sths:AVT04_08280
ko:K01992	sths:AVT04_08285
ko:K01752	sths:AVT04_08295
ko:K01752	sths:AVT04_08300
ko:K01712	sths:AVT04_08305
ko:K09703	sths:AVT04_08310
ko:K01745	sths:AVT04_08315
ko:K05846	sths:AVT04_08320
ko:K05845	sths:AVT04_08325
ko:K05847	sths:AVT04_08330
ko:K05846	sths:AVT04_08335
ko:K03523	sths:AVT04_08340
ko:K07025	sths:AVT04_08345
ko:K03703	sths:AVT04_08350
ko:K06131	sths:AVT04_08355
ko:K03823	sths:AVT04_08370
ko:K00133	sths:AVT04_08380
ko:K01714	sths:AVT04_08385
ko:K03685	sths:AVT04_08390
ko:K03529	sths:AVT04_08395
ko:K01889	sths:AVT04_08400
ko:K01890	sths:AVT04_08410
ko:K00868	sths:AVT04_08445
ko:K00016	sths:AVT04_08465
ko:K02469	sths:AVT04_08470
ko:K00526	sths:AVT04_08505
ko:K00525	sths:AVT04_08510
ko:K01990	sths:AVT04_08270
ko:K06191	sths:AVT04_08515
ko:K01681	sths:AVT04_08520
ko:K01647	sths:AVT04_08525
ko:K00031	sths:AVT04_08530
ko:K11189	sths:AVT04_08535
