ko:K02028	kpp:A79E_2147
ko:K07119	kpp:A79E_2336
ko:K16238	kpp:A79E_3981
ko:K18922	kpp:A79E_1003
ko:K10440	kpp:A79E_3601
ko:K19586	kpp:A79E_1154
ko:K19123	kpp:A79E_2161
ko:K07012	kpp:A79E_2160
ko:K04753	kpp:A79E_0687
ko:K02054	kpp:A79E_2322
ko:K21908	kpp:A79E_0635
ko:K18141	kpp:A79E_0440
ko:K09690	kpp:A79E_1613
ko:K02226	kpp:A79E_3569
ko:K19162	kpp:A79E_3838
ko:K02345	kpp:A79E_1873
ko:K10562	kpp:A79E_4978
ko:K19271	kpp:A79E_2229
ko:K03585	kpp:A79E_0068
ko:K16347	kpp:A79E_4646
ko:K16348	kpp:A79E_4645
ko:K02532	kpp:A79E_3373
ko:K18138	kpp:A79E_0067
ko:K03553	kpp:A79E_1066
ko:K19611	kpp:A79E_2942
ko:K03293	kpp:A79E_2740
ko:K00526	kpp:A79E_1460
ko:K03321	kpp:A79E_1473
ko:K18138	kpp:A79E_3837
ko:K03111	kpp:A79E_4744
ko:K01990	kpp:A79E_0128
ko:K01990	kpp:A79E_3420
ko:K02615	kpp:A79E_2761
ko:K07675	kpp:A79E_0036
ko:K00884	kpp:A79E_3114
ko:K15269	kpp:A79E_0824
ko:K01250	kpp:A79E_2337
ko:K06858	kpp:A79E_4117
ko:K08351	kpp:A79E_0207
ko:K16345	kpp:A79E_2562
ko:K02052	kpp:A79E_2321
ko:K02055	kpp:A79E_2320
ko:K07346	kpp:A79E_0817
ko:K07684	kpp:A79E_2019
ko:K03668	kpp:A79E_2783
ko:K16514	kpp:A79E_0060
ko:K16515	kpp:A79E_0058
ko:K16516	kpp:A79E_0057
ko:K02617	kpp:A79E_2758
ko:K05714	kpp:A79E_2124
ko:K11748	kpp:A79E_0373
ko:K11747	kpp:A79E_0374
ko:K11745	kpp:A79E_4257
ko:K11645	kpp:A79E_1558
ko:K01069	kpp:A79E_4063
ko:K04099	kpp:A79E_0056
ko:K03077	kpp:A79E_4602
ko:K13936	kpp:A79E_2680
ko:K04784	kpp:A79E_1706
ko:K16370	kpp:A79E_2056
ko:K07713	kpp:A79E_4800
ko:K02099	kpp:A79E_4237
ko:K01630	kpp:A79E_0577
ko:K16322	kpp:A79E_0257
ko:K16371	kpp:A79E_0566
ko:K07127	kpp:A79E_3773
ko:K01491	kpp:A79E_3775
ko:K07038	kpp:A79E_3777
ko:K01883	kpp:A79E_3780
ko:K03269	kpp:A79E_3782
ko:K01588	kpp:A79E_3784
ko:K01589	kpp:A79E_3785
ko:K00926	kpp:A79E_3786
ko:K02083	kpp:A79E_3791
ko:K14977	kpp:A79E_3792
ko:K00865	kpp:A79E_3793
ko:K10975	kpp:A79E_3797
ko:K01608	kpp:A79E_3801
ko:K10973	kpp:A79E_3802
ko:K01483	kpp:A79E_3803
ko:K10972	kpp:A79E_3804
ko:K02003	kpp:A79E_3807
ko:K10804	kpp:A79E_3808
ko:K05838	kpp:A79E_3810
ko:K02069	kpp:A79E_3811
ko:K02068	kpp:A79E_3812
ko:K07340	kpp:A79E_3814
ko:K09973	kpp:A79E_3817
ko:K08223	kpp:A79E_3820
ko:K00892	kpp:A79E_3823
ko:K01772	kpp:A79E_3824
ko:K13408	kpp:A79E_4654
ko:K13409	kpp:A79E_4655
ko:K04077	kpp:A79E_4658
ko:K04078	kpp:A79E_4659
ko:K16263	kpp:A79E_4661
ko:K07113	kpp:A79E_4662
ko:K01744	kpp:A79E_4663
ko:K07791	kpp:A79E_4664
ko:K03926	kpp:A79E_4665
ko:K04084	kpp:A79E_4666
ko:K11935	kpp:A79E_4672
ko:K11931	kpp:A79E_4673
ko:K11936	kpp:A79E_4674
ko:K11937	kpp:A79E_4675
ko:K05516	kpp:A79E_4679
ko:K07406	kpp:A79E_4684
ko:K03762	kpp:A79E_4686
ko:K06193	kpp:A79E_4687
ko:K02043	kpp:A79E_4689
ko:K06166	kpp:A79E_4690
ko:K06165	kpp:A79E_4691
ko:K06164	kpp:A79E_4692
ko:K06163	kpp:A79E_4693
ko:K05781	kpp:A79E_4694
ko:K05780	kpp:A79E_4695
ko:K06162	kpp:A79E_4696
ko:K05774	kpp:A79E_4697
ko:K06167	kpp:A79E_4698
ko:K10441	kpp:A79E_4701
ko:K11102	kpp:A79E_4709
ko:K01895	kpp:A79E_4710
ko:K15585	kpp:A79E_0265
ko:K15584	kpp:A79E_0266
ko:K13727	kpp:A79E_0268
ko:K07806	kpp:A79E_0269
ko:K10012	kpp:A79E_0270
ko:K10011	kpp:A79E_0271
ko:K13014	kpp:A79E_0272
ko:K07264	kpp:A79E_0273
ko:K12963	kpp:A79E_0274
ko:K09125	kpp:A79E_0277
ko:K01534	kpp:A79E_0279
ko:K08993	kpp:A79E_0282
ko:K03110	kpp:A79E_0284
ko:K09812	kpp:A79E_0285
ko:K09811	kpp:A79E_0286
ko:K00375	kpp:A79E_0287
ko:K00823	kpp:A79E_0288
ko:K01999	kpp:A79E_0290
ko:K01999	kpp:A79E_0293
ko:K01997	kpp:A79E_0294
ko:K01998	kpp:A79E_0295
ko:K01995	kpp:A79E_0296
ko:K01996	kpp:A79E_0297
ko:K07341	kpp:A79E_0299
ko:K05813	kpp:A79E_0300
ko:K01126	kpp:A79E_0304
ko:K06911	kpp:A79E_0310
ko:K06145	kpp:A79E_0311
ko:K06156	kpp:A79E_0313
ko:K00133	kpp:A79E_0315
ko:K00975	kpp:A79E_0318
ko:K00703	kpp:A79E_0319
ko:K00688	kpp:A79E_0320
ko:K05804	kpp:A79E_1155
ko:K03664	kpp:A79E_1159
ko:K09801	kpp:A79E_1161
ko:K06186	kpp:A79E_1162
ko:K03631	kpp:A79E_1163
ko:K00858	kpp:A79E_1164
ko:K03687	kpp:A79E_1165
ko:K03106	kpp:A79E_1168
ko:K02959	kpp:A79E_1169
ko:K02860	kpp:A79E_1170
ko:K00554	kpp:A79E_1171
ko:K02884	kpp:A79E_1172
ko:K01626	kpp:A79E_1178
ko:K14187	kpp:A79E_1179
