ko:K14230	tpb:TPFB_t0011
ko:K14234	tpb:TPFB_t0019
ko:K07260	tpb:TPFB_0221
ko:K01978	tpb:TPFB_nc0003
ko:K11070	tpb:TPFB_0654
ko:K15035	tpb:TPFB_nc0002
ko:K01929	tpb:TPFB_0386
ko:K03588	tpb:TPFB_0387
ko:K03589	tpb:TPFB_0388
ko:K03590	tpb:TPFB_0389
ko:K03531	tpb:TPFB_0390
ko:K04096	tpb:TPFB_0393
ko:K03168	tpb:TPFB_0394
ko:K02387	tpb:TPFB_0396
ko:K02388	tpb:TPFB_0397
ko:K02408	tpb:TPFB_0398
ko:K02409	tpb:TPFB_0399
ko:K02410	tpb:TPFB_0400
ko:K02411	tpb:TPFB_0401
ko:K02412	tpb:TPFB_0402
ko:K02413	tpb:TPFB_0403
ko:K01776	tpb:TPFB_0406
ko:K03210	tpb:TPFB_0409a
ko:K03072	tpb:TPFB_0410
ko:K03074	tpb:TPFB_0411
ko:K03310	tpb:TPFB_0414
ko:K03106	tpb:TPFB_0416
ko:K03820	tpb:TPFB_0417
ko:K03787	tpb:TPFB_0419
ko:K03525	tpb:TPFB_0431
ko:K03408	tpb:TPFB_0439
ko:K04566	tpb:TPFB_0644
ko:K01875	tpb:TPFB_0647
ko:K07042	tpb:TPFB_0650
ko:K07037	tpb:TPFB_0651
ko:K03563	tpb:TPFB_0657
ko:K13626	tpb:TPFB_0658
ko:K02397	tpb:TPFB_0659
ko:K02396	tpb:TPFB_0660
ko:K01624	tpb:TPFB_0662
ko:K00876	tpb:TPFB_0667
ko:K02221	tpb:TPFB_0668
ko:K02337	tpb:TPFB_0669
ko:K01921	tpb:TPFB_0670
ko:K01880	tpb:TPFB_0672
ko:K01775	tpb:TPFB_0681
ko:K02523	tpb:TPFB_0683
ko:K10542	tpb:TPFB_0685
ko:K03655	tpb:TPFB_0687
ko:K03977	tpb:TPFB_0689
ko:K05896	tpb:TPFB_0691
ko:K09005	tpb:TPFB_0087
ko:K00075	tpb:TPFB_0090
ko:K01883	tpb:TPFB_0091
ko:K03088	tpb:TPFB_0092
ko:K02518	tpb:TPFB_0097
ko:K09903	tpb:TPFB_0099
ko:K03657	tpb:TPFB_0102
