ko:K07729	cby:CLM_0846
ko:K02004	cby:CLM_2168
ko:K02004	cby:CLM_0697
ko:K13653	cby:CLM_0929
ko:K13653	cby:CLM_0854
ko:K07052	cby:CLM_1467
ko:K13038	cby:CLM_2812
ko:K09931	cby:CLM_2976
ko:K02010	cby:CLM_1307
ko:K02004	cby:CLM_1567
ko:K02428	cby:CLM_3695
ko:K19225	cby:CLM_0468
ko:K00008	cby:CLM_3884
ko:K03711	cby:CLM_2867
ko:K02121	cby:CLM_2992
ko:K00298	cby:CLM_0606
ko:K03410	cby:CLM_3113
ko:K00686	cby:CLM_2599
ko:K11189	cby:CLM_2690
ko:K07105	cby:CLM_0016
ko:K07304	cby:CLM_1565
ko:K00575	cby:CLM_3115
ko:K00625	cby:CLM_2754
ko:K01270	cby:CLM_2438
ko:K09697	cby:CLM_2445
ko:K00949	cby:CLM_2801
ko:K01259	cby:CLM_2246
ko:K07979	cby:CLM_3315
ko:K12574	cby:CLM_2866
ko:K01104	cby:CLM_3052
ko:K13292	cby:CLM_3620
ko:K00297	cby:CLM_1863
ko:K02621	cby:CLM_3137
ko:K01654	cby:CLM_3044
ko:K02503	cby:CLM_3349
ko:K00657	cby:CLM_1325
ko:K03574	cby:CLM_0761
ko:K01297	cby:CLM_0091
ko:K01308	cby:CLM_1547
ko:K01752	cby:CLM_1369
ko:K01580	cby:CLM_2134
ko:K03495	cby:CLM_4147
ko:K03650	cby:CLM_4148
ko:K06346	cby:CLM_4149
ko:K03217	cby:CLM_4150
ko:K08998	cby:CLM_4151
ko:K03536	cby:CLM_4152
ko:K02914	cby:CLM_4153
ko:K02992	cby:CLM_3952
ko:K02950	cby:CLM_3953
ko:K07590	cby:CLM_3954
ko:K03046	cby:CLM_3955
ko:K03043	cby:CLM_3956
ko:K02935	cby:CLM_3957
ko:K02864	cby:CLM_3958
ko:K02863	cby:CLM_3959
ko:K02867	cby:CLM_3960
ko:K02601	cby:CLM_3961
ko:K03073	cby:CLM_3962
ko:K02913	cby:CLM_3963
ko:K03091	cby:CLM_3967
ko:K06962	cby:CLM_3968
ko:K03218	cby:CLM_3969
ko:K03465	cby:CLM_3970
ko:K11145	cby:CLM_3971
ko:K01883	cby:CLM_3972
ko:K01754	cby:CLM_3973
ko:K01881	cby:CLM_3974
ko:K00991	cby:CLM_3975
ko:K07067	cby:CLM_3978
ko:K04485	cby:CLM_3979
ko:K03696	cby:CLM_3980
ko:K03708	cby:CLM_3983
ko:K02355	cby:CLM_3985
ko:K01925	cby:CLM_4002
ko:K01880	cby:CLM_4003
ko:K04567	cby:CLM_4004
ko:K03624	cby:CLM_4005
ko:K03525	cby:CLM_4008
ko:K01938	cby:CLM_4009
ko:K03798	cby:CLM_4010
ko:K00760	cby:CLM_4011
ko:K04075	cby:CLM_4012
ko:K06382	cby:CLM_4013
ko:K07560	cby:CLM_3463
ko:K00759	cby:CLM_3465
ko:K03074	cby:CLM_3467
ko:K03072	cby:CLM_3468
ko:K06871	cby:CLM_3469
ko:K03210	cby:CLM_3472
ko:K00773	cby:CLM_3473
ko:K07568	cby:CLM_3474
ko:K03551	cby:CLM_3475
ko:K03550	cby:CLM_3476
ko:K03665	cby:CLM_3485
ko:K06281	cby:CLM_1997
ko:K06282	cby:CLM_1998
ko:K01955	cby:CLM_2001
ko:K01956	cby:CLM_2002
ko:K03284	cby:CLM_2968
ko:K06023	cby:CLM_2970
ko:K00760	cby:CLM_3486
ko:K05366	cby:CLM_3488
ko:K06407	cby:CLM_3489
ko:K06406	cby:CLM_3490
ko:K06405	cby:CLM_3491
ko:K03091	cby:CLM_3492
ko:K06379	cby:CLM_3493
ko:K05946	cby:CLM_3498
ko:K03980	cby:CLM_3501
ko:K01448	cby:CLM_3516
ko:K00963	cby:CLM_3519
ko:K02897	cby:CLM_3522
ko:K07456	cby:CLM_3528
ko:K08303	cby:CLM_3529
ko:K09888	cby:CLM_3536
ko:K01890	cby:CLM_3537
ko:K01889	cby:CLM_3538
ko:K03437	cby:CLM_3539
ko:K03499	cby:CLM_3540
ko:K03498	cby:CLM_3541
ko:K02887	cby:CLM_3542
ko:K02916	cby:CLM_3543
ko:K02520	cby:CLM_3544
ko:K01868	cby:CLM_3546
ko:K04083	cby:CLM_3556
ko:K00133	cby:CLM_3564
ko:K01714	cby:CLM_3565
ko:K01873	cby:CLM_3576
ko:K03825	cby:CLM_3577
ko:K02051	cby:CLM_3580
ko:K01006	cby:CLM_3336
ko:K03595	cby:CLM_3340
ko:K01489	cby:CLM_3341
ko:K00901	cby:CLM_3342
ko:K07042	cby:CLM_3343
ko:K07037	cby:CLM_3344
ko:K06438	cby:CLM_3345
ko:K09117	cby:CLM_3347
