ko:K03495	bapg:BUMPG002_CDS00586
ko:K03046	bapg:BUMPG002_CDS00554
ko:K03043	bapg:BUMPG002_CDS00553
ko:K02935	bapg:BUMPG002_CDS00552
ko:K02864	bapg:BUMPG002_CDS00551
ko:K02863	bapg:BUMPG002_CDS00550
ko:K02867	bapg:BUMPG002_CDS00549
ko:K02601	bapg:BUMPG002_CDS00548
ko:K03073	bapg:BUMPG002_CDS00547
ko:K00075	bapg:BUMPG002_CDS00546
ko:K00297	bapg:BUMPG002_CDS00545
ko:K01438	bapg:BUMPG002_CDS00544
ko:K00145	bapg:BUMPG002_CDS00543
ko:K00930	bapg:BUMPG002_CDS00542
ko:K01940	bapg:BUMPG002_CDS00541
ko:K01755	bapg:BUMPG002_CDS00540
ko:K03071	bapg:BUMPG002_CDS00538
ko:K00640	bapg:BUMPG002_CDS00537
ko:K03086	bapg:BUMPG002_CDS00536
ko:K02970	bapg:BUMPG002_CDS00534
ko:K01409	bapg:BUMPG002_CDS00533
ko:K02858	bapg:BUMPG002_CDS00532
ko:K03272	bapg:BUMPG002_CDS00531
ko:K00974	bapg:BUMPG002_CDS00530
ko:K06153	bapg:BUMPG002_CDS00529
ko:K08483	bapg:BUMPG002_CDS00527
ko:K02784	bapg:BUMPG002_CDS00526
ko:K01738	bapg:BUMPG002_CDS00525
ko:K01972	bapg:BUMPG002_CDS00524
ko:K01885	bapg:BUMPG002_CDS00523
ko:K02408	bapg:BUMPG002_CDS00522
ko:K02409	bapg:BUMPG002_CDS00521
ko:K02410	bapg:BUMPG002_CDS00520
ko:K02411	bapg:BUMPG002_CDS00519
ko:K02412	bapg:BUMPG002_CDS00518
ko:K02413	bapg:BUMPG002_CDS00517
ko:K02414	bapg:BUMPG002_CDS00515
ko:K02419	bapg:BUMPG002_CDS00513
ko:K02420	bapg:BUMPG002_CDS00512
ko:K02421	bapg:BUMPG002_CDS00511
ko:K02913	bapg:BUMPG002_CDS00510
ko:K02902	bapg:BUMPG002_CDS00509
ko:K09800	bapg:BUMPG002_CDS00508
ko:K01507	bapg:BUMPG002_CDS00507
ko:K03592	bapg:BUMPG002_CDS00506
ko:K07056	bapg:BUMPG002_CDS00505
ko:K00647	bapg:BUMPG002_CDS00504
ko:K00616	bapg:BUMPG002_CDS00503
ko:K00615	bapg:BUMPG002_CDS00502
ko:K01439	bapg:BUMPG002_CDS00501
ko:K00208	bapg:BUMPG002_CDS00332
ko:K01147	bapg:BUMPG002_CDS00331
ko:K03801	bapg:BUMPG002_CDS00329
ko:K03644	bapg:BUMPG002_CDS00328
ko:K01591	bapg:BUMPG002_CDS00327
ko:K01497	bapg:BUMPG002_CDS00326
ko:K06131	bapg:BUMPG002_CDS00325
ko:K10806	bapg:BUMPG002_CDS00324
ko:K06190	bapg:BUMPG002_CDS00323
ko:K01695	bapg:BUMPG002_CDS00321
ko:K01696	bapg:BUMPG002_CDS00320
ko:K13498	bapg:BUMPG002_CDS00319
ko:K00766	bapg:BUMPG002_CDS00318
ko:K06178	bapg:BUMPG002_CDS00316
ko:K04774	bapg:BUMPG002_CDS00315
ko:K03168	bapg:BUMPG002_CDS00314
ko:K01092	bapg:BUMPG002_CDS00313
ko:K06941	bapg:BUMPG002_CDS00312
ko:K01892	bapg:BUMPG002_CDS00310
ko:K00600	bapg:BUMPG002_CDS00309
ko:K01935	bapg:BUMPG002_CDS00308
ko:K01012	bapg:BUMPG002_CDS00307
ko:K00833	bapg:BUMPG002_CDS00306
