ko:K18929	ccc:G157_00360
ko:K06921	ccc:G157_04450
ko:K18928	ccc:G157_00365
ko:K18139	ccc:G157_06815
ko:K00549	ccc:G157_06130
ko:K12574	ccc:G157_08400
ko:K01424	ccc:G157_00140
ko:K18682	ccc:G157_02865
ko:K02031	ccc:G157_00985
ko:K02004	ccc:G157_00470
ko:K02004	ccc:G157_00475
ko:K02067	ccc:G157_00535
ko:K03711	ccc:G157_06640
ko:K03469	ccc:G157_00595
ko:K02014	ccc:G157_00760
ko:K03593	ccc:G157_00800
ko:K00674	ccc:G157_00805
ko:K06857	ccc:G157_01205
ko:K03796	ccc:G157_01240
ko:K03635	ccc:G157_01295
ko:K00124	ccc:G157_01335
ko:K00127	ccc:G157_01340
ko:K03406	ccc:G157_01355
ko:K01760	ccc:G157_01875
ko:K03326	ccc:G157_01880
ko:K07017	ccc:G157_01920
ko:K02428	ccc:G157_01960
ko:K00769	ccc:G157_01980
ko:K01679	ccc:G157_02005
ko:K01885	ccc:G157_02380
ko:K03499	ccc:G157_02400
ko:K03498	ccc:G157_02405
ko:K01104	ccc:G157_02550
ko:K01784	ccc:G157_03280
ko:K07305	ccc:G157_03365
ko:K05595	ccc:G157_03370
ko:K03177	ccc:G157_03410
ko:K01270	ccc:G157_04075
ko:K00575	ccc:G157_04175
ko:K10041	ccc:G157_04180
ko:K02028	ccc:G157_04275
ko:K00058	ccc:G157_04330
ko:K02030	ccc:G157_05165
ko:K02052	ccc:G157_05175
ko:K02055	ccc:G157_05200
ko:K06013	ccc:G157_05220
ko:K01262	ccc:G157_05495
ko:K00939	ccc:G157_05565
ko:K01507	ccc:G157_05570
ko:K07304	ccc:G157_05575
ko:K04655	ccc:G157_05625
ko:K04652	ccc:G157_05640
ko:K01916	ccc:G157_04850
ko:K00076	ccc:G157_04865
ko:K11085	ccc:G157_04885
ko:K00974	ccc:G157_04955
ko:K02574	ccc:G157_05005
ko:K01585	ccc:G157_05100
ko:K18817	ccc:G157_08915
ko:K02035	ccc:G157_00970
ko:K02033	ccc:G157_00975
ko:K03406	ccc:G157_01070
ko:K03286	ccc:G157_01500
ko:K02454	ccc:G157_01535
ko:K00058	ccc:G157_01715
ko:K01092	ccc:G157_01725
ko:K01409	ccc:G157_02105
ko:K15898	ccc:G157_02210
ko:K15896	ccc:G157_02240
ko:K03455	ccc:G157_02705
ko:K13640	ccc:G157_02710
ko:K08738	ccc:G157_02755
ko:K02238	ccc:G157_02855
ko:K01934	ccc:G157_02870
ko:K07457	ccc:G157_03520
ko:K01719	ccc:G157_03535
ko:K02433	ccc:G157_03650
ko:K00088	ccc:G157_03655
ko:K01439	ccc:G157_03730
ko:K03148	ccc:G157_03745
ko:K01959	ccc:G157_03790
ko:K01664	ccc:G157_04365
ko:K03342	ccc:G157_04370
ko:K04763	ccc:G157_04375
ko:K02004	ccc:G157_04475
ko:K03406	ccc:G157_04525
