ko:K07062	xcn:J169_04495
ko:K07172	xcn:J169_02346
ko:K16238	xcn:J169_02532
ko:K01436	xcn:J169_04023
ko:K19736	xcn:J169_00365
ko:K05802	xcn:J169_00539
ko:K05710	xcn:J169_03123
ko:K19611	xcn:J169_03803
ko:K02650	xcn:J169_03980
ko:K01184	xcn:J169_02543
ko:K02650	xcn:J169_03427
ko:K11209	xcn:J169_04220
ko:K09788	xcn:J169_01272
ko:K07063	xcn:J169_00106
ko:K01007	xcn:J169_02197
ko:K12979	xcn:J169_00500
ko:K21449	xcn:J169_03728
ko:K05874	xcn:J169_02048
ko:K04034	xcn:J169_01853
ko:K02485	xcn:J169_00801
ko:K09691	xcn:J169_03783
ko:K01800	xcn:J169_03791
ko:K01829	xcn:J169_04053
ko:K01179	xcn:J169_02696
ko:K20862	xcn:J169_04161
ko:K13664	xcn:J169_02758
ko:K15270	xcn:J169_00714
ko:K01184	xcn:J169_00778
ko:K06148	xcn:J169_00165
ko:K07063	xcn:J169_00034
ko:K00344	xcn:J169_01133
ko:K12132	xcn:J169_04303
ko:K20074	xcn:J169_01221
ko:K01802	xcn:J169_01734
ko:K07502	xcn:J169_00188
ko:K06877	xcn:J169_00189
ko:K11068	xcn:J169_00190
ko:K00059	xcn:J169_00194
ko:K00355	xcn:J169_00199
ko:K07483	xcn:J169_00201
ko:K03671	xcn:J169_00219
ko:K03762	xcn:J169_00220
ko:K03924	xcn:J169_00228
ko:K03568	xcn:J169_00231
ko:K03568	xcn:J169_00232
ko:K03841	xcn:J169_00234
ko:K00832	xcn:J169_00235
ko:K02014	xcn:J169_00236
ko:K00138	xcn:J169_00239
ko:K09959	xcn:J169_00240
ko:K04101	xcn:J169_01001
ko:K04100	xcn:J169_01002
ko:K02623	xcn:J169_01003
ko:K00666	xcn:J169_01004
ko:K18383	xcn:J169_01006
ko:K06968	xcn:J169_01012
ko:K01886	xcn:J169_01016
ko:K07304	xcn:J169_01023
ko:K00616	xcn:J169_01025
ko:K06140	xcn:J169_01026
ko:K04761	xcn:J169_01027
ko:K03387	xcn:J169_01028
ko:K03386	xcn:J169_01029
ko:K02493	xcn:J169_01030
ko:K01259	xcn:J169_01031
ko:K01515	xcn:J169_01033
ko:K03699	xcn:J169_01860
