ko:K18929	ahy:AHML_13595
ko:K00383	ahy:AHML_00095
ko:K08478	ahy:AHML_00135
ko:K03297	ahy:AHML_07200
ko:K03297	ahy:AHML_07205
ko:K19168	ahy:AHML_04040
ko:K01992	ahy:AHML_18595
ko:K01992	ahy:AHML_18765
ko:K18928	ahy:AHML_13600
ko:K15634	ahy:AHML_11125
ko:K05595	ahy:AHML_01765
ko:K04085	ahy:AHML_00710
ko:K01907	ahy:AHML_00745
ko:K03498	ahy:AHML_00760
ko:K00230	ahy:AHML_00765
ko:K03442	ahy:AHML_00810
ko:K10563	ahy:AHML_00850
ko:K12984	ahy:AHML_00870
ko:K02843	ahy:AHML_00875
ko:K03475	ahy:AHML_00885
ko:K02822	ahy:AHML_00890
ko:K02821	ahy:AHML_00895
ko:K08475	ahy:AHML_00140
ko:K08476	ahy:AHML_00145
ko:K01048	ahy:AHML_00160
ko:K06149	ahy:AHML_00235
ko:K07640	ahy:AHML_00975
ko:K13283	ahy:AHML_00985
ko:K00121	ahy:AHML_01070
ko:K02056	ahy:AHML_01090
ko:K07491	ahy:AHML_01105
ko:K09983	ahy:AHML_01125
ko:K01479	ahy:AHML_01865
ko:K12279	ahy:AHML_01900
ko:K12280	ahy:AHML_01910
ko:K12281	ahy:AHML_01915
ko:K12282	ahy:AHML_01920
ko:K12283	ahy:AHML_01925
ko:K12284	ahy:AHML_01930
ko:K12276	ahy:AHML_01935
ko:K12278	ahy:AHML_01940
ko:K10925	ahy:AHML_01950
ko:K10924	ahy:AHML_01955
ko:K10926	ahy:AHML_01960
ko:K10927	ahy:AHML_01965
ko:K12285	ahy:AHML_01970
ko:K12286	ahy:AHML_01975
ko:K12287	ahy:AHML_01980
ko:K05595	ahy:AHML_02060
ko:K03406	ahy:AHML_02095
ko:K09806	ahy:AHML_00545
ko:K02441	ahy:AHML_00555
ko:K03498	ahy:AHML_01245
ko:K03499	ahy:AHML_01250
ko:K03747	ahy:AHML_01280
ko:K01488	ahy:AHML_01345
ko:K00851	ahy:AHML_01415
ko:K11741	ahy:AHML_10500
ko:K18136	ahy:AHML_00115
ko:K12136	ahy:AHML_13265
ko:K03111	ahy:AHML_20930
ko:K00526	ahy:AHML_11260
ko:K03553	ahy:AHML_19740
ko:K20037	ahy:AHML_07225
ko:K01990	ahy:AHML_02495
ko:K03366	ahy:AHML_21150
ko:K01271	ahy:AHML_00750
ko:K19230	ahy:AHML_10135
ko:K19229	ahy:AHML_10140
ko:K19227	ahy:AHML_10150
ko:K00537	ahy:AHML_09210
ko:K18816	ahy:AHML_14505
ko:K08316	ahy:AHML_01815
ko:K01420	ahy:AHML_11420
ko:K03417	ahy:AHML_11610
ko:K03559	ahy:AHML_22125
ko:K03559	ahy:AHML_18325
ko:K06075	ahy:AHML_06560
ko:K08313	ahy:AHML_15365
ko:K01250	ahy:AHML_08155
ko:K08302	ahy:AHML_04105
ko:K03559	ahy:AHML_13020
ko:K03604	ahy:AHML_00600
ko:K18138	ahy:AHML_15600
ko:K00556	ahy:AHML_00170
ko:K03060	ahy:AHML_00180
ko:K00942	ahy:AHML_00185
ko:K12982	ahy:AHML_00190
ko:K11211	ahy:AHML_00195
ko:K00873	ahy:AHML_00125
ko:K07783	ahy:AHML_00130
ko:K01867	ahy:AHML_00230
ko:K07007	ahy:AHML_00255
ko:K02217	ahy:AHML_00250
ko:K07154	ahy:AHML_00280
ko:K01153	ahy:AHML_00290
ko:K13002	ahy:AHML_15525
ko:K02338	ahy:AHML_00010
ko:K00835	ahy:AHML_00045
ko:K02313	ahy:AHML_00005
ko:K04080	ahy:AHML_00040
ko:K03629	ahy:AHML_00015
ko:K02470	ahy:AHML_00020
ko:K04080	ahy:AHML_00035
ko:K01548	ahy:AHML_00075
ko:K07646	ahy:AHML_00070
ko:K07667	ahy:AHML_00065
ko:K01547	ahy:AHML_00080
ko:K01546	ahy:AHML_00085
ko:K01409	ahy:AHML_04235
ko:K01176	ahy:AHML_04265
ko:K02014	ahy:AHML_02375
ko:K02446	ahy:AHML_02390
ko:K01719	ahy:AHML_02410
ko:K09749	ahy:AHML_02485
ko:K02014	ahy:AHML_02545
ko:K07657	ahy:AHML_06620
ko:K06201	ahy:AHML_06650
ko:K00027	ahy:AHML_06740
ko:K03286	ahy:AHML_06745
ko:K03286	ahy:AHML_06750
ko:K03286	ahy:AHML_06755
ko:K03810	ahy:AHML_06825
ko:K01176	ahy:AHML_06850
ko:K02858	ahy:AHML_06885
ko:K06078	ahy:AHML_06890
ko:K05812	ahy:AHML_10955
ko:K02851	ahy:AHML_15515
ko:K03699	ahy:AHML_19705
ko:K03743	ahy:AHML_19745
ko:K06177	ahy:AHML_04405
ko:K01835	ahy:AHML_08530
ko:K08305	ahy:AHML_08545
ko:K03769	ahy:AHML_08590
ko:K03469	ahy:AHML_08670
ko:K02342	ahy:AHML_08675
ko:K06445	ahy:AHML_08690
ko:K02574	ahy:AHML_08765
ko:K02569	ahy:AHML_08775
ko:K03406	ahy:AHML_13040
ko:K00939	ahy:AHML_13210
ko:K03406	ahy:AHML_17185
ko:K00244	ahy:AHML_17190
ko:K00245	ahy:AHML_17195
ko:K00247	ahy:AHML_17205
ko:K02030	ahy:AHML_17220
ko:K08305	ahy:AHML_17430
ko:K07258	ahy:AHML_17440
ko:K00867	ahy:AHML_21300
ko:K03499	ahy:AHML_21315
ko:K03498	ahy:AHML_21320
ko:K02030	ahy:AHML_21430
ko:K03718	ahy:AHML_21435
ko:K06897	ahy:AHML_21445
ko:K02030	ahy:AHML_21490
ko:K03406	ahy:AHML_21520
ko:K02428	ahy:AHML_04310
ko:K14234	ahy:AHML_t22332
ko:K14234	ahy:AHML_t22340
ko:K14234	ahy:AHML_t22518
ko:K14218	ahy:AHML_t22450
ko:K14218	ahy:AHML_t22454
ko:K14218	ahy:AHML_t22456
ko:K14218	ahy:AHML_t22452
ko:K14233	ahy:AHML_t22502
ko:K14225	ahy:AHML_t22420
ko:K14225	ahy:AHML_t22534
ko:K09909	ahy:AHML_04565
ko:K03406	ahy:AHML_04610
ko:K00666	ahy:AHML_04725
ko:K03635	ahy:AHML_08795
ko:K02017	ahy:AHML_08810
ko:K03406	ahy:AHML_08835
ko:K01258	ahy:AHML_08880
ko:K01585	ahy:AHML_08885
ko:K03406	ahy:AHML_08895
ko:K04655	ahy:AHML_13330
ko:K04652	ahy:AHML_13345
ko:K02033	ahy:AHML_13365
ko:K02035	ahy:AHML_13370
ko:K06281	ahy:AHML_13385
ko:K06282	ahy:AHML_13400
ko:K03406	ahy:AHML_13420
ko:K00575	ahy:AHML_13430
