ko:K02028	ssus:NJAUSS_0467
ko:K01598	ssus:NJAUSS_0744
ko:K06148	ssus:NJAUSS_0988
ko:K19689	ssus:NJAUSS_1796
ko:K03088	ssus:NJAUSS_0586
ko:K10040	ssus:NJAUSS_1257
ko:K03790	ssus:NJAUSS_1099
ko:K00537	ssus:NJAUSS_1341
ko:K01791	ssus:NJAUSS_0544
ko:K13677	ssus:NJAUSS_1262
ko:K07260	ssus:NJAUSS_0796
ko:K01835	ssus:NJAUSS_0742
ko:K16786	ssus:NJAUSS_0791
ko:K16787	ssus:NJAUSS_0792
ko:K07025	ssus:NJAUSS_0793
ko:K09976	ssus:NJAUSS_1578
ko:K01372	ssus:NJAUSS_1580
ko:K11144	ssus:NJAUSS_1596
ko:K03346	ssus:NJAUSS_1597
ko:K00033	ssus:NJAUSS_1601
ko:K12556	ssus:NJAUSS_1609
ko:K07729	ssus:NJAUSS_1612
ko:K00805	ssus:NJAUSS_1621
ko:K00805	ssus:NJAUSS_1623
ko:K03498	ssus:NJAUSS_1624
ko:K03499	ssus:NJAUSS_1625
ko:K00939	ssus:NJAUSS_0101
ko:K09815	ssus:NJAUSS_0134
ko:K01220	ssus:NJAUSS_0969
ko:K02786	ssus:NJAUSS_0971
ko:K01635	ssus:NJAUSS_0973
ko:K00917	ssus:NJAUSS_0974
ko:K01819	ssus:NJAUSS_0976
ko:K01819	ssus:NJAUSS_0977
ko:K02530	ssus:NJAUSS_0978
ko:K06147	ssus:NJAUSS_0987
ko:K00625	ssus:NJAUSS_0989
ko:K07816	ssus:NJAUSS_0992
ko:K00016	ssus:NJAUSS_1002
ko:K02056	ssus:NJAUSS_1007
ko:K01489	ssus:NJAUSS_1009
ko:K01619	ssus:NJAUSS_1010
ko:K00564	ssus:NJAUSS_1012
ko:K00867	ssus:NJAUSS_1013
ko:K04750	ssus:NJAUSS_0797
ko:K16899	ssus:NJAUSS_0803
ko:K11072	ssus:NJAUSS_0847
ko:K11071	ssus:NJAUSS_0848
ko:K11069	ssus:NJAUSS_0850
ko:K01361	ssus:NJAUSS_0853
ko:K01439	ssus:NJAUSS_1635
ko:K02793	ssus:NJAUSS_1642
ko:K02794	ssus:NJAUSS_1642
ko:K02795	ssus:NJAUSS_1643
ko:K07052	ssus:NJAUSS_1652
ko:K00059	ssus:NJAUSS_1662
ko:K02371	ssus:NJAUSS_1664
ko:K02808	ssus:NJAUSS_1676
ko:K02809	ssus:NJAUSS_1676
ko:K02810	ssus:NJAUSS_1676
ko:K02824	ssus:NJAUSS_1783
ko:K07004	ssus:NJAUSS_1813
ko:K03708	ssus:NJAUSS_1820
ko:K06183	ssus:NJAUSS_1785
ko:K03436	ssus:NJAUSS_0862
ko:K00882	ssus:NJAUSS_0863
ko:K00974	ssus:NJAUSS_0868
ko:K00845	ssus:NJAUSS_0871
ko:K09787	ssus:NJAUSS_0900
ko:K01262	ssus:NJAUSS_1683
ko:K07030	ssus:NJAUSS_1715
ko:K02033	ssus:NJAUSS_1720
ko:K02035	ssus:NJAUSS_1723
ko:K07258	ssus:NJAUSS_1724
ko:K03693	ssus:NJAUSS_0139
ko:K02243	ssus:NJAUSS_0145
ko:K02244	ssus:NJAUSS_0146
ko:K02245	ssus:NJAUSS_0147
ko:K02246	ssus:NJAUSS_0148
ko:K02248	ssus:NJAUSS_0150
ko:K01261	ssus:NJAUSS_0156
ko:K07386	ssus:NJAUSS_0168
ko:K03713	ssus:NJAUSS_0172
ko:K01409	ssus:NJAUSS_0178
ko:K02025	ssus:NJAUSS_0181
ko:K07491	ssus:NJAUSS_1015
ko:K14982	ssus:NJAUSS_1017
ko:K14983	ssus:NJAUSS_1018
ko:K01092	ssus:NJAUSS_1028
