ko:K18929	ahp:V429_14100
ko:K03297	ahp:V429_07425
ko:K03297	ahp:V429_07430
ko:K19168	ahp:V429_04225
ko:K18928	ahp:V429_14105
ko:K11741	ahp:V429_10800
ko:K15634	ahp:V429_11495
ko:K03111	ahp:V429_21855
ko:K08642	ahp:V429_07085
ko:K07483	ahp:V429_13945
ko:K00526	ahp:V429_11625
ko:K03553	ahp:V429_20625
ko:K03746	ahp:V429_10265
ko:K20037	ahp:V429_07450
ko:K19230	ahp:V429_10435
ko:K19229	ahp:V429_10440
ko:K19227	ahp:V429_10455
ko:K18816	ahp:V429_15040
ko:K01990	ahp:V429_02640
ko:K01175	ahp:V429_08755
ko:K11209	ahp:V429_09750
ko:K19789	ahp:V429_14435
ko:K19745	ahp:V429_00975
ko:K00087	ahp:V429_12525
ko:K18697	ahp:V429_14635
ko:K02476	ahp:V429_10990
ko:K21430	ahp:V429_05810
ko:K15852	ahp:V429_03000
ko:K01985	ahp:V429_00475
ko:K01985	ahp:V429_22135
ko:K01985	ahp:V429_04625
ko:K01985	ahp:V429_01105
ko:K01985	ahp:V429_23120
ko:K01985	ahp:V429_00840
ko:K01985	ahp:V429_21760
ko:K01985	ahp:V429_01785
ko:K01985	ahp:V429_04040
ko:K01985	ahp:V429_19375
ko:K01985	ahp:V429_01115
ko:K01801	ahp:V429_14615
ko:K18555	ahp:V429_01545
ko:K00681	ahp:V429_17045
ko:K07462	ahp:V429_18185
ko:K03981	ahp:V429_18190
ko:K03282	ahp:V429_18195
ko:K04763	ahp:V429_18200
ko:K03840	ahp:V429_18205
ko:K03568	ahp:V429_18210
ko:K03592	ahp:V429_18215
ko:K06996	ahp:V429_18220
ko:K08357	ahp:V429_18260
ko:K08359	ahp:V429_18265
ko:K08358	ahp:V429_18270
ko:K13040	ahp:V429_18275
ko:K13041	ahp:V429_18280
ko:K02477	ahp:V429_18290
ko:K06200	ahp:V429_18295
ko:K05995	ahp:V429_18300
ko:K01679	ahp:V429_18305
ko:K06039	ahp:V429_18315
ko:K00962	ahp:V429_18330
ko:K02956	ahp:V429_18335
ko:K03177	ahp:V429_18340
ko:K02834	ahp:V429_18345
ko:K02519	ahp:V429_18350
ko:K02600	ahp:V429_18355
ko:K09748	ahp:V429_18360
ko:K03075	ahp:V429_18375
ko:K01803	ahp:V429_18380
ko:K03431	ahp:V429_18385
ko:K00796	ahp:V429_18390
ko:K03798	ahp:V429_18395
ko:K02427	ahp:V429_18400
ko:K07574	ahp:V429_18405
ko:K03624	ahp:V429_18415
ko:K02557	ahp:V429_18420
ko:K02556	ahp:V429_18425
ko:K03602	ahp:V429_18430
ko:K00795	ahp:V429_18435
ko:K01662	ahp:V429_18440
ko:K02034	ahp:V429_18445
ko:K02033	ahp:V429_18450
ko:K02035	ahp:V429_18455
ko:K00029	ahp:V429_22880
ko:K02909	ahp:V429_22890
ko:K04066	ahp:V429_22895
ko:K03286	ahp:V429_22905
ko:K01754	ahp:V429_22910
ko:K01687	ahp:V429_22915
ko:K00826	ahp:V429_22920
ko:K11258	ahp:V429_22925
ko:K01652	ahp:V429_22930
ko:K07391	ahp:V429_22935
ko:K08281	ahp:V429_22960
ko:K00763	ahp:V429_22965
ko:K02044	ahp:V429_22970
ko:K02041	ahp:V429_22975
ko:K02042	ahp:V429_22980
ko:K03673	ahp:V429_22985
ko:K09896	ahp:V429_23000
ko:K17686	ahp:V429_23015
ko:K00762	ahp:V429_23020
ko:K00989	ahp:V429_23025
ko:K02843	ahp:V429_23035
ko:K07270	ahp:V429_23050
ko:K03274	ahp:V429_23065
ko:K00639	ahp:V429_23075
ko:K00060	ahp:V429_23080
ko:K03656	ahp:V429_23095
ko:K11717	ahp:V429_23100
ko:K02426	ahp:V429_23105
ko:K03832	ahp:V429_23145
ko:K07639	ahp:V429_22870
ko:K01095	ahp:V429_18465
ko:K00946	ahp:V429_18470
ko:K03625	ahp:V429_18475
ko:K00794	ahp:V429_18480
ko:K14652	ahp:V429_18490
ko:K00793	ahp:V429_18495
ko:K11752	ahp:V429_18500
ko:K07738	ahp:V429_18505
ko:K00600	ahp:V429_18520
ko:K03533	ahp:V429_18535
ko:K01895	ahp:V429_18565
