ko:K19272	kpg:KPNIH32_28420
ko:K01139	kpg:KPNIH32_26885
ko:K00086	kpg:KPNIH32_24130
ko:K02487	kpg:KPNIH32_23605
ko:K16238	kpg:KPNIH32_05510
ko:K02345	kpg:KPNIH32_28880
ko:K18922	kpg:KPNIH32_21820
ko:K19586	kpg:KPNIH32_21150
ko:K06120	kpg:KPNIH32_24120
ko:K03892	kpg:KPNIH32_22870
ko:K06884	kpg:KPNIH32_09890
ko:K19278	kpg:KPNIH32_29460
ko:K14227	kpg:KPNIH32_00575
ko:K14227	kpg:KPNIH32_01045
ko:K14227	kpg:KPNIH32_04985
ko:K14218	kpg:KPNIH32_00580
ko:K14218	kpg:KPNIH32_01050
ko:K14218	kpg:KPNIH32_04990
ko:K14234	kpg:KPNIH32_01080
ko:K14234	kpg:KPNIH32_01095
ko:K14234	kpg:KPNIH32_25205
ko:K00984	kpg:KPNIH32_27930
ko:K09690	kpg:KPNIH32_18280
ko:K21908	kpg:KPNIH32_24090
ko:K19162	kpg:KPNIH32_06205
ko:K02345	kpg:KPNIH32_17005
ko:K06122	kpg:KPNIH32_24110
ko:K06121	kpg:KPNIH32_24115
ko:K00984	kpg:KPNIH32_29465
ko:K03585	kpg:KPNIH32_27115
ko:K07481	kpg:KPNIH32_00685
ko:K18590	kpg:KPNIH32_28345
ko:K18589	kpg:KPNIH32_28030
ko:K00130	kpg:KPNIH32_23150
ko:K03111	kpg:KPNIH32_01565
ko:K03111	kpg:KPNIH32_27780
ko:K18138	kpg:KPNIH32_27120
ko:K18139	kpg:KPNIH32_27125
ko:K03553	kpg:KPNIH32_21490
ko:K03111	kpg:KPNIH32_28915
ko:K04772	kpg:KPNIH32_24920
ko:K00042	kpg:KPNIH32_24415
ko:K00146	kpg:KPNIH32_12130
ko:K02615	kpg:KPNIH32_12200
ko:K19611	kpg:KPNIH32_11025
ko:K03293	kpg:KPNIH32_12305
ko:K00526	kpg:KPNIH32_19065
ko:K01582	kpg:KPNIH32_04900
ko:K18699	kpg:KPNIH32_12920
ko:K18699	kpg:KPNIH32_28045
ko:K01990	kpg:KPNIH32_26820
ko:K01990	kpg:KPNIH32_08605
ko:K15634	kpg:KPNIH32_13950
ko:K19227	kpg:KPNIH32_11300
ko:K19230	kpg:KPNIH32_11285
ko:K00984	kpg:KPNIH32_28355
ko:K19611	kpg:KPNIH32_01580
ko:K19789	kpg:KPNIH32_18930
ko:K19745	kpg:KPNIH32_17870
ko:K00108	kpg:KPNIH32_07390
ko:K08348	kpg:KPNIH32_14390
ko:K03446	kpg:KPNIH32_13880
ko:K04103	kpg:KPNIH32_19575
ko:K00001	kpg:KPNIH32_00310
ko:K21430	kpg:KPNIH32_08865
ko:K01007	kpg:KPNIH32_15920
ko:K08156	kpg:KPNIH32_14355
ko:K07713	kpg:KPNIH32_01250
ko:K00433	kpg:KPNIH32_18050
ko:K04753	kpg:KPNIH32_23830
ko:K03293	kpg:KPNIH32_00775
ko:K02483	kpg:KPNIH32_14075
ko:K19587	kpg:KPNIH32_21160
ko:K19504	kpg:KPNIH32_03550
ko:K11741	kpg:KPNIH32_02170
ko:K06218	kpg:KPNIH32_02660
ko:K18850	kpg:KPNIH32_10385
ko:K14221	kpg:KPNIH32_00595
ko:K14221	kpg:KPNIH32_05060
ko:K14221	kpg:KPNIH32_05005
ko:K14219	kpg:KPNIH32_21445
ko:K14219	kpg:KPNIH32_21465
ko:K14219	kpg:KPNIH32_21460
ko:K14219	kpg:KPNIH32_21455
ko:K18889	kpg:KPNIH32_06040
ko:K21645	kpg:KPNIH32_16595
ko:K14228	kpg:KPNIH32_02930
ko:K01980	kpg:KPNIH32_20740
ko:K01980	kpg:KPNIH32_01055
ko:K01980	kpg:KPNIH32_03195
ko:K18900	kpg:KPNIH32_21135
ko:K18920	kpg:KPNIH32_26490
ko:K14228	kpg:KPNIH32_03650
ko:K14228	kpg:KPNIH32_03660
ko:K14228	kpg:KPNIH32_03655
ko:K14228	kpg:KPNIH32_00790
ko:K01985	kpg:KPNIH32_00090
ko:K01985	kpg:KPNIH32_25210
ko:K01985	kpg:KPNIH32_20735
ko:K01985	kpg:KPNIH32_01280
ko:K01985	kpg:KPNIH32_05000
ko:K01985	kpg:KPNIH32_01060
ko:K01985	kpg:KPNIH32_00590
ko:K01985	kpg:KPNIH32_03200
ko:K01985	kpg:KPNIH32_25200
ko:K18921	kpg:KPNIH32_28955
ko:K14232	kpg:KPNIH32_18975
ko:K14219	kpg:KPNIH32_19510
ko:K18850	kpg:KPNIH32_03180
ko:K20861	kpg:KPNIH32_08900
ko:K20866	kpg:KPNIH32_00170
ko:K20881	kpg:KPNIH32_25685
ko:K20862	kpg:KPNIH32_00860
ko:K11749	kpg:KPNIH32_04850
ko:K07277	kpg:KPNIH32_04855
ko:K06142	kpg:KPNIH32_04860
ko:K02536	kpg:KPNIH32_04865
ko:K02372	kpg:KPNIH32_04870
ko:K00677	kpg:KPNIH32_04875
ko:K00748	kpg:KPNIH32_04880
ko:K03470	kpg:KPNIH32_04885
ko:K02337	kpg:KPNIH32_04890
ko:K01962	kpg:KPNIH32_04895
ko:K08234	kpg:KPNIH32_04905
ko:K04075	kpg:KPNIH32_04910
ko:K15034	kpg:KPNIH32_04930
ko:K06079	kpg:KPNIH32_04935
ko:K01881	kpg:KPNIH32_04945
ko:K06080	kpg:KPNIH32_04955
ko:K02073	kpg:KPNIH32_04960
ko:K02072	kpg:KPNIH32_04965
ko:K02071	kpg:KPNIH32_04970
ko:K03273	kpg:KPNIH32_04975
ko:K07085	kpg:KPNIH32_09145
ko:K05844	kpg:KPNIH32_09180
ko:K11073	kpg:KPNIH32_09190
ko:K11076	kpg:KPNIH32_09195
ko:K11075	kpg:KPNIH32_09200
ko:K11074	kpg:KPNIH32_09205
ko:K03212	kpg:KPNIH32_09215
