ko:K10353	lhr:R0052_11810
ko:K15771	lhr:R0052_11260
ko:K07496	lhr:R0052_09770
ko:K05340	lhr:R0052_04305
ko:K07027	lhr:R0052_02655
ko:K02077	lhr:R0052_02685
ko:K00805	lhr:R0052_02705
ko:K01607	lhr:R0052_09405
ko:K02795	lhr:R0052_09485
ko:K02793	lhr:R0052_09490
ko:K02794	lhr:R0052_09490
ko:K00135	lhr:R0052_09525
ko:K06994	lhr:R0052_09535
ko:K02025	lhr:R0052_09570
ko:K15051	lhr:R0052_09585
ko:K02342	lhr:R0052_09590
ko:K07668	lhr:R0052_00500
ko:K07652	lhr:R0052_00505
ko:K01259	lhr:R0052_00565
ko:K00383	lhr:R0052_05530
ko:K07729	lhr:R0052_05685
ko:K07457	lhr:R0052_05690
ko:K06889	lhr:R0052_05510
ko:K00841	lhr:R0052_07375
ko:K05822	lhr:R0052_07395
ko:K02238	lhr:R0052_07470
ko:K07177	lhr:R0052_07480
ko:K01243	lhr:R0052_07585
ko:K07258	lhr:R0052_02845
ko:K01992	lhr:R0052_02940
ko:K05966	lhr:R0052_03040
ko:K12555	lhr:R0052_03095
ko:K03698	lhr:R0052_03115
ko:K01104	lhr:R0052_00840
ko:K09155	lhr:R0052_00915
ko:K07386	lhr:R0052_00925
ko:K03469	lhr:R0052_00730
ko:K07464	lhr:R0052_03315
ko:K01977	lhr:R0052_r12101
ko:K01977	lhr:R0052_r12097
ko:K01977	lhr:R0052_r12103
ko:K01977	lhr:R0052_r12099
ko:K03455	lhr:R0052_01005
ko:K00088	lhr:R0052_01140
ko:K15582	lhr:R0052_01150
ko:K15583	lhr:R0052_01155
ko:K10823	lhr:R0052_01160
ko:K09685	lhr:R0052_01255
ko:K03486	lhr:R0052_06190
ko:K02755	lhr:R0052_06195
ko:K02756	lhr:R0052_06195
ko:K02757	lhr:R0052_06195
ko:K01258	lhr:R0052_06475
ko:K03498	lhr:R0052_06535
ko:K01226	lhr:R0052_06185
ko:K02248	lhr:R0052_08030
ko:K02246	lhr:R0052_08040
ko:K02245	lhr:R0052_08045
ko:K02244	lhr:R0052_08050
ko:K02243	lhr:R0052_08055
ko:K06889	lhr:R0052_08075
ko:K02755	lhr:R0052_08085
ko:K02756	lhr:R0052_08085
ko:K02757	lhr:R0052_08085
ko:K03488	lhr:R0052_08090
ko:K01104	lhr:R0052_08100
ko:K11069	lhr:R0052_08135
ko:K11071	lhr:R0052_08145
ko:K11072	lhr:R0052_08150
ko:K02342	lhr:R0052_08160
ko:K01259	lhr:R0052_09630
ko:K01488	lhr:R0052_09635
ko:K00867	lhr:R0052_09660
ko:K01424	lhr:R0052_09730
ko:K07386	lhr:R0052_05940
ko:K01992	lhr:R0052_05965
ko:K01081	lhr:R0052_06030
ko:K07304	lhr:R0052_06170
ko:K08724	lhr:R0052_07660
ko:K06183	lhr:R0052_07800
ko:K06286	lhr:R0052_07825
ko:K01515	lhr:R0052_07595
ko:K07533	lhr:R0052_03125
ko:K10563	lhr:R0052_03350
ko:K03346	lhr:R0052_03365
ko:K11144	lhr:R0052_03370
ko:K06948	lhr:R0052_03430
ko:K09155	lhr:R0052_03120
ko:K01104	lhr:R0052_10140
ko:K03048	lhr:R0052_01315
ko:K00016	lhr:R0052_01480
ko:K02236	lhr:R0052_01590
ko:K00625	lhr:R0052_08170
ko:K09762	lhr:R0052_08245
ko:K01835	lhr:R0052_08275
ko:K00700	lhr:R0052_08305
ko:K06023	lhr:R0052_08350
ko:K02242	lhr:R0052_08375
ko:K02240	lhr:R0052_08380
