ko:K02428	cul:CULC22_01829
ko:K14235	cul:CULC22_t00016
ko:K14237	cul:CULC22_t00036
ko:K01966	cul:CULC22_00541
ko:K02313	cul:CULC22_00001
ko:K01992	cul:CULC22_00218
ko:K01992	cul:CULC22_00380
ko:K01992	cul:CULC22_00546
ko:K01992	cul:CULC22_01210
ko:K01992	cul:CULC22_01781
ko:K02338	cul:CULC22_00002
ko:K02057	cul:CULC22_00014
ko:K02470	cul:CULC22_00005
ko:K02469	cul:CULC22_00009
ko:K03629	cul:CULC22_00003
ko:K14218	cul:CULC22_t00002
ko:K14218	cul:CULC22_t00003
ko:K14228	cul:CULC22_t00020
ko:K14228	cul:CULC22_t00027
ko:K14233	cul:CULC22_t00006
ko:K14219	cul:CULC22_t00007
ko:K14219	cul:CULC22_t00008
ko:K14219	cul:CULC22_t00021
ko:K14219	cul:CULC22_t00041
ko:K14234	cul:CULC22_t00014
ko:K14230	cul:CULC22_t00037
ko:K22278	cul:CULC22_01824
ko:K14223	cul:CULC22_t00019
ko:K14223	cul:CULC22_t00022
ko:K14224	cul:CULC22_t00023
ko:K14224	cul:CULC22_t00024
ko:K14224	cul:CULC22_t00049
ko:K14232	cul:CULC22_t00026
ko:K14229	cul:CULC22_t00028
ko:K14229	cul:CULC22_t00043
ko:K14237	cul:CULC22_t00029
ko:K14237	cul:CULC22_t00031
ko:K14237	cul:CULC22_t00034
ko:K14225	cul:CULC22_t00052
ko:K14222	cul:CULC22_t00033
ko:K14220	cul:CULC22_t00038
ko:K14226	cul:CULC22_t00042
ko:K14228	cul:CULC22_t00044
ko:K14218	cul:CULC22_t00045
ko:K14231	cul:CULC22_t00046
ko:K16013	cul:CULC22_01880
ko:K16012	cul:CULC22_01881
ko:K06966	cul:CULC22_00118
ko:K07090	cul:CULC22_00125
ko:K03579	cul:CULC22_00128
ko:K03919	cul:CULC22_00130
ko:K01246	cul:CULC22_00131
ko:K06996	cul:CULC22_00136
ko:K00817	cul:CULC22_00165
ko:K14445	cul:CULC22_00166
ko:K03480	cul:CULC22_00167
ko:K06996	cul:CULC22_00170
ko:K00375	cul:CULC22_00177
ko:K06215	cul:CULC22_00178
ko:K08681	cul:CULC22_00179
ko:K00773	cul:CULC22_00184
ko:K00098	cul:CULC22_00188
ko:K02343	cul:CULC22_00192
ko:K09747	cul:CULC22_00193
ko:K06187	cul:CULC22_00194
ko:K01649	cul:CULC22_00207
ko:K05346	cul:CULC22_00208
ko:K05571	cul:CULC22_00237
ko:K05569	cul:CULC22_00239
ko:K05567	cul:CULC22_00241
ko:K10773	cul:CULC22_00253
ko:K02283	cul:CULC22_00262
ko:K03704	cul:CULC22_00269
ko:K01524	cul:CULC22_00309
ko:K00286	cul:CULC22_00311
ko:K02492	cul:CULC22_00319
ko:K01749	cul:CULC22_00320
ko:K13542	cul:CULC22_00321
ko:K01698	cul:CULC22_00322
ko:K00864	cul:CULC22_00139
ko:K02440	cul:CULC22_00140
ko:K05845	cul:CULC22_00145
ko:K02013	cul:CULC22_00039
ko:K02015	cul:CULC22_00040
ko:K02015	cul:CULC22_00041
ko:K02016	cul:CULC22_00042
ko:K02013	cul:CULC22_00066
ko:K02015	cul:CULC22_00067
ko:K06213	cul:CULC22_00068
ko:K05343	cul:CULC22_00069
ko:K03088	cul:CULC22_00078
ko:K05846	cul:CULC22_00083
ko:K05846	cul:CULC22_00084
ko:K05847	cul:CULC22_00085
ko:K01012	cul:CULC22_00089
ko:K01241	cul:CULC22_00092
ko:K01858	cul:CULC22_00097
ko:K06177	cul:CULC22_02252
ko:K03657	cul:CULC22_00599
ko:K03426	cul:CULC22_00601
ko:K02016	cul:CULC22_00634
ko:K02015	cul:CULC22_00635
ko:K02015	cul:CULC22_00636
ko:K02013	cul:CULC22_00637
ko:K14267	cul:CULC22_00641
ko:K03704	cul:CULC22_00647
ko:K06901	cul:CULC22_00651
ko:K00831	cul:CULC22_00655
ko:K01647	cul:CULC22_00656
ko:K14393	cul:CULC22_00663
ko:K03327	cul:CULC22_00668
ko:K01697	cul:CULC22_00669
ko:K01586	cul:CULC22_00670
ko:K02034	cul:CULC22_00675
ko:K03657	cul:CULC22_00602
ko:K07043	cul:CULC22_00604
ko:K11738	cul:CULC22_00617
ko:K02836	cul:CULC22_00626
ko:K09812	cul:CULC22_00629
ko:K09811	cul:CULC22_00630
ko:K03664	cul:CULC22_00631
ko:K01673	cul:CULC22_00632
ko:K07089	cul:CULC22_00382
ko:K04069	cul:CULC22_00383
ko:K02950	cul:CULC22_00386
ko:K03076	cul:CULC22_00434
ko:K01265	cul:CULC22_00436
ko:K02518	cul:CULC22_00439
ko:K02952	cul:CULC22_00440
ko:K02948	cul:CULC22_00441
ko:K02986	cul:CULC22_00442
ko:K03040	cul:CULC22_00443
ko:K02879	cul:CULC22_00444
ko:K06173	cul:CULC22_00446
ko:K03466	cul:CULC22_00451
ko:K02072	cul:CULC22_00487
ko:K02071	cul:CULC22_00488
ko:K02073	cul:CULC22_00489
ko:K02073	cul:CULC22_00490
ko:K03216	cul:CULC22_00498
ko:K01491	cul:CULC22_00499
ko:K00641	cul:CULC22_00502
ko:K02016	cul:CULC22_00505
ko:K02015	cul:CULC22_00506
ko:K02013	cul:CULC22_00507
ko:K01740	cul:CULC22_00509
ko:K00031	cul:CULC22_00510
ko:K01142	cul:CULC22_00513
ko:K01867	cul:CULC22_00516
ko:K07058	cul:CULC22_00517
ko:K02529	cul:CULC22_00539
ko:K03524	cul:CULC22_00543
ko:K01589	cul:CULC22_00548
ko:K01588	cul:CULC22_00549
ko:K02016	cul:CULC22_00551
ko:K02013	cul:CULC22_00554
ko:K01809	cul:CULC22_00568
ko:K01251	cul:CULC22_00571
ko:K00943	cul:CULC22_00572
ko:K03070	cul:CULC22_00578
ko:K06949	cul:CULC22_00584
ko:K00800	cul:CULC22_00585
ko:K00928	cul:CULC22_00219
ko:K00133	cul:CULC22_00221
ko:K03088	cul:CULC22_00222
ko:K03781	cul:CULC22_00223
ko:K02011	cul:CULC22_00232
ko:K02012	cul:CULC22_00233
ko:K02445	cul:CULC22_00234
ko:K03168	cul:CULC22_00270
ko:K02341	cul:CULC22_00273
ko:K00973	cul:CULC22_00279
ko:K00382	cul:CULC22_00287
ko:K07110	cul:CULC22_00288
ko:K00239	cul:CULC22_00290
ko:K00240	cul:CULC22_00291
ko:K04069	cul:CULC22_00297
ko:K00656	cul:CULC22_00299
ko:K00075	cul:CULC22_00302
ko:K01599	cul:CULC22_00325
ko:K00231	cul:CULC22_00326
ko:K01845	cul:CULC22_00328
ko:K07399	cul:CULC22_00332
ko:K02013	cul:CULC22_00334
ko:K02016	cul:CULC22_00335
ko:K02015	cul:CULC22_00336
ko:K02548	cul:CULC22_00341
ko:K01911	cul:CULC22_00342
ko:K01661	cul:CULC22_00343
ko:K02551	cul:CULC22_00347
ko:K03183	cul:CULC22_00350
ko:K03073	cul:CULC22_00354
ko:K02601	cul:CULC22_00355
ko:K02867	cul:CULC22_00356
ko:K02863	cul:CULC22_00357
ko:K02864	cul:CULC22_00361
ko:K02935	cul:CULC22_00362
ko:K03043	cul:CULC22_00370
ko:K03046	cul:CULC22_00371
ko:K02992	cul:CULC22_00387
ko:K02355	cul:CULC22_00388
ko:K02358	cul:CULC22_00389
ko:K02946	cul:CULC22_00398
ko:K02906	cul:CULC22_00399
ko:K02926	cul:CULC22_00400
ko:K02892	cul:CULC22_00401
ko:K02886	cul:CULC22_00402
ko:K02965	cul:CULC22_00403
ko:K02890	cul:CULC22_00404
ko:K02982	cul:CULC22_00405
ko:K02878	cul:CULC22_00406
ko:K02904	cul:CULC22_00407
ko:K02961	cul:CULC22_00408
ko:K02034	cul:CULC22_00411
ko:K02874	cul:CULC22_00413
ko:K02895	cul:CULC22_00414
ko:K02931	cul:CULC22_00415
ko:K03837	cul:CULC22_00416
ko:K01752	cul:CULC22_00417
ko:K02994	cul:CULC22_00420
ko:K02933	cul:CULC22_00421
ko:K02988	cul:CULC22_00423
ko:K02907	cul:CULC22_00424
ko:K02876	cul:CULC22_00425
ko:K02881	cul:CULC22_00422
ko:K02871	cul:CULC22_00455
ko:K02996	cul:CULC22_00456
ko:K03431	cul:CULC22_00457
ko:K01775	cul:CULC22_00462
ko:K06925	cul:CULC22_00463
ko:K07085	cul:CULC22_00464
ko:K03789	cul:CULC22_00467
ko:K04078	cul:CULC22_00469
ko:K04077	cul:CULC22_00470
ko:K03088	cul:CULC22_00473
ko:K01951	cul:CULC22_00480
ko:K00761	cul:CULC22_00523
ko:K00382	cul:CULC22_00527
ko:K06287	cul:CULC22_00537
ko:K03088	cul:CULC22_00588
ko:K07386	cul:CULC22_00142
ko:K11387	cul:CULC22_00146
ko:K13686	cul:CULC22_00147
ko:K11707	cul:CULC22_00155
ko:K11710	cul:CULC22_00156
ko:K11708	cul:CULC22_00157
ko:K11709	cul:CULC22_00158
ko:K11707	cul:CULC22_00159
ko:K04517	cul:CULC22_00181
ko:K06994	cul:CULC22_00183
ko:K03784	cul:CULC22_00209
ko:K01619	cul:CULC22_00211
ko:K07657	cul:CULC22_00235
ko:K01322	cul:CULC22_00283
ko:K00241	cul:CULC22_00289
ko:K02056	cul:CULC22_00015
ko:K07052	cul:CULC22_00057
ko:K07052	cul:CULC22_00060
ko:K01011	cul:CULC22_00061
ko:K02025	cul:CULC22_00557
ko:K09118	cul:CULC22_00609
ko:K12942	cul:CULC22_00628
ko:K07177	cul:CULC22_00606
ko:K07670	cul:CULC22_00573
