ko:K18929	hhq:HPSH169_00665
ko:K19302	hhq:HPSH169_04365
ko:K18928	hhq:HPSH169_00670
ko:K04655	hhq:HPSH169_00215
ko:K14048	hhq:HPSH169_00340
ko:K03406	hhq:HPSH169_00385
ko:K14232	hhq:HPSH169_t07974
ko:K07316	hhq:HPSH169_01475
ko:K18682	hhq:HPSH169_03905
ko:K16091	hhq:HPSH169_03500
ko:K16091	hhq:HPSH169_07595
ko:K00104	hhq:HPSH169_02610
ko:K14233	hhq:HPSH169_t07964
ko:K14218	hhq:HPSH169_t07968
ko:K01980	hhq:HPSH169_r08032
ko:K01980	hhq:HPSH169_r08034
ko:K14219	hhq:HPSH169_t07994
ko:K14226	hhq:HPSH169_t07996
ko:K15726	hhq:HPSH169_04945
ko:K01977	hhq:HPSH169_r08028
ko:K01977	hhq:HPSH169_r08030
ko:K14230	hhq:HPSH169_t08006
ko:K14234	hhq:HPSH169_t08010
ko:K14225	hhq:HPSH169_t08012
ko:K14236	hhq:HPSH169_t08014
ko:K14234	hhq:HPSH169_t08016
ko:K14228	hhq:HPSH169_t08018
ko:K14228	hhq:HPSH169_t08020
ko:K14231	hhq:HPSH169_t08022
ko:K10716	hhq:HPSH169_02525
ko:K02014	hhq:HPSH169_04480
ko:K02014	hhq:HPSH169_07450
ko:K03496	hhq:HPSH169_01170
ko:K02028	hhq:HPSH169_05810
ko:K02030	hhq:HPSH169_05815
ko:K00759	hhq:HPSH169_02945
ko:K01808	hhq:HPSH169_02955
ko:K03100	hhq:HPSH169_02965
ko:K01491	hhq:HPSH169_02970
ko:K01465	hhq:HPSH169_02990
ko:K02417	hhq:HPSH169_03005
ko:K10773	hhq:HPSH169_03010
ko:K07082	hhq:HPSH169_03025
ko:K00176	hhq:HPSH169_03035
ko:K00174	hhq:HPSH169_03040
ko:K00175	hhq:HPSH169_03045
ko:K00177	hhq:HPSH169_03050
ko:K03611	hhq:HPSH169_03065
ko:K02406	hhq:HPSH169_03100
ko:K01599	hhq:HPSH169_03115
ko:K01972	hhq:HPSH169_03160
ko:K03415	hhq:HPSH169_03165
ko:K01876	hhq:HPSH169_03170
ko:K07270	hhq:HPSH169_03180
ko:K07270	hhq:HPSH169_03190
ko:K04653	hhq:HPSH169_04575
ko:K13788	hhq:HPSH169_04590
ko:K02389	hhq:HPSH169_04600
ko:K02390	hhq:HPSH169_04605
ko:K03657	hhq:HPSH169_04620
ko:K01955	hhq:HPSH169_04665
ko:K00134	hhq:HPSH169_04675
ko:K01821	hhq:HPSH169_04690
ko:K06187	hhq:HPSH169_04695
ko:K06176	hhq:HPSH169_04700
ko:K03799	hhq:HPSH169_04705
ko:K01495	hhq:HPSH169_04710
ko:K00795	hhq:HPSH169_04715
ko:K03787	hhq:HPSH169_04720
ko:K01737	hhq:HPSH169_04730
ko:K01775	hhq:HPSH169_04790
ko:K03310	hhq:HPSH169_04795
ko:K00285	hhq:HPSH169_04800
ko:K00783	hhq:HPSH169_04830
ko:K01963	hhq:HPSH169_04835
ko:K02879	hhq:HPSH169_06415
ko:K03040	hhq:HPSH169_06420
ko:K02986	hhq:HPSH169_06425
ko:K02948	hhq:HPSH169_06430
ko:K02952	hhq:HPSH169_06435
ko:K02919	hhq:HPSH169_06440
ko:K02518	hhq:HPSH169_06445
ko:K01265	hhq:HPSH169_06450
ko:K03076	hhq:HPSH169_06455
ko:K02876	hhq:HPSH169_06460
ko:K02988	hhq:HPSH169_06465
ko:K02881	hhq:HPSH169_06470
ko:K02933	hhq:HPSH169_06475
ko:K02994	hhq:HPSH169_06480
ko:K02954	hhq:HPSH169_06485
ko:K02931	hhq:HPSH169_06490
ko:K02895	hhq:HPSH169_06495
ko:K02874	hhq:HPSH169_06500
ko:K02961	hhq:HPSH169_06505
ko:K02904	hhq:HPSH169_06510
ko:K02878	hhq:HPSH169_06515
ko:K02982	hhq:HPSH169_06520
ko:K02890	hhq:HPSH169_06525
ko:K02965	hhq:HPSH169_06530
ko:K02886	hhq:HPSH169_06535
ko:K02892	hhq:HPSH169_06540
ko:K02926	hhq:HPSH169_06545
ko:K02906	hhq:HPSH169_06550
ko:K02946	hhq:HPSH169_06555
ko:K07133	hhq:HPSH169_06560
ko:K03470	hhq:HPSH169_06570
ko:K07787	hhq:HPSH169_06600
ko:K03686	hhq:HPSH169_06615
ko:K00566	hhq:HPSH169_06625
ko:K00969	hhq:HPSH169_06635
ko:K07722	hhq:HPSH169_06640
ko:K03561	hhq:HPSH169_06645
ko:K03832	hhq:HPSH169_06655
ko:K00116	hhq:HPSH169_00410
ko:K03086	hhq:HPSH169_00420
ko:K00645	hhq:HPSH169_00430
ko:K03625	hhq:HPSH169_00005
ko:K00794	hhq:HPSH169_00010
ko:K01627	hhq:HPSH169_00015
ko:K01591	hhq:HPSH169_00030
ko:K01918	hhq:HPSH169_00035
ko:K04077	hhq:HPSH169_00040
ko:K04078	hhq:HPSH169_00045
ko:K00566	hhq:HPSH169_00055
ko:K09859	hhq:HPSH169_00085
ko:K03415	hhq:HPSH169_00090
ko:K13747	hhq:HPSH169_00095
ko:K03760	hhq:HPSH169_00105
ko:K00031	hhq:HPSH169_00125
ko:K01935	hhq:HPSH169_00135
ko:K06891	hhq:HPSH169_00150
ko:K03694	hhq:HPSH169_00155
ko:K01579	hhq:HPSH169_00160
ko:K09747	hhq:HPSH169_00165
ko:K01647	hhq:HPSH169_00120
ko:K01711	hhq:HPSH169_00205
ko:K02377	hhq:HPSH169_00210
ko:K04656	hhq:HPSH169_00220
ko:K13821	hhq:HPSH169_00275
ko:K03190	hhq:HPSH169_00310
ko:K03189	hhq:HPSH169_00315
ko:K03188	hhq:HPSH169_00320
ko:K03187	hhq:HPSH169_00325
ko:K01428	hhq:HPSH169_00335
ko:K03101	hhq:HPSH169_00345
ko:K03431	hhq:HPSH169_00350
ko:K02968	hhq:HPSH169_00355
ko:K02835	hhq:HPSH169_00360
ko:K02996	hhq:HPSH169_00395
ko:K02871	hhq:HPSH169_00400
ko:K09944	hhq:HPSH169_01595
ko:K01735	hhq:HPSH169_01600
ko:K01586	hhq:HPSH169_01635
ko:K01163	hhq:HPSH169_01645
ko:K02397	hhq:HPSH169_01660
ko:K02888	hhq:HPSH169_01665
ko:K02899	hhq:HPSH169_01670
ko:K12368	hhq:HPSH169_01675
ko:K12370	hhq:HPSH169_01685
ko:K12372	hhq:HPSH169_01695
ko:K03979	hhq:HPSH169_01700
ko:K01845	hhq:HPSH169_01715
ko:K07226	hhq:HPSH169_01765
ko:K01887	hhq:HPSH169_01770
ko:K03116	hhq:HPSH169_01775
ko:K00942	hhq:HPSH169_01780
ko:K02393	hhq:HPSH169_01805
ko:K00912	hhq:HPSH169_01825
ko:K00053	hhq:HPSH169_01835
ko:K03609	hhq:HPSH169_01840
ko:K03608	hhq:HPSH169_01845
ko:K04096	hhq:HPSH169_01850
ko:K07447	hhq:HPSH169_01855
ko:K07456	hhq:HPSH169_03200
ko:K01924	hhq:HPSH169_03210
ko:K03923	hhq:HPSH169_03240
ko:K03620	hhq:HPSH169_03255
ko:K06920	hhq:HPSH169_03285
ko:K02221	hhq:HPSH169_03305
ko:K08309	hhq:HPSH169_03310
ko:K00963	hhq:HPSH169_03315
ko:K00790	hhq:HPSH169_03325
ko:K01744	hhq:HPSH169_03330
ko:K01079	hhq:HPSH169_03345
ko:K02217	hhq:HPSH169_03350
ko:K07277	hhq:HPSH169_03360
ko:K02434	hhq:HPSH169_03375
ko:K03685	hhq:HPSH169_03395
ko:K01736	hhq:HPSH169_03400
ko:K11473	hhq:HPSH169_03415
ko:K00812	hhq:HPSH169_03445
ko:K07090	hhq:HPSH169_03460
ko:K15846	hhq:HPSH169_05145
ko:K01951	hhq:HPSH169_05150
ko:K02503	hhq:HPSH169_05175
ko:K01889	hhq:HPSH169_05180
ko:K01890	hhq:HPSH169_05185
ko:K00800	hhq:HPSH169_05190
ko:K03527	hhq:HPSH169_05195
ko:K02945	hhq:HPSH169_05200
ko:K03182	hhq:HPSH169_05215
ko:K06997	hhq:HPSH169_05220
ko:K03269	hhq:HPSH169_05225
ko:K03415	hhq:HPSH169_05230
ko:K03407	hhq:HPSH169_05235
ko:K03408	hhq:HPSH169_05240
ko:K11065	hhq:HPSH169_05245
ko:K04564	hhq:HPSH169_05250
ko:K15256	hhq:HPSH169_05255
ko:K04066	hhq:HPSH169_05260
ko:K02493	hhq:HPSH169_05295
ko:K00262	hhq:HPSH169_05300
ko:K01772	hhq:HPSH169_05320
ko:K09761	hhq:HPSH169_05330
ko:K01494	hhq:HPSH169_05340
ko:K02160	hhq:HPSH169_05345
ko:K01961	hhq:HPSH169_05350
ko:K00573	hhq:HPSH169_05380
ko:K07091	hhq:HPSH169_05385
ko:K06173	hhq:HPSH169_05390
ko:K02065	hhq:HPSH169_07210
ko:K02066	hhq:HPSH169_07215
ko:K00826	hhq:HPSH169_07225
ko:K00943	hhq:HPSH169_07260
ko:K00954	hhq:HPSH169_07265
ko:K03186	hhq:HPSH169_07270
ko:K02386	hhq:HPSH169_07275
ko:K03657	hhq:HPSH169_07280
ko:K01875	hhq:HPSH169_07290
ko:K03602	hhq:HPSH169_07300
ko:K03183	hhq:HPSH169_07305
ko:K08973	hhq:HPSH169_07310
ko:K01993	hhq:HPSH169_07330
ko:K03306	hhq:HPSH169_07345
ko:K01928	hhq:HPSH169_07360
ko:K02897	hhq:HPSH169_07370
ko:K01056	hhq:HPSH169_07375
ko:K11720	hhq:HPSH169_07380
ko:K09943	hhq:HPSH169_07400
ko:K11752	hhq:HPSH169_07415
ko:K03312	hhq:HPSH169_07420
ko:K08591	hhq:HPSH169_07435
ko:K01633	hhq:HPSH169_07440
ko:K01042	hhq:HPSH169_07455
ko:K03168	hhq:HPSH169_01070
ko:K04079	hhq:HPSH169_01215
ko:K03495	hhq:HPSH169_01230
ko:K14445	hhq:HPSH169_01235
ko:K00981	hhq:HPSH169_01240
ko:K00099	hhq:HPSH169_01245
ko:K04487	hhq:HPSH169_01270
ko:K13819	hhq:HPSH169_01275
ko:K04485	hhq:HPSH169_01285
ko:K12267	hhq:HPSH169_01290
ko:K07090	hhq:HPSH169_01295
ko:K00979	hhq:HPSH169_01320
ko:K01153	hhq:HPSH169_02395
ko:K08602	hhq:HPSH169_02425
