ko:K14227	sena:AU38_01275
ko:K19504	sena:AU38_22200
ko:K01977	sena:AU38_01270
ko:K01977	sena:AU38_16470
ko:K00632	sena:AU38_19520
ko:K19595	sena:AU38_01700
ko:K19555	sena:AU38_23110
ko:K01990	sena:AU38_03955
ko:K18816	sena:AU38_07425
ko:K21430	sena:AU38_04190
ko:K19611	sena:AU38_13305
ko:K02495	sena:AU38_19605
ko:K19697	sena:AU38_10370
ko:K11209	sena:AU38_11790
ko:K19789	sena:AU38_11200
ko:K08348	sena:AU38_07665
ko:K03292	sena:AU38_19930
ko:K04103	sena:AU38_12100
ko:K00001	sena:AU38_19820
ko:K12979	sena:AU38_20965
ko:K01007	sena:AU38_08775
ko:K21469	sena:AU38_12465
ko:K08156	sena:AU38_01915
ko:K10678	sena:AU38_04260
ko:K21905	sena:AU38_23135
ko:K19597	sena:AU38_01705
ko:K07005	sena:AU38_03415
ko:K07493	sena:AU38_06060
ko:K01801	sena:AU38_10965
ko:K12453	sena:AU38_10540
ko:K00984	sena:AU38_09260
ko:K04753	sena:AU38_15335
ko:K01023	sena:AU38_15435
ko:K05874	sena:AU38_22170
ko:K21645	sena:AU38_22035
ko:K20861	sena:AU38_04225
ko:K20866	sena:AU38_19710
ko:K20881	sena:AU38_16950
ko:K20862	sena:AU38_19360
ko:K13450	sena:AU38_23085
ko:K08970	sena:AU38_14565
ko:K06910	sena:AU38_03835
ko:K00833	sena:AU38_03840
ko:K01012	sena:AU38_03845
ko:K00652	sena:AU38_03850
ko:K10773	sena:AU38_08255
ko:K03305	sena:AU38_08260
ko:K00799	sena:AU38_08265
ko:K00868	sena:AU38_08270
ko:K01866	sena:AU38_08275
ko:K00275	sena:AU38_08280
ko:K09001	sena:AU38_08290
ko:K06077	sena:AU38_08295
ko:K06075	sena:AU38_08300
ko:K04565	sena:AU38_08320
ko:K06938	sena:AU38_08330
ko:K16137	sena:AU38_08335
ko:K10680	sena:AU38_08340
ko:K01759	sena:AU38_08345
ko:K03683	sena:AU38_08350
ko:K07390	sena:AU38_08355
ko:K04564	sena:AU38_08365
ko:K03604	sena:AU38_08375
ko:K00574	sena:AU38_08390
ko:K00793	sena:AU38_08395
ko:K03327	sena:AU38_08400
ko:K03229	sena:AU38_08415
ko:K03228	sena:AU38_08420
ko:K03227	sena:AU38_08425
ko:K03226	sena:AU38_08430
ko:K03225	sena:AU38_08435
ko:K03224	sena:AU38_08450
ko:K03230	sena:AU38_08455
ko:K03222	sena:AU38_08480
ko:K03221	sena:AU38_08495
ko:K15351	sena:AU38_08500
ko:K15350	sena:AU38_08505
ko:K15346	sena:AU38_08520
ko:K15345	sena:AU38_08525
ko:K07751	sena:AU38_12750
ko:K04755	sena:AU38_12760
ko:K04044	sena:AU38_12765
ko:K04082	sena:AU38_12770
ko:K13628	sena:AU38_12775
ko:K04488	sena:AU38_12780
ko:K04487	sena:AU38_12785
ko:K13643	sena:AU38_12790
ko:K15396	sena:AU38_12795
ko:K01092	sena:AU38_12800
ko:K06889	sena:AU38_12805
ko:K16951	sena:AU38_12815
ko:K00385	sena:AU38_12820
ko:K05820	sena:AU38_12840
ko:K00600	sena:AU38_12845
ko:K05916	sena:AU38_12850
ko:K03765	sena:AU38_12855
ko:K03757	sena:AU38_12860
ko:K03305	sena:AU38_12870
ko:K04751	sena:AU38_12875
ko:K07715	sena:AU38_12880
ko:K07711	sena:AU38_12890
ko:K01952	sena:AU38_12895
ko:K18691	sena:AU38_12900
ko:K11991	sena:AU38_12905
ko:K18697	sena:AU38_12910
ko:K02809	sena:AU38_12915
ko:K02810	sena:AU38_12915
ko:K07106	sena:AU38_12920
ko:K00077	sena:AU38_12930
ko:K08177	sena:AU38_12935
ko:K00997	sena:AU38_12950
ko:K03474	sena:AU38_12955
ko:K03584	sena:AU38_12960
ko:K03685	sena:AU38_12970
ko:K03100	sena:AU38_12975
ko:K03596	sena:AU38_12980
ko:K03803	sena:AU38_12985
ko:K03598	sena:AU38_12990
ko:K03597	sena:AU38_12995
ko:K03088	sena:AU38_13000
ko:K00278	sena:AU38_13005
ko:K15460	sena:AU38_13010
ko:K05590	sena:AU38_13015
ko:K01126	sena:AU38_17235
ko:K05816	sena:AU38_17240
ko:K05815	sena:AU38_17245
ko:K05814	sena:AU38_17250
ko:K05813	sena:AU38_17255
ko:K07341	sena:AU38_17260
ko:K19165	sena:AU38_17265
ko:K01996	sena:AU38_17270
ko:K01995	sena:AU38_17275
ko:K01998	sena:AU38_17280
ko:K01997	sena:AU38_17285
ko:K01999	sena:AU38_17290
ko:K01999	sena:AU38_17300
ko:K03089	sena:AU38_17305
ko:K09811	sena:AU38_17310
ko:K09812	sena:AU38_17315
ko:K03110	sena:AU38_17320
ko:K08316	sena:AU38_17325
ko:K08993	sena:AU38_17330
ko:K01534	sena:AU38_17345
ko:K03406	sena:AU38_17350
ko:K04085	sena:AU38_17355
ko:K09125	sena:AU38_17360
ko:K06133	sena:AU38_17380
ko:K07722	sena:AU38_17385
ko:K13926	sena:AU38_17395
ko:K01993	sena:AU38_17400
ko:K07007	sena:AU38_17405
ko:K16322	sena:AU38_17410
ko:K06144	sena:AU38_17415
ko:K06149	sena:AU38_17420
ko:K03305	sena:AU38_17425
ko:K15984	sena:AU38_17430
ko:K01414	sena:AU38_17435
ko:K07115	sena:AU38_17445
ko:K00383	sena:AU38_17450
ko:K01424	sena:AU38_17455
ko:K07792	sena:AU38_17460
ko:K03710	sena:AU38_17475
ko:K01194	sena:AU38_17480
ko:K09893	sena:AU38_21780
ko:K06169	sena:AU38_21785
ko:K03828	sena:AU38_21800
ko:K01873	sena:AU38_21810
ko:K02339	sena:AU38_21815
ko:K01255	sena:AU38_21820
ko:K07091	sena:AU38_21825
ko:K11720	sena:AU38_21830
ko:K06146	sena:AU38_21835
ko:K06157	sena:AU38_21840
ko:K00046	sena:AU38_21845
ko:K00098	sena:AU38_21850
ko:K00851	sena:AU38_21855
ko:K12957	sena:AU38_21860
ko:K19164	sena:AU38_21880
ko:K19163	sena:AU38_21885
ko:K09982	sena:AU38_21985
ko:K13637	sena:AU38_22015
ko:K01867	sena:AU38_22020
ko:K06887	sena:AU38_22025
ko:K01779	sena:AU38_22030
ko:K01305	sena:AU38_22040
ko:K00135	sena:AU38_22075
ko:K03521	sena:AU38_04155
ko:K03522	sena:AU38_04160
ko:K09709	sena:AU38_04165
ko:K00311	sena:AU38_04175
ko:K07258	sena:AU38_04205
ko:K11534	sena:AU38_04210
ko:K08160	sena:AU38_04220
ko:K07085	sena:AU38_04240
ko:K03674	sena:AU38_04250
ko:K05844	sena:AU38_04265
ko:K11073	sena:AU38_04275
ko:K11076	sena:AU38_04280
ko:K11075	sena:AU38_04285
ko:K11074	sena:AU38_04290
ko:K03212	sena:AU38_04300
ko:K03475	sena:AU38_04305
ko:K02822	sena:AU38_04310
ko:K09996	sena:AU38_04320
ko:K09998	sena:AU38_04325
ko:K09999	sena:AU38_04330
ko:K09997	sena:AU38_04335
ko:K10000	sena:AU38_04340
ko:K11066	sena:AU38_04355
ko:K01620	sena:AU38_04370
ko:K00156	sena:AU38_04375
ko:K11933	sena:AU38_04380
ko:K05601	sena:AU38_04385
ko:K07459	sena:AU38_04395
ko:K09824	sena:AU38_04400
ko:K13888	sena:AU38_04405
ko:K05685	sena:AU38_04410
ko:K03704	sena:AU38_04415
ko:K06891	sena:AU38_04420
ko:K03694	sena:AU38_04425
ko:K06074	sena:AU38_08815
ko:K00432	sena:AU38_08820
ko:K06073	sena:AU38_08825
ko:K04764	sena:AU38_08830
ko:K01890	sena:AU38_08835
ko:K01889	sena:AU38_08840
ko:K02887	sena:AU38_08845
ko:K02916	sena:AU38_08850
ko:K02520	sena:AU38_08855
ko:K01868	sena:AU38_08860
ko:K01173	sena:AU38_08870
ko:K09953	sena:AU38_08880
ko:K07283	sena:AU38_08885
ko:K16370	sena:AU38_08890
ko:K07038	sena:AU38_08915
ko:K06956	sena:AU38_08920
ko:K15722	sena:AU38_08925
ko:K03781	sena:AU38_08930
ko:K03478	sena:AU38_08935
ko:K01222	sena:AU38_08940
ko:K03490	sena:AU38_08945
ko:K02759	sena:AU38_08950
ko:K02761	sena:AU38_08955
ko:K02760	sena:AU38_08960
ko:K04064	sena:AU38_08965
ko:K01916	sena:AU38_08970
ko:K05984	sena:AU38_08975
ko:K05526	sena:AU38_08985
ko:K01484	sena:AU38_08990
ko:K06447	sena:AU38_08995
