ko:K18929	hpi:hp908_0147
ko:K18928	hpi:hp908_0148
ko:K12574	hpi:hp908_1416
ko:K04079	hpi:hp908_0220
ko:K03495	hpi:hp908_0224
ko:K14445	hpi:hp908_0225
ko:K00981	hpi:hp908_0226
ko:K00099	hpi:hp908_0227
ko:K04487	hpi:hp908_0231
ko:K13819	hpi:hp908_0232
ko:K04485	hpi:hp908_0234
ko:K12267	hpi:hp908_0235
ko:K07090	hpi:hp908_0238
ko:K00979	hpi:hp908_0243
ko:K03981	hpi:hp908_0244
ko:K01749	hpi:hp908_0250
ko:K01881	hpi:hp908_0251
ko:K02492	hpi:hp908_0252
ko:K02523	hpi:hp908_0253
ko:K04047	hpi:hp908_0256
ko:K07710	hpi:hp908_0257
ko:K02394	hpi:hp908_0259
ko:K05592	hpi:hp908_0260
ko:K13896	hpi:hp908_0263
ko:K13895	hpi:hp908_0264
ko:K01939	hpi:hp908_0267
ko:K01961	hpi:hp908_1077
ko:K00573	hpi:hp908_1083
ko:K07091	hpi:hp908_1084
ko:K06173	hpi:hp908_1085
ko:K01625	hpi:hp908_1091
ko:K01690	hpi:hp908_1092
ko:K00036	hpi:hp908_1093
ko:K01057	hpi:hp908_1094
ko:K13979	hpi:hp908_1096
ko:K00172	hpi:hp908_1103
ko:K00171	hpi:hp908_1104
ko:K00169	hpi:hp908_1105
ko:K00170	hpi:hp908_1106
ko:K01756	hpi:hp908_1107
ko:K03702	hpi:hp908_1109
ko:K02396	hpi:hp908_1115
ko:K03775	hpi:hp908_1120
ko:K03640	hpi:hp908_1122
ko:K03641	hpi:hp908_1123
ko:K01733	hpi:hp908_0107
ko:K09765	hpi:hp908_0109
ko:K07173	hpi:hp908_0115
ko:K04043	hpi:hp908_0120
ko:K03687	hpi:hp908_0121
ko:K03705	hpi:hp908_0122
ko:K01628	hpi:hp908_0123
ko:K02406	hpi:hp908_0126
ko:K03168	hpi:hp908_0127
ko:K01868	hpi:hp908_0132
ko:K02520	hpi:hp908_0133
ko:K02916	hpi:hp908_0134
ko:K02887	hpi:hp908_0135
ko:K01752	hpi:hp908_0141
ko:K03837	hpi:hp908_0142
ko:K01626	hpi:hp908_0143
ko:K03564	hpi:hp908_0145
ko:K00782	hpi:hp908_0146
ko:K03303	hpi:hp908_0149
ko:K03303	hpi:hp908_0150
ko:K03575	hpi:hp908_0151
ko:K00404	hpi:hp908_0153
ko:K00405	hpi:hp908_0154
ko:K00407	hpi:hp908_0155
ko:K00406	hpi:hp908_0156
ko:K13292	hpi:hp908_0971
ko:K02527	hpi:hp908_0973
ko:K07164	hpi:hp908_0974
ko:K01878	hpi:hp908_0976
ko:K00057	hpi:hp908_0977
ko:K01879	hpi:hp908_0984
ko:K15633	hpi:hp908_0986
ko:K02435	hpi:hp908_0987
ko:K00833	hpi:hp908_0988
ko:K03770	hpi:hp908_0989
ko:K03590	hpi:hp908_0990
ko:K03531	hpi:hp908_0991
ko:K03168	hpi:hp908_0998
ko:K15257	hpi:hp908_1025
ko:K01772	hpi:hp908_1026
ko:K03625	hpi:hp908_0001
ko:K00794	hpi:hp908_0002
ko:K01627	hpi:hp908_0003
ko:K01673	hpi:hp908_0004
ko:K01591	hpi:hp908_0005
ko:K01918	hpi:hp908_0006
ko:K04077	hpi:hp908_0012
ko:K04078	hpi:hp908_0013
ko:K00566	hpi:hp908_0015
ko:K09859	hpi:hp908_0022
ko:K03415	hpi:hp908_0023
ko:K13747	hpi:hp908_0024
ko:K03760	hpi:hp908_0026
ko:K01647	hpi:hp908_0029
ko:K00031	hpi:hp908_0030
ko:K01935	hpi:hp908_0032
ko:K06891	hpi:hp908_0035
ko:K03694	hpi:hp908_0036
ko:K01579	hpi:hp908_0037
ko:K09747	hpi:hp908_0038
ko:K01711	hpi:hp908_0046
ko:K02377	hpi:hp908_0048
ko:K03271	hpi:hp908_0868
ko:K03272	hpi:hp908_0869
ko:K03274	hpi:hp908_0870
ko:K03273	hpi:hp908_0871
ko:K09792	hpi:hp908_0872
ko:K03525	hpi:hp908_0873
ko:K03624	hpi:hp908_0877
ko:K00748	hpi:hp908_0878
ko:K04651	hpi:hp908_0880
ko:K02390	hpi:hp908_0881
ko:K01521	hpi:hp908_0882
ko:K06193	hpi:hp908_0884
ko:K03781	hpi:hp908_0888
ko:K01159	hpi:hp908_0890
ko:K03550	hpi:hp908_0895
ko:K03980	hpi:hp908_0897
ko:K01883	hpi:hp908_0898
ko:K02013	hpi:hp908_0903
ko:K02015	hpi:hp908_0904
ko:K04654	hpi:hp908_0912
ko:K04653	hpi:hp908_0913
ko:K00925	hpi:hp908_0917
ko:K13788	hpi:hp908_0918
ko:K02221	hpi:hp908_0657
ko:K08309	hpi:hp908_0658
ko:K00963	hpi:hp908_0659
ko:K00790	hpi:hp908_0661
ko:K01744	hpi:hp908_0662
ko:K01079	hpi:hp908_0665
ko:K02217	hpi:hp908_0666
ko:K07277	hpi:hp908_0668
ko:K02434	hpi:hp908_0671
ko:K03685	hpi:hp908_0675
ko:K01736	hpi:hp908_0676
ko:K11473	hpi:hp908_0679
ko:K00812	hpi:hp908_0683
ko:K07090	hpi:hp908_0687
ko:K04042	hpi:hp908_0691
ko:K02419	hpi:hp908_0692
ko:K04759	hpi:hp908_0694
ko:K07501	hpi:hp908_0695
ko:K10856	hpi:hp908_0699
ko:K02106	hpi:hp908_0705
ko:K01029	hpi:hp908_0706
ko:K01028	hpi:hp908_0707
ko:K09943	hpi:hp908_1488
ko:K11752	hpi:hp908_1491
ko:K03312	hpi:hp908_1492
ko:K08591	hpi:hp908_1495
ko:K01633	hpi:hp908_1496
ko:K01042	hpi:hp908_1499
ko:K02600	hpi:hp908_1500
ko:K03655	hpi:hp908_1509
ko:K01142	hpi:hp908_1512
ko:K02313	hpi:hp908_1515
ko:K00820	hpi:hp908_1518
ko:K01154	hpi:hp908_1521
ko:K03427	hpi:hp908_1522
ko:K01153	hpi:hp908_1524
ko:K07043	hpi:hp908_1525
ko:K01476	hpi:hp908_1529
ko:K00259	hpi:hp908_1530
ko:K00858	hpi:hp908_1534
ko:K03631	hpi:hp908_1535
ko:K07107	hpi:hp908_0493
ko:K07107	hpi:hp908_0494
ko:K03308	hpi:hp908_0495
ko:K03308	hpi:hp908_0496
ko:K01058	hpi:hp908_0497
ko:K02338	hpi:hp908_0498
ko:K02470	hpi:hp908_0499
ko:K00215	hpi:hp908_0506
ko:K01915	hpi:hp908_0510
ko:K02939	hpi:hp908_0513
ko:K01419	hpi:hp908_0514
ko:K03667	hpi:hp908_0515
ko:K03686	hpi:hp908_1332
ko:K00566	hpi:hp908_1337
ko:K00969	hpi:hp908_1339
ko:K07722	hpi:hp908_1340
ko:K03561	hpi:hp908_1341
ko:K03832	hpi:hp908_1344
ko:K03284	hpi:hp908_1346
ko:K00927	hpi:hp908_1347
ko:K00134	hpi:hp908_1348
ko:K03648	hpi:hp908_1350
ko:K00655	hpi:hp908_1351
ko:K03797	hpi:hp908_1353
ko:K00767	hpi:hp908_1359
ko:K03517	hpi:hp908_1360
ko:K01613	hpi:hp908_1361
ko:K03179	hpi:hp908_1364
ko:K03570	hpi:hp908_1373
ko:K03569	hpi:hp908_1374
ko:K03544	hpi:hp908_1375
ko:K00677	hpi:hp908_1376
ko:K02372	hpi:hp908_1377
ko:K13626	hpi:hp908_1378
ko:K05807	hpi:hp908_1379
