ko:K07050	bsg:IY72_04970
ko:K13967	bsg:IY72_12665
ko:K22617	bsg:IY72_10580
ko:K21909	bsg:IY72_15275
ko:K01271	bsg:IY72_05015
ko:K00344	bsg:IY72_13460
ko:K02031	bsg:IY72_14880
ko:K03297	bsg:IY72_04350
ko:K18893	bsg:IY72_07320
ko:K07492	bsg:IY72_02345
ko:K07492	bsg:IY72_02445
ko:K22616	bsg:IY72_07355
ko:K22616	bsg:IY72_07360
ko:K02031	bsg:IY72_12635
ko:K00035	bsg:IY72_15650
ko:K11741	bsg:IY72_03630
ko:K14218	bsg:IY72_07845
ko:K14218	bsg:IY72_16605
ko:K14227	bsg:IY72_07850
ko:K14227	bsg:IY72_16610
ko:K14218	bsg:IY72_10860
ko:K14225	bsg:IY72_05945
ko:K14219	bsg:IY72_03360
ko:K14229	bsg:IY72_06345
ko:K14230	bsg:IY72_07000
ko:K01271	bsg:IY72_07255
ko:K07005	bsg:IY72_06510
ko:K21911	bsg:IY72_15295
ko:K02031	bsg:IY72_16490
ko:K00130	bsg:IY72_02550
ko:K19233	bsg:IY72_08820
ko:K19231	bsg:IY72_16770
ko:K19232	bsg:IY72_00225
ko:K19233	bsg:IY72_14465
ko:K11209	bsg:IY72_02925
ko:K05799	bsg:IY72_11495
ko:K00249	bsg:IY72_01845
ko:K00001	bsg:IY72_14645
ko:K00065	bsg:IY72_15835
ko:K00076	bsg:IY72_07730
ko:K01144	bsg:IY72_06585
ko:K11079	bsg:IY72_07660
ko:K00108	bsg:IY72_02555
ko:K04771	bsg:IY72_02850
ko:K19270	bsg:IY72_04025
ko:K22130	bsg:IY72_11340
ko:K22131	bsg:IY72_11355
ko:K21686	bsg:IY72_05620
ko:K03446	bsg:IY72_11210
ko:K13010	bsg:IY72_02380
ko:K05799	bsg:IY72_09715
ko:K06872	bsg:IY72_08690
ko:K03744	bsg:IY72_08695
ko:K02959	bsg:IY72_08705
ko:K04092	bsg:IY72_08710
ko:K03106	bsg:IY72_08715
ko:K01673	bsg:IY72_08730
ko:K00868	bsg:IY72_08735
ko:K00140	bsg:IY72_08750
ko:K08311	bsg:IY72_08770
ko:K03797	bsg:IY72_08775
ko:K00783	bsg:IY72_08790
ko:K09710	bsg:IY72_08795
ko:K00969	bsg:IY72_08800
ko:K00147	bsg:IY72_08805
ko:K00931	bsg:IY72_08810
ko:K03979	bsg:IY72_08815
ko:K02899	bsg:IY72_08840
ko:K02888	bsg:IY72_08845
ko:K03695	bsg:IY72_08905
ko:K02493	bsg:IY72_08915
ko:K02835	bsg:IY72_08920
ko:K08484	bsg:IY72_08925
ko:K00928	bsg:IY72_08930
ko:K00568	bsg:IY72_08935
ko:K02498	bsg:IY72_08985
ko:K01719	bsg:IY72_08995
ko:K02433	bsg:IY72_13580
ko:K02435	bsg:IY72_13585
ko:K07447	bsg:IY72_13600
ko:K09456	bsg:IY72_13605
ko:K00609	bsg:IY72_13610
ko:K01465	bsg:IY72_13615
ko:K08591	bsg:IY72_13620
ko:K04096	bsg:IY72_13625
ko:K03168	bsg:IY72_13635
ko:K12573	bsg:IY72_13640
ko:K02913	bsg:IY72_13660
ko:K02488	bsg:IY72_13665
ko:K11443	bsg:IY72_13670
ko:K06140	bsg:IY72_13680
ko:K02346	bsg:IY72_13685
ko:K02342	bsg:IY72_13725
ko:K00285	bsg:IY72_13745
ko:K02030	bsg:IY72_13750
ko:K02030	bsg:IY72_13755
ko:K01032	bsg:IY72_13780
ko:K01031	bsg:IY72_13785
ko:K02624	bsg:IY72_13790
ko:K00481	bsg:IY72_13800
ko:K02623	bsg:IY72_13805
ko:K01055	bsg:IY72_13810
ko:K01607	bsg:IY72_13815
ko:K00449	bsg:IY72_13820
ko:K00448	bsg:IY72_13825
ko:K01857	bsg:IY72_13830
ko:K01999	bsg:IY72_13835
ko:K01997	bsg:IY72_13840
ko:K01998	bsg:IY72_13845
ko:K01995	bsg:IY72_13850
ko:K01996	bsg:IY72_13855
ko:K01486	bsg:IY72_13860
ko:K01273	bsg:IY72_13865
ko:K03919	bsg:IY72_00005
ko:K10823	bsg:IY72_00010
ko:K15583	bsg:IY72_00010
ko:K15582	bsg:IY72_00015
ko:K15581	bsg:IY72_00020
ko:K06187	bsg:IY72_00045
ko:K09747	bsg:IY72_00050
ko:K02343	bsg:IY72_00055
ko:K03426	bsg:IY72_00065
ko:K04518	bsg:IY72_00070
ko:K00979	bsg:IY72_00075
ko:K08738	bsg:IY72_00080
ko:K02297	bsg:IY72_00090
ko:K02298	bsg:IY72_00095
ko:K02299	bsg:IY72_00100
ko:K02300	bsg:IY72_00105
ko:K07278	bsg:IY72_00115
ko:K09800	bsg:IY72_00120
ko:K01759	bsg:IY72_00150
ko:K03593	bsg:IY72_00155
ko:K01835	bsg:IY72_00160
ko:K06889	bsg:IY72_00170
ko:K16165	bsg:IY72_00180
ko:K11068	bsg:IY72_00205
ko:K14162	bsg:IY72_00210
ko:K14161	bsg:IY72_00215
ko:K14160	bsg:IY72_00220
ko:K01940	bsg:IY72_00235
ko:K06941	bsg:IY72_00250
ko:K01724	bsg:IY72_00270
ko:K01975	bsg:IY72_00280
ko:K10804	bsg:IY72_00285
ko:K02003	bsg:IY72_00290
ko:K02004	bsg:IY72_00295
ko:K06890	bsg:IY72_00300
ko:K03823	bsg:IY72_00305
ko:K01681	bsg:IY72_00320
ko:K02193	bsg:IY72_00325
ko:K02194	bsg:IY72_00330
ko:K02195	bsg:IY72_00335
ko:K02196	bsg:IY72_00340
ko:K02199	bsg:IY72_00345
ko:K02348	bsg:IY72_00500
ko:K03579	bsg:IY72_00515
ko:K03579	bsg:IY72_00520
ko:K15011	bsg:IY72_00525
ko:K15012	bsg:IY72_00540
ko:K01867	bsg:IY72_00570
ko:K03980	bsg:IY72_00575
ko:K00990	bsg:IY72_00580
ko:K00029	bsg:IY72_00585
ko:K03555	bsg:IY72_00595
ko:K03101	bsg:IY72_00605
ko:K03437	bsg:IY72_00610
ko:K06969	bsg:IY72_00615
ko:K05788	bsg:IY72_00625
ko:K04773	bsg:IY72_00630
ko:K11719	bsg:IY72_00635
ko:K09774	bsg:IY72_00640
ko:K06861	bsg:IY72_00645
ko:K03092	bsg:IY72_00650
ko:K05846	bsg:IY72_00945
ko:K05847	bsg:IY72_00950
ko:K05846	bsg:IY72_00955
ko:K05845	bsg:IY72_00960
ko:K00262	bsg:IY72_00970
ko:K00303	bsg:IY72_00975
ko:K00305	bsg:IY72_00990
ko:K02027	bsg:IY72_01005
ko:K02025	bsg:IY72_01010
ko:K02026	bsg:IY72_01015
ko:K10112	bsg:IY72_01020
ko:K03534	bsg:IY72_01030
ko:K18335	bsg:IY72_01045
ko:K18334	bsg:IY72_01055
ko:K09862	bsg:IY72_01080
ko:K06287	bsg:IY72_01085
ko:K02518	bsg:IY72_01090
ko:K01495	bsg:IY72_05080
ko:K01496	bsg:IY72_05085
ko:K07001	bsg:IY72_05090
ko:K00252	bsg:IY72_05155
ko:K18138	bsg:IY72_05170
ko:K03585	bsg:IY72_05175
ko:K07568	bsg:IY72_05190
ko:K00954	bsg:IY72_05205
ko:K02469	bsg:IY72_05215
ko:K05595	bsg:IY72_05220
ko:K05774	bsg:IY72_05225
ko:K02043	bsg:IY72_05230
ko:K03701	bsg:IY72_05240
ko:K03530	bsg:IY72_05245
ko:K01338	bsg:IY72_05250
ko:K03544	bsg:IY72_05255
ko:K01358	bsg:IY72_05260
ko:K03665	bsg:IY72_05265
ko:K03666	bsg:IY72_05270
ko:K03499	bsg:IY72_05280
ko:K13599	bsg:IY72_05285
ko:K13598	bsg:IY72_05290
ko:K07712	bsg:IY72_05295
ko:K07708	bsg:IY72_05300
ko:K12506	bsg:IY72_05310
ko:K03743	bsg:IY72_05315
ko:K18588	bsg:IY72_05325
