ko:K01992	ple:B186_060
ko:K05595	ple:B186_286
ko:K03386	ple:B186_238
ko:K03593	ple:B186_248
ko:K02433	ple:B186_265
ko:K00033	ple:B186_062
ko:K01885	ple:B186_122
ko:K01409	ple:B186_131
ko:K01496	ple:B186_146
ko:K06179	ple:B186_166
ko:K01523	ple:B186_174
ko:K00674	ple:B186_183
ko:K01439	ple:B186_184
ko:K00845	ple:B186_212
ko:K04043	ple:B186_001
ko:K03686	ple:B186_002
ko:K00342	ple:B186_004
ko:K00341	ple:B186_005
ko:K00340	ple:B186_006
ko:K00339	ple:B186_007
ko:K00338	ple:B186_008
ko:K00337	ple:B186_009
ko:K00334	ple:B186_012
ko:K13378	ple:B186_013
ko:K00331	ple:B186_014
ko:K00330	ple:B186_015
ko:K02914	ple:B186_017
ko:K02470	ple:B186_019
ko:K01878	ple:B186_021
ko:K01754	ple:B186_022
ko:K00528	ple:B186_023
ko:K03217	ple:B186_024
ko:K03650	ple:B186_025
ko:K03495	ple:B186_026
ko:K02108	ple:B186_027
ko:K02110	ple:B186_028
ko:K02109	ple:B186_029
ko:K02113	ple:B186_030
ko:K02111	ple:B186_031
ko:K02115	ple:B186_032
ko:K02112	ple:B186_033
ko:K02114	ple:B186_034
ko:K00611	ple:B186_035
ko:K01704	ple:B186_036
ko:K00052	ple:B186_037
ko:K00133	ple:B186_038
ko:K06173	ple:B186_039
ko:K01817	ple:B186_040
ko:K06895	ple:B186_041
ko:K01875	ple:B186_042
ko:K03977	ple:B186_044
ko:K01892	ple:B186_045
ko:K01338	ple:B186_046
ko:K00791	ple:B186_048
ko:K01687	ple:B186_047
ko:K02502	ple:B186_050
ko:K09014	ple:B186_051
ko:K09013	ple:B186_052
ko:K09015	ple:B186_053
ko:K11717	ple:B186_054
ko:K00566	ple:B186_055
ko:K02518	ple:B186_056
ko:K03073	ple:B186_066
ko:K02601	ple:B186_067
ko:K02867	ple:B186_068
ko:K02863	ple:B186_069
ko:K02864	ple:B186_070
ko:K02935	ple:B186_071
ko:K03043	ple:B186_072
ko:K03046	ple:B186_073
ko:K02950	ple:B186_074
ko:K02992	ple:B186_075
ko:K02355	ple:B186_076
ko:K02358	ple:B186_077
ko:K02946	ple:B186_078
ko:K02906	ple:B186_079
ko:K02926	ple:B186_080
ko:K02892	ple:B186_081
ko:K02886	ple:B186_082
ko:K02965	ple:B186_083
ko:K02890	ple:B186_084
ko:K02982	ple:B186_085
ko:K02878	ple:B186_086
ko:K02904	ple:B186_087
ko:K02961	ple:B186_088
ko:K02874	ple:B186_089
ko:K02895	ple:B186_090
ko:K02931	ple:B186_091
ko:K02954	ple:B186_092
ko:K02994	ple:B186_093
ko:K02933	ple:B186_094
ko:K02881	ple:B186_095
ko:K02988	ple:B186_096
ko:K02876	ple:B186_097
ko:K03076	ple:B186_098
ko:K02919	ple:B186_099
ko:K02952	ple:B186_100
ko:K02948	ple:B186_101
ko:K02986	ple:B186_102
ko:K03040	ple:B186_103
ko:K02879	ple:B186_104
ko:K02888	ple:B186_105
ko:K02899	ple:B186_106
ko:K03979	ple:B186_107
ko:K02968	ple:B186_108
ko:K01870	ple:B186_109
ko:K02836	ple:B186_111
ko:K04567	ple:B186_112
ko:K03089	ple:B186_114
ko:K02902	ple:B186_115
ko:K02913	ple:B186_116
ko:K00164	ple:B186_123
ko:K00658	ple:B186_124
ko:K00382	ple:B186_125
ko:K02990	ple:B186_127
ko:K02963	ple:B186_128
ko:K02939	ple:B186_129
ko:K02970	ple:B186_132
ko:K03086	ple:B186_133
ko:K02297	ple:B186_134
ko:K02298	ple:B186_135
ko:K02299	ple:B186_136
ko:K02300	ple:B186_137
ko:K02956	ple:B186_140
ko:K00962	ple:B186_141
ko:K07400	ple:B186_144
ko:K02426	ple:B186_145
ko:K00627	ple:B186_150
ko:K00163	ple:B186_151
ko:K01714	ple:B186_152
ko:K02945	ple:B186_153
ko:K00800	ple:B186_154
ko:K14170	ple:B186_155
ko:K02469	ple:B186_156
ko:K03070	ple:B186_158
ko:K01703	ple:B186_160
ko:K01736	ple:B186_161
ko:K03704	ple:B186_162
ko:K01649	ple:B186_163
ko:K02078	ple:B186_164
ko:K02911	ple:B186_165
ko:K08300	ple:B186_167
ko:K01735	ple:B186_169
ko:K00891	ple:B186_170
ko:K02909	ple:B186_171
ko:K01419	ple:B186_172
ko:K03667	ple:B186_173
ko:K00549	ple:B186_175
ko:K01626	ple:B186_176
ko:K03628	ple:B186_177
ko:K04075	ple:B186_178
ko:K02337	ple:B186_179
ko:K02357	ple:B186_180
ko:K02967	ple:B186_181
ko:K01265	ple:B186_182
ko:K02221	ple:B186_187
ko:K01956	ple:B186_189
ko:K01955	ple:B186_190
ko:K03624	ple:B186_191
ko:K03798	ple:B186_192
ko:K02600	ple:B186_195
ko:K02519	ple:B186_196
ko:K02834	ple:B186_197
ko:K01890	ple:B186_198
ko:K01889	ple:B186_199
ko:K02887	ple:B186_200
ko:K02916	ple:B186_201
ko:K02520	ple:B186_202
