ko:K11707	cfs:FSW4_0681
ko:K19405	cfs:FSW4_6871
ko:K00970	cfs:FSW4_7161
ko:K01596	cfs:FSW4_7221
ko:K00972	cfs:FSW4_7271
ko:K06910	cfs:FSW4_7481
ko:K07117	cfs:FSW4_7491
ko:K01507	cfs:FSW4_7841
ko:K01082	cfs:FSW4_7861
ko:K01909	cfs:FSW4_7881
ko:K00652	cfs:FSW4_7891
ko:K00033	cfs:FSW4_0641
ko:K03227	cfs:FSW4_5731
ko:K02454	cfs:FSW4_5811
ko:K01262	cfs:FSW4_5841
ko:K07315	cfs:FSW4_5981
ko:K03386	cfs:FSW4_6131
ko:K02428	cfs:FSW4_6161
ko:K02806	cfs:FSW4_2921
ko:K02806	cfs:FSW4_2931
ko:K07052	cfs:FSW4_2561
ko:K02342	cfs:FSW4_2631
ko:K03177	cfs:FSW4_0951
ko:K06179	cfs:FSW4_1071
ko:K00939	cfs:FSW4_1291
ko:K02035	cfs:FSW4_1401
ko:K02124	cfs:FSW4_3061
ko:K02123	cfs:FSW4_3071
ko:K02120	cfs:FSW4_3081
ko:K02118	cfs:FSW4_3091
ko:K02117	cfs:FSW4_3101
ko:K02121	cfs:FSW4_3121
ko:K00616	cfs:FSW4_3151
ko:K08483	cfs:FSW4_3401
ko:K11189	cfs:FSW4_3411
ko:K00784	cfs:FSW4_3511
ko:K09815	cfs:FSW4_4211
ko:K01719	cfs:FSW4_4411
ko:K00380	cfs:FSW4_4431
ko:K01885	cfs:FSW4_4541
ko:K07098	cfs:FSW4_4701
ko:K00567	cfs:FSW4_4861
ko:K02033	cfs:FSW4_4881
ko:K02035	cfs:FSW4_4891
ko:K02030	cfs:FSW4_4951
ko:K02342	cfs:FSW4_5461
ko:K07258	cfs:FSW4_5611
ko:K00813	cfs:FSW4_6481
ko:K01934	cfs:FSW4_6601
ko:K06889	cfs:FSW4_1501
ko:K02035	cfs:FSW4_1761
ko:K02049	cfs:FSW4_1811
ko:K01409	cfs:FSW4_1981
ko:K15582	cfs:FSW4_2011
ko:K03856	cfs:FSW4_3871
ko:K00970	cfs:FSW4_4161
ko:K06889	cfs:FSW4_2071
ko:K00059	cfs:FSW4_2391
ko:K02433	cfs:FSW4_0031
ko:K03471	cfs:FSW4_0081
ko:K07083	cfs:FSW4_2641
ko:K01962	cfs:FSW4_2671
ko:K01448	cfs:FSW4_2701
ko:K01928	cfs:FSW4_2711
ko:K03587	cfs:FSW4_2721
ko:K03438	cfs:FSW4_2741
ko:K02313	cfs:FSW4_2771
ko:K00347	cfs:FSW4_2801
ko:K00348	cfs:FSW4_2811
ko:K00349	cfs:FSW4_2821
ko:K00350	cfs:FSW4_2831
ko:K02437	cfs:FSW4_2841
ko:K03800	cfs:FSW4_2871
ko:K03696	cfs:FSW4_2881
ko:K00566	cfs:FSW4_2891
ko:K01963	cfs:FSW4_2951
ko:K04564	cfs:FSW4_2961
ko:K03685	cfs:FSW4_2991
ko:K04485	cfs:FSW4_3001
ko:K01749	cfs:FSW4_3011
ko:K01873	cfs:FSW4_3041
ko:K03046	cfs:FSW4_3161
ko:K01840	cfs:FSW4_2971
ko:K02435	cfs:FSW4_0021
ko:K02434	cfs:FSW4_0041
ko:K02517	cfs:FSW4_0101
ko:K00425	cfs:FSW4_0131
ko:K00426	cfs:FSW4_0141
ko:K07175	cfs:FSW4_0151
ko:K01870	cfs:FSW4_0191
ko:K03100	cfs:FSW4_0201
ko:K02909	cfs:FSW4_0221
ko:K02835	cfs:FSW4_0231
ko:K02493	cfs:FSW4_0241
ko:K03106	cfs:FSW4_0251
ko:K02959	cfs:FSW4_0261
ko:K00554	cfs:FSW4_0271
ko:K02884	cfs:FSW4_0281
ko:K03470	cfs:FSW4_0291
ko:K00942	cfs:FSW4_0301
ko:K01874	cfs:FSW4_0321
ko:K03581	cfs:FSW4_0331
ko:K00800	cfs:FSW4_3711
ko:K00891	cfs:FSW4_3721
ko:K01736	cfs:FSW4_3731
ko:K01735	cfs:FSW4_3741
ko:K13832	cfs:FSW4_3751
ko:K03758	cfs:FSW4_3791
ko:K00024	cfs:FSW4_3811
ko:K01810	cfs:FSW4_3831
ko:K03665	cfs:FSW4_3841
ko:K06167	cfs:FSW4_3851
ko:K09996	cfs:FSW4_3861
ko:K06966	cfs:FSW4_3931
ko:K09131	cfs:FSW4_3941
ko:K10206	cfs:FSW4_3961
ko:K01881	cfs:FSW4_3991
ko:K03705	cfs:FSW4_4001
ko:K03687	cfs:FSW4_4011
ko:K04043	cfs:FSW4_4021
ko:K00940	cfs:FSW4_5101
ko:K03550	cfs:FSW4_5111
ko:K01159	cfs:FSW4_5121
ko:K00134	cfs:FSW4_5151
ko:K02879	cfs:FSW4_5161
ko:K03040	cfs:FSW4_5171
ko:K02948	cfs:FSW4_5181
ko:K02952	cfs:FSW4_5191
ko:K03076	cfs:FSW4_5201
ko:K02876	cfs:FSW4_5211
ko:K02988	cfs:FSW4_5221
ko:K02881	cfs:FSW4_5231
ko:K02933	cfs:FSW4_5241
ko:K02994	cfs:FSW4_5251
ko:K02931	cfs:FSW4_5261
ko:K02895	cfs:FSW4_5271
ko:K02874	cfs:FSW4_5281
ko:K02961	cfs:FSW4_5291
ko:K02904	cfs:FSW4_5301
ko:K02878	cfs:FSW4_5311
ko:K02982	cfs:FSW4_5321
ko:K02890	cfs:FSW4_5331
ko:K02965	cfs:FSW4_5341
ko:K02886	cfs:FSW4_5351
ko:K02892	cfs:FSW4_5361
ko:K02926	cfs:FSW4_5371
ko:K02906	cfs:FSW4_5381
ko:K00604	cfs:FSW4_5401
ko:K00677	cfs:FSW4_5411
ko:K02372	cfs:FSW4_5421
ko:K02535	cfs:FSW4_5431
ko:K03820	cfs:FSW4_5441
ko:K06925	cfs:FSW4_5471
ko:K03671	cfs:FSW4_5491
ko:K03216	cfs:FSW4_5501
ko:K01876	cfs:FSW4_5521
ko:K01892	cfs:FSW4_5531
ko:K07783	cfs:FSW4_5541
ko:K02337	cfs:FSW4_5551
ko:K06137	cfs:FSW4_6211
ko:K13941	cfs:FSW4_6241
ko:K01633	cfs:FSW4_6251
ko:K03086	cfs:FSW4_6261
ko:K02968	cfs:FSW4_6281
ko:K03980	cfs:FSW4_6351
ko:K01151	cfs:FSW4_6361
ko:K02986	cfs:FSW4_6371
ko:K07146	cfs:FSW4_6381
ko:K13789	cfs:FSW4_6391
ko:K01698	cfs:FSW4_6441
ko:K00346	cfs:FSW4_6451
ko:K03582	cfs:FSW4_6501
ko:K03583	cfs:FSW4_6511
ko:K03168	cfs:FSW4_6541
ko:K02221	cfs:FSW4_6561
ko:K03581	cfs:FSW4_6631
ko:K06861	cfs:FSW4_6651
ko:K01627	cfs:FSW4_6671
ko:K06180	cfs:FSW4_6701
ko:K06960	cfs:FSW4_6711
ko:K02469	cfs:FSW4_6721
ko:K02470	cfs:FSW4_6731
ko:K02492	cfs:FSW4_6741
ko:K03224	cfs:FSW4_6811
ko:K02417	cfs:FSW4_6841
ko:K03219	cfs:FSW4_6861
ko:K02838	cfs:FSW4_6891
ko:K09903	cfs:FSW4_6901
ko:K02357	cfs:FSW4_6911
ko:K02967	cfs:FSW4_6921
ko:K03162	cfs:FSW4_6931
ko:K09013	cfs:FSW4_6971
ko:K09015	cfs:FSW4_6981
ko:K11717	cfs:FSW4_6991
ko:K07220	cfs:FSW4_7031
ko:K03306	cfs:FSW4_7041
ko:K00927	cfs:FSW4_7051
ko:K10773	cfs:FSW4_7091
ko:K03650	cfs:FSW4_7101
ko:K01613	cfs:FSW4_7111
ko:K03070	cfs:FSW4_7131
ko:K03977	cfs:FSW4_7151
ko:K03544	cfs:FSW4_7171
ko:K01358	cfs:FSW4_7181
ko:K03545	cfs:FSW4_7191
ko:K03569	cfs:FSW4_7211
ko:K00057	cfs:FSW4_7261
ko:K02412	cfs:FSW4_7291
ko:K02411	cfs:FSW4_7301
ko:K01494	cfs:FSW4_0391
ko:K03551	cfs:FSW4_0411
ko:K01255	cfs:FSW4_0461
ko:K02340	cfs:FSW4_0481
ko:K07056	cfs:FSW4_0491
ko:K00164	cfs:FSW4_0551
ko:K00658	cfs:FSW4_0561
ko:K05810	cfs:FSW4_0571
ko:K03526	cfs:FSW4_0581
ko:K02400	cfs:FSW4_0611
ko:K02405	cfs:FSW4_0621
ko:K01866	cfs:FSW4_0631
ko:K03596	cfs:FSW4_0651
ko:K03301	cfs:FSW4_0661
ko:K00099	cfs:FSW4_0721
ko:K03629	cfs:FSW4_0751
