ko:K16238	btha:DR62_1129
ko:K01046	btha:DR62_5596
ko:K00632	btha:DR62_1766
ko:K15634	btha:DR62_622
ko:K21449	btha:DR62_5024
ko:K01990	btha:DR62_3674
ko:K01990	btha:DR62_3675
ko:K11209	btha:DR62_627
ko:K11209	btha:DR62_2846
ko:K00821	btha:DR62_1988
ko:K07485	btha:DR62_1833
ko:K07492	btha:DR62_2670
ko:K21449	btha:DR62_07490
ko:K22589	btha:DR62_337
ko:K21678	btha:DR62_4874
ko:K02351	btha:DR62_103
ko:K21345	btha:DR62_1561
ko:K05882	btha:DR62_3991
ko:K00344	btha:DR62_2310
ko:K07749	btha:DR62_3014
ko:K02483	btha:DR62_4187
ko:K00146	btha:DR62_5248
ko:K01738	btha:DR62_3259
ko:K01697	btha:DR62_3259
ko:K05874	btha:DR62_2865
ko:K00091	btha:DR62_4760
ko:K00863	btha:DR62_2907
ko:K00108	btha:DR62_3897
ko:K00108	btha:DR62_1175
ko:K03458	btha:DR62_1878
ko:K01801	btha:DR62_1660
ko:K06020	btha:DR62_794
ko:K08744	btha:DR62_112
ko:K03332	btha:DR62_4331
ko:K14333	btha:DR62_4685
ko:K02002	btha:DR62_3814
ko:K01779	btha:DR62_3816
ko:K00059	btha:DR62_3818
ko:K01754	btha:DR62_3827
ko:K13408	btha:DR62_3831
ko:K13409	btha:DR62_3833
ko:K12340	btha:DR62_3836
ko:K00681	btha:DR62_3837
ko:K03724	btha:DR62_3840
ko:K16263	btha:DR62_3841
ko:K01626	btha:DR62_3844
ko:K02623	btha:DR62_3849
ko:K00449	btha:DR62_3850
ko:K00448	btha:DR62_3851
ko:K16203	btha:DR62_3852
ko:K01266	btha:DR62_3853
ko:K13891	btha:DR62_3854
ko:K13890	btha:DR62_3855
ko:K13889	btha:DR62_3856
ko:K13892	btha:DR62_3857
ko:K13051	btha:DR62_3858
ko:K02168	btha:DR62_3860
ko:K01114	btha:DR62_3863
ko:K01091	btha:DR62_3870
ko:K03710	btha:DR62_3872
ko:K07112	btha:DR62_3881
ko:K07112	btha:DR62_3882
ko:K01322	btha:DR62_3886
ko:K03543	btha:DR62_3887
ko:K12990	btha:DR62_07440
ko:K18101	btha:DR62_07445
ko:K18100	btha:DR62_3894
ko:K02167	btha:DR62_3895
ko:K08369	btha:DR62_3899
ko:K07675	btha:DR62_3900
ko:K03704	btha:DR62_3908
ko:K02970	btha:DR62_07455
ko:K01633	btha:DR62_3909
ko:K00305	btha:DR62_3910
ko:K00303	btha:DR62_3913
ko:K01752	btha:DR62_3914
ko:K09915	btha:DR62_3918
ko:K00799	btha:DR62_3919
ko:K00058	btha:DR62_3923
ko:K18982	btha:DR62_3924
ko:K00476	btha:DR62_3934
ko:K02002	btha:DR62_3936
ko:K02001	btha:DR62_3938
ko:K02000	btha:DR62_3939
ko:K00299	btha:DR62_3941
ko:K03325	btha:DR62_3949
ko:K01968	btha:DR62_3964
ko:K13766	btha:DR62_3965
ko:K01969	btha:DR62_3966
ko:K00253	btha:DR62_3967
ko:K04561	btha:DR62_3969
ko:K00368	btha:DR62_3970
ko:K00688	btha:DR62_3973
ko:K00703	btha:DR62_3974
ko:K00700	btha:DR62_3975
ko:K06894	btha:DR62_4031
ko:K05367	btha:DR62_4032
ko:K03410	btha:DR62_4033
ko:K00832	btha:DR62_4040
ko:K11734	btha:DR62_4041
ko:K11068	btha:DR62_4044
ko:K01999	btha:DR62_4045
ko:K03534	btha:DR62_4048
ko:K18333	btha:DR62_4049
ko:K18335	btha:DR62_4051
ko:K07046	btha:DR62_4052
ko:K01685	btha:DR62_4053
ko:K02057	btha:DR62_4055
ko:K02056	btha:DR62_4056
ko:K10439	btha:DR62_4057
ko:K13639	btha:DR62_4059
ko:K00024	btha:DR62_4064
ko:K00404	btha:DR62_4066
ko:K00405	btha:DR62_4067
ko:K06995	btha:DR62_4073
ko:K13874	btha:DR62_4074
ko:K10538	btha:DR62_4075
ko:K10539	btha:DR62_4076
ko:K10537	btha:DR62_4077
ko:K13873	btha:DR62_4078
ko:K07302	btha:DR62_4194
ko:K07303	btha:DR62_4195
ko:K01953	btha:DR62_4197
ko:K01194	btha:DR62_4200
ko:K09927	btha:DR62_4202
ko:K13633	btha:DR62_4208
ko:K07771	btha:DR62_4213
ko:K00799	btha:DR62_4217
ko:K03569	btha:DR62_4227
ko:K07001	btha:DR62_4228
ko:K02484	btha:DR62_4229
ko:K01425	btha:DR62_4240
ko:K01166	btha:DR62_4241
ko:K03592	btha:DR62_178
ko:K09889	btha:DR62_179
ko:K03831	btha:DR62_180
ko:K13288	btha:DR62_181
ko:K06013	btha:DR62_182
ko:K06949	btha:DR62_183
ko:K02227	btha:DR62_185
ko:K02884	btha:DR62_187
ko:K00554	btha:DR62_188
ko:K02860	btha:DR62_189
ko:K02959	btha:DR62_190
ko:K03719	btha:DR62_194
ko:K00285	btha:DR62_195
ko:K03522	btha:DR62_197
ko:K03521	btha:DR62_198
ko:K02073	btha:DR62_199
ko:K02072	btha:DR62_200
ko:K02071	btha:DR62_201
ko:K08305	btha:DR62_204
ko:K12339	btha:DR62_205
ko:K02237	btha:DR62_206
ko:K03274	btha:DR62_207
ko:K00012	btha:DR62_209
ko:K05788	btha:DR62_212
ko:K02945	btha:DR62_213
ko:K00945	btha:DR62_214
ko:K00800	btha:DR62_215
ko:K14170	btha:DR62_216
ko:K00831	btha:DR62_217
ko:K09924	btha:DR62_218
ko:K02469	btha:DR62_219
ko:K03286	btha:DR62_220
ko:K00568	btha:DR62_221
