ko:K11741	lcs:LCBD_3001
ko:K03975	lcs:LCBD_0902
ko:K03091	lcs:LCBD_0911
ko:K13678	lcs:LCBD_0914
ko:K00789	lcs:LCBD_0924
ko:K02340	lcs:LCBD_1529
ko:K02968	lcs:LCBD_1530
ko:K02956	lcs:LCBD_1531
ko:K02358	lcs:LCBD_1535
ko:K03545	lcs:LCBD_1538
ko:K03544	lcs:LCBD_1539
ko:K03978	lcs:LCBD_1540
ko:K03703	lcs:LCBD_1545
ko:K02768	lcs:LCBD_1547
ko:K02769	lcs:LCBD_1547
ko:K02770	lcs:LCBD_1547
ko:K03979	lcs:LCBD_1550
ko:K07124	lcs:LCBD_1553
ko:K03695	lcs:LCBD_1556
ko:K02911	lcs:LCBD_1557
ko:K02337	lcs:LCBD_1562
ko:K00850	lcs:LCBD_1563
ko:K00873	lcs:LCBD_1564
ko:K00243	lcs:LCBD_1566
ko:K02859	lcs:LCBD_1568
ko:K05896	lcs:LCBD_1569
ko:K06024	lcs:LCBD_1570
ko:K06178	lcs:LCBD_1571
ko:K03654	lcs:LCBD_1575
ko:K00945	lcs:LCBD_1577
ko:K02945	lcs:LCBD_1578
ko:K03977	lcs:LCBD_1579
ko:K03530	lcs:LCBD_1580
ko:K15738	lcs:LCBD_1585
ko:K02237	lcs:LCBD_1527
ko:K03337	lcs:LCBD_0218
ko:K03338	lcs:LCBD_0219
ko:K03336	lcs:LCBD_0220
ko:K03335	lcs:LCBD_0223
ko:K11201	lcs:LCBD_0404
ko:K11202	lcs:LCBD_0405
ko:K11203	lcs:LCBD_0405
ko:K14155	lcs:LCBD_0406
ko:K01624	lcs:LCBD_0409
ko:K02768	lcs:LCBD_0410
ko:K02769	lcs:LCBD_0410
ko:K02770	lcs:LCBD_0410
ko:K05879	lcs:LCBD_0420
ko:K05878	lcs:LCBD_0421
ko:K08094	lcs:LCBD_0423
ko:K03710	lcs:LCBD_0424
ko:K02812	lcs:LCBD_0428
ko:K02813	lcs:LCBD_0429
ko:K02814	lcs:LCBD_0430
