ko:K12978	ftv:CH67_2111
ko:K01977	ftv:CH67_1530
ko:K01977	ftv:CH67_384
ko:K01977	ftv:CH67_740
ko:K14228	ftv:CH67_930
ko:K14227	ftv:CH67_1531
ko:K14227	ftv:CH67_741
ko:K14227	ftv:CH67_385
ko:K14235	ftv:CH67_11
ko:K03602	ftv:CH67_1084
ko:K19416	ftv:CH67_1255
ko:K02650	ftv:CH67_681
ko:K02650	ftv:CH67_682
ko:K19561	ftv:CH67_1640
ko:K01990	ftv:CH67_1910
ko:K01704	ftv:CH67_162
ko:K03101	ftv:CH67_724
ko:K01870	ftv:CH67_726
ko:K11753	ftv:CH67_727
ko:K00027	ftv:CH67_728
ko:K01874	ftv:CH67_736
ko:K01613	ftv:CH67_750
ko:K04042	ftv:CH67_754
ko:K00820	ftv:CH67_755
ko:K02970	ftv:CH67_756
ko:K03704	ftv:CH67_758
ko:K01265	ftv:CH67_760
ko:K02621	ftv:CH67_763
ko:K18284	ftv:CH67_765
ko:K08309	ftv:CH67_767
ko:K02337	ftv:CH67_772
ko:K01462	ftv:CH67_773
ko:K09808	ftv:CH67_775
ko:K09810	ftv:CH67_776
ko:K00605	ftv:CH67_778
ko:K02437	ftv:CH67_779
ko:K00282	ftv:CH67_780
ko:K00283	ftv:CH67_781
ko:K07461	ftv:CH67_837
ko:K01156	ftv:CH67_838
ko:K03648	ftv:CH67_839
ko:K02469	ftv:CH67_843
ko:K00099	ftv:CH67_844
ko:K07277	ftv:CH67_845
ko:K06142	ftv:CH67_846
ko:K02536	ftv:CH67_847
ko:K02372	ftv:CH67_848
ko:K00677	ftv:CH67_849
ko:K00748	ftv:CH67_850
ko:K01207	ftv:CH67_853
ko:K01004	ftv:CH67_856
ko:K00795	ftv:CH67_857
ko:K02527	ftv:CH67_858
ko:K02428	ftv:CH67_859
ko:K00286	ftv:CH67_860
ko:K03100	ftv:CH67_864
ko:K03685	ftv:CH67_865
ko:K03177	ftv:CH67_866
ko:K12573	ftv:CH67_867
ko:K00574	ftv:CH67_872
ko:K09701	ftv:CH67_874
ko:K07337	ftv:CH67_883
ko:K09859	ftv:CH67_886
ko:K07090	ftv:CH67_955
ko:K07394	ftv:CH67_954
ko:K09160	ftv:CH67_956
ko:K03625	ftv:CH67_960
ko:K14287	ftv:CH67_964
ko:K14287	ftv:CH67_965
ko:K01881	ftv:CH67_966
ko:K02426	ftv:CH67_971
ko:K01719	ftv:CH67_972
ko:K01069	ftv:CH67_975
ko:K04758	ftv:CH67_977
ko:K03583	ftv:CH67_986
ko:K03582	ftv:CH67_989
ko:K03581	ftv:CH67_990
ko:K03525	ftv:CH67_991
ko:K01579	ftv:CH67_992
ko:K01918	ftv:CH67_993
ko:K00606	ftv:CH67_994
ko:K01972	ftv:CH67_996
ko:K11074	ftv:CH67_1000
ko:K11075	ftv:CH67_1001
ko:K11076	ftv:CH67_1002
ko:K07386	ftv:CH67_1060
ko:K01807	ftv:CH67_1062
ko:K03495	ftv:CH67_1065
ko:K01141	ftv:CH67_1070
ko:K03702	ftv:CH67_1071
ko:K01776	ftv:CH67_1073
ko:K03601	ftv:CH67_1083
ko:K03762	ftv:CH67_1085
ko:K03762	ftv:CH67_1086
ko:K14058	ftv:CH67_1089
ko:K03664	ftv:CH67_1090
ko:K09801	ftv:CH67_1092
ko:K04754	ftv:CH67_1094
ko:K00681	ftv:CH67_1095
ko:K06207	ftv:CH67_1097
ko:K01153	ftv:CH67_1100
ko:K01154	ftv:CH67_1107
ko:K01154	ftv:CH67_1108
ko:K03704	ftv:CH67_1109
ko:K03427	ftv:CH67_1110
ko:K03427	ftv:CH67_1112
ko:K01770	ftv:CH67_1168
ko:K02071	ftv:CH67_1174
ko:K08591	ftv:CH67_1175
ko:K00773	ftv:CH67_1179
ko:K03210	ftv:CH67_1184
ko:K03072	ftv:CH67_1185
ko:K03074	ftv:CH67_1186
ko:K03089	ftv:CH67_1188
ko:K00800	ftv:CH67_1189
ko:K03469	ftv:CH67_1191
ko:K01424	ftv:CH67_1192
ko:K01673	ftv:CH67_1193
ko:K06956	ftv:CH67_1200
ko:K00820	ftv:CH67_1201
ko:K07480	ftv:CH67_1203
ko:K03526	ftv:CH67_1212
ko:K05810	ftv:CH67_1213
ko:K01262	ftv:CH67_1214
ko:K01173	ftv:CH67_1216
ko:K17836	ftv:CH67_1215
ko:K03820	ftv:CH67_1219
ko:K06189	ftv:CH67_1220
ko:K07042	ftv:CH67_1221
ko:K03386	ftv:CH67_1337
ko:K06193	ftv:CH67_1340
ko:K02342	ftv:CH67_1344
ko:K07260	ftv:CH67_1345
ko:K00128	ftv:CH67_1351
ko:K04761	ftv:CH67_1356
ko:K00945	ftv:CH67_1359
ko:K00831	ftv:CH67_1360
ko:K00228	ftv:CH67_1364
ko:K02990	ftv:CH67_1366
ko:K02963	ftv:CH67_1367
ko:K02939	ftv:CH67_1368
ko:K06941	ftv:CH67_1370
ko:K02656	ftv:CH67_1371
ko:K06178	ftv:CH67_1372
ko:K03789	ftv:CH67_1374
ko:K00956	ftv:CH67_1380
ko:K00956	ftv:CH67_1381
