ko:K19744	paec:M802_3986
ko:K07483	paec:M802_1010
ko:K11741	paec:M802_809
ko:K01851	paec:M802_4361
ko:K19591	paec:M802_4942
ko:K19595	paec:M802_3643
ko:K03297	paec:M802_5161
ko:K21147	paec:M802_2165
ko:K00800	paec:M802_3273
ko:K18540	paec:M802_3719
ko:K22617	paec:M802_4492
ko:K19593	paec:M802_3641
ko:K16238	paec:M802_4150
ko:K09691	paec:M802_5636
ko:K19291	paec:M802_3662
ko:K10816	paec:M802_2265
ko:K00344	paec:M802_23
ko:K02625	paec:M802_234
ko:K14234	paec:M802_4669
ko:K14234	paec:M802_5335
ko:K14236	paec:M802_4411
ko:K14238	paec:M802_4967
ko:K14231	paec:M802_5323
ko:K01729	paec:M802_3667
ko:K11741	paec:M802_1939
ko:K11741	paec:M802_3379
ko:K21429	paec:M802_584
ko:K00638	paec:M802_725
ko:K03111	paec:M802_4362
ko:K12960	paec:M802_3279
ko:K09472	paec:M802_4319
ko:K19735	paec:M802_1032
ko:K19611	paec:M802_959
ko:K07497	paec:M802_1997
ko:K07497	paec:M802_1009
ko:K18135	paec:M802_3696
ko:K21430	paec:M802_1146
ko:K15856	paec:M802_5640
ko:K18979	paec:M802_5120
ko:K11209	paec:M802_1665
ko:K19609	paec:M802_2766
ko:K16011	paec:M802_3671
ko:K11209	paec:M802_1066
ko:K18456	paec:M802_148
ko:K01399	paec:M802_3844
ko:K09788	paec:M802_817
ko:K18291	paec:M802_902
ko:K19746	paec:M802_3987
ko:K12253	paec:M802_5147
ko:K16636	paec:M802_47
ko:K01007	paec:M802_1815
ko:K06148	paec:M802_883
ko:K07092	paec:M802_4959
ko:K00239	paec:M802_1625
ko:K00240	paec:M802_1626
ko:K00164	paec:M802_1627
ko:K00658	paec:M802_1628
ko:K00382	paec:M802_1629
ko:K01903	paec:M802_1630
ko:K01902	paec:M802_1631
ko:K03311	paec:M802_1632
ko:K04079	paec:M802_1638
ko:K00606	paec:M802_1640
ko:K18029	paec:M802_1644
ko:K03406	paec:M802_1650
ko:K00647	paec:M802_1651
ko:K01716	paec:M802_1652
ko:K02014	paec:M802_1655
ko:K00057	paec:M802_1656
ko:K08296	paec:M802_1658
ko:K06889	paec:M802_1723
ko:K01736	paec:M802_1724
ko:K05820	paec:M802_1725
ko:K08964	paec:M802_1726
ko:K08967	paec:M802_1727
ko:K09880	paec:M802_1728
ko:K01247	paec:M802_1730
ko:K00797	paec:M802_1731
ko:K03229	paec:M802_1734
ko:K03228	paec:M802_1735
ko:K03227	paec:M802_1736
ko:K03226	paec:M802_1737
ko:K03225	paec:M802_1738
ko:K03224	paec:M802_1741
ko:K04058	paec:M802_1742
ko:K03230	paec:M802_1747
ko:K03219	paec:M802_1760
ko:K03220	paec:M802_1761
ko:K03221	paec:M802_1763
ko:K03222	paec:M802_1767
ko:K03223	paec:M802_1769
ko:K05349	paec:M802_1770
ko:K02300	paec:M802_1357
ko:K16090	paec:M802_1359
ko:K01754	paec:M802_1363
ko:K01173	paec:M802_1365
ko:K10680	paec:M802_1371
ko:K17061	paec:M802_1372
