ko:K01006	pcn:TIB1ST10_10410
ko:K16264	pcn:TIB1ST10_06300
ko:K00008	pcn:TIB1ST10_04735
ko:K01156	pcn:TIB1ST10_08270
ko:K01990	pcn:TIB1ST10_02105
ko:K01990	pcn:TIB1ST10_07995
ko:K01990	pcn:TIB1ST10_11230
ko:K15582	pcn:TIB1ST10_10955
ko:K10823	pcn:TIB1ST10_10965
ko:K18930	pcn:TIB1ST10_04005
ko:K01066	pcn:TIB1ST10_11775
ko:K19270	pcn:TIB1ST10_00145
ko:K01897	pcn:TIB1ST10_08390
ko:K18682	pcn:TIB1ST10_05205
ko:K05342	pcn:TIB1ST10_05690
ko:K15771	pcn:TIB1ST10_07975
ko:K16147	pcn:TIB1ST10_05720
ko:K16148	pcn:TIB1ST10_03300
ko:K16163	pcn:TIB1ST10_04165
ko:K18955	pcn:TIB1ST10_08700
ko:K14232	pcn:TIB1ST10_t12032
ko:K10716	pcn:TIB1ST10_05980
ko:K03284	pcn:TIB1ST10_08830
ko:K03639	pcn:TIB1ST10_02580
ko:K02020	pcn:TIB1ST10_02595
ko:K00373	pcn:TIB1ST10_02615
ko:K00371	pcn:TIB1ST10_02620
ko:K00370	pcn:TIB1ST10_02625
ko:K02575	pcn:TIB1ST10_02630
ko:K07306	pcn:TIB1ST10_02660
ko:K03149	pcn:TIB1ST10_02670
ko:K03154	pcn:TIB1ST10_02675
ko:K07056	pcn:TIB1ST10_02700
ko:K03424	pcn:TIB1ST10_02705
ko:K02528	pcn:TIB1ST10_02710
ko:K00919	pcn:TIB1ST10_02715
ko:K04042	pcn:TIB1ST10_02730
ko:K00948	pcn:TIB1ST10_02735
ko:K02897	pcn:TIB1ST10_02755
ko:K01056	pcn:TIB1ST10_02760
ko:K03723	pcn:TIB1ST10_02790
ko:K01689	pcn:TIB1ST10_02810
ko:K11738	pcn:TIB1ST10_06820
ko:K01867	pcn:TIB1ST10_06825
ko:K07053	pcn:TIB1ST10_06830
ko:K15371	pcn:TIB1ST10_06835
ko:K03070	pcn:TIB1ST10_06855
ko:K07735	pcn:TIB1ST10_06885
ko:K01755	pcn:TIB1ST10_06925
ko:K00930	pcn:TIB1ST10_06940
ko:K00620	pcn:TIB1ST10_06945
ko:K00145	pcn:TIB1ST10_06950
ko:K03664	pcn:TIB1ST10_06955
ko:K09811	pcn:TIB1ST10_06960
ko:K09812	pcn:TIB1ST10_06965
ko:K02836	pcn:TIB1ST10_06970
ko:K03466	pcn:TIB1ST10_06980
ko:K00946	pcn:TIB1ST10_06990
ko:K01921	pcn:TIB1ST10_07000
ko:K01703	pcn:TIB1ST10_07020
ko:K00826	pcn:TIB1ST10_07045
ko:K00052	pcn:TIB1ST10_07055
ko:K00053	pcn:TIB1ST10_07065
ko:K01653	pcn:TIB1ST10_07070
ko:K02503	pcn:TIB1ST10_07080
ko:K07089	pcn:TIB1ST10_10910
ko:K03980	pcn:TIB1ST10_10920
ko:K00928	pcn:TIB1ST10_10925
ko:K05520	pcn:TIB1ST10_10940
ko:K02909	pcn:TIB1ST10_10970
ko:K02902	pcn:TIB1ST10_10975
ko:K02913	pcn:TIB1ST10_10980
ko:K02954	pcn:TIB1ST10_10985
ko:K02911	pcn:TIB1ST10_10990
ko:K01207	pcn:TIB1ST10_11000
ko:K01712	pcn:TIB1ST10_11005
ko:K01712	pcn:TIB1ST10_11010
ko:K01468	pcn:TIB1ST10_11025
ko:K01745	pcn:TIB1ST10_11035
ko:K12410	pcn:TIB1ST10_11050
ko:K00761	pcn:TIB1ST10_11115
ko:K03549	pcn:TIB1ST10_11135
ko:K00113	pcn:TIB1ST10_11460
ko:K00112	pcn:TIB1ST10_11465
ko:K00111	pcn:TIB1ST10_11470
ko:K03281	pcn:TIB1ST10_11480
ko:K01950	pcn:TIB1ST10_11540
ko:K00850	pcn:TIB1ST10_11545
ko:K00259	pcn:TIB1ST10_11550
ko:K01647	pcn:TIB1ST10_11580
ko:K00259	pcn:TIB1ST10_11590
ko:K11737	pcn:TIB1ST10_11635
ko:K11737	pcn:TIB1ST10_11640
ko:K01775	pcn:TIB1ST10_11645
ko:K00849	pcn:TIB1ST10_11655
ko:K14232	pcn:TIB1ST10_t12062
ko:K09136	pcn:TIB1ST10_04460
ko:K03078	pcn:TIB1ST10_04550
ko:K00874	pcn:TIB1ST10_04565
ko:K08369	pcn:TIB1ST10_04570
ko:K00878	pcn:TIB1ST10_04575
ko:K00788	pcn:TIB1ST10_04580
ko:K01869	pcn:TIB1ST10_04605
ko:K02237	pcn:TIB1ST10_04610
ko:K02340	pcn:TIB1ST10_04625
ko:K02968	pcn:TIB1ST10_04630
ko:K03596	pcn:TIB1ST10_04650
ko:K02551	pcn:TIB1ST10_04660
ko:K01911	pcn:TIB1ST10_04675
ko:K01661	pcn:TIB1ST10_04680
ko:K01895	pcn:TIB1ST10_04690
ko:K01895	pcn:TIB1ST10_04695
ko:K03705	pcn:TIB1ST10_04720
ko:K03686	pcn:TIB1ST10_04725
ko:K09761	pcn:TIB1ST10_04730
ko:K03530	pcn:TIB1ST10_08640
