ko:K19744	paer:PA1R_gp1756
ko:K10815	paer:PA1R_gp5665
ko:K01659	paer:PA1R_gp4289
ko:K11741	paer:PA1R_gp4279
ko:K01851	paer:PA1R_gp2122
ko:K18302	paer:PA1R_gp1534
ko:K18979	paer:PA1R_gp2873
ko:K01874	paer:PA1R_gp1323
ko:K03617	paer:PA1R_gp1327
ko:K03616	paer:PA1R_gp1328
ko:K03615	paer:PA1R_gp1329
ko:K03614	paer:PA1R_gp1330
ko:K03612	paer:PA1R_gp1331
ko:K03613	paer:PA1R_gp1332
ko:K10773	paer:PA1R_gp1333
ko:K01756	paer:PA1R_gp1335
ko:K01756	paer:PA1R_gp1336
ko:K03593	paer:PA1R_gp1322
ko:K02010	paer:PA1R_gp1356
ko:K09861	paer:PA1R_gp1357
ko:K00066	paer:PA1R_gp1358
ko:K16081	paer:PA1R_gp1362
ko:K07806	paer:PA1R_gp1371
ko:K10012	paer:PA1R_gp1372
ko:K10011	paer:PA1R_gp1373
ko:K13014	paer:PA1R_gp1374
ko:K07264	paer:PA1R_gp1375
ko:K12962	paer:PA1R_gp1376
ko:K12963	paer:PA1R_gp1377
ko:K00012	paer:PA1R_gp1378
ko:K02769	paer:PA1R_gp1379
ko:K02770	paer:PA1R_gp1379
ko:K00882	paer:PA1R_gp1380
ko:K03435	paer:PA1R_gp1382
ko:K03424	paer:PA1R_gp1383
ko:K01908	paer:PA1R_gp1388
ko:K00140	paer:PA1R_gp1390
ko:K07552	paer:PA1R_gp1392
ko:K00864	paer:PA1R_gp1397
ko:K02440	paer:PA1R_gp1399
ko:K00864	paer:PA1R_gp1400
ko:K02444	paer:PA1R_gp1402
ko:K00111	paer:PA1R_gp1403
ko:K02442	paer:PA1R_gp1404
ko:K03576	paer:PA1R_gp1406
ko:K00626	paer:PA1R_gp1408
ko:K00074	paer:PA1R_gp1409
ko:K03743	paer:PA1R_gp1436
ko:K03555	paer:PA1R_gp1438
ko:K05524	paer:PA1R_gp1439
ko:K03386	paer:PA1R_gp1347
ko:K03087	paer:PA1R_gp1440
ko:K06194	paer:PA1R_gp1441
ko:K00573	paer:PA1R_gp1442
ko:K03787	paer:PA1R_gp1443
ko:K06176	paer:PA1R_gp1444
ko:K01770	paer:PA1R_gp1445
ko:K01070	paer:PA1R_gp1446
ko:K02192	paer:PA1R_gp1348
ko:K00121	paer:PA1R_gp1447
ko:K03565	paer:PA1R_gp1434
ko:K00611	paer:PA1R_gp1355
ko:K10778	paer:PA1R_gp1415
ko:K02909	paer:PA1R_gp1419
ko:K00901	paer:PA1R_gp1421
ko:K05812	paer:PA1R_gp1424
ko:K11072	paer:PA1R_gp1425
ko:K11071	paer:PA1R_gp1426
ko:K03594	paer:PA1R_gp1349
ko:K07390	paer:PA1R_gp1351
ko:K12685	paer:PA1R_gp1353
ko:K11070	paer:PA1R_gp1427
ko:K11069	paer:PA1R_gp1428
ko:K09954	paer:PA1R_gp1430
ko:K07576	paer:PA1R_gp1432
ko:K06966	paer:PA1R_gp1433
ko:K07112	paer:PA1R_gp1449
ko:K00991	paer:PA1R_gp1450
ko:K05589	paer:PA1R_gp1451
ko:K01689	paer:PA1R_gp1452
ko:K01627	paer:PA1R_gp1453
ko:K01937	paer:PA1R_gp1454
ko:K04075	paer:PA1R_gp1455
ko:K01962	paer:PA1R_gp1456
ko:K02337	paer:PA1R_gp1457
ko:K03310	paer:PA1R_gp1458
ko:K00748	paer:PA1R_gp1460
ko:K00677	paer:PA1R_gp1461
ko:K02372	paer:PA1R_gp1462
ko:K03470	paer:PA1R_gp1459
ko:K16053	paer:PA1R_gp1309
ko:K00027	paer:PA1R_gp1312
ko:K05786	paer:PA1R_gp1314
ko:K01713	paer:PA1R_gp1316
ko:K01494	paer:PA1R_gp1321
ko:K06518	paer:PA1R_gp1273
ko:K01759	paer:PA1R_gp1342
ko:K01940	paer:PA1R_gp1343
ko:K01465	paer:PA1R_gp1345
ko:K03683	paer:PA1R_gp1346
ko:K06205	paer:PA1R_gp1275
ko:K04091	paer:PA1R_gp1285
ko:K15553	paer:PA1R_gp1286
ko:K00299	paer:PA1R_gp1287
ko:K09932	paer:PA1R_gp1276
ko:K15555	paer:PA1R_gp1288
ko:K15554	paer:PA1R_gp1289
ko:K15553	paer:PA1R_gp1290
ko:K00116	paer:PA1R_gp1293
ko:K13938	paer:PA1R_gp1277
ko:K09915	paer:PA1R_gp1294
ko:K01495	paer:PA1R_gp1278
ko:K15461	paer:PA1R_gp1297
ko:K07090	paer:PA1R_gp1298
ko:K01953	paer:PA1R_gp1300
ko:K09898	paer:PA1R_gp1304
ko:K08369	paer:PA1R_gp1308
ko:K07589	paer:PA1R_gp1279
ko:K09948	paer:PA1R_gp1280
ko:K15555	paer:PA1R_gp1283
ko:K15554	paer:PA1R_gp1284
ko:K19591	paer:PA1R_gp2694
ko:K19595	paer:PA1R_gp1341
ko:K03297	paer:PA1R_gp2914
ko:K03560	paer:PA1R_gp3713
ko:K22617	paer:PA1R_gp2250
ko:K19593	paer:PA1R_gp1339
ko:K16238	paer:PA1R_gp1912
ko:K09691	paer:PA1R_gp3385
ko:K19291	paer:PA1R_gp1360
ko:K18131	paer:PA1R_gp3935
ko:K18130	paer:PA1R_gp1577
ko:K00344	paer:PA1R_gp3533
ko:K02625	paer:PA1R_gp3743
ko:K19092	paer:PA1R_gp2721
ko:K11741	paer:PA1R_gp1100
ko:K11741	paer:PA1R_gp5509
ko:K06998	paer:PA1R_gp5533
ko:K06998	paer:PA1R_gp2106
ko:K21429	paer:PA1R_gp4080
ko:K00638	paer:PA1R_gp4212
ko:K03111	paer:PA1R_gp2123
ko:K07497	paer:PA1R_gp4337
ko:K12960	paer:PA1R_gp1001
ko:K19735	paer:PA1R_gp4600
ko:K18138	paer:PA1R_gp3937
ko:K19611	paer:PA1R_gp4457
ko:K07497	paer:PA1R_gp4764
ko:K18135	paer:PA1R_gp1393
ko:K00131	paer:PA1R_gp0122
ko:K21430	paer:PA1R_gp4724
ko:K18297	paer:PA1R_gp0286
ko:K02226	paer:PA1R_gp4887
ko:K00483	paer:PA1R_gp1980
ko:K11209	paer:PA1R_gp5204
ko:K19609	paer:PA1R_gp0495
ko:K11209	paer:PA1R_gp4633
ko:K18456	paer:PA1R_gp3656
ko:K01399	paer:PA1R_gp1580
ko:K18139	paer:PA1R_gp3938
ko:K09788	paer:PA1R_gp4287
ko:K00128	paer:PA1R_gp4627
ko:K00128	paer:PA1R_gp2821
ko:K00146	paer:PA1R_gp1962
ko:K19746	paer:PA1R_gp1757
ko:K00334	paer:PA1R_gp0441
ko:K00337	paer:PA1R_gp0444
ko:K00338	paer:PA1R_gp0445
ko:K00339	paer:PA1R_gp0446
ko:K00340	paer:PA1R_gp0447
ko:K00341	paer:PA1R_gp0448
ko:K00342	paer:PA1R_gp0449
ko:K00343	paer:PA1R_gp0450
ko:K03406	paer:PA1R_gp0453
ko:K07084	paer:PA1R_gp0454
ko:K03406	paer:PA1R_gp0455
ko:K07234	paer:PA1R_gp0464
ko:K05916	paer:PA1R_gp0466
ko:K12266	paer:PA1R_gp0467
ko:K01737	paer:PA1R_gp0468
ko:K02459	paer:PA1R_gp0474
ko:K02458	paer:PA1R_gp0475
ko:K02456	paer:PA1R_gp0476
ko:K02456	paer:PA1R_gp0477
ko:K02455	paer:PA1R_gp0478
ko:K02454	paer:PA1R_gp0479
ko:K01061	paer:PA1R_gp0486
ko:K07017	paer:PA1R_gp0497
ko:K03885	paer:PA1R_gp0499
ko:K03671	paer:PA1R_gp0502
ko:K09989	paer:PA1R_gp0513
ko:K01738	paer:PA1R_gp0517
ko:K11073	paer:PA1R_gp0519
ko:K05524	paer:PA1R_gp0524
ko:K03088	paer:PA1R_gp0531
ko:K07223	paer:PA1R_gp0536
