ko:K02495	ecoj:P423_21475
ko:K18919	ecoj:P423_00070
ko:K18919	ecoj:P423_07170
ko:K18138	ecoj:P423_02350
ko:K18922	ecoj:P423_02800
ko:K05396	ecoj:P423_10450
ko:K21905	ecoj:P423_19570
ko:K03761	ecoj:P423_14145
ko:K03297	ecoj:P423_10530
ko:K08348	ecoj:P423_08195
ko:K03077	ecoj:P423_00305
ko:K19162	ecoj:P423_02345
ko:K21901	ecoj:P423_19485
ko:K21907	ecoj:P423_19550
ko:K21908	ecoj:P423_19545
ko:K01990	ecoj:P423_03935
ko:K02554	ecoj:P423_01840
ko:K21029	ecoj:P423_04100
ko:K08348	ecoj:P423_08190
ko:K02345	ecoj:P423_09770
ko:K00254	ecoj:P423_05205
ko:K18138	ecoj:P423_07625
ko:K03585	ecoj:P423_07620
ko:K18140	ecoj:P423_18290
ko:K03111	ecoj:P423_25685
ko:K18139	ecoj:P423_07630
ko:K18968	ecoj:P423_01960
ko:K09022	ecoj:P423_17560
ko:K00526	ecoj:P423_12520
ko:K00287	ecoj:P423_00240
ko:K07497	ecoj:P423_24485
ko:K07497	ecoj:P423_17545
ko:K14744	ecoj:P423_06245
ko:K03111	ecoj:P423_22580
ko:K18837	ecoj:P423_24305
ko:K18842	ecoj:P423_23535
ko:K03767	ecoj:P423_18790
ko:K01139	ecoj:P423_20260
ko:K14744	ecoj:P423_10860
ko:K19234	ecoj:P423_08965
ko:K19230	ecoj:P423_07640
ko:K06867	ecoj:P423_01725
ko:K18828	ecoj:P423_26185
ko:K18141	ecoj:P423_18295
ko:K19235	ecoj:P423_04065
ko:K19353	ecoj:P423_21935
ko:K03526	ecoj:P423_13805
ko:K11209	ecoj:P423_12850
ko:K03585	ecoj:P423_02355
ko:K19416	ecoj:P423_05330
ko:K19789	ecoj:P423_12275
ko:K00879	ecoj:P423_15325
ko:K01190	ecoj:P423_01810
ko:K00884	ecoj:P423_06010
ko:K00104	ecoj:P423_16805
ko:K01035	ecoj:P423_12460
ko:K07713	ecoj:P423_22190
ko:K05874	ecoj:P423_24740
ko:K05875	ecoj:P423_10005
ko:K00633	ecoj:P423_01800
ko:K01023	ecoj:P423_17180
ko:K01175	ecoj:P423_03395
ko:K01185	ecoj:P423_07240
ko:K01185	ecoj:P423_14440
ko:K07484	ecoj:P423_13085
ko:K07496	ecoj:P423_18960
ko:K07497	ecoj:P423_07225
ko:K03292	ecoj:P423_20330
ko:K03293	ecoj:P423_21005
ko:K01138	ecoj:P423_08285
ko:K07165	ecoj:P423_23915
ko:K04065	ecoj:P423_24850
ko:K14234	ecoj:P423_01475
ko:K14230	ecoj:P423_03255
ko:K14230	ecoj:P423_03275
ko:K14230	ecoj:P423_07205
ko:K14230	ecoj:P423_10905
ko:K14230	ecoj:P423_15380
