ko:K11741	rat:M949_1969
ko:K08151	rat:M949_2028
ko:K01155	rat:M949_0441
ko:K18831	rat:M949_1803
ko:K19222	rat:M949_0603
ko:K21449	rat:M949_0522
ko:K15633	rat:M949_0117
ko:K00605	rat:M949_0118
ko:K01823	rat:M949_0119
ko:K09158	rat:M949_0124
ko:K01129	rat:M949_0125
ko:K06890	rat:M949_0128
ko:K00831	rat:M949_0131
ko:K00058	rat:M949_0132
ko:K03442	rat:M949_0134
ko:K01951	rat:M949_0135
ko:K01945	rat:M949_0136
ko:K00674	rat:M949_0141
ko:K02340	rat:M949_0147
ko:K03466	rat:M949_0149
ko:K07091	rat:M949_0152
ko:K03832	rat:M949_0153
ko:K00215	rat:M949_0157
ko:K03100	rat:M949_0158
ko:K03088	rat:M949_0161
ko:K02519	rat:M949_1038
ko:K02600	rat:M949_1039
ko:K09748	rat:M949_1040
ko:K11754	rat:M949_1042
ko:K00684	rat:M949_1046
ko:K04759	rat:M949_1048
ko:K04758	rat:M949_1049
ko:K00566	rat:M949_1051
ko:K03665	rat:M949_1052
ko:K01011	rat:M949_1056
ko:K01915	rat:M949_1068
ko:K13694	rat:M949_1069
ko:K09940	rat:M949_1070
ko:K07460	rat:M949_1074
ko:K01297	rat:M949_1075
ko:K01867	rat:M949_1077
ko:K07025	rat:M949_1078
ko:K03088	rat:M949_1080
ko:K07391	rat:M949_1081
ko:K00971	rat:M949_1082
ko:K02897	rat:M949_1084
ko:K00948	rat:M949_1085
ko:K03306	rat:M949_1934
ko:K02523	rat:M949_1939
ko:K00639	rat:M949_1942
ko:K06193	rat:M949_1943
ko:K03655	rat:M949_1945
ko:K04762	rat:M949_1947
ko:K00891	rat:M949_1948
ko:K00788	rat:M949_1955
ko:K13789	rat:M949_1957
ko:K04487	rat:M949_1962
ko:K03671	rat:M949_1963
ko:K00382	rat:M949_1966
ko:K01697	rat:M949_1970
ko:K00639	rat:M949_1972
ko:K07259	rat:M949_1973
ko:K04066	rat:M949_1974
ko:K04043	rat:M949_1977
ko:K02990	rat:M949_1980
ko:K02963	rat:M949_1981
ko:K02939	rat:M949_1982
ko:K07568	rat:M949_1986
ko:K06941	rat:M949_1987
ko:K11927	rat:M949_1988
ko:K01278	rat:M949_0578
ko:K01845	rat:M949_0579
ko:K02558	rat:M949_0585
ko:K03218	rat:M949_0586
ko:K03648	rat:M949_0587
ko:K00826	rat:M949_0589
ko:K00940	rat:M949_0590
ko:K02114	rat:M949_0591
ko:K02112	rat:M949_0592
ko:K11753	rat:M949_0593
ko:K08987	rat:M949_0595
ko:K01480	rat:M949_0596
ko:K01585	rat:M949_0597
ko:K00949	rat:M949_0598
ko:K06861	rat:M949_0600
ko:K02361	rat:M949_0602
