ko:K04750	spq:SPAB_05287
ko:K03760	spq:SPAB_05293
ko:K03759	spq:SPAB_05294
ko:K03755	spq:SPAB_05295
ko:K07307	spq:SPAB_05310
ko:K02019	spq:SPAB_05414
ko:K04078	spq:SPAB_05458
ko:K03475	spq:SPAB_05517
ko:K07269	spq:SPAB_05531
ko:K01465	spq:SPAB_05595
ko:K06218	spq:SPAB_05600
ko:K06146	spq:SPAB_05638
ko:K06157	spq:SPAB_05639
ko:K00135	spq:SPAB_05689
ko:K04065	spq:SPAB_05739
ko:K07186	spq:SPAB_05755
ko:K06901	spq:SPAB_05261
ko:K04018	spq:SPAB_05277
ko:K11733	spq:SPAB_00810
ko:K15581	spq:SPAB_01498
ko:K10773	spq:SPAB_01867
ko:K03925	spq:SPAB_00152
ko:K01546	spq:SPAB_02830
ko:K03575	spq:SPAB_03876
ko:K07229	spq:SPAB_04010
ko:K11746	spq:SPAB_00109
ko:K07781	spq:SPAB_01166
ko:K11738	spq:SPAB_01706
ko:K01246	spq:SPAB_04526
ko:K10563	spq:SPAB_04625
ko:K02647	spq:SPAB_00455
ko:K02560	spq:SPAB_01277
ko:K00873	spq:SPAB_01278
ko:K00036	spq:SPAB_01282
ko:K03602	spq:SPAB_03159
ko:K11065	spq:SPAB_01577
ko:K06044	spq:SPAB_01740
ko:K05788	spq:SPAB_02534
ko:K05787	spq:SPAB_05160
ko:K03530	spq:SPAB_03125
ko:K04764	spq:SPAB_01998
ko:K08478	spq:SPAB_00566
ko:K01687	spq:SPAB_04849
ko:K01142	spq:SPAB_02042
ko:K03601	spq:SPAB_00433
ko:K04568	spq:SPAB_05475
ko:K00484	spq:SPAB_02455
ko:K01876	spq:SPAB_01263
ko:K05851	spq:SPAB_04888
ko:K07462	spq:SPAB_03789
ko:K07568	spq:SPAB_03183
ko:K02501	spq:SPAB_00958
ko:K02500	spq:SPAB_00956
ko:K03547	spq:SPAB_03194
ko:K00575	spq:SPAB_01242
ko:K03649	spq:SPAB_04008
ko:K02518	spq:SPAB_02569
ko:K03631	spq:SPAB_03397
ko:K01547	spq:SPAB_02831
ko:K01548	spq:SPAB_02832
ko:K03746	spq:SPAB_01490
ko:K01356	spq:SPAB_05220
ko:K03658	spq:SPAB_02482
ko:K00794	spq:SPAB_03166
ko:K00483	spq:SPAB_02454
ko:K08722	spq:SPAB_00644
ko:K01585	spq:SPAB_03850
ko:K04564	spq:SPAB_01891
ko:K13895	spq:SPAB_00783
ko:K03654	spq:SPAB_04911
ko:K03648	spq:SPAB_00328
ko:K03503	spq:SPAB_01144
ko:K03574	spq:SPAB_00171
ko:K02314	spq:SPAB_05230
ko:K02315	spq:SPAB_05717
ko:K02316	spq:SPAB_04006
ko:K03111	spq:SPAB_05240
ko:K02846	spq:SPAB_02370
ko:K03656	spq:SPAB_04858
ko:K03500	spq:SPAB_04249
ko:K06187	spq:SPAB_03086
ko:K01141	spq:SPAB_00968
ko:K07455	spq:SPAB_02270
ko:K03557	spq:SPAB_04219
ko:K03186	spq:SPAB_00615
ko:K03785	spq:SPAB_01975
ko:K03502	spq:SPAB_01145
ko:K01889	spq:SPAB_02000
ko:K05515	spq:SPAB_01251
ko:K03587	spq:SPAB_01378
ko:K11084	spq:SPAB_03155
ko:K02344	spq:SPAB_05734
ko:K07646	spq:SPAB_02833
ko:K02358	spq:SPAB_04288
ko:K00558	spq:SPAB_05653
ko:K01247	spq:SPAB_00902
ko:K02601	spq:SPAB_05135
ko:K00208	spq:SPAB_01556
ko:K03973	spq:SPAB_01570
ko:K00052	spq:SPAB_00142
ko:K02036	spq:SPAB_04794
ko:K02038	spq:SPAB_04795
ko:K02037	spq:SPAB_04796
ko:K02040	spq:SPAB_04798
ko:K03449	spq:SPAB_02072
ko:K07642	spq:SPAB_00894
ko:K01953	spq:SPAB_02863
ko:K02935	spq:SPAB_05140
ko:K01886	spq:SPAB_02856
ko:K07071	spq:SPAB_00623
ko:K04029	spq:SPAB_00483
ko:K04030	spq:SPAB_00484
ko:K04032	spq:SPAB_00485
ko:K04020	spq:SPAB_00486
ko:K04028	spq:SPAB_00489
ko:K04024	spq:SPAB_00491
ko:K04022	spq:SPAB_00492
ko:K04023	spq:SPAB_00493
ko:K01512	spq:SPAB_02473
ko:K03979	spq:SPAB_04118
ko:K01682	spq:SPAB_00197
ko:K07703	spq:SPAB_05307
ko:K00370	spq:SPAB_01469
ko:K10857	spq:SPAB_01291
ko:K04069	spq:SPAB_02549
ko:K01695	spq:SPAB_01518
ko:K01696	spq:SPAB_01519
ko:K02345	spq:SPAB_01293
ko:K07811	spq:SPAB_04758
ko:K05934	spq:SPAB_01078
ko:K03060	spq:SPAB_04642
ko:K01448	spq:SPAB_03722
ko:K10762	spq:SPAB_02187
ko:K10763	spq:SPAB_00450
ko:K03470	spq:SPAB_00294
ko:K01972	spq:SPAB_00529
ko:K08352	spq:SPAB_01038
ko:K05522	spq:SPAB_02805
ko:K09936	spq:SPAB_04410
ko:K02071	spq:SPAB_03053
ko:K00963	spq:SPAB_01489
ko:K03073	spq:SPAB_05134
ko:K03974	spq:SPAB_01567
ko:K03969	spq:SPAB_01568
ko:K07042	spq:SPAB_02880
ko:K00567	spq:SPAB_01603
ko:K03110	spq:SPAB_04436
ko:K02493	spq:SPAB_01454
ko:K02909	spq:SPAB_05074
ko:K03814	spq:SPAB_04144
ko:K01151	spq:SPAB_00806
ko:K05874	spq:SPAB_05704
ko:K03168	spq:SPAB_01532
ko:K03169	spq:SPAB_05347
ko:K01955	spq:SPAB_00083
ko:K03736	spq:SPAB_00496
ko:K00957	spq:SPAB_03650
ko:K01690	spq:SPAB_01284
ko:K08289	spq:SPAB_01286
ko:K09918	spq:SPAB_01287
ko:K01354	spq:SPAB_01290
ko:K07156	spq:SPAB_01294
ko:K07245	spq:SPAB_01295
ko:K03607	spq:SPAB_01363
ko:K03797	spq:SPAB_01364
ko:K03799	spq:SPAB_01366
ko:K00563	spq:SPAB_01379
ko:K02796	spq:SPAB_01382
ko:K02795	spq:SPAB_01383
ko:K02793	spq:SPAB_01384
ko:K02794	spq:SPAB_01384
ko:K01752	spq:SPAB_01388
ko:K01665	spq:SPAB_01390
ko:K09917	spq:SPAB_01391
ko:K07285	spq:SPAB_01395
ko:K01897	spq:SPAB_01397
ko:K03684	spq:SPAB_01399
ko:K03608	spq:SPAB_01400
ko:K03609	spq:SPAB_01401
