ko:K05576	syz:MYO_129470
ko:K07495	syz:MYO_114840
ko:K07495	syz:MYO_121240
ko:K07495	syz:MYO_122200
ko:K07495	syz:MYO_122600
ko:K06998	syz:MYO_15810
ko:K11328	syz:MYO_127600
ko:K19003	syz:MYO_116970
ko:K17892	syz:MYO_125420
ko:K02659	syz:MYO_16320
ko:K06915	syz:MYO_380
ko:K06915	syz:MYO_3670
ko:K07063	syz:MYO_115190
ko:K03502	syz:MYO_21230
ko:K03503	syz:MYO_21240
ko:K03496	syz:MYO_3370
ko:K01533	syz:MYO_120640
ko:K18828	syz:MYO_123910
ko:K07012	syz:MYO_4110
ko:K14228	syz:MYO_19060
ko:K14230	syz:MYO_115870
ko:K14233	syz:MYO_116950
ko:K14234	syz:MYO_119790
ko:K14218	syz:MYO_120440
ko:K01980	syz:MYO_122260
ko:K01980	syz:MYO_130000
ko:K14225	syz:MYO_122610
ko:K14233	syz:MYO_122700
ko:K14218	syz:MYO_123460
ko:K14219	syz:MYO_124050
ko:K14225	syz:MYO_127060
ko:K14225	syz:MYO_115670
ko:K14230	syz:MYO_125260
ko:K14227	syz:MYO_122270
ko:K14227	syz:MYO_129990
ko:K04034	syz:MYO_125190
ko:K02014	syz:MYO_1240
ko:K01985	syz:MYO_122250
ko:K01985	syz:MYO_130010
ko:K01977	syz:MYO_122280
ko:K01977	syz:MYO_129980
ko:K16787	syz:MYO_122230
ko:K16785	syz:MYO_116550
ko:K02030	syz:MYO_117600
ko:K02030	syz:MYO_11360
ko:K02008	syz:MYO_124450
ko:K02030	syz:MYO_111220
ko:K02030	syz:MYO_122020
ko:K02030	syz:MYO_123420
ko:K01978	syz:MYO_11370
ko:K02014	syz:MYO_1160
ko:K14232	syz:MYO_11750
ko:K14233	syz:MYO_12350
ko:K14234	syz:MYO_12490
ko:K14237	syz:MYO_13200
ko:K14219	syz:MYO_14130
ko:K14219	syz:MYO_15960
ko:K14228	syz:MYO_110030
ko:K14234	syz:MYO_129090
ko:K14228	syz:MYO_130050
ko:K14237	syz:MYO_130290
ko:K13292	syz:MYO_12870
ko:K00228	syz:MYO_12890
ko:K02902	syz:MYO_12920
ko:K07243	syz:MYO_12970
ko:K02338	syz:MYO_12980
ko:K01695	syz:MYO_12990
ko:K03182	syz:MYO_13040
ko:K13541	syz:MYO_13050
ko:K02956	syz:MYO_13090
ko:K07089	syz:MYO_13100
ko:K00789	syz:MYO_13140
ko:K05539	syz:MYO_13150
ko:K02520	syz:MYO_13170
ko:K00978	syz:MYO_13290
ko:K01709	syz:MYO_13300
ko:K01790	syz:MYO_13310
ko:K01955	syz:MYO_13380
ko:K08289	syz:MYO_112380
ko:K03568	syz:MYO_112410
ko:K00566	syz:MYO_112420
ko:K06158	syz:MYO_112450
ko:K01591	syz:MYO_112480
ko:K03555	syz:MYO_112560
ko:K02040	syz:MYO_112720
ko:K02037	syz:MYO_112730
ko:K02038	syz:MYO_112740
ko:K02036	syz:MYO_112750
ko:K06890	syz:MYO_112800
ko:K02293	syz:MYO_112820
ko:K02291	syz:MYO_112830
ko:K01430	syz:MYO_112850
ko:K07090	syz:MYO_112920
ko:K04043	syz:MYO_121160
ko:K13542	syz:MYO_121200
ko:K03584	syz:MYO_121270
ko:K00762	syz:MYO_121340
ko:K01649	syz:MYO_121360
ko:K06901	syz:MYO_121380
ko:K06178	syz:MYO_121390
ko:K07015	syz:MYO_121400
ko:K07636	syz:MYO_121470
ko:K01963	syz:MYO_121480
ko:K00943	syz:MYO_121550
ko:K04487	syz:MYO_121650
ko:K02355	syz:MYO_129880
ko:K00053	syz:MYO_129910
ko:K01814	syz:MYO_129930
ko:K00278	syz:MYO_129940
ko:K02698	syz:MYO_129960
ko:K03086	syz:MYO_129970
ko:K09919	syz:MYO_130040
ko:K00928	syz:MYO_130060
ko:K01414	syz:MYO_130080
ko:K00286	syz:MYO_130090
ko:K03517	syz:MYO_130150
ko:K01682	syz:MYO_130190
ko:K03778	syz:MYO_130240
ko:K01956	syz:MYO_130250
ko:K16881	syz:MYO_130270
ko:K15736	syz:MYO_130280
ko:K00014	syz:MYO_130300
ko:K02502	syz:MYO_130310
ko:K03530	syz:MYO_18900
ko:K03654	syz:MYO_18930
ko:K02188	syz:MYO_18950
ko:K01770	syz:MYO_18980
ko:K03327	syz:MYO_18990
ko:K03088	syz:MYO_19030
ko:K07089	syz:MYO_19050
ko:K03116	syz:MYO_19080
ko:K01711	syz:MYO_13520
ko:K03818	syz:MYO_13660
ko:K01903	syz:MYO_13720
ko:K03979	syz:MYO_13760
ko:K01465	syz:MYO_13790
ko:K03320	syz:MYO_13800
ko:K00860	syz:MYO_13850
ko:K03561	syz:MYO_13860
ko:K03500	syz:MYO_13880
ko:K07301	syz:MYO_13900
ko:K00013	syz:MYO_13910
ko:K09940	syz:MYO_14000
ko:K03189	syz:MYO_14010
ko:K00817	syz:MYO_112970
ko:K06188	syz:MYO_112990
ko:K03168	syz:MYO_113000
ko:K02687	syz:MYO_113130
ko:K13282	syz:MYO_113250
ko:K03802	syz:MYO_113260
ko:K03650	syz:MYO_113320
ko:K11754	syz:MYO_113350
ko:K02372	syz:MYO_113430
ko:K05979	syz:MYO_113440
ko:K01876	syz:MYO_113460
ko:K03072	syz:MYO_121740
ko:K03074	syz:MYO_121750
ko:K02536	syz:MYO_121760
ko:K02887	syz:MYO_121770
ko:K02916	syz:MYO_121780
ko:K03630	syz:MYO_121790
ko:K07146	syz:MYO_121800
ko:K11962	syz:MYO_121820
ko:K00764	syz:MYO_121880
ko:K07738	syz:MYO_121900
ko:K02834	syz:MYO_121930
ko:K01491	syz:MYO_121950
ko:K01803	syz:MYO_122000
ko:K02635	syz:MYO_122040
ko:K03685	syz:MYO_122080
ko:K04656	syz:MYO_122090
ko:K03684	syz:MYO_122120
ko:K03527	syz:MYO_122140
ko:K02970	syz:MYO_122240
ko:K05810	syz:MYO_130450
ko:K09777	syz:MYO_130460
ko:K06024	syz:MYO_130490
ko:K03885	syz:MYO_130530
ko:K01057	syz:MYO_130570
ko:K01703	syz:MYO_130680
ko:K01689	syz:MYO_130790
ko:K01962	syz:MYO_130840
ko:K08482	syz:MYO_130920
ko:K03798	syz:MYO_19100
ko:K03787	syz:MYO_19130
ko:K01462	syz:MYO_19140
ko:K04567	syz:MYO_19160
ko:K03531	syz:MYO_19290
ko:K03589	syz:MYO_19300
ko:K03797	syz:MYO_19310
ko:K03438	syz:MYO_19330
ko:K03187	syz:MYO_19350
ko:K03657	syz:MYO_19380
ko:K08999	syz:MYO_19390
