ko:K00086	kpt:VK055_3979
ko:K16238	kpt:VK055_2248
ko:K18922	kpt:VK055_4421
ko:K00130	kpt:VK055_4121
ko:K06120	kpt:VK055_3981
ko:K19123	kpt:VK055_0380
ko:K07012	kpt:VK055_0379
ko:K09690	kpt:VK055_5031
ko:K07315	kpt:VK055_1114
ko:K08348	kpt:VK055_0616
ko:K21908	kpt:VK055_4199
ko:K19162	kpt:VK055_2107
ko:K02345	kpt:VK055_0089
ko:K06121	kpt:VK055_3982
ko:K19271	kpt:VK055_0457
ko:K03585	kpt:VK055_3427
ko:K18138	kpt:VK055_3426
ko:K18139	kpt:VK055_3425
ko:K03553	kpt:VK055_4485
ko:K04772	kpt:VK055_3844
ko:K00042	kpt:VK055_3929
ko:K00146	kpt:VK055_1046
ko:K19611	kpt:VK055_5105
ko:K03293	kpt:VK055_1011
ko:K00526	kpt:VK055_4872
ko:K18828	kpt:VK055_5108
ko:K03111	kpt:VK055_3025
ko:K01990	kpt:VK055_1709
ko:K01990	kpt:VK055_3483
ko:K19227	kpt:VK055_1158
ko:K19230	kpt:VK055_1161
ko:K19611	kpt:VK055_1213
ko:K19611	kpt:VK055_3022
ko:K19789	kpt:VK055_4904
ko:K19745	kpt:VK055_5135
ko:K00108	kpt:VK055_1953
ko:K02532	kpt:VK055_1660
ko:K03446	kpt:VK055_0713
ko:K04103	kpt:VK055_4773
ko:K00001	kpt:VK055_3271
ko:K21430	kpt:VK055_1658
ko:K01007	kpt:VK055_0297
ko:K08156	kpt:VK055_0624
ko:K21908	kpt:VK055_3987
ko:K19586	kpt:VK055_4552
ko:K07713	kpt:VK055_3087
ko:K04753	kpt:VK055_4039
ko:K00433	kpt:VK055_5070
ko:K03293	kpt:VK055_3179
ko:K02483	kpt:VK055_0682
ko:K19587	kpt:VK055_4550
ko:K18829	kpt:VK055_5109
ko:K21755	kpt:VK055_4169
ko:K14229	kpt:VK055_1773
ko:K14229	kpt:VK055_1775
ko:K14229	kpt:VK055_1779
ko:K14229	kpt:VK055_1777
ko:K14229	kpt:VK055_4758
ko:K14229	kpt:VK055_1774
ko:K14221	kpt:VK055_2335
ko:K14221	kpt:VK055_2346
ko:K14221	kpt:VK055_3214
ko:K13075	kpt:VK055_0758
ko:K19504	kpt:VK055_2627
ko:K18699	kpt:VK055_0891
ko:K02042	kpt:VK055_2271
ko:K11929	kpt:VK055_2278
ko:K00931	kpt:VK055_2280
ko:K00147	kpt:VK055_2281
ko:K07350	kpt:VK055_2287
ko:K07347	kpt:VK055_2288
ko:K07346	kpt:VK055_2289
ko:K07345	kpt:VK055_2290
ko:K03556	kpt:VK055_2292
ko:K00627	kpt:VK055_2295
ko:K00382	kpt:VK055_2296
ko:K02443	kpt:VK055_2299
ko:K00880	kpt:VK055_2300
ko:K00059	kpt:VK055_2301
ko:K00058	kpt:VK055_2302
