ko:K01006	lmoy:LMOSLCC2479_1931
ko:K01699	lmoy:LMOSLCC2479_1149
ko:K22010	lmoy:LMOSLCC2479_1169
ko:K05350	lmoy:LMOSLCC2479_0372
ko:K11741	lmoy:LMOSLCC2479_0862
ko:K11741	lmoy:LMOSLCC2479_0863
ko:K18926	lmoy:LMOSLCC2479_0526
ko:K01977	lmoy:LMOSLCC2479rRNA12
ko:K01977	lmoy:LMOSLCC2479rRNA04
ko:K11051	lmoy:LMOSLCC2479_1000
ko:K01990	lmoy:LMOSLCC2479_2204
ko:K16509	lmoy:LMOSLCC2479_2256
ko:K03699	lmoy:LMOSLCC2479_2816
ko:K01977	lmoy:LMOSLCC2479rRNA15
ko:K01977	lmoy:LMOSLCC2479rRNA01
ko:K01791	lmoy:LMOSLCC2479_2600
ko:K06198	lmoy:LMOSLCC2479_2254
ko:K16511	lmoy:LMOSLCC2479_2255
ko:K03596	lmoy:LMOSLCC2479_1540
ko:K02968	lmoy:LMOSLCC2479_1541
ko:K02340	lmoy:LMOSLCC2479_1542
ko:K02237	lmoy:LMOSLCC2479_1545
ko:K03710	lmoy:LMOSLCC2479_2209
ko:K03671	lmoy:LMOSLCC2479_2217
ko:K08177	lmoy:LMOSLCC2479_2236
ko:K08600	lmoy:LMOSLCC2479_2246
ko:K02013	lmoy:LMOSLCC2479_2247
ko:K02015	lmoy:LMOSLCC2479_2248
ko:K02016	lmoy:LMOSLCC2479_2249
ko:K03703	lmoy:LMOSLCC2479_1231
ko:K00928	lmoy:LMOSLCC2479_1232
ko:K01776	lmoy:LMOSLCC2479_1234
ko:K00989	lmoy:LMOSLCC2479_1235
ko:K07095	lmoy:LMOSLCC2479_1237
ko:K00563	lmoy:LMOSLCC2479_1936
ko:K15738	lmoy:LMOSLCC2479_1939
ko:K01938	lmoy:LMOSLCC2479_1940
ko:K03704	lmoy:LMOSLCC2479_1942
ko:K02954	lmoy:LMOSLCC2479_1945
ko:K16169	lmoy:LMOSLCC2479_1947
ko:K03816	lmoy:LMOSLCC2479_1948
ko:K01299	lmoy:LMOSLCC2479_1949
ko:K07444	lmoy:LMOSLCC2479_1950
ko:K05366	lmoy:LMOSLCC2479_1955
ko:K10773	lmoy:LMOSLCC2479_1957
ko:K01893	lmoy:LMOSLCC2479_1959
ko:K00812	lmoy:LMOSLCC2479_1960
ko:K01579	lmoy:LMOSLCC2479_1963
ko:K01918	lmoy:LMOSLCC2479_1964
ko:K00606	lmoy:LMOSLCC2479_1965
ko:K03524	lmoy:LMOSLCC2479_1967
ko:K01734	lmoy:LMOSLCC2479_1969
ko:K00215	lmoy:LMOSLCC2479_1970
ko:K02996	lmoy:LMOSLCC2479_2662
ko:K02871	lmoy:LMOSLCC2479_2663
ko:K06173	lmoy:LMOSLCC2479_2664
ko:K07507	lmoy:LMOSLCC2479_2668
ko:K02879	lmoy:LMOSLCC2479_2671
ko:K03040	lmoy:LMOSLCC2479_2672
ko:K02948	lmoy:LMOSLCC2479_2673
ko:K02952	lmoy:LMOSLCC2479_2674
ko:K02919	lmoy:LMOSLCC2479_2675
ko:K02518	lmoy:LMOSLCC2479_2676
ko:K03076	lmoy:LMOSLCC2479_2678
ko:K02876	lmoy:LMOSLCC2479_2679
ko:K02907	lmoy:LMOSLCC2479_2680
ko:K02988	lmoy:LMOSLCC2479_2681
ko:K02881	lmoy:LMOSLCC2479_2682
ko:K02933	lmoy:LMOSLCC2479_2683
ko:K02994	lmoy:LMOSLCC2479_2684
ko:K02954	lmoy:LMOSLCC2479_2685
ko:K02931	lmoy:LMOSLCC2479_2686
ko:K02895	lmoy:LMOSLCC2479_2687
ko:K02874	lmoy:LMOSLCC2479_2688
ko:K02961	lmoy:LMOSLCC2479_2689
ko:K02904	lmoy:LMOSLCC2479_2690
ko:K02878	lmoy:LMOSLCC2479_2691
ko:K02982	lmoy:LMOSLCC2479_2692
ko:K02890	lmoy:LMOSLCC2479_2693
ko:K02965	lmoy:LMOSLCC2479_2694
ko:K02886	lmoy:LMOSLCC2479_2695
ko:K02892	lmoy:LMOSLCC2479_2696
ko:K02926	lmoy:LMOSLCC2479_2697
ko:K02906	lmoy:LMOSLCC2479_2698
ko:K02946	lmoy:LMOSLCC2479_2699
ko:K03734	lmoy:LMOSLCC2479_2702
ko:K03885	lmoy:LMOSLCC2479_2704
ko:K06885	lmoy:LMOSLCC2479_0482
ko:K06941	lmoy:LMOSLCC2479_0489
ko:K13653	lmoy:LMOSLCC2479_0490
ko:K02911	lmoy:LMOSLCC2479_0493
ko:K00014	lmoy:LMOSLCC2479_0497
ko:K03785	lmoy:LMOSLCC2479_0498
ko:K06978	lmoy:LMOSLCC2479_0500
ko:K01808	lmoy:LMOSLCC2479_0505
ko:K01783	lmoy:LMOSLCC2479_0506
ko:K02773	lmoy:LMOSLCC2479_0510
ko:K01783	lmoy:LMOSLCC2479_0512
ko:K02774	lmoy:LMOSLCC2479_0514
ko:K00656	lmoy:LMOSLCC2479_1980
ko:K07007	lmoy:LMOSLCC2479_1981
ko:K06973	lmoy:LMOSLCC2479_1982
ko:K00800	lmoy:LMOSLCC2479_1986
ko:K00817	lmoy:LMOSLCC2479_1988
ko:K06208	lmoy:LMOSLCC2479_1989
ko:K01735	lmoy:LMOSLCC2479_1990
ko:K01736	lmoy:LMOSLCC2479_1991
ko:K00940	lmoy:LMOSLCC2479_1992
ko:K03183	lmoy:LMOSLCC2479_1994
ko:K01495	lmoy:LMOSLCC2479_1996
ko:K03530	lmoy:LMOSLCC2479_1997
