ko:K11707	cpsb:B595_0511
ko:K01921	cpsb:B595_0981
ko:K01924	cpsb:B595_0981
ko:K01698	cpsb:B595_0001
ko:K00346	cpsb:B595_0002
ko:K01772	cpsb:B595_0157
ko:K02034	cpsb:B595_0168
ko:K01890	cpsb:B595_0171
ko:K03584	cpsb:B595_0177
ko:K07714	cpsb:B595_0182
ko:K07710	cpsb:B595_0184
ko:K06173	cpsb:B595_0188
ko:K00991	cpsb:B595_0189
ko:K02836	cpsb:B595_0193
ko:K00790	cpsb:B595_0198
ko:K01887	cpsb:B595_0199
ko:K00655	cpsb:B595_0200
ko:K00945	cpsb:B595_0201
ko:K00981	cpsb:B595_0202
ko:K00806	cpsb:B595_0204
ko:K12257	cpsb:B595_0208
ko:K07462	cpsb:B595_0209
ko:K00794	cpsb:B595_1025
ko:K14652	cpsb:B595_1026
ko:K11752	cpsb:B595_1027
ko:K01875	cpsb:B595_1028
ko:K05837	cpsb:B595_1031
ko:K03524	cpsb:B595_1032
ko:K06178	cpsb:B595_1034
ko:K04487	cpsb:B595_1037
ko:K13819	cpsb:B595_1038
ko:K02409	cpsb:B595_1040
ko:K02411	cpsb:B595_1041
ko:K02412	cpsb:B595_1042
ko:K00057	cpsb:B595_1045
ko:K03569	cpsb:B595_1051
ko:K03545	cpsb:B595_1054
ko:K01358	cpsb:B595_1055
ko:K03544	cpsb:B595_1056
ko:K03977	cpsb:B595_1058
ko:K03070	cpsb:B595_1060
ko:K01613	cpsb:B595_1062
ko:K03650	cpsb:B595_1063
ko:K10773	cpsb:B595_1064
ko:K03311	cpsb:B595_1065
ko:K00382	cpsb:B595_1068
ko:K03644	cpsb:B595_1069
ko:K03222	cpsb:B595_1070
ko:K03223	cpsb:B595_1072
ko:K03226	cpsb:B595_1074
ko:K03228	cpsb:B595_1076
ko:K03229	cpsb:B595_0535
ko:K06942	cpsb:B595_0536
ko:K11753	cpsb:B595_0537
ko:K02834	cpsb:B595_0539
ko:K02519	cpsb:B595_0540
ko:K02600	cpsb:B595_0542
ko:K02945	cpsb:B595_0543
ko:K00384	cpsb:B595_0544
ko:K00997	cpsb:B595_0545
ko:K03217	cpsb:B595_0548
ko:K02313	cpsb:B595_0549
ko:K00688	cpsb:B595_0552
ko:K00627	cpsb:B595_0553
ko:K00162	cpsb:B595_0554
ko:K00161	cpsb:B595_0555
ko:K02536	cpsb:B595_0557
ko:K06142	cpsb:B595_0558
ko:K07277	cpsb:B595_0559
ko:K06187	cpsb:B595_0560
ko:K00648	cpsb:B595_0561
ko:K00645	cpsb:B595_0562
ko:K02078	cpsb:B595_0564
ko:K03308	cpsb:B595_0569
ko:K06213	cpsb:B595_0576
ko:K02071	cpsb:B595_0581
ko:K02072	cpsb:B595_0582
ko:K02073	cpsb:B595_0584
ko:K02470	cpsb:B595_0587
ko:K03582	cpsb:B595_0010
ko:K03583	cpsb:B595_0011
ko:K07146	cpsb:B595_0013
ko:K02986	cpsb:B595_0014
ko:K01151	cpsb:B595_0016
ko:K03980	cpsb:B595_0018
ko:K06861	cpsb:B595_0026
ko:K01627	cpsb:B595_0028
ko:K06960	cpsb:B595_0030
ko:K06180	cpsb:B595_0031
ko:K02469	cpsb:B595_0034
