ko:K02022	rrm:RRM_02325
ko:K03446	rrm:RRM_01125
ko:K19157	rrm:RRM_06925
ko:K19159	rrm:RRM_00725
ko:K00791	rrm:RRM_03515
ko:K01840	rrm:RRM_03525
ko:K06861	rrm:RRM_03535
ko:K11719	rrm:RRM_03540
ko:K06041	rrm:RRM_03545
ko:K00962	rrm:RRM_03550
ko:K02956	rrm:RRM_03555
ko:K03177	rrm:RRM_03560
ko:K03301	rrm:RRM_03565
ko:K07058	rrm:RRM_03585
ko:K01915	rrm:RRM_03590
ko:K05810	rrm:RRM_03595
ko:K01462	rrm:RRM_03600
ko:K01006	rrm:RRM_03615
ko:K00799	rrm:RRM_03625
ko:K03523	rrm:RRM_03635
ko:K11754	rrm:RRM_03640
ko:K04564	rrm:RRM_03645
ko:K07001	rrm:RRM_03660
ko:K07001	rrm:RRM_03665
ko:K03524	rrm:RRM_03670
ko:K02520	rrm:RRM_03700
ko:K00627	rrm:RRM_03705
ko:K02835	rrm:RRM_03710
ko:K07462	rrm:RRM_03715
ko:K03628	rrm:RRM_03725
ko:K04773	rrm:RRM_03730
ko:K05788	rrm:RRM_03735
ko:K03562	rrm:RRM_02295
ko:K03560	rrm:RRM_02300
ko:K00133	rrm:RRM_02340
ko:K01419	rrm:RRM_02355
ko:K03667	rrm:RRM_02360
ko:K07391	rrm:RRM_02375
ko:K00748	rrm:RRM_02395
ko:K07082	rrm:RRM_02405
ko:K06202	rrm:RRM_02410
ko:K01885	rrm:RRM_02425
ko:K03168	rrm:RRM_02430
ko:K04096	rrm:RRM_02435
ko:K03386	rrm:RRM_02440
ko:K07447	rrm:RRM_02460
ko:K00067	rrm:RRM_02465
ko:K17716	rrm:RRM_02470
ko:K01791	rrm:RRM_02475
ko:K02986	rrm:RRM_02525
ko:K02860	rrm:RRM_02550
ko:K03602	rrm:RRM_02560
ko:K03313	rrm:RRM_06970
ko:K03801	rrm:RRM_06980
ko:K11066	rrm:RRM_06985
ko:K02959	rrm:RRM_06995
ko:K02913	rrm:RRM_07000
ko:K03572	rrm:RRM_07005
ko:K00019	rrm:RRM_07010
ko:K03762	rrm:RRM_07025
ko:K00228	rrm:RRM_07030
ko:K08973	rrm:RRM_07040
ko:K01772	rrm:RRM_07045
ko:K01599	rrm:RRM_07050
ko:K09861	rrm:RRM_03755
ko:K09773	rrm:RRM_00005
ko:K03671	rrm:RRM_00010
ko:K07171	rrm:RRM_00030
ko:K00677	rrm:RRM_00035
ko:K02372	rrm:RRM_00040
ko:K02536	rrm:RRM_00045
ko:K07001	rrm:RRM_00060
ko:K05540	rrm:RRM_00095
ko:K06925	rrm:RRM_00110
ko:K09815	rrm:RRM_00115
ko:K00970	rrm:RRM_00120
ko:K06213	rrm:RRM_04625
ko:K03210	rrm:RRM_04645
ko:K03072	rrm:RRM_04650
ko:K07152	rrm:RRM_04655
ko:K02197	rrm:RRM_04660
ko:K01507	rrm:RRM_04665
ko:K03980	rrm:RRM_04670
ko:K03655	rrm:RRM_04685
ko:K01028	rrm:RRM_04690
ko:K01029	rrm:RRM_04695
ko:K01000	rrm:RRM_04715
ko:K01929	rrm:RRM_04720
ko:K01928	rrm:RRM_04725
ko:K03723	rrm:RRM_04730
ko:K09159	rrm:RRM_04735
ko:K02313	rrm:RRM_04745
ko:K06942	rrm:RRM_04795
ko:K01056	rrm:RRM_04810
ko:K02897	rrm:RRM_04815
ko:K02916	rrm:RRM_04825
ko:K02887	rrm:RRM_04830
ko:K02914	rrm:RRM_04835
ko:K03536	rrm:RRM_04840
ko:K03284	rrm:RRM_04875
ko:K13598	rrm:RRM_04895
ko:K02970	rrm:RRM_04905
ko:K18587	rrm:RRM_04910
ko:K00674	rrm:RRM_01370
ko:K07080	rrm:RRM_01435
ko:K04044	rrm:RRM_01450
ko:K04082	rrm:RRM_01455
ko:K03470	rrm:RRM_01460
ko:K03702	rrm:RRM_01465
ko:K02469	rrm:RRM_01485
ko:K01462	rrm:RRM_01525
ko:K00604	rrm:RRM_01530
ko:K06916	rrm:RRM_01555
ko:K07568	rrm:RRM_01560
ko:K06147	rrm:RRM_01580
ko:K00425	rrm:RRM_01590
ko:K00426	rrm:RRM_01595
ko:K01923	rrm:RRM_01620
ko:K01868	rrm:RRM_01630
ko:K07133	rrm:RRM_06100
ko:K00942	rrm:RRM_06105
ko:K03570	rrm:RRM_06115
ko:K03569	rrm:RRM_06120
ko:K11720	rrm:RRM_06125
ko:K03640	rrm:RRM_06135
ko:K00648	rrm:RRM_06145
ko:K02911	rrm:RRM_06150
ko:K03110	rrm:RRM_06160
ko:K00789	rrm:RRM_06170
ko:K02337	rrm:RRM_06190
ko:K00012	rrm:RRM_06195
ko:K03118	rrm:RRM_06210
ko:K01875	rrm:RRM_06215
ko:K05794	rrm:RRM_06235
ko:K07726	rrm:RRM_06255
ko:K00339	rrm:RRM_06260
ko:K00340	rrm:RRM_06265
ko:K00341	rrm:RRM_06270
ko:K00342	rrm:RRM_06275
ko:K02193	rrm:RRM_06280
ko:K00338	rrm:RRM_06285
ko:K00337	rrm:RRM_06290
ko:K01681	rrm:RRM_06305
ko:K02114	rrm:RRM_06310
ko:K02112	rrm:RRM_06315
ko:K02115	rrm:RRM_06320
ko:K02111	rrm:RRM_06325
ko:K02113	rrm:RRM_06330
ko:K00382	rrm:RRM_06335
ko:K04047	rrm:RRM_06340
ko:K05366	rrm:RRM_06370
ko:K06168	rrm:RRM_06375
ko:K01867	rrm:RRM_03785
ko:K00655	rrm:RRM_03790
ko:K07018	rrm:RRM_03810
ko:K06895	rrm:RRM_03830
ko:K08218	rrm:RRM_03840
ko:K02523	rrm:RRM_03865
ko:K01262	rrm:RRM_03890
ko:K03294	rrm:RRM_03895
ko:K13628	rrm:RRM_03910
ko:K04488	rrm:RRM_03915
ko:K04487	rrm:RRM_03920
ko:K04487	rrm:RRM_03925
ko:K13643	rrm:RRM_03930
ko:K01823	rrm:RRM_03985
ko:K01358	rrm:RRM_04000
ko:K02945	rrm:RRM_04005
ko:K00945	rrm:RRM_04010
ko:K01749	rrm:RRM_04060
ko:K03652	rrm:RRM_02575
ko:K08998	rrm:RRM_02585
ko:K00334	rrm:RRM_02590
ko:K00333	rrm:RRM_02595
ko:K00332	rrm:RRM_02600
ko:K00331	rrm:RRM_02605
ko:K00330	rrm:RRM_02610
ko:K04763	rrm:RRM_02630
ko:K00208	rrm:RRM_02645
ko:K03820	rrm:RRM_02650
ko:K01989	rrm:RRM_02670
ko:K05832	rrm:RRM_02675
ko:K05833	rrm:RRM_02680
ko:K04566	rrm:RRM_02715
ko:K07088	rrm:RRM_02720
ko:K00029	rrm:RRM_02725
ko:K00024	rrm:RRM_02805
ko:K01937	rrm:RRM_02830
ko:K00979	rrm:RRM_02835
ko:K03574	rrm:RRM_02855
ko:K01495	rrm:RRM_02865
ko:K01881	rrm:RRM_02870
ko:K02109	rrm:RRM_00180
ko:K02109	rrm:RRM_00185
ko:K02110	rrm:RRM_00190
ko:K02108	rrm:RRM_00200
ko:K02116	rrm:RRM_00205
ko:K07736	rrm:RRM_00215
ko:K03629	rrm:RRM_00225
ko:K06137	rrm:RRM_00230
ko:K13941	rrm:RRM_00245
ko:K07152	rrm:RRM_00285
ko:K07735	rrm:RRM_00290
ko:K00023	rrm:RRM_00345
ko:K03695	rrm:RRM_00380
ko:K01409	rrm:RRM_00390
ko:K02990	rrm:RRM_00405
ko:K02963	rrm:RRM_00410
ko:K02939	rrm:RRM_00415
ko:K04075	rrm:RRM_00425
ko:K03798	rrm:RRM_00430
ko:K00240	rrm:RRM_00445
ko:K01870	rrm:RRM_04925
ko:K01965	rrm:RRM_04950
ko:K01966	rrm:RRM_04955
ko:K05939	rrm:RRM_04965
ko:K07343	rrm:RRM_04970
ko:K09816	rrm:RRM_04975
ko:K00568	rrm:RRM_04980
ko:K01885	rrm:RRM_04985
ko:K04077	rrm:RRM_05000
ko:K04078	rrm:RRM_05005
ko:K00989	rrm:RRM_05045
ko:K03687	rrm:RRM_05050
ko:K02968	rrm:RRM_05105
ko:K02879	rrm:RRM_05110
ko:K03040	rrm:RRM_05115
ko:K02948	rrm:RRM_05120
ko:K02952	rrm:RRM_05125
ko:K00939	rrm:RRM_05130
ko:K03076	rrm:RRM_05135
ko:K02876	rrm:RRM_05140
ko:K02907	rrm:RRM_05145
ko:K02988	rrm:RRM_05150
ko:K02881	rrm:RRM_05155
ko:K02933	rrm:RRM_05160
ko:K02994	rrm:RRM_05165
ko:K02954	rrm:RRM_05170
ko:K02931	rrm:RRM_05175
ko:K02895	rrm:RRM_05180
ko:K02874	rrm:RRM_05185
ko:K02961	rrm:RRM_05190
ko:K02904	rrm:RRM_05195
ko:K02878	rrm:RRM_05200
ko:K02982	rrm:RRM_05205
ko:K02890	rrm:RRM_05210
ko:K12340	rrm:RRM_01690
ko:K09991	rrm:RRM_01695
ko:K02622	rrm:RRM_01710
ko:K03797	rrm:RRM_01715
ko:K07716	rrm:RRM_01720
ko:K02871	rrm:RRM_01740
ko:K02996	rrm:RRM_01745
ko:K08641	rrm:RRM_01755
ko:K01724	rrm:RRM_01765
ko:K08311	rrm:RRM_01780
ko:K02488	rrm:RRM_01785
ko:K02356	rrm:RRM_01790
ko:K01092	rrm:RRM_01795
ko:K01613	rrm:RRM_01805
ko:K17103	rrm:RRM_01810
ko:K03543	rrm:RRM_01815
ko:K05527	rrm:RRM_01830
ko:K01924	rrm:RRM_01840
ko:K00075	rrm:RRM_01845
ko:K01921	rrm:RRM_01850
ko:K03589	rrm:RRM_01855
ko:K03590	rrm:RRM_01860
ko:K08738	rrm:RRM_01870
ko:K02535	rrm:RRM_01880
ko:K08300	rrm:RRM_01890
ko:K02259	rrm:RRM_01895
ko:K06179	rrm:RRM_01900
ko:K01142	rrm:RRM_01910
ko:K00161	rrm:RRM_01915
ko:K00162	rrm:RRM_01920
ko:K06207	rrm:RRM_01925
ko:K00031	rrm:RRM_01950
ko:K05571	rrm:RRM_01955
ko:K05566	rrm:RRM_01960
ko:K02194	rrm:RRM_01965
ko:K03455	rrm:RRM_06410
ko:K09710	rrm:RRM_06415
ko:K02518	rrm:RRM_06485
ko:K06287	rrm:RRM_06490
ko:K06204	rrm:RRM_06495
ko:K03733	rrm:RRM_06500
ko:K17717	rrm:RRM_06510
ko:K03182	rrm:RRM_06530
ko:K03466	rrm:RRM_06560
ko:K01265	rrm:RRM_06565
ko:K03630	rrm:RRM_06575
ko:K05524	rrm:RRM_06600
ko:K02195	rrm:RRM_06605
ko:K06910	rrm:RRM_06625
ko:K09817	rrm:RRM_06630
ko:K03701	rrm:RRM_06665
ko:K03111	rrm:RRM_06670
ko:K06980	rrm:RRM_04080
ko:K03684	rrm:RRM_04090
ko:K01934	rrm:RRM_04100
ko:K00382	rrm:RRM_04105
ko:K02919	rrm:RRM_04165
ko:K00343	rrm:RRM_04230
ko:K01698	rrm:RRM_04240
ko:K04066	rrm:RRM_04250
ko:K03186	rrm:RRM_04255
ko:K06178	rrm:RRM_04290
ko:K08316	rrm:RRM_04300
ko:K04485	rrm:RRM_04305
ko:K03584	rrm:RRM_04315
ko:K02519	rrm:RRM_04335
ko:K02600	rrm:RRM_04340
ko:K09748	rrm:RRM_04345
ko:K13771	rrm:RRM_04355
ko:K03550	rrm:RRM_02885
ko:K03551	rrm:RRM_02900
ko:K11085	rrm:RRM_02905
ko:K08218	rrm:RRM_02910
ko:K07258	rrm:RRM_02915
ko:K03642	rrm:RRM_02920
ko:K06190	rrm:RRM_02930
ko:K07243	rrm:RRM_02935
ko:K00449	rrm:RRM_02950
ko:K08309	rrm:RRM_02970
ko:K01297	rrm:RRM_02980
ko:K16899	rrm:RRM_02985
ko:K07010	rrm:RRM_02990
ko:K02274	rrm:RRM_02995
ko:K02275	rrm:RRM_03010
ko:K03101	rrm:RRM_03020
ko:K01925	rrm:RRM_03035
ko:K03588	rrm:RRM_03040
ko:K02563	rrm:RRM_03045
ko:K18139	rrm:RRM_03100
ko:K01778	rrm:RRM_03120
ko:K18707	rrm:RRM_03125
ko:K01889	rrm:RRM_03130
ko:K01890	rrm:RRM_03135
ko:K02338	rrm:RRM_03140
ko:K01869	rrm:RRM_03155
ko:K13292	rrm:RRM_00460
ko:K16053	rrm:RRM_00470
ko:K03217	rrm:RRM_00475
ko:K00995	rrm:RRM_00480
ko:K01462	rrm:RRM_00515
ko:K03301	rrm:RRM_00520
ko:K02445	rrm:RRM_00525
ko:K00940	rrm:RRM_00530
ko:K03495	rrm:RRM_00535
ko:K03501	rrm:RRM_00540
ko:K03496	rrm:RRM_00545
ko:K03497	rrm:RRM_00550
ko:K01627	rrm:RRM_00565
ko:K01129	rrm:RRM_00585
ko:K01887	rrm:RRM_00590
ko:K02621	rrm:RRM_00600
ko:K01494	rrm:RRM_00615
ko:K03071	rrm:RRM_00620
ko:K13584	rrm:RRM_00625
ko:K06879	rrm:RRM_00630
ko:K09987	rrm:RRM_00635
ko:K00325	rrm:RRM_00640
ko:K07275	rrm:RRM_00645
ko:K03762	rrm:RRM_00655
ko:K03075	rrm:RRM_00670
ko:K01883	rrm:RRM_00685
ko:K02967	rrm:RRM_00690
ko:K02357	rrm:RRM_00695
ko:K02527	rrm:RRM_00710
ko:K09778	rrm:RRM_00715
ko:K00812	rrm:RRM_00720
ko:K04754	rrm:RRM_00735
ko:K07323	rrm:RRM_00740
ko:K00948	rrm:RRM_00745
ko:K01775	rrm:RRM_00755
ko:K02066	rrm:RRM_00760
ko:K02965	rrm:RRM_05215
ko:K02886	rrm:RRM_05220
ko:K02892	rrm:RRM_05225
ko:K02926	rrm:RRM_05230
ko:K02906	rrm:RRM_05235
ko:K02946	rrm:RRM_05240
ko:K02358	rrm:RRM_05250
ko:K03218	rrm:RRM_05265
ko:K01679	rrm:RRM_05275
ko:K03531	rrm:RRM_05280
ko:K03704	rrm:RRM_05305
ko:K02528	rrm:RRM_05320
ko:K04744	rrm:RRM_05330
ko:K03601	rrm:RRM_05335
ko:K01142	rrm:RRM_05355
ko:K15383	rrm:RRM_05360
ko:K03977	rrm:RRM_05365
ko:K03688	rrm:RRM_05405
ko:K03183	rrm:RRM_05410
ko:K10563	rrm:RRM_05415
ko:K00971	rrm:RRM_05430
ko:K05973	rrm:RRM_05450
ko:K03424	rrm:RRM_05475
ko:K01874	rrm:RRM_05480
ko:K00943	rrm:RRM_05485
ko:K03179	rrm:RRM_05495
ko:K01873	rrm:RRM_05500
ko:K00411	rrm:RRM_01975
ko:K00412	rrm:RRM_01980
ko:K00413	rrm:RRM_01990
ko:K02836	rrm:RRM_02020
ko:K03596	rrm:RRM_02025
ko:K05837	rrm:RRM_02075
ko:K01354	rrm:RRM_02080
ko:K05568	rrm:RRM_02085
ko:K05568	rrm:RRM_02100
ko:K05568	rrm:RRM_02105
ko:K05567	rrm:RRM_02110
ko:K03204	rrm:RRM_02115
ko:K03203	rrm:RRM_02120
ko:K03203	rrm:RRM_02130
ko:K03204	rrm:RRM_02135
ko:K03196	rrm:RRM_02145
ko:K03205	rrm:RRM_02150
ko:K01524	rrm:RRM_02155
ko:K01082	rrm:RRM_02190
ko:K03555	rrm:RRM_02195
ko:K01808	rrm:RRM_02200
ko:K07043	rrm:RRM_02210
ko:K03641	rrm:RRM_02220
ko:K03089	rrm:RRM_02225
ko:K02258	rrm:RRM_02230
ko:K00566	rrm:RRM_02240
ko:K03294	rrm:RRM_02250
ko:K01892	rrm:RRM_02255
ko:K09131	rrm:RRM_06695
ko:K04079	rrm:RRM_06700
ko:K00643	rrm:RRM_06705
ko:K03545	rrm:RRM_06720
ko:K03979	rrm:RRM_06725
ko:K01647	rrm:RRM_06730
ko:K06180	rrm:RRM_06745
ko:K02493	rrm:RRM_06760
ko:K07566	rrm:RRM_06765
ko:K01879	rrm:RRM_06770
ko:K01878	rrm:RRM_06775
ko:K09765	rrm:RRM_06790
ko:K01872	rrm:RRM_06810
ko:K06173	rrm:RRM_06815
ko:K03086	rrm:RRM_06820
ko:K03624	rrm:RRM_06835
ko:K00324	rrm:RRM_06840
ko:K00324	rrm:RRM_06845
ko:K02343	rrm:RRM_06855
ko:K09747	rrm:RRM_06860
ko:K06985	rrm:RRM_06880
ko:K18923	rrm:RRM_06900
ko:K02028	rrm:RRM_06905
ko:K06167	rrm:RRM_06910
ko:K07473	rrm:RRM_06920
ko:K07091	rrm:RRM_06930
ko:K02339	rrm:RRM_06935
ko:K01439	rrm:RRM_06945
ko:K01154	rrm:RRM_06950
ko:K03427	rrm:RRM_06960
ko:K03684	rrm:RRM_03165
ko:K00981	rrm:RRM_03175
ko:K00806	rrm:RRM_03180
ko:K07638	rrm:RRM_03185
ko:K07659	rrm:RRM_03190
ko:K00826	rrm:RRM_03195
ko:K01714	rrm:RRM_03200
ko:K03664	rrm:RRM_03205
ko:K01902	rrm:RRM_03215
ko:K01903	rrm:RRM_03220
ko:K12262	rrm:RRM_03240
ko:K02834	rrm:RRM_03265
ko:K06187	rrm:RRM_03280
ko:K00858	rrm:RRM_03310
ko:K12574	rrm:RRM_03315
ko:K00057	rrm:RRM_03320
ko:K07088	rrm:RRM_03325
ko:K00384	rrm:RRM_03335
ko:K00135	rrm:RRM_03355
ko:K03657	rrm:RRM_03365
ko:K01754	rrm:RRM_03380
ko:K01338	rrm:RRM_03385
ko:K01491	rrm:RRM_03435
ko:K00384	rrm:RRM_03440
ko:K06442	rrm:RRM_04360
ko:K01866	rrm:RRM_04365
ko:K03185	rrm:RRM_04455
ko:K05570	rrm:RRM_04460
ko:K13599	rrm:RRM_04465
ko:K05515	rrm:RRM_04480
ko:K03587	rrm:RRM_04490
ko:K03438	rrm:RRM_04500
ko:K03925	rrm:RRM_04505
ko:K03703	rrm:RRM_04520
ko:K00567	rrm:RRM_04545
ko:K03070	rrm:RRM_04585
ko:K03769	rrm:RRM_04590
ko:K00997	rrm:RRM_04595
ko:K03060	rrm:RRM_04600
ko:K00790	rrm:RRM_04605
ko:K02470	rrm:RRM_04610
ko:K02065	rrm:RRM_00765
ko:K02902	rrm:RRM_00800
ko:K02909	rrm:RRM_00805
ko:K03978	rrm:RRM_00815
ko:K00930	rrm:RRM_00820
ko:K03201	rrm:RRM_00835
ko:K03201	rrm:RRM_00840
ko:K03201	rrm:RRM_00845
ko:K03201	rrm:RRM_00850
ko:K03201	rrm:RRM_00855
ko:K00554	rrm:RRM_00870
ko:K02884	rrm:RRM_00875
ko:K03074	rrm:RRM_00885
ko:K00335	rrm:RRM_00890
ko:K03100	rrm:RRM_00895
ko:K03685	rrm:RRM_00900
ko:K01159	rrm:RRM_00910
ko:K02533	rrm:RRM_00915
ko:K07276	rrm:RRM_00920
ko:K03593	rrm:RRM_00925
ko:K04088	rrm:RRM_00930
ko:K04087	rrm:RRM_00935
ko:K07146	rrm:RRM_00945
ko:K00241	rrm:RRM_00950
ko:K00242	rrm:RRM_00960
ko:K00239	rrm:RRM_00965
ko:K02029	rrm:RRM_00970
ko:K02950	rrm:RRM_00975
ko:K02992	rrm:RRM_00980
ko:K02355	rrm:RRM_00985
ko:K03073	rrm:RRM_01000
ko:K02601	rrm:RRM_01005
ko:K02867	rrm:RRM_01010
ko:K02863	rrm:RRM_01015
ko:K02864	rrm:RRM_01020
ko:K02935	rrm:RRM_01025
ko:K03043	rrm:RRM_01030
ko:K03046	rrm:RRM_01035
ko:K01255	rrm:RRM_01045
ko:K03496	rrm:RRM_01050
ko:K01876	rrm:RRM_01060
ko:K09760	rrm:RRM_05515
ko:K03544	rrm:RRM_05550
ko:K03790	rrm:RRM_05555
ko:K06920	rrm:RRM_05560
ko:K06147	rrm:RRM_05580
ko:K07552	rrm:RRM_05595
ko:K09808	rrm:RRM_05600
ko:K09810	rrm:RRM_05605
ko:K02198	rrm:RRM_05625
ko:K05349	rrm:RRM_05680
ko:K04764	rrm:RRM_05690
ko:K03564	rrm:RRM_05700
ko:K02517	rrm:RRM_05705
ko:K00912	rrm:RRM_05710
ko:K07115	rrm:RRM_05720
ko:K01972	rrm:RRM_05725
ko:K00773	rrm:RRM_05735
ko:K02067	rrm:RRM_05750
ko:K03469	rrm:RRM_05760
ko:K09985	rrm:RRM_05765
ko:K09949	rrm:RRM_05770
ko:K00859	rrm:RRM_05775
ko:K02342	rrm:RRM_05780
ko:K14998	rrm:RRM_05785
ko:K16898	rrm:RRM_05790
ko:K06890	rrm:RRM_01070
ko:K00215	rrm:RRM_01075
ko:K02030	rrm:RRM_01085
